Name_val,IdCode_val,Cost_PriorYear_TotalCost_val,Cost_AllPriorYears_TotalCost_val,Cost_CurrentYear_TotalCost_val,Cost_BudgetYearOneBase_TotalCost_val,Cost_BudgetYearOne_TotalCost_val,Cost_Quantity_PriorYear_val,Cost_Quantity_AllPriorYears_val,Cost_Quantity_BudgetYearOneBase_val,Cost_Quantity_BudgetYearOne_val,Cost_Quantity_BudgetYearTwo_val,Cost_Quantity_BudgetYearThree_val,Cost_Quantity_BudgetYearFour_val,Cost_Quantity_BudgetYearFive_val,Cost_Quantity_CurrentYear_val,Cost_TotalCost_PriorYear_val,Cost_TotalCost_AllPriorYears_val,Cost_TotalCost_CurrentYear_val,Cost_TotalCost_BudgetYearOneBase_val,Cost_TotalCost_BudgetYearOne_val,Cost_TotalCost_BudgetYearTwo_val,Cost_TotalCost_BudgetYearThree_val,Cost_TotalCost_BudgetYearFour_val,Cost_TotalCost_BudgetYearFive_val,Cost_TotalCost_Continuing_val,Cost_TotalCost_BudgetYearOneOCO_val,Cost_UnitCost_PriorYear_val,Cost_UnitCost_AllPriorYears_val,Cost_UnitCost_BudgetYearOneBase_val,Cost_UnitCost_BudgetYearOne_val,Cost_UnitCost_BudgetYearTwo_val,Cost_UnitCost_BudgetYearThree_val,Cost_UnitCost_BudgetYearFour_val,Cost_UnitCost_BudgetYearFive_val,Cost_UnitCost_CurrentYear_val,@SOURCE_FILENAME,@RECORDID,@ROWID,ManufacturerList_Manufacturer_Name_val,ManufacturerList_Manufacturer_Location_val,ManufacturerList_Manufacturer_InitialQuantity_AdminLeadTimeBeforeOct1InMonths_val,ManufacturerList_Manufacturer_InitialQuantity_AdminLeadTimeAfterOct1InMonths_val,ManufacturerList_Manufacturer_InitialQuantity_ProductionLeadTimeAfterOct1InMonths_val,ManufacturerList_Manufacturer_InitialQuantity_TotalLeadTimeAfterOct1InMonths_val,ManufacturerList_Manufacturer_ReorderQuantity_AdminLeadTimeBeforeOct1InMonths_val,ManufacturerList_Manufacturer_ReorderQuantity_AdminLeadTimeAfterOct1InMonths_val,ManufacturerList_Manufacturer_ReorderQuantity_ProductionLeadTimeAfterOct1InMonths_val,ManufacturerList_Manufacturer_ReorderQuantity_TotalLeadTimeAfterOct1InMonths_val,ManufacturerList_Manufacturer_HistoryPlanningList_HistoryPlanning_FiscalYear_val,ManufacturerList_Manufacturer_HistoryPlanningList_HistoryPlanning_PCOLocation_val,ManufacturerList_Manufacturer_HistoryPlanningList_HistoryPlanning_AwardDate_val,ManufacturerList_Manufacturer_HistoryPlanningList_HistoryPlanning_FirstDeliveryDate_val,ManufacturerList_Manufacturer_HistoryPlanningList_HistoryPlanning_Quantity_val,ManufacturerList_Manufacturer_HistoryPlanningList_HistoryPlanning_UnitCost_val,ManufacturerList_Manufacturer_HistoryPlanningList_HistoryPlanning_FundingVehicle_val,ManufacturerList_Manufacturer_HistoryPlanningList_HistoryPlanning_SpecsAvailableNow_val,AllPriorYearsDeliveries_val,@PARENTROWID,@PARENT
"DISCREET OCULUS","","","","","","","1","","","","","","","","","4.34","","","","","","","","","","","4.34","","","","","","","","","2018-BASE_PROCUREMENT-2018-DEFENSE_OSD-U_PROCUREMENT_MasterJustificationBook_Office_of_the_Secretary_Of_Defense_PB_2018.zzz_unzipped-U_PROCUREMENT_MasterJustificationBook_Office_of_the_Secretary_Of_Defense_PB_2018.xml","9b8a0b7ad3f7346b4db0e6526619e63db39b739a90e948efdc2e370ef68f0802","1-a0571c9901c26ad7cbfb949aa4b2f7aa1bc57a2a17db603def4ab01ff362f0e4","","","","","","","","","","","","","","","","","","","","4-17ef009534a25b4e41c1f9c7f86298f67343f4726e3a9033bef91f1e1aa03381","root.record.ItemExhibitList.P5Item"
"Harvester Particulate Airborne Collection System","","","","","","","1","","","","","","","","","1.573","","","","","","","","","","","1.573","","","","","","","","","2018-BASE_PROCUREMENT-2018-DEFENSE_OSD-U_PROCUREMENT_MasterJustificationBook_Office_of_the_Secretary_Of_Defense_PB_2018.zzz_unzipped-U_PROCUREMENT_MasterJustificationBook_Office_of_the_Secretary_Of_Defense_PB_2018.xml","9b8a0b7ad3f7346b4db0e6526619e63db39b739a90e948efdc2e370ef68f0802","2-3b703eea713fcbe4f002e6a401b03878f4c78c1df011bb03224533358d32a2be","","","","","","","","","","","","","","","","","","","","4-17ef009534a25b4e41c1f9c7f86298f67343f4726e3a9033bef91f1e1aa03381","root.record.ItemExhibitList.P5Item"
"Modular Whole Air Collection System","","","","","","","1","","","","","","","","","0.96","","","","","","","","","","","0.96","","","","","","","","","2018-BASE_PROCUREMENT-2018-DEFENSE_OSD-U_PROCUREMENT_MasterJustificationBook_Office_of_the_Secretary_Of_Defense_PB_2018.zzz_unzipped-U_PROCUREMENT_MasterJustificationBook_Office_of_the_Secretary_Of_Defense_PB_2018.xml","9b8a0b7ad3f7346b4db0e6526619e63db39b739a90e948efdc2e370ef68f0802","3-6b9dd1d8cda7163e257e8373daf7ad0850090f196f20073f17b3a11bca11ae76","","","","","","","","","","","","","","","","","","","","4-17ef009534a25b4e41c1f9c7f86298f67343f4726e3a9033bef91f1e1aa03381","root.record.ItemExhibitList.P5Item"
"SOCOM Underwater Monitor","","","","","","","1","","","","","","","","","1.437","","","","","","","","","","","1.437","","","","","","","","","2018-BASE_PROCUREMENT-2018-DEFENSE_OSD-U_PROCUREMENT_MasterJustificationBook_Office_of_the_Secretary_Of_Defense_PB_2018.zzz_unzipped-U_PROCUREMENT_MasterJustificationBook_Office_of_the_Secretary_Of_Defense_PB_2018.xml","9b8a0b7ad3f7346b4db0e6526619e63db39b739a90e948efdc2e370ef68f0802","4-f907bace4fec2b0d096bdf514ffc30484b2f4115d440e51ebcdecdbc04da0295","","","","","","","","","","","","","","","","","","","","4-17ef009534a25b4e41c1f9c7f86298f67343f4726e3a9033bef91f1e1aa03381","root.record.ItemExhibitList.P5Item"
"Joint Personal Dosimeter","","","","","","","","","446","446","","","","","764","","","1.527","0.892","0.892","","","","","","","","","0.002","0.002","","","","","0.002","2018-BASE_PROCUREMENT-2018-DEFENSE_VOL1_ALL-U_PROCUREMENT_MasterJustificationBook_Defense-Wide_PB_2018.zzz_unzipped-U_PROCUREMENT_MasterJustificationBook_Defense-Wide_PB_2018.xml","e504049240c73f57b4c819e5f3983829f7e1023ab554c0fda35b4d26527bdce1","0-5e541dc99b98e91f80fcc5b7061414d98729a7b24ca01e3cb27865d1d259505b","","","","","","","","","","","","","","","","","","","","4-0704c6733c4e5cf8113335498ab21e68003c93bc43155a71a6198e2141b28a03","root.record.ItemExhibitList.P5Item"
"DISCREET OCULUS","","","","","","","1","","","","","","","","","4.34","","","","","","","","","","","4.34","","","","","","","","","2018-BASE_PROCUREMENT-2018-DEFENSE_VOL1_ALL-U_PROCUREMENT_MasterJustificationBook_Defense-Wide_PB_2018.zzz_unzipped-U_PROCUREMENT_MasterJustificationBook_Defense-Wide_PB_2018.xml","e504049240c73f57b4c819e5f3983829f7e1023ab554c0fda35b4d26527bdce1","1-4bf3e5febdc58d40db4dab6a5d0612432e60feba23db8bacad4864fb931d9fff","","","","","","","","","","","","","","","","","","","","4-0704c6733c4e5cf8113335498ab21e68003c93bc43155a71a6198e2141b28a03","root.record.ItemExhibitList.P5Item"
"Harvester Particulate Airborne Collection System","","","","","","","1","","","","","","","","","1.573","","","","","","","","","","","1.573","","","","","","","","","2018-BASE_PROCUREMENT-2018-DEFENSE_VOL1_ALL-U_PROCUREMENT_MasterJustificationBook_Defense-Wide_PB_2018.zzz_unzipped-U_PROCUREMENT_MasterJustificationBook_Defense-Wide_PB_2018.xml","e504049240c73f57b4c819e5f3983829f7e1023ab554c0fda35b4d26527bdce1","2-042a861d3c22e177d27b5ba1987010c0dc0556ef33eda1a84523b7875c29d986","","","","","","","","","","","","","","","","","","","","4-0704c6733c4e5cf8113335498ab21e68003c93bc43155a71a6198e2141b28a03","root.record.ItemExhibitList.P5Item"
"Modular Whole Air Collection System","","","","","","","1","","","","","","","","","0.96","","","","","","","","","","","0.96","","","","","","","","","2018-BASE_PROCUREMENT-2018-DEFENSE_VOL1_ALL-U_PROCUREMENT_MasterJustificationBook_Defense-Wide_PB_2018.zzz_unzipped-U_PROCUREMENT_MasterJustificationBook_Defense-Wide_PB_2018.xml","e504049240c73f57b4c819e5f3983829f7e1023ab554c0fda35b4d26527bdce1","3-beabaa82481c7de391596fedd1e83cc72ddb97c11a8d18781cffa62330f464ed","","","","","","","","","","","","","","","","","","","","4-0704c6733c4e5cf8113335498ab21e68003c93bc43155a71a6198e2141b28a03","root.record.ItemExhibitList.P5Item"
"SOCOM Underwater Monitor","","","","","","","1","","","","","","","","","1.437","","","","","","","","","","","1.437","","","","","","","","","2018-BASE_PROCUREMENT-2018-DEFENSE_VOL1_ALL-U_PROCUREMENT_MasterJustificationBook_Defense-Wide_PB_2018.zzz_unzipped-U_PROCUREMENT_MasterJustificationBook_Defense-Wide_PB_2018.xml","e504049240c73f57b4c819e5f3983829f7e1023ab554c0fda35b4d26527bdce1","4-aa50bc5267293d61b2202fafc1154d7b7d14ca9f9bbeba0e1f15af72c2ff2b27","","","","","","","","","","","","","","","","","","","","4-0704c6733c4e5cf8113335498ab21e68003c93bc43155a71a6198e2141b28a03","root.record.ItemExhibitList.P5Item"
"Training Devices","","","","","","","","","","","","","","","","","81.332","","","","","","","","","","","","","","","","","","","2019-BASE_PROCUREMENT-2019-ARMY_AIRCRAFT-U_PROCUREMENT_JustificationBook_Army_PB_2019.zzz_unzipped-U_PROCUREMENT_JustificationBook_Army_PB_2019.xml","9c14220b9301703f4ab07a680df3d3089f7302782f598bb32187586769a0587b","0-3ac5a6c1a6caf1cd11ded315fa5b082d2722a78b4290a930eaaab3735279eb76","","","","","","","","","","","","","","","","","","","","0-da2dad16f835b911119293646b30d564c2820d5008b698071c3ccdcec1f10238","root.record.ItemExhibitList.P5Item"
"Interim Contractor Logistics Support","","","","","","","","","","","","","","","","11.665","30.642","","","","","","","","","","","","","","","","","","","2019-BASE_PROCUREMENT-2019-ARMY_AIRCRAFT-U_PROCUREMENT_JustificationBook_Army_PB_2019.zzz_unzipped-U_PROCUREMENT_JustificationBook_Army_PB_2019.xml","9c14220b9301703f4ab07a680df3d3089f7302782f598bb32187586769a0587b","1-78db4e23dc00d0b95f83aa44c2090aac67a559a09711e9904ae11fe5ac1c92e0","","","","","","","","","","","","","","","","","","","","0-da2dad16f835b911119293646b30d564c2820d5008b698071c3ccdcec1f10238","root.record.ItemExhibitList.P5Item"
"Universal Mission Simulators Spares","","","","","","","","","","","","","","","","","7.325","","","","","","","","","","","","","","","","","","","2019-BASE_PROCUREMENT-2019-ARMY_AIRCRAFT-U_PROCUREMENT_JustificationBook_Army_PB_2019.zzz_unzipped-U_PROCUREMENT_JustificationBook_Army_PB_2019.xml","9c14220b9301703f4ab07a680df3d3089f7302782f598bb32187586769a0587b","2-24e91770bf0d555ce01e0157d0f3bff236594ab8ef1dbf130e8bdca35217e73f","","","","","","","","","","","","","","","","","","","","0-da2dad16f835b911119293646b30d564c2820d5008b698071c3ccdcec1f10238","root.record.ItemExhibitList.P5Item"
"8. Integrated Logistics Support (ILS)","","","","","","","","","","","","","","","","0.26","0.568","0.11","0.27","0.354","","","","","","0.084","","","","","","","","","","2019-BASE_PROCUREMENT-2019-ARMY_WTCV-U_PROCUREMENT_JustificationBook_Army_PB_2019.zzz_unzipped-U_PROCUREMENT_JustificationBook_Army_PB_2019.xml","758ce25362b722fddb0e2c627031690378ffd326ad5909045d9a09cc57628d3e","0-8e9d2901ceb2a13e699550d646a5906e4143174d962511d582b24bf3f92977d9","","","","","","","","","","","","","","","","","","","","0-bf3f7cfb4c8494269985bd8d06ea12ac2917f7833ce8a7b81ea4d9048e54c64c","root.record.ItemExhibitList.P5Item"
"Authorized Stockage List","","","","","","","","","","","","","","","","7.212","4.207","","0.374","0.374","","","","","","","","","","","","","","","","2019-BASE_PROCUREMENT-2019-ARMY_WTCV-U_PROCUREMENT_JustificationBook_Army_PB_2019.zzz_unzipped-U_PROCUREMENT_JustificationBook_Army_PB_2019.xml","285d7197fada775a2f3e30d7b5835aee6e8cbaee4e9bacafaddcafe42fb02955","0-24b60c30c8ab05cfe855a6cef04c9a92504791c5029ce4a2f39b1660ddf87a17","","","","","","","","","","","","","","","","","","","","0-6a4f5f611690b5bd06c7cbe8b37c7d6d0effd280ef948dd5f79e3f711899c2a6","root.record.ItemExhibitList.P5Item"
"MODI II Fielding","","","","","","","","","","","","","","","","","","","","2.111","","","","","","2.111","","","","","","","","","","2019-BASE_PROCUREMENT-2019-ARMY_OTHER_2-U_PROCUREMENT_JustificationBook_Army_PB_2019.zzz_unzipped-U_PROCUREMENT_JustificationBook_Army_PB_2019.xml","d3e3e0b78d3a3e462102207ba273dfed91eb3b6f04c912889d25e3818eb8373b","0-576cfe39768ca93ab2e55ba024eb7bd7ada1b3dadec8e6aeb95eac29452b721b","","","","","","","","","","","","","","","","","","","","0-819ae253d27d65782c664423991beff23589b322907e3aca1aae811bf090bf03","root.record.ItemExhibitList.P5Item"
"Fielding Labor for CBRN Robotics","","","","","","","","","","","","","","","","","","","2.934","2.934","","","","","","","","","","","","","","","","2019-BASE_PROCUREMENT-2019-ARMY_OTHER_3-4-U_PROCUREMENT_JustificationBook_Army_PB_2019.zzz_unzipped-U_PROCUREMENT_JustificationBook_Army_PB_2019.xml","62904114cf6b6cbcc22579289911cb1cef9852777a0f9a46b5c4a332c7c744b1","0-d942868446e7d9ec4d76d9c9974be0caa84d5c730be46616718368077676084a","","","","","","","","","","","","","","","","","","","","2-2cebfeecc4a21f85adaf7257827233cc9afacf003ff7ecbc17667cc97487129d","root.record.ItemExhibitList.P5Item"
"Fielding for PINS Integration","","","","","","","","","","","","","","","","","","","0.75","0.75","","","","","","","","","","","","","","","","2019-BASE_PROCUREMENT-2019-ARMY_OTHER_3-4-U_PROCUREMENT_JustificationBook_Army_PB_2019.zzz_unzipped-U_PROCUREMENT_JustificationBook_Army_PB_2019.xml","62904114cf6b6cbcc22579289911cb1cef9852777a0f9a46b5c4a332c7c744b1","1-4be3c74e14dc0f0d5b91cf64bd1eff63bda783a1cc4c876d72950a5cd8d35d81","","","","","","","","","","","","","","","","","","","","2-2cebfeecc4a21f85adaf7257827233cc9afacf003ff7ecbc17667cc97487129d","root.record.ItemExhibitList.P5Item"
"Fielding for RAZOR Integration","","","","","","","","","","","","","","","","","","","0.75","0.75","","","","","","","","","","","","","","","","2019-BASE_PROCUREMENT-2019-ARMY_OTHER_3-4-U_PROCUREMENT_JustificationBook_Army_PB_2019.zzz_unzipped-U_PROCUREMENT_JustificationBook_Army_PB_2019.xml","62904114cf6b6cbcc22579289911cb1cef9852777a0f9a46b5c4a332c7c744b1","2-d0e9ab3bab5d4f438f351c1dad3b7bd6ec3397588b1406047f86fd1811e01003","","","","","","","","","","","","","","","","","","","","2-2cebfeecc4a21f85adaf7257827233cc9afacf003ff7ecbc17667cc97487129d","root.record.ItemExhibitList.P5Item"
"Fielding for HAPSITE Integration","","","","","","","","","","","","","","","","","","","0.75","0.75","","","","","","","","","","","","","","","","2019-BASE_PROCUREMENT-2019-ARMY_OTHER_3-4-U_PROCUREMENT_JustificationBook_Army_PB_2019.zzz_unzipped-U_PROCUREMENT_JustificationBook_Army_PB_2019.xml","62904114cf6b6cbcc22579289911cb1cef9852777a0f9a46b5c4a332c7c744b1","3-79ccdf53113b56c45628fb4412a6533ac7ce70c671763c1738453028363ebbfc","","","","","","","","","","","","","","","","","","","","2-2cebfeecc4a21f85adaf7257827233cc9afacf003ff7ecbc17667cc97487129d","root.record.ItemExhibitList.P5Item"
"NGDS 2 Man Portable Diagnostic System (MPDS) TPF","","","","","","","","","","","","","","","","0","0","0","1.091","1.091","","","","","","","","","","","","","","","","2019-BASE_PROCUREMENT-2019-DEFENSE_CBDP-U_PROCUREMENT_JustificationBook_Chemical_and_Biological_Defense_Program_PB_2019.zzz_unzipped-U_PROCUREMENT_JustificationBook_Chemical_and_Biological_Defense_Program_PB_2019.xml","ffb910a263bfa197a78a52ffa5a36819e52b435d2b17db08f7c99230fd66575c","0-47ff54f2d79293d443bceb04664e05a85cd66e95e5737b14b7479cdf9ef4140f","","","","","","","","","","","","","","","","","","","","11-97b4736c8972d31f0c576a0675669ed4f4cee6af8304fb9c20e897df13b3713b","root.record.ItemExhibitList.P5Item"
"NGDS 2 Man Portable Diagnostic System (MPDS) TPF","","","","","","","","","","","","","","","","0","0","0","1.091","1.091","","","","","","","","","","","","","","","","2019-BASE_PROCUREMENT-2019-DEFENSE_VOL1_ALL-U_PROCUREMENT_MasterJustificationBook_Defense-Wide_PB_2019.zzz_unzipped-U_PROCUREMENT_MasterJustificationBook_Defense-Wide_PB_2019.xml","3e80df1e00797a5f32c0e1bb05998581244edd7ca78d75023d376027e9806afe","0-494d849994e2dd6d39b6c295c6c7dfd541ef6de9447984c0f25f3b8bcce35002","","","","","","","","","","","","","","","","","","","","11-8e2b313f89cb111915d60b0dba561c893ceb76d58e67cd3534f4c49a2efba619","root.record.ItemExhibitList.P5Item"
"NGDS 2 Man Portable Diagnostic System (MPDS) TPF","","","","","","","","","","","","","","","","0","0","0","1.091","1.091","","","","","","","","","","","","","","","","2019-BASE_PROCUREMENT-2019-DEFENSE_CBDP-U_PROCUREMENT_MasterJustificationBook_Chemical_and_Biological_Defense_Program_PB_2019.zzz_unzipped-U_PROCUREMENT_MasterJustificationBook_Chemical_and_Biological_Defense_Program_PB_2019.xml","5085eb70c564ffdad485465c907a34f6a65177692e3cac6a15b535c8b1e0add9","0-7dd845e8994621b383b4c56f6e87a390d671db7e2138d02c383e30d176674db9","","","","","","","","","","","","","","","","","","","","11-fe1c208cdfb15f7ac81ba1104b244083cff5705beaee2ab158863b28c251b53a","root.record.ItemExhibitList.P5Item"
"Joint Personal Dosimeter","","","","","","","764","","","","","","","","446","1.527","","0.892","","","","","","","","","0.002","","","","","","","","0.002","2019-BASE_PROCUREMENT-2019-DEFENSE_OSD-U_PROCUREMENT_JustificationBook_Office_of_the_Secretary_Of_Defense_PB_2019.zzz_unzipped-U_PROCUREMENT_JustificationBook_Office_of_the_Secretary_Of_Defense_PB_2019.xml","a29545fb6ee05499d55c1c7c599dad829872b1f0482b5cdca507135c5e4f6580","0-1b50a6ca8942b6ee3bfe20f0cbd865d89159e46fc187982d21da59d76804d4a0","","","","","","","","","","","","","","","","","","","","4-1dfb5256918ae8436a89f881ee110bfdc9b091d22ff7e39ad9dd60b38aaf24af","root.record.ItemExhibitList.P5Item"
"DISCREET OCULUS","","","","","","","","1","","","","","","","","","4.34","","","","","","","","","","","4.34","","","","","","","","2019-BASE_PROCUREMENT-2019-DEFENSE_OSD-U_PROCUREMENT_JustificationBook_Office_of_the_Secretary_Of_Defense_PB_2019.zzz_unzipped-U_PROCUREMENT_JustificationBook_Office_of_the_Secretary_Of_Defense_PB_2019.xml","a29545fb6ee05499d55c1c7c599dad829872b1f0482b5cdca507135c5e4f6580","1-992763c26d93ad855d1b558b5ca8204cc637be8ab4ab48ffac976fe276769643","","","","","","","","","","","","","","","","","","","","4-1dfb5256918ae8436a89f881ee110bfdc9b091d22ff7e39ad9dd60b38aaf24af","root.record.ItemExhibitList.P5Item"
"Harvester Particulate Airborne Collection System","","","","","","","","1","","","","","","","","","1.573","","","","","","","","","","","1.573","","","","","","","","2019-BASE_PROCUREMENT-2019-DEFENSE_OSD-U_PROCUREMENT_JustificationBook_Office_of_the_Secretary_Of_Defense_PB_2019.zzz_unzipped-U_PROCUREMENT_JustificationBook_Office_of_the_Secretary_Of_Defense_PB_2019.xml","a29545fb6ee05499d55c1c7c599dad829872b1f0482b5cdca507135c5e4f6580","2-70e37a04bb4bf04ab9657fb1645ed37c72025f2017b502262f9a38880a9ef0a7","","","","","","","","","","","","","","","","","","","","4-1dfb5256918ae8436a89f881ee110bfdc9b091d22ff7e39ad9dd60b38aaf24af","root.record.ItemExhibitList.P5Item"
"Modular Whole Air Collection System","","","","","","","","1","","","","","","","","","0.96","","","","","","","","","","","0.96","","","","","","","","2019-BASE_PROCUREMENT-2019-DEFENSE_OSD-U_PROCUREMENT_JustificationBook_Office_of_the_Secretary_Of_Defense_PB_2019.zzz_unzipped-U_PROCUREMENT_JustificationBook_Office_of_the_Secretary_Of_Defense_PB_2019.xml","a29545fb6ee05499d55c1c7c599dad829872b1f0482b5cdca507135c5e4f6580","3-292d4a9a093cd2786c95535b9b0c3fc6607d2823f69c79d7036186c7722ff698","","","","","","","","","","","","","","","","","","","","4-1dfb5256918ae8436a89f881ee110bfdc9b091d22ff7e39ad9dd60b38aaf24af","root.record.ItemExhibitList.P5Item"
"SOCOM Underwater Monitor","","","","","","","","1","","","","","","","","","1.437","","","","","","","","","","","1.437","","","","","","","","2019-BASE_PROCUREMENT-2019-DEFENSE_OSD-U_PROCUREMENT_JustificationBook_Office_of_the_Secretary_Of_Defense_PB_2019.zzz_unzipped-U_PROCUREMENT_JustificationBook_Office_of_the_Secretary_Of_Defense_PB_2019.xml","a29545fb6ee05499d55c1c7c599dad829872b1f0482b5cdca507135c5e4f6580","4-a56f8b80be0f21a1a39c4eeb921f457b4a00cb5728db1f33b860bb31ea67d6bc","","","","","","","","","","","","","","","","","","","","4-1dfb5256918ae8436a89f881ee110bfdc9b091d22ff7e39ad9dd60b38aaf24af","root.record.ItemExhibitList.P5Item"
"Radiological Detection System","","","","","","","","","15","15","","","","","","","","","0.247","0.247","","","","","","","","","0.017","0.017","","","","","","2019-BASE_PROCUREMENT-2019-DEFENSE_OSD-U_PROCUREMENT_JustificationBook_Office_of_the_Secretary_Of_Defense_PB_2019.zzz_unzipped-U_PROCUREMENT_JustificationBook_Office_of_the_Secretary_Of_Defense_PB_2019.xml","a29545fb6ee05499d55c1c7c599dad829872b1f0482b5cdca507135c5e4f6580","5-7446fd3ca75d037820782ab9145ae9fcf69c97fc6b37da4a36a75a0eeeaea896","","","","","","","","","","","","","","","","","","","","4-1dfb5256918ae8436a89f881ee110bfdc9b091d22ff7e39ad9dd60b38aaf24af","root.record.ItemExhibitList.P5Item"
"Joint Personal Dosimeter","","","","","","","764","","","","","","","","446","1.527","","0.892","","","","","","","","","0.002","","","","","","","","0.002","2019-BASE_PROCUREMENT-2019-DEFENSE_OSD-U_PROCUREMENT_MasterJustificationBook_Office_of_the_Secretary_Of_Defense_PB_2019.zzz_unzipped-U_PROCUREMENT_MasterJustificationBook_Office_of_the_Secretary_Of_Defense_PB_2019.xml","ab7589c8bb4964ec7582e0b486b9991a28a0e8c434f2cd028ba606abd1db967e","0-fbac0148859cbd59cf3745c20f01ed39aca26e90aa8f43a79f454cd188f71a56","","","","","","","","","","","","","","","","","","","","4-7ded5daab37efc1c87369a0d1da59a04e792f8424e84c21d2a198c87bff277c3","root.record.ItemExhibitList.P5Item"
"DISCREET OCULUS","","","","","","","","1","","","","","","","","","4.34","","","","","","","","","","","4.34","","","","","","","","2019-BASE_PROCUREMENT-2019-DEFENSE_OSD-U_PROCUREMENT_MasterJustificationBook_Office_of_the_Secretary_Of_Defense_PB_2019.zzz_unzipped-U_PROCUREMENT_MasterJustificationBook_Office_of_the_Secretary_Of_Defense_PB_2019.xml","ab7589c8bb4964ec7582e0b486b9991a28a0e8c434f2cd028ba606abd1db967e","1-333613ae72356bb8f4fbe8ddde63feb2ffd33e6e24efeeea050a7804a2646eac","","","","","","","","","","","","","","","","","","","","4-7ded5daab37efc1c87369a0d1da59a04e792f8424e84c21d2a198c87bff277c3","root.record.ItemExhibitList.P5Item"
"Harvester Particulate Airborne Collection System","","","","","","","","1","","","","","","","","","1.573","","","","","","","","","","","1.573","","","","","","","","2019-BASE_PROCUREMENT-2019-DEFENSE_OSD-U_PROCUREMENT_MasterJustificationBook_Office_of_the_Secretary_Of_Defense_PB_2019.zzz_unzipped-U_PROCUREMENT_MasterJustificationBook_Office_of_the_Secretary_Of_Defense_PB_2019.xml","ab7589c8bb4964ec7582e0b486b9991a28a0e8c434f2cd028ba606abd1db967e","2-bbc9b1981c99da5d596fea93824aa3825a5d97bf8aac00f2abfd4c72ecb48da0","","","","","","","","","","","","","","","","","","","","4-7ded5daab37efc1c87369a0d1da59a04e792f8424e84c21d2a198c87bff277c3","root.record.ItemExhibitList.P5Item"
"Modular Whole Air Collection System","","","","","","","","1","","","","","","","","","0.96","","","","","","","","","","","0.96","","","","","","","","2019-BASE_PROCUREMENT-2019-DEFENSE_OSD-U_PROCUREMENT_MasterJustificationBook_Office_of_the_Secretary_Of_Defense_PB_2019.zzz_unzipped-U_PROCUREMENT_MasterJustificationBook_Office_of_the_Secretary_Of_Defense_PB_2019.xml","ab7589c8bb4964ec7582e0b486b9991a28a0e8c434f2cd028ba606abd1db967e","3-514793391f6ff420529451121b8ff61820118d8fe0099d5bfc0faffe46636ab5","","","","","","","","","","","","","","","","","","","","4-7ded5daab37efc1c87369a0d1da59a04e792f8424e84c21d2a198c87bff277c3","root.record.ItemExhibitList.P5Item"
"SOCOM Underwater Monitor","","","","","","","","1","","","","","","","","","1.437","","","","","","","","","","","1.437","","","","","","","","2019-BASE_PROCUREMENT-2019-DEFENSE_OSD-U_PROCUREMENT_MasterJustificationBook_Office_of_the_Secretary_Of_Defense_PB_2019.zzz_unzipped-U_PROCUREMENT_MasterJustificationBook_Office_of_the_Secretary_Of_Defense_PB_2019.xml","ab7589c8bb4964ec7582e0b486b9991a28a0e8c434f2cd028ba606abd1db967e","4-ed45467b9a3b8a57a69b0361ab8e50ebf277b6ecd41662235fe52b3c22335a63","","","","","","","","","","","","","","","","","","","","4-7ded5daab37efc1c87369a0d1da59a04e792f8424e84c21d2a198c87bff277c3","root.record.ItemExhibitList.P5Item"
"Radiological Detection System","","","","","","","","","15","15","","","","","","","","","0.247","0.247","","","","","","","","","0.017","0.017","","","","","","2019-BASE_PROCUREMENT-2019-DEFENSE_OSD-U_PROCUREMENT_MasterJustificationBook_Office_of_the_Secretary_Of_Defense_PB_2019.zzz_unzipped-U_PROCUREMENT_MasterJustificationBook_Office_of_the_Secretary_Of_Defense_PB_2019.xml","ab7589c8bb4964ec7582e0b486b9991a28a0e8c434f2cd028ba606abd1db967e","5-b79e9618824a2efd7cff53041c664d54c64b371c870901826c74bec31422eff6","","","","","","","","","","","","","","","","","","","","4-7ded5daab37efc1c87369a0d1da59a04e792f8424e84c21d2a198c87bff277c3","root.record.ItemExhibitList.P5Item"
"Joint Personal Dosimeter","","","","","","","764","","","","","","","","446","1.527","","0.892","","","","","","","","","0.002","","","","","","","","0.002","2019-BASE_PROCUREMENT-2019-DEFENSE_VOL1_ALL-U_PROCUREMENT_MasterJustificationBook_Defense-Wide_PB_2019.zzz_unzipped-U_PROCUREMENT_MasterJustificationBook_Defense-Wide_PB_2019.xml","828cc22e9c55d797276ee4e2dcd3ae308a8c415435617dd590515b28b8ca0f2c","0-1120cb3c13c2cadf08b2a121b4ef1eebb5b5facb173a5d18559d2524f2f01d17","","","","","","","","","","","","","","","","","","","","4-1636897ab5389f28cdbd71d964e63d51f2cb70eee24c5e06d69bdaa12e9445b1","root.record.ItemExhibitList.P5Item"
