Name_val,Cost_PriorYear_Quantity_val,Cost_PriorYear_TotalCost_val,Cost_CurrentYear_Quantity_val,Cost_CurrentYear_TotalCost_val,Cost_BudgetYearOneBase_TotalCost_val,Cost_BudgetYearOneBase_Quantity_val,Cost_BudgetYearOneOCO_TotalCost_val,Cost_BudgetYearOneOCO_Quantity_val,Cost_BudgetYearOne_TotalCost_val,Cost_BudgetYearOne_Quantity_val,Cost_BudgetYearTwo_TotalCost_val,Cost_BudgetYearTwo_Quantity_val,Cost_BudgetYearThree_TotalCost_val,Cost_BudgetYearThree_Quantity_val,Cost_BudgetYearFour_TotalCost_val,Cost_BudgetYearFour_Quantity_val,Cost_BudgetYearFive_TotalCost_val,@SOURCE_FILENAME,@RECORDID,@ROWID,@PARENTROWID,@PARENT
"Army Reserve","","0.035","","","","","","","","","","","","","","","","2014-BASE_PROCUREMENT-2014-ARMY_OTHER_2-PROCUREMENT_JustificationBook_Army_PB_2014.zzz_unzipped-PROCUREMENT_JustificationBook_Army_PB_2014.xml","e83f70465be16e09c943433bd37a27759f391fa88788d0c36ed449966cd9bf92","2-186be35d232ed7a613d62887b05a46373747ca58a44614f2e91c347e24a9d17d","0-ef5a3fae994b91309e3d499a327e27bbfb5607f7b95a84e71485050d0a12cf02","root.record.ItemExhibitList.P5Item"
"Army Active","","13.072","","8.024","10.414","","","","10.414","","","","","","","","","2014-BASE_PROCUREMENT-2014-ARMY_OTHER_2-PROCUREMENT_JustificationBook_Army_PB_2014.zzz_unzipped-PROCUREMENT_JustificationBook_Army_PB_2014.xml","db11c881a5ccbc6e8bee927cd82586f156de6f9bee637eee4c8d6a7967e33b32","0-afe1683b9b27f430d993b399ebc473d8a841e0e52a9b583270e49608d9e6e7f0","0-0a5d1846265442f3607c4d0b150cd37f9167e5282e4c5574d7e2da03b2a3ed25","root.record.ItemExhibitList.P5Item"
"Army Active","","80.735","","13.459","14.184","","","","14.184","","","","","","","","","2014-BASE_PROCUREMENT-2014-ARMY_OTHER_2-PROCUREMENT_JustificationBook_Army_PB_2014.zzz_unzipped-PROCUREMENT_JustificationBook_Army_PB_2014.xml","db11c881a5ccbc6e8bee927cd82586f156de6f9bee637eee4c8d6a7967e33b32","0-f0dafa5a12fc4c2ced8df7172636ce5b80acd5dfdacae317ea570ccb30d5f4df","1-81cc248873b3be595550baccce4bc6aa3ddb53de6ec55cad63cb60456e537289","root.record.ItemExhibitList.P5Item"
"Army Active","","9.163","","2.412","1.927","","","","1.927","","","","","","","","","2014-BASE_PROCUREMENT-2014-ARMY_OTHER_2-PROCUREMENT_JustificationBook_Army_PB_2014.zzz_unzipped-PROCUREMENT_JustificationBook_Army_PB_2014.xml","fa8304d57d67fc372c4bf6adff039ead5158711f671acb138102c74dcbb4e3fa","0-a295b7135d1c1313ec345eb86750ff62439bc38869cf79abb452d0ae3494dd74","0-81f9c6b242ca158277e0cd0263e26cd5d89e0055d680aa1e608ac271b66e71a4","root.record.ItemExhibitList.P5Item"
"Army Active","","3.493","","12.956","5.53","","","","5.53","","","","","","","","","2014-BASE_PROCUREMENT-2014-ARMY_OTHER_2-PROCUREMENT_JustificationBook_Army_PB_2014.zzz_unzipped-PROCUREMENT_JustificationBook_Army_PB_2014.xml","8d4170c65164d182b182dacf4238fd264c334ba92de91da471f489965e0bf585","0-e3f0e7474a7f49289d74485e63df8ced6019ed586df3ec766fd00a1431c3396c","0-2e778dae2dcf2954e7d3454d2c05a21fb5aa7e7964264bcc14babc0d360a702a","root.record.ItemExhibitList.P5Item"
"Army National Guard","","","","0.637","0.639","","","","0.639","","","","","","","","","2014-BASE_PROCUREMENT-2014-ARMY_OTHER_2-PROCUREMENT_JustificationBook_Army_PB_2014.zzz_unzipped-PROCUREMENT_JustificationBook_Army_PB_2014.xml","8d4170c65164d182b182dacf4238fd264c334ba92de91da471f489965e0bf585","1-95d178c93e29048fee6a1d2aa6fb639e5096ef245fd61db1ae2020fb2f088a57","0-2e778dae2dcf2954e7d3454d2c05a21fb5aa7e7964264bcc14babc0d360a702a","root.record.ItemExhibitList.P5Item"
"Army Active","6","27.093","6","28.708","35.07","6","","","35.07","6","","","","","","","","2014-BASE_PROCUREMENT-2014-ARMY_OTHER_2-PROCUREMENT_JustificationBook_Army_PB_2014.zzz_unzipped-PROCUREMENT_JustificationBook_Army_PB_2014.xml","067e5ba366c2b32bdaf686dc7d1ea20049a42beb77fe9bb34474fd8fa1cf8a5f","0-ba71de7eff7319fc96f66e3fb7aae2efcfa723aa52511a06da7fe20cf5e287eb","0-87f59f005c6cdcd9d2b6b7f5a9aad88dbcf4dfa49af047c79c58fe3fef0c9c85","root.record.ItemExhibitList.P5Item"
"Army Active","8","29.609","13","63.321","63.58","20","","","63.58","20","","","","","","","","2014-BASE_PROCUREMENT-2014-ARMY_OTHER_2-PROCUREMENT_JustificationBook_Army_PB_2014.zzz_unzipped-PROCUREMENT_JustificationBook_Army_PB_2014.xml","067e5ba366c2b32bdaf686dc7d1ea20049a42beb77fe9bb34474fd8fa1cf8a5f","0-25ad25d31a69f24ae048c8703714c6f4d02c41d5e4f1afdcb4570f591ceef35c","1-26756a2427ca0d6e00bec428ab9e9680fa970eee5aeccdda67cfea46f2353d7a","root.record.ItemExhibitList.P5Item"
"Army Active","","8.137","","7.422","","","","","","","","","","","","","","2014-BASE_PROCUREMENT-2014-ARMY_OTHER_2-PROCUREMENT_JustificationBook_Army_PB_2014.zzz_unzipped-PROCUREMENT_JustificationBook_Army_PB_2014.xml","067e5ba366c2b32bdaf686dc7d1ea20049a42beb77fe9bb34474fd8fa1cf8a5f","0-452e163da10ba806b20b024918b6c9615dd4616024736e2a6b4bcf859abf3dea","2-13c866d41398139b85e065346eff43d4dce80fe41c67f881b01c9176b2fb6c0b","root.record.ItemExhibitList.P5Item"
"Army Active","5","38.257","3","42.902","43.244","5","","","43.244","5","","","","","","","","2014-BASE_PROCUREMENT-2014-ARMY_OTHER_2-PROCUREMENT_JustificationBook_Army_PB_2014.zzz_unzipped-PROCUREMENT_JustificationBook_Army_PB_2014.xml","067e5ba366c2b32bdaf686dc7d1ea20049a42beb77fe9bb34474fd8fa1cf8a5f","0-1576e6a9d9afaade47a74e1f10a2f4900a3dc9a257ece4a8b8c4edc9d6885896","3-4b35817c3a4a5d315f7ceb0f9c164a365b9106db229691eff36ae4598a5a2c0c","root.record.ItemExhibitList.P5Item"
"Army Active","21","49.255","45","67.868","25.9","11","","","25.9","11","","","","","","","","2014-BASE_PROCUREMENT-2014-ARMY_OTHER_2-PROCUREMENT_JustificationBook_Army_PB_2014.zzz_unzipped-PROCUREMENT_JustificationBook_Army_PB_2014.xml","08c0113b95fa3adefc20699b63dc92de8c3574582cdaf2ab31361a4480323301","0-7c69932eaa35d574c2967b6da212ace3cd91a0bbe89621754e9a0261c5f7d4f4","0-eaefe4c5239ff8962075aec82abac6eb39d7094482ccd8782643e52be995ee53","root.record.ItemExhibitList.P5Item"
"Army National Guard","17","38.655","22","32.372","14.835","7","","","14.835","7","","","","","","","","2014-BASE_PROCUREMENT-2014-ARMY_OTHER_2-PROCUREMENT_JustificationBook_Army_PB_2014.zzz_unzipped-PROCUREMENT_JustificationBook_Army_PB_2014.xml","08c0113b95fa3adefc20699b63dc92de8c3574582cdaf2ab31361a4480323301","1-e5ed11496a04e595fda72099b4bb255decc18aefa40c5d35ea13ea1b1f0efdb9","0-eaefe4c5239ff8962075aec82abac6eb39d7094482ccd8782643e52be995ee53","root.record.ItemExhibitList.P5Item"
"Army Active","","","","15.446","","","","","","","","","","","","","","2014-BASE_PROCUREMENT-2014-ARMY_OTHER_2-PROCUREMENT_JustificationBook_Army_PB_2014.zzz_unzipped-PROCUREMENT_JustificationBook_Army_PB_2014.xml","18280c13edb4f94b2d0a718922e7adaa052131188d169c15ab504612805db4f8","0-17c72230c288a5af4af3f49d7c88eb771cade5c4e2851366a2e032aec38702d7","0-f782b46b3a010b7a8f10a3392cdecf8f5085235e430f7d390dd50acfdbd54794","root.record.ItemExhibitList.P5Item"
"Army Active","","53","","52","","","","","","","","","","","","","","2014-BASE_PROCUREMENT-2014-ARMY_OTHER_2-PROCUREMENT_JustificationBook_Army_PB_2014.zzz_unzipped-PROCUREMENT_JustificationBook_Army_PB_2014.xml","c000ae353f1954af110d183625ad1c4d64dcf52863cf8ec8ba60fb871ec8da43","0-52ed7897d3c241fda50a56f10912e3351dc72766f05d810108fe6fdd60eb8f79","0-a0027a1d77a48776671fa94813c3eed55fbed147f271691832900e9a0bf6bf27","root.record.ItemExhibitList.P5Item"
"Army Active","","3.958","","","","","","","","","","","","","","","","2014-BASE_PROCUREMENT-2014-ARMY_OTHER_2-PROCUREMENT_JustificationBook_Army_PB_2014.zzz_unzipped-PROCUREMENT_JustificationBook_Army_PB_2014.xml","99d4198ff1cb0e3f2418fef1f84f6443ada2fb6f182dbdcb33c105cc094c8158","0-b527fa68bcef26dd7be1679d8503fa9ea802116422648685fec1176f4f1feee9","0-afd5e89cda09ee8e905c6ea06366e76fae7c3e1577b3337608ef8288cb0522d6","root.record.ItemExhibitList.P5Item"
"Army National Guard","","","","7.98","","","","","","","","","","","","","","2014-BASE_PROCUREMENT-2014-ARMY_OTHER_2-PROCUREMENT_JustificationBook_Army_PB_2014.zzz_unzipped-PROCUREMENT_JustificationBook_Army_PB_2014.xml","99d4198ff1cb0e3f2418fef1f84f6443ada2fb6f182dbdcb33c105cc094c8158","1-08e96134d275711aa74138a79a7432bdb6f71844f1ffe258af7604396e20f99e","0-afd5e89cda09ee8e905c6ea06366e76fae7c3e1577b3337608ef8288cb0522d6","root.record.ItemExhibitList.P5Item"
"Army Active","","","","6.822","7.998","","","","7.998","","","","","","","","","2014-BASE_PROCUREMENT-2014-ARMY_OTHER_2-PROCUREMENT_JustificationBook_Army_PB_2014.zzz_unzipped-PROCUREMENT_JustificationBook_Army_PB_2014.xml","8bd29c6710d0aae1b0a664ed9e91b1f3b8e5ca3fc64909817e95879899def29c","0-aaffec7e673cbfe216c2bbcb15ca74a8e785bcdb0631943748ed087457da6cbe","0-6bc0b1ba54a191a4e4466ef5449faa9a7186ed7eff2dda6027e22cc4b4ff5ded","root.record.ItemExhibitList.P5Item"
"Army Active","","10","","3.04","0.142","","","","0.142","","","","","","","","","2014-BASE_PROCUREMENT-2014-ARMY_OTHER_2-PROCUREMENT_JustificationBook_Army_PB_2014.zzz_unzipped-PROCUREMENT_JustificationBook_Army_PB_2014.xml","7654d2807baa0dd83487ce35bfe8de4f90419f4d7d338f7065aa4da056969271","0-e64ceeceb87d41eb196197297225040537f16696314e46a0898e427e69aefcb7","0-486c4648116f00f9c320d442caca3b3eb51172c83e1c7b070a012e4ca4a002a0","root.record.ItemExhibitList.P5Item"
"Army National Guard","","","","2.881","","","","","","","","","","","","","","2014-BASE_PROCUREMENT-2014-ARMY_OTHER_2-PROCUREMENT_JustificationBook_Army_PB_2014.zzz_unzipped-PROCUREMENT_JustificationBook_Army_PB_2014.xml","7654d2807baa0dd83487ce35bfe8de4f90419f4d7d338f7065aa4da056969271","1-5f89f6223872b70a98aac06d8adb7571bd0732e93ec29730ab7b550fd72ee4f8","0-486c4648116f00f9c320d442caca3b3eb51172c83e1c7b070a012e4ca4a002a0","root.record.ItemExhibitList.P5Item"
"Army Reserve","","","","0.291","","","","","","","","","","","","","","2014-BASE_PROCUREMENT-2014-ARMY_OTHER_2-PROCUREMENT_JustificationBook_Army_PB_2014.zzz_unzipped-PROCUREMENT_JustificationBook_Army_PB_2014.xml","7654d2807baa0dd83487ce35bfe8de4f90419f4d7d338f7065aa4da056969271","2-a0480561164ec49a0b2cc5ef2d043977467c520edb8d51f742d9748028f10d79","0-486c4648116f00f9c320d442caca3b3eb51172c83e1c7b070a012e4ca4a002a0","root.record.ItemExhibitList.P5Item"
"Army Active","464","23.702","515","24.2","11.748","250","","","11.748","250","","","","","","","","2014-BASE_PROCUREMENT-2014-ARMY_OTHER_2-PROCUREMENT_JustificationBook_Army_PB_2014.zzz_unzipped-PROCUREMENT_JustificationBook_Army_PB_2014.xml","7ce1f3c45b28a08ed702c3be700969da42320f8055e0aaeae20454f6e053c0d0","0-683138b5af395d3d62c80e9c4b7bd07e96c64a9412ffd6e27985ac0a906e6017","0-76b39c1c023c45b7d0bba4727994eafaa55184bf47c023990da200390947719e","root.record.ItemExhibitList.P5Item"
"Army National Guard","207","10.575","30","1.404","18.214","387","","","18.214","387","","","","","","","","2014-BASE_PROCUREMENT-2014-ARMY_OTHER_2-PROCUREMENT_JustificationBook_Army_PB_2014.zzz_unzipped-PROCUREMENT_JustificationBook_Army_PB_2014.xml","7ce1f3c45b28a08ed702c3be700969da42320f8055e0aaeae20454f6e053c0d0","1-2cdadd33c8c4b5d53bf5cab00fe72f65e071d9142763d2b4ad5844529d662ee7","0-76b39c1c023c45b7d0bba4727994eafaa55184bf47c023990da200390947719e","root.record.ItemExhibitList.P5Item"
"Army Reserve","43","2.188","42","1.989","0.987","21","","","0.987","21","","","","","","","","2014-BASE_PROCUREMENT-2014-ARMY_OTHER_2-PROCUREMENT_JustificationBook_Army_PB_2014.zzz_unzipped-PROCUREMENT_JustificationBook_Army_PB_2014.xml","7ce1f3c45b28a08ed702c3be700969da42320f8055e0aaeae20454f6e053c0d0","2-15e8fd0f634f93f38010704477c423f0b6f7cdcfa61e2af948b7ce4db92adacc","0-76b39c1c023c45b7d0bba4727994eafaa55184bf47c023990da200390947719e","root.record.ItemExhibitList.P5Item"
"Army Active","6446","100.026","4699","86.228","122.989","4517","","","122.989","4517","","","","","","","","2014-BASE_PROCUREMENT-2014-ARMY_OTHER_2-PROCUREMENT_JustificationBook_Army_PB_2014.zzz_unzipped-PROCUREMENT_JustificationBook_Army_PB_2014.xml","7ce1f3c45b28a08ed702c3be700969da42320f8055e0aaeae20454f6e053c0d0","0-807c482a3fec98af817ef6b8d238c752e029900c8e1aefefb89defbfd6c7a0fd","1-ad9381e3beca61bf4ccac3eaf56c6cdd283b88316100ce397347194f477aef08","root.record.ItemExhibitList.P5Item"
"Army National Guard","1228","19.052","1929","34.689","34.39","1263","","","34.39","1263","","","","","","","","2014-BASE_PROCUREMENT-2014-ARMY_OTHER_2-PROCUREMENT_JustificationBook_Army_PB_2014.zzz_unzipped-PROCUREMENT_JustificationBook_Army_PB_2014.xml","7ce1f3c45b28a08ed702c3be700969da42320f8055e0aaeae20454f6e053c0d0","1-8dfc89f583d1055a68e05482628bfe834c536dac6a81d395d66a7e1f8cb7a734","1-ad9381e3beca61bf4ccac3eaf56c6cdd283b88316100ce397347194f477aef08","root.record.ItemExhibitList.P5Item"
"Army Reserve","","","278","5","10","367","","","10","367","","","","","","","","2014-BASE_PROCUREMENT-2014-ARMY_OTHER_2-PROCUREMENT_JustificationBook_Army_PB_2014.zzz_unzipped-PROCUREMENT_JustificationBook_Army_PB_2014.xml","7ce1f3c45b28a08ed702c3be700969da42320f8055e0aaeae20454f6e053c0d0","2-dd52aeb116a0ccd0f1aa5eb1e4233375a702fa8987e92736c544da8883d5a0ed","1-ad9381e3beca61bf4ccac3eaf56c6cdd283b88316100ce397347194f477aef08","root.record.ItemExhibitList.P5Item"
"Army Active","","0.661","826","8.12","","","","","","","","","","","","","","2014-BASE_PROCUREMENT-2014-ARMY_OTHER_2-PROCUREMENT_JustificationBook_Army_PB_2014.zzz_unzipped-PROCUREMENT_JustificationBook_Army_PB_2014.xml","7ce1f3c45b28a08ed702c3be700969da42320f8055e0aaeae20454f6e053c0d0","0-d52b191d32543e6c1a486857cecbd06ba75cad2b22d04b12dd75fe6f3bc5b367","2-e6317b947940b19b5c6f69cadfc57f5561f9de2b83be15773ec6921e5d72e399","root.record.ItemExhibitList.P5Item"
"Army National Guard","","","368","3.54","","","","","","","","","","","","","","2014-BASE_PROCUREMENT-2014-ARMY_OTHER_2-PROCUREMENT_JustificationBook_Army_PB_2014.zzz_unzipped-PROCUREMENT_JustificationBook_Army_PB_2014.xml","7ce1f3c45b28a08ed702c3be700969da42320f8055e0aaeae20454f6e053c0d0","1-a747fc69d0f88fd3590e134f73dc5695b692bac070f2f7ec798d7589e1eb2a54","2-e6317b947940b19b5c6f69cadfc57f5561f9de2b83be15773ec6921e5d72e399","root.record.ItemExhibitList.P5Item"
"Army Active","118","40.297","","","5.183","","","","5.183","","","","","","","","","2014-BASE_PROCUREMENT-2014-ARMY_OTHER_2-PROCUREMENT_JustificationBook_Army_PB_2014.zzz_unzipped-PROCUREMENT_JustificationBook_Army_PB_2014.xml","76598afe2dc25b34cab4b6fa5b1177d741bf0706a825ee2150235178e61c1549","0-3bd9c00165f0de55504061790dc91bbbd07c2d29914a86d7279705adff438e4b","0-634ff6d3045cc0d335734cc7e644eb8316a0add73aab5272b22478edb2bc3aa6","root.record.ItemExhibitList.P5Item"
"Army National Guard","","62.037","","","","","","","","","","","","","","","","2014-BASE_PROCUREMENT-2014-ARMY_OTHER_2-PROCUREMENT_JustificationBook_Army_PB_2014.zzz_unzipped-PROCUREMENT_JustificationBook_Army_PB_2014.xml","76598afe2dc25b34cab4b6fa5b1177d741bf0706a825ee2150235178e61c1549","1-7f32252c6070a09e4c73736c147dd8089cc736532f1c86761a47b8c3d9737ac7","0-634ff6d3045cc0d335734cc7e644eb8316a0add73aab5272b22478edb2bc3aa6","root.record.ItemExhibitList.P5Item"
"Army Active","18326","117.799","3519","68.336","12.435","","","","12.435","","","","","","","","","2014-BASE_PROCUREMENT-2014-ARMY_OTHER_2-PROCUREMENT_JustificationBook_Army_PB_2014.zzz_unzipped-PROCUREMENT_JustificationBook_Army_PB_2014.xml","90f8ab735fc6d55dad630d0a5c5a767cb0a897ec2a87ff15a6adb25d128526dc","0-01bd62f09669c3e7045ba5af6f19196efe7e21ed76e60671214fa3532f7bc43c","0-25de97c99675c8d33642e84c52248aac97d6eb915525f493c9d8fc46609002f2","root.record.ItemExhibitList.P5Item"
"Army National Guard","8607","54.623","621","11.847","1.639","","","","1.639","","","","","","","","","2014-BASE_PROCUREMENT-2014-ARMY_OTHER_2-PROCUREMENT_JustificationBook_Army_PB_2014.zzz_unzipped-PROCUREMENT_JustificationBook_Army_PB_2014.xml","90f8ab735fc6d55dad630d0a5c5a767cb0a897ec2a87ff15a6adb25d128526dc","1-947a8c443ad95a689ee52e1290d197496e84780115ad4280da1edf30c9451e67","0-25de97c99675c8d33642e84c52248aac97d6eb915525f493c9d8fc46609002f2","root.record.ItemExhibitList.P5Item"
"Army Reserve","834","4.55","104","1.979","","","","","","","","","","","","","","2014-BASE_PROCUREMENT-2014-ARMY_OTHER_2-PROCUREMENT_JustificationBook_Army_PB_2014.zzz_unzipped-PROCUREMENT_JustificationBook_Army_PB_2014.xml","90f8ab735fc6d55dad630d0a5c5a767cb0a897ec2a87ff15a6adb25d128526dc","2-07ca4172c3d53a375c52a2be4fad14222a9b0a996e712b6e149e2c1d754c60d5","0-25de97c99675c8d33642e84c52248aac97d6eb915525f493c9d8fc46609002f2","root.record.ItemExhibitList.P5Item"
"Army Active","485","7.244","1043","15.717","18.27","1221","","","18.27","1221","","","","","","","","2014-BASE_PROCUREMENT-2014-ARMY_OTHER_2-PROCUREMENT_JustificationBook_Army_PB_2014.zzz_unzipped-PROCUREMENT_JustificationBook_Army_PB_2014.xml","f69a3c86cfefa324c4effe190e204cd68335499ae7a552aa748342e6ac44918b","0-8cb78e08d5111a0d5c0b899e2311375f32da2162d3b0cc7776be7a90c4f655c6","0-766a7df95701544a8466d86c9a63ddc7a4bfbd2a865a18f5995125d21a0268d5","root.record.ItemExhibitList.P5Item"
"Army National Guard","256","2.983","338","5","3.015","202","","","3.015","202","","","","","","","","2014-BASE_PROCUREMENT-2014-ARMY_OTHER_2-PROCUREMENT_JustificationBook_Army_PB_2014.zzz_unzipped-PROCUREMENT_JustificationBook_Army_PB_2014.xml","f69a3c86cfefa324c4effe190e204cd68335499ae7a552aa748342e6ac44918b","1-a461a3b63bf485d7731ba544b535aff6f397f781358d6dcf7066da0471d70bf6","0-766a7df95701544a8466d86c9a63ddc7a4bfbd2a865a18f5995125d21a0268d5","root.record.ItemExhibitList.P5Item"
"Army Reserve","","","","","1.015","68","","","1.015","68","","","","","","","","2014-BASE_PROCUREMENT-2014-ARMY_OTHER_2-PROCUREMENT_JustificationBook_Army_PB_2014.zzz_unzipped-PROCUREMENT_JustificationBook_Army_PB_2014.xml","f69a3c86cfefa324c4effe190e204cd68335499ae7a552aa748342e6ac44918b","2-cbe1bb40a06036a3e07210f6c3c8d60d833796392ff1de5d9020efca6578e7ab","0-766a7df95701544a8466d86c9a63ddc7a4bfbd2a865a18f5995125d21a0268d5","root.record.ItemExhibitList.P5Item"
"Army Active","77","50.674","","","","","","","","","","","","","","","","2014-BASE_PROCUREMENT-2014-ARMY_OTHER_2-PROCUREMENT_JustificationBook_Army_PB_2014.zzz_unzipped-PROCUREMENT_JustificationBook_Army_PB_2014.xml","b6ff3bddef2cbbfdca6d734807a8beff8888c671e0c04d6b0a13b5f5b322b69e","0-c1f50b4357a1b1b3434a0f04dde617357a1ad40f9ba0876820579d9c06f9bb87","0-b00807bd102bed8346da292fdf3d575d9085655d57e9fa6b0894b1a459d4e12a","root.record.ItemExhibitList.P5Item"
"Army Active","","14.568","","","","","","","","","","","","","","","","2014-BASE_PROCUREMENT-2014-ARMY_OTHER_2-PROCUREMENT_JustificationBook_Army_PB_2014.zzz_unzipped-PROCUREMENT_JustificationBook_Army_PB_2014.xml","ee8eae92fbde14094cbde426d77a1f7faa41048bc3acd6d7fe975c36920dca20","0-8fb80587ef8879aaaf300d2021dfdbe7361dbe61849489f2ef9b054e8777fe11","0-e3c57e157ff3a9e1655fde75a45ef0af33a1353f833429348126d6d6206c342e","root.record.ItemExhibitList.P5Item"
"Army National Guard","","8","","0.514","0.516","","","","0.516","","","","","","","","","2014-BASE_PROCUREMENT-2014-ARMY_OTHER_2-PROCUREMENT_JustificationBook_Army_PB_2014.zzz_unzipped-PROCUREMENT_JustificationBook_Army_PB_2014.xml","ee8eae92fbde14094cbde426d77a1f7faa41048bc3acd6d7fe975c36920dca20","1-3080578850fadbce0c7b2f35c32d05add58d84bcf3cb51df10fd1cff7fb4f914","0-e3c57e157ff3a9e1655fde75a45ef0af33a1353f833429348126d6d6206c342e","root.record.ItemExhibitList.P5Item"
"Army Reserve","","2.788","","0.5","0.5","","","","0.5","","","","","","","","","2014-BASE_PROCUREMENT-2014-ARMY_OTHER_2-PROCUREMENT_JustificationBook_Army_PB_2014.zzz_unzipped-PROCUREMENT_JustificationBook_Army_PB_2014.xml","ee8eae92fbde14094cbde426d77a1f7faa41048bc3acd6d7fe975c36920dca20","2-5d3df3ee451c2836ba4433802edb794b928d5f1f4e165d3d73804621f96b75ca","0-e3c57e157ff3a9e1655fde75a45ef0af33a1353f833429348126d6d6206c342e","root.record.ItemExhibitList.P5Item"
"Army Active","","","8","16.425","11.929","5","","","11.929","5","","","","","","","","2014-BASE_PROCUREMENT-2014-ARMY_OTHER_2-PROCUREMENT_JustificationBook_Army_PB_2014.zzz_unzipped-PROCUREMENT_JustificationBook_Army_PB_2014.xml","462f404599fb1f50e2305f4196422f60cb2f01f67cd63a9e23c766cc9bdafcc5","0-65aea3a07fb9b66f102de6a97545e7ce5897cbaf1087259d7a6af543ae15a1b6","0-c8bc0331a79fc5f0f2dc0d630fe1351a235a07e41dd4ff08ea3193b41d8b0bfc","root.record.ItemExhibitList.P5Item"
"Army National Guard","","","9","13.456","","","","","","","","","","","","","","2014-BASE_PROCUREMENT-2014-ARMY_OTHER_2-PROCUREMENT_JustificationBook_Army_PB_2014.zzz_unzipped-PROCUREMENT_JustificationBook_Army_PB_2014.xml","462f404599fb1f50e2305f4196422f60cb2f01f67cd63a9e23c766cc9bdafcc5","1-255d91adf59b5b8324c23338cc787fded220cd99c9eab8d6c1ebae334edf245f","0-c8bc0331a79fc5f0f2dc0d630fe1351a235a07e41dd4ff08ea3193b41d8b0bfc","root.record.ItemExhibitList.P5Item"
"Army Active","","","","","43.425","","","","43.425","","","","","","","","","2014-BASE_PROCUREMENT-2014-ARMY_OTHER_2-PROCUREMENT_JustificationBook_Army_PB_2014.zzz_unzipped-PROCUREMENT_JustificationBook_Army_PB_2014.xml","462f404599fb1f50e2305f4196422f60cb2f01f67cd63a9e23c766cc9bdafcc5","0-d57db96e8d5051681aa3382a2363fa35ba3300ca2fca40dd4ddd583fb00f4bb8","1-196f8e0f064cba9c08bd9f2fd05708a58adc47cb13f7bed1ed04fca17a369671","root.record.ItemExhibitList.P5Item"
"Army Active","","8.249","","9.108","7.232","","","","7.232","","","","","","","","","2014-BASE_PROCUREMENT-2014-ARMY_OTHER_2-PROCUREMENT_JustificationBook_Army_PB_2014.zzz_unzipped-PROCUREMENT_JustificationBook_Army_PB_2014.xml","5b2fe391f2f6932ff726c488d8358459e59e27f3c83b66614e7cc44e3fd81463","0-946f5b41d922465c2ad63de4a0f8d15cff4a6020a19fa2d039bc37371de24075","0-043ac8e6c943f213ce60c9affc0647e699dfba687550f27de3d7616436c2ff3d","root.record.ItemExhibitList.P5Item"
"Army Active","1","2.142","85","8.088","0.886","","","","0.886","","","","","","","","","2014-BASE_PROCUREMENT-2014-ARMY_OTHER_2-PROCUREMENT_JustificationBook_Army_PB_2014.zzz_unzipped-PROCUREMENT_JustificationBook_Army_PB_2014.xml","e8aa7abdad91124b263aa5123f17f04cb9e23d3927c25caa8b53f234e7d75e9c","0-cddacd6b27910b5e3027f75188feb429a6cc945399b3b6a7523438e4e6f9b8b7","0-16ccd50cbc501794f53acdeb1e44a005a733ef95225cffccaa9ffe929098dbc3","root.record.ItemExhibitList.P5Item"
"Army National Guard","","1.17","51","4.394","2.141","","","","2.141","","","","","","","","","2014-BASE_PROCUREMENT-2014-ARMY_OTHER_2-PROCUREMENT_JustificationBook_Army_PB_2014.zzz_unzipped-PROCUREMENT_JustificationBook_Army_PB_2014.xml","e8aa7abdad91124b263aa5123f17f04cb9e23d3927c25caa8b53f234e7d75e9c","1-7e604c006dd96e4466760efc25e85f9c11a06a8ddc20a876e5fecb35afa1663b","0-16ccd50cbc501794f53acdeb1e44a005a733ef95225cffccaa9ffe929098dbc3","root.record.ItemExhibitList.P5Item"
"Army Active","","176.995","1032","141.385","87.732","423","","","87.732","423","","","","","","","","2014-BASE_PROCUREMENT-2014-ARMY_OTHER_2-PROCUREMENT_JustificationBook_Army_PB_2014.zzz_unzipped-PROCUREMENT_JustificationBook_Army_PB_2014.xml","a1bf5c1c0fcdeda2d8b9d6f48da333363c92365b9ef2cc7bad58a689e55d263f","0-e8b9a0b2874122a34461b66f4d00461b00d122fc699ce78460f405a912ed082e","0-3df194ae527b6b7e2459201ae95762a5c5a51970d67245af22f77fc502fc7f13","root.record.ItemExhibitList.P5Item"
"Army National Guard","","31.234","","","15.482","75","","","15.482","75","","","","","","","","2014-BASE_PROCUREMENT-2014-ARMY_OTHER_2-PROCUREMENT_JustificationBook_Army_PB_2014.zzz_unzipped-PROCUREMENT_JustificationBook_Army_PB_2014.xml","a1bf5c1c0fcdeda2d8b9d6f48da333363c92365b9ef2cc7bad58a689e55d263f","1-623c4a6dd068a8fdcd856b1d809fc97504cdfd12b31cb8bb5c8f55133b5df533","0-3df194ae527b6b7e2459201ae95762a5c5a51970d67245af22f77fc502fc7f13","root.record.ItemExhibitList.P5Item"
