@projectCategoryName,Cost_PriorYear_TotalCost_val,Cost_CurrentYear_TotalCost_val,Cost_BudgetYearOneBase_TotalCost_val,Cost_BudgetYearOne_TotalCost_val,Cost_BudgetYearOneOCO_TotalCost_val,Number_val,Title_val,EndItemSupportedModel_val,CostElementList_Construction_PriorYear_TotalCost_val,CostElementList_Construction_CurrentYear_TotalCost_val,CostElementList_Construction_BudgetYearOneBase_TotalCost_val,CostElementList_Construction_BudgetYearOneOCO_TotalCost_val,CostElementList_Construction_BudgetYearOne_TotalCost_val,CostElementList_Equipment_PriorYear_TotalCost_val,CostElementList_Equipment_CurrentYear_TotalCost_val,CostElementList_Equipment_BudgetYearOneBase_TotalCost_val,CostElementList_Equipment_BudgetYearOneOCO_TotalCost_val,CostElementList_Equipment_BudgetYearOne_TotalCost_val,CostElementList_EquipmentInstallation_PriorYear_TotalCost_val,CostElementList_EquipmentInstallation_CurrentYear_TotalCost_val,CostElementList_EquipmentInstallation_BudgetYearOneBase_TotalCost_val,CostElementList_EquipmentInstallation_BudgetYearOneOCO_TotalCost_val,CostElementList_EquipmentInstallation_BudgetYearOne_TotalCost_val,CostElementList_ContractorSupport_PriorYear_TotalCost_val,CostElementList_ContractorSupport_CurrentYear_TotalCost_val,CostElementList_ContractorSupport_BudgetYearOneBase_TotalCost_val,CostElementList_ContractorSupport_BudgetYearOneOCO_TotalCost_val,CostElementList_ContractorSupport_BudgetYearOne_TotalCost_val,CostElementList_OtherInHouseSupport_PriorYear_TotalCost_val,CostElementList_OtherInHouseSupport_BudgetYearOneBase_TotalCost_val,CostElementList_OtherInHouseSupport_BudgetYearOneOCO_TotalCost_val,CostElementList_OtherInHouseSupport_BudgetYearOne_TotalCost_val,CostElementList_OtherInHouseSupport_CurrentYear_TotalCost_val,CostElementList_Other_BudgetYearOneBase_TotalCost_val,CostElementList_Other_BudgetYearOneOCO_TotalCost_val,CostElementList_Other_BudgetYearOne_TotalCost_val,CostElementList_Other_PriorYear_TotalCost_val,CostElementList_Other_CurrentYear_TotalCost_val,CostElementList_CorpsOfEngineersSupport_CurrentYear_TotalCost_val,CostElementList_CorpsOfEngineersSupport_PriorYear_TotalCost_val,CostElementList_CorpsOfEngineersSupport_BudgetYearOneBase_TotalCost_val,CostElementList_CorpsOfEngineersSupport_BudgetYearOneOCO_TotalCost_val,CostElementList_CorpsOfEngineersSupport_BudgetYearOne_TotalCost_val,CostElementList_TotalFacilityProject_BudgetYearOneBase_TotalCost_val,CostElementList_TotalFacilityProject_BudgetYearOne_TotalCost_val,CostElementList_TotalFacilityProject_CurrentYear_TotalCost_val,MilestoneList_FinalDesignComplete_val,MilestoneList_InitialProjectAward_val,MilestoneList_FinalProjectAward_val,MilestoneList_EquipmentInstallationComplete_val,MilestoneList_ConstructionComplete_val,MilestoneList_ProveOutBegins_val,MilestoneList_ProveOutComplete_val,MilestoneList_ConceptDesignComplete_val,NarrativeExplanation_val,@SOURCE_FILENAME,@RECORDID,@ROWID,@PARENTROWID,@PARENT
"","20.286","","0","18","18","5183668","Sewer Line Replacement, Facilities and Maintenance","Research Development Explosives (RDX), High Melt Explosives (HMX), IMX","20.286","","","","","","","","","","","","","","","","","","","","","","","","","0","18","18","","","","","","","","","","","","2018-09","2020-04","","2022-06","","","","FY 2020 OCO for Base Requirements procurement dollars in the amount of $18.000 million supports this facilities maintenance effort to repair and replace industrial and sanitary sewer lines at Holston Army Ammunition Plant.  The existing sewer system is aging and suffers significant leaks.  Rain water infiltration has increased flow to the waste water treatment facility and impacted its ability to treat Research Development Explosives (RDX).  This effort will ensure Holston AAP remains in compliance with Environmental Protection Agency (EPA) and other environmental regulations.","2020-BASE_PROCUREMENT-2020-ARMY_AMMO-U_PROCUREMENT_JustificationBook_Army_PB_2020.zzz_unzipped-U_PROCUREMENT_JustificationBook_Army_PB_2020.xml","3ff5717c0071fdda534afc6a225eb17d1ca462eab0f167c6886a39c906a1ea0f","4-35fcbd7ac312c19a81a02686a0927c97d25caf92b31ec09d4f0c8f4bfee69642","1-6976a53693678e7bdf28f11b095e94a659a581edec730e196befc319c1affed3","root.record.FacilityList.ProductionSupportFacility"
"","0.243","","","","","5183754","Aeration Basins Mod Upgrades","Research Develop Expl(RDX),High Melt Expl(HMX),Insensitive Mun Expl(IMX)","0.243","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2018-12","","","2019-04","","","","Procurement dollars in the amount of $0.243 million supports modernization repairs to Aeration Basins 1W and 3W at Holston Army Ammunition Plant.  The supporting infrastructure of Basins 1W and 2W have experienced failures and cracks.  Modernization improvements are required to ensure the Basins maintain compliance with the National Pollutant Discharge Elimination System permit.  This effort supports the Industrial Waste Treatment Facility which treats process waste water from the production of RDX, HMX, and IMX.  These basins primary support removal of excess ammonia and organic pollutants prior to discharge.","2020-BASE_PROCUREMENT-2020-ARMY_AMMO-U_PROCUREMENT_JustificationBook_Army_PB_2020.zzz_unzipped-U_PROCUREMENT_JustificationBook_Army_PB_2020.xml","3ff5717c0071fdda534afc6a225eb17d1ca462eab0f167c6886a39c906a1ea0f","5-f7c108acd57da11936665da538ab850a2bab5d305e1f4467b3034f28e7366379","1-6976a53693678e7bdf28f11b095e94a659a581edec730e196befc319c1affed3","root.record.FacilityList.ProductionSupportFacility"
"","3.073","","0","67","67","5XX3783","Analytical Lab","Research Develop Expl(RDX),High Melt Expl(HMX),Insensitive Mun Expl(IMX)","","","0","67","67","","","","","","","","","","","","","","","","","","","","","","","","3.073","","","","","","","","","","2019-07","2018-03","2020-03","","2022-02","","","","FY 2020 OCO for Base Requirements procurement dollars in the amount of $67.000 million supports the construction of an analytical lab at Holston Army Ammunition Plant (AAP).  The facility would replace the current lab facility at Holston AAP as well as provide expanded laboratory capabilities. The analytical lab will be used for acceptance testing of all explosives produced at the facility.  The laboratory will be constructed to allow larger load limits within the lab facilities which will improve the throughput.  This effort supports the modernization initiative to expand annual production capacity of Research Development Explosives (RDX) at Holston AAP from eight million pounds to sixteen million pounds.","2020-BASE_PROCUREMENT-2020-ARMY_AMMO-U_PROCUREMENT_JustificationBook_Army_PB_2020.zzz_unzipped-U_PROCUREMENT_JustificationBook_Army_PB_2020.xml","3ff5717c0071fdda534afc6a225eb17d1ca462eab0f167c6886a39c906a1ea0f","6-0a493b3304a18e5378a481b11f625764c8368f8de769fe62913e76a08942d764","1-6976a53693678e7bdf28f11b095e94a659a581edec730e196befc319c1affed3","root.record.FacilityList.ProductionSupportFacility"
"","3.028","","","","","5183785","Elevator and Lift Upgrades, Facilities and Maintenance","Research Development Explosives (RDX), High Melt Explosives (HMX)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.028","","","","","","","","","","","2018-09","","","2020-03","","","","Procurement dollars in the amount of $3.028 million supports this facilities and maintenance effort to repair and the installation of lift and elevator equipment at Holston Army Ammunition Plant.  The lifts and elevators carry explosives and other chemicals from ground floors to loading docks or second and third floors for production operations, including Comp-C4, CSM-AF-7 and High Bulk Density nitroguanidine (NQ).  The existing elevator system has not been upgraded in several decades.  The system experiences numerous failures and leaks.  Routine maintenance is no longer feasible.  This project will bring the building elevator systems in plant wide production buildings to modern safety standards, and significantly reduce risk of downtime of explosive operations.","2020-BASE_PROCUREMENT-2020-ARMY_AMMO-U_PROCUREMENT_JustificationBook_Army_PB_2020.zzz_unzipped-U_PROCUREMENT_JustificationBook_Army_PB_2020.xml","3ff5717c0071fdda534afc6a225eb17d1ca462eab0f167c6886a39c906a1ea0f","7-f8fe18c484dbc7d30db350980ca081f93fcec8f6c062cc86cf795c55e89a6dcf","1-6976a53693678e7bdf28f11b095e94a659a581edec730e196befc319c1affed3","root.record.FacilityList.ProductionSupportFacility"
"","5.074","","","","","5183964","A2B Modernization Improvements, Facilities and Maintenance","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5.074","","","","","","","","","","","2018-12","","","2020-08","","","","Procurement dollars in the amount of $5.074 million supports this facilities and maintenance effort modernizes and improves the Acid Area Consolidation effort (A2B) at Holston Army Ammunition Plant (AAP).  The A2B initiative relocated acid production operations in Area A and consolidated them in Area B at Holston AAP.  Effort includes improvements to the AZEO columns, main condensers, base heaters, flash column condensers, column trays, and interchangers.","2020-BASE_PROCUREMENT-2020-ARMY_AMMO-U_PROCUREMENT_JustificationBook_Army_PB_2020.zzz_unzipped-U_PROCUREMENT_JustificationBook_Army_PB_2020.xml","3ff5717c0071fdda534afc6a225eb17d1ca462eab0f167c6886a39c906a1ea0f","8-e9daedc11ec457155630352851c9de33c0a6bd7ebbcc1a73e52008eccf39f5bb","1-6976a53693678e7bdf28f11b095e94a659a581edec730e196befc319c1affed3","root.record.FacilityList.ProductionSupportFacility"
"","","3","","","","5193970","Boxway Upgrade for Spill Prevention & Containment, Design","Research Development Explosives (RDX), High Melt Explosives (HMX), IMX","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3","","","","","","","","","2020-09","2019-05","","","","","","","Procurement dollars in the amount of $3.000 million support design of modernization upgrades and repairs to the boxway network at Holston Army Ammunition Plant.  The transfer of materials between the buildings are conducted through a series of pipelines. The pipelines are typically found within a boxway that has steam present to prevent freezing in the winter months. The pipes are antiquated and have experienced numerous failures or leaks.  The existing chemical pipeline boxway at Holston AAP will not designed to provide containment.  This effort will design an upgraded boxway network to provide for spill containment and storm water exclusion.","2020-BASE_PROCUREMENT-2020-ARMY_AMMO-U_PROCUREMENT_JustificationBook_Army_PB_2020.zzz_unzipped-U_PROCUREMENT_JustificationBook_Army_PB_2020.xml","3ff5717c0071fdda534afc6a225eb17d1ca462eab0f167c6886a39c906a1ea0f","9-4a4b77adea284abae98f90d5268b5a55d41fe4d105f9bc75628532231a3b4421","1-6976a53693678e7bdf28f11b095e94a659a581edec730e196befc319c1affed3","root.record.FacilityList.ProductionSupportFacility"
"","","","0","15","15","5205055","Modernized Melt-Cast Facility, Construct","Insensitive Munitions (IM) Explosives, TNT, Research Development Explosives (RDX)","","","0","15","15","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2020-04","","","2022-10","","","","FY 2020 OCO for Base Requirements procurement dollars in the amount of $15.000 million supports construction of a melt-cast facility at Holston Army Ammunition Plant (AAP).  Holston AAP is currently implementing an Insensitive Munitions Explosives (IMX) modernization strategy to achieve an annual IMX capacity of eight million pounds.  The expanded production capacity will require additional, modernized casting capacity.  The existing facility, Building M-4, cannot meet the future production requirements; additionally it lacks precise temperature control and uniform agitation necessary to attain insensitive properties and consistent quality that IMX class of products require.  Holston AAP is the only qualified source of IMX melt-cast explosives in the National Technology and Industrial Base.  This is a new start.","2020-BASE_PROCUREMENT-2020-ARMY_AMMO-U_PROCUREMENT_JustificationBook_Army_PB_2020.zzz_unzipped-U_PROCUREMENT_JustificationBook_Army_PB_2020.xml","3ff5717c0071fdda534afc6a225eb17d1ca462eab0f167c6886a39c906a1ea0f","10-ac4774a9b972e51adfcebec2ecc4ffcddebf0133b60e00d169580fc7bb2a7197","1-6976a53693678e7bdf28f11b095e94a659a581edec730e196befc319c1affed3","root.record.FacilityList.ProductionSupportFacility"
"","","10","","","","5185096","Ansol Treatment","Research Development Explosives (RDX), High Melt Explosives (HMX)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10","","","","","","","","","2020-09","2019-06","","","","","","","Procurement dollars in the amount of $10.000 million supports design of an Ammonium Nitrate Solution (ANSOL) treatment facility at Holston Army Ammunition Plant (AAP).  In the past, ANSOL has been transferred as a low-cost feed stock into the ammonium nitrate/fuel oil (ANFO) explosives industry (mining, quarry, civil usages).  Existing users of ANFO are not utilizing this material at this time due to composition fluctuations and odor issues.  Failure to treat ANSOL will result shutdown of explosives production operations at Holston AAP.  This effort supports the modernization initiative to expand annual production capacity of RDX at Holston AAP from eight million pounds to sixteen million pounds.","2020-BASE_PROCUREMENT-2020-ARMY_AMMO-U_PROCUREMENT_JustificationBook_Army_PB_2020.zzz_unzipped-U_PROCUREMENT_JustificationBook_Army_PB_2020.xml","3ff5717c0071fdda534afc6a225eb17d1ca462eab0f167c6886a39c906a1ea0f","11-9c98d0cfe57ad19b68d0e8618e8cdf58821dc74612a0e84f04e10da8513c1354","1-6976a53693678e7bdf28f11b095e94a659a581edec730e196befc319c1affed3","root.record.FacilityList.ProductionSupportFacility"
"","","65","","","","5195097","Combined Wash/Filter Facility, Construct","Research Development Explosives (RDX),  High Melt Explosives (HMX)","","65","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2019-06","","","2022-11","","","","Procurement dollars in the amount of $65.000 million supports construction of a combined Wash and Filtration facility at Holston Army Ammunition Plant.  This effort supports the modernization initiative to expand annual production capacity of RDX at Holston AAP from eight million pounds to sixteen million pounds.   The existing Wash/Filtration capabilities at building E-6 cannot support future RDX production requirements.  The new facility will be designed to support a minimum annual production of nine million pounds of washed crude RDX or 2.3 million pounds of High Melt Explosives (HMX).","2020-BASE_PROCUREMENT-2020-ARMY_AMMO-U_PROCUREMENT_JustificationBook_Army_PB_2020.zzz_unzipped-U_PROCUREMENT_JustificationBook_Army_PB_2020.xml","3ff5717c0071fdda534afc6a225eb17d1ca462eab0f167c6886a39c906a1ea0f","12-328ca88aa41e24f185af3d415154be4b205660f9587c57d2f808d7a18136afc3","1-6976a53693678e7bdf28f11b095e94a659a581edec730e196befc319c1affed3","root.record.FacilityList.ProductionSupportFacility"
"","5.13","","0","20","20","5XX5098","RDX Wastewater Point Source Treatment, Facilities and Maintenance","Research Development Explosives (RDX)","","","","","","","","","","","","","","","","","","","","","","","","","","0","20","20","5.13","","","","","","","","","","2020-03","2017-11","2020-04","","2022-03","","","","FY 2020 OCO for Base Requirements procurement dollars in the amount of $20.000 million supports this facilities and maintenance project which expands and modernizes the Research Development Explosives (RDX) Wastewater Point Source Treatment facility at Holston Army Ammunition Plant.  The Industrial Waste Water Treatment Facility (IWWTF) treats process wastewater from the production of nitramine-based explosive compounds, acetic acid and acetic anhydride, nitric acid production, and insensitive munitions production.  Additional treatment capacities are required to support the modernization initiative to expand annual RDX production capacity from eight million pounds to sixteen million pounds.","2020-BASE_PROCUREMENT-2020-ARMY_AMMO-U_PROCUREMENT_JustificationBook_Army_PB_2020.zzz_unzipped-U_PROCUREMENT_JustificationBook_Army_PB_2020.xml","3ff5717c0071fdda534afc6a225eb17d1ca462eab0f167c6886a39c906a1ea0f","13-5699135611c71622e1944b5ccb2004ca70e51b18f47c7dfad424c42db866994d","1-6976a53693678e7bdf28f11b095e94a659a581edec730e196befc319c1affed3","root.record.FacilityList.ProductionSupportFacility"
"","110.836","","","","","5185099","Natural Gas Fired Stream Plant, Design/Construct","Research Development Explosives (RDX)","101.259","","","","","","","","","","","","","","","","","","","","","","","","","","","","9.577","","","","","","","","","","2020-03","2017-11","2019-02","","2021-09","","","","Procurement dollars in the amount of $110.836 million supports expansion of the Natural Gas fired Stream Plant at Holston Army Ammunition Plant (AAP).  Additional capacities are required to support the modernization initiative to expand annual RDX production capacity from eight million pounds to sixteen million pounds.  This project will allow Holston AAP to maintain compliance with federal and state regulatory requirements, including the Prevention of Significant Deterioration (PSD) mandate and utilize Best Available Control Technologies (BACT).","2020-BASE_PROCUREMENT-2020-ARMY_AMMO-U_PROCUREMENT_JustificationBook_Army_PB_2020.zzz_unzipped-U_PROCUREMENT_JustificationBook_Army_PB_2020.xml","3ff5717c0071fdda534afc6a225eb17d1ca462eab0f167c6886a39c906a1ea0f","14-c2e5a5a89805e8aa282d1af677941a0e077b37ac2a4aff171d28cde07d537182","1-6976a53693678e7bdf28f11b095e94a659a581edec730e196befc319c1affed3","root.record.FacilityList.ProductionSupportFacility"
"","1.499","","0","55","55","5XX5100","WAARP Facility Train II, Design/Construct","Research Development Explosives (RDX), High Melt Explosives (HMX)","1.499","","0","55","55","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2019-05","2018-07","2020-03","","2022-05","","","","FY 2020 OCO for Base Requirements procurement dollars in the amount of $55.000 million supports the construction of a second modernized facility to recover weak acetic acid for RDX/HMX production at Holston Army Ammunition Plant.  The existing weak acetic acid recovery (WAARP) facility, Building B-4, cannot meet RDX production requirements.  Additional capacities are required to support the modernization initiative to expand annual RDX production capacity from eight million pounds to sixteen million pounds.  The new right-sized facility addresses the increase in volume of dilute acetic acid, a byproduct of manufacturing explosives, as well as the requirement for denitrification and solids separation concentration, the byproduct of acetic anhydride manufacturing.","2020-BASE_PROCUREMENT-2020-ARMY_AMMO-U_PROCUREMENT_JustificationBook_Army_PB_2020.zzz_unzipped-U_PROCUREMENT_JustificationBook_Army_PB_2020.xml","3ff5717c0071fdda534afc6a225eb17d1ca462eab0f167c6886a39c906a1ea0f","15-e29228d07c7ceec09f5663c009d300eef2868cfe06bf00e2cfb3c952e066307b","1-6976a53693678e7bdf28f11b095e94a659a581edec730e196befc319c1affed3","root.record.FacilityList.ProductionSupportFacility"
"","","1.018","0","40","40","5XX5101","Acid Tank Farms, B-3, Construct","","","","0","40","40","","","","","","","","","","","","","","","","","","","","","","","","","1.018","","","","","","","","","","2019-04","2020-03","","2022-03","","","","FY 2020 OCO for Base Requirements procurement dollars in the amount of $40.000 million supports construction of the modernized B-Acids tank farm at Holston Army Ammunition Plant.  The current tank farm was installed in the 1970s.  Tank contents include nitric acid and Ammonium Nitrate Solution (ANSol) and waste acid from explosives manufacturing.  The storage capability is critical to maintaining explosives operations.  This project will expand and replace the aging chemical storage tanks, transfer equipment and containment dike at the B-3 tank farm.  This is a continuation of Project 5195102 funded in FY 2019 and is not a new start.","2020-BASE_PROCUREMENT-2020-ARMY_AMMO-U_PROCUREMENT_JustificationBook_Army_PB_2020.zzz_unzipped-U_PROCUREMENT_JustificationBook_Army_PB_2020.xml","3ff5717c0071fdda534afc6a225eb17d1ca462eab0f167c6886a39c906a1ea0f","16-a8e1b981be9d87fb1026204802d0e16f225650d9481d0ef8dd040a4299fcfef2","1-6976a53693678e7bdf28f11b095e94a659a581edec730e196befc319c1affed3","root.record.FacilityList.ProductionSupportFacility"
"","13.483","","","","","5185103","New Fluid Energy Mill (FEM) Facility","Research Develop Expl(RDX)","13.483","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2018-08","","2021-02","2021-02","2021-03","","2021-05","Procurement dollars in the amount of $13.483 million supports the construction of a second FEM Facility dedicated to RDX at Holston Army Ammunition Plant.  Currently, only one facility (Building N-3) can produce RDX FEM material, and its capacity is inadequate to support future demand.  Future production requirements for CXM-AF-7 necessitate a significant increase in FEM production.  FEM throughput is one of the main chokepoints in producing this product.  This effort supports the modernization initiative to expand annual production capacity of RDX at Holston AAP from eight million pounds to sixteen million pounds.","2020-BASE_PROCUREMENT-2020-ARMY_AMMO-U_PROCUREMENT_JustificationBook_Army_PB_2020.zzz_unzipped-U_PROCUREMENT_JustificationBook_Army_PB_2020.xml","3ff5717c0071fdda534afc6a225eb17d1ca462eab0f167c6886a39c906a1ea0f","17-15587db6b45534bab0b51ab83ae161aba9c58c780fbe1d4d12c2b203c34b2da0","1-6976a53693678e7bdf28f11b095e94a659a581edec730e196befc319c1affed3","root.record.FacilityList.ProductionSupportFacility"
"","","74.756","","","","5185104","Activate Building G-3 for RDX/NQ Recrystallization Construction","Research Develop Expl(RDX), Insensitive Mun Expl(IMX)","","74.756","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2018-12","","","2021-10","","","","Procurement dollars in the amount of $74.756 million supports this construction project to reactivate and modernize Building G-3 at Holston Army Ammunition Plant (AAP) to perform RDX/NQ Recrystallization and RDX formulation.  This project will increase Holston AAP's capacity to produce RDX as well as continue to produce High Bulk Density Nitroguanidine (NQ) from the current industrial stock of NQ.  This effort supports the modernization initiative to expand annual production capacity of RDX at Holston AAP from eight million pounds to sixteen million pounds.","2020-BASE_PROCUREMENT-2020-ARMY_AMMO-U_PROCUREMENT_JustificationBook_Army_PB_2020.zzz_unzipped-U_PROCUREMENT_JustificationBook_Army_PB_2020.xml","3ff5717c0071fdda534afc6a225eb17d1ca462eab0f167c6886a39c906a1ea0f","18-b4764ac91afb29019f15975f8a9b527bd75d6bb6d31730f9ab5936358be09fe4","1-6976a53693678e7bdf28f11b095e94a659a581edec730e196befc319c1affed3","root.record.FacilityList.ProductionSupportFacility"
"","1.678","","0","20","20","5XX5106","Ansol Filtration, Facilities & Modernization","Research Development Explosives (RDX), High Melt Explosives (HMX)","","","","","","","","","","","","","","","","","","","","","","","","","","0","20","20","1.678","","","","","","","","","","2019-09","2018-10","2020-03","","2021-09","","","","FY 2020 OCO for Base Requirements procurement dollars in the amount of $20.000 million supports this facilities and maintenance effort to improve filtration processes of Ammonium Nitrate Solution (ANSol) at Holston Army Ammunition Plant (AAP).  Effort will remove as much solids and explosive material as possible from the ANSol by-product at the Holston AAP.  The ANSol Filtration System will mitigate and eliminate the current use of deep well injection for disposal of the ANSol by-product.  This effort supports the modernization initiative to expand annual production capacity of Research Development Explosives (RDX) at Holston AAP from eight million pounds to sixteen million pounds.","2020-BASE_PROCUREMENT-2020-ARMY_AMMO-U_PROCUREMENT_JustificationBook_Army_PB_2020.zzz_unzipped-U_PROCUREMENT_JustificationBook_Army_PB_2020.xml","3ff5717c0071fdda534afc6a225eb17d1ca462eab0f167c6886a39c906a1ea0f","19-1bc170c86100beff659f1805d05e22ba5b52fe6b14563e91bcf672d42d066744","1-6976a53693678e7bdf28f11b095e94a659a581edec730e196befc319c1affed3","root.record.FacilityList.ProductionSupportFacility"
"","","2.5","","","","5195107","IMX Production Building, Design","Insensitive Mun Expl(IMX)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.5","","","","","","","","","2020-07","2019-04","","","","","","","Procurement dollars in the amount of $2.500 million supports modernization design of a second Insensitive Munitions Explosives (IMX) Production Building at Holston Army Ammunition Plant.  This production building will produce the additional required Dinitroanisole and Nitrotriazalone IMX base explosives to meet the projected requirements for IMX explosives.  This project supports the modernization initiative to increase annual IMX production capacity to eight million pounds.  The effort will design a second IMX production facility that will leverage the design and lessons learned of the first IMX production building G-8.  The second facility will be located within Area B.","2020-BASE_PROCUREMENT-2020-ARMY_AMMO-U_PROCUREMENT_JustificationBook_Army_PB_2020.zzz_unzipped-U_PROCUREMENT_JustificationBook_Army_PB_2020.xml","3ff5717c0071fdda534afc6a225eb17d1ca462eab0f167c6886a39c906a1ea0f","20-d333d5bc4fbf03a789c20d7a46f58cdff8b5e9b19215bfa05831ce51eb1d5224","1-6976a53693678e7bdf28f11b095e94a659a581edec730e196befc319c1affed3","root.record.FacilityList.ProductionSupportFacility"
"","","8","","","","5195110","Area B Third Acid Train, Design","Research Development Explosives (RDX)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8","","","","","","","","","2020-11","2019-05","","","","","","","Procurement dollars in the amount of $8.000 million supports design of a third acid train facility at Holston Army Ammunition Plant (AAP).  This effort supports the modernization initiative to expand annual production capacity of RDX at Holston AAP from eight million pounds to sixteen million pounds.  Holston AAP requires expansion of the Acetic Acid and Acetic Anhydride production capacity which is utilized in the nitration of hexamine to crude for RDX and HMX.  This modernization project will design a third acetic acid and replicated acetic anhydride train facility at Holston.  This modernization effort will eliminate reliance on the Area A process operations and improve safety as well as process reliability.","2020-BASE_PROCUREMENT-2020-ARMY_AMMO-U_PROCUREMENT_JustificationBook_Army_PB_2020.zzz_unzipped-U_PROCUREMENT_JustificationBook_Army_PB_2020.xml","3ff5717c0071fdda534afc6a225eb17d1ca462eab0f167c6886a39c906a1ea0f","21-f0499a0d68303fd49b15d627c86204b810a78da8fe67a3a61a4744a61021b35f","1-6976a53693678e7bdf28f11b095e94a659a581edec730e196befc319c1affed3","root.record.FacilityList.ProductionSupportFacility"
"","","3","","","","5195116","New Kettle Drying Facility, Design","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3","","","","","","","","","2020-06","2019-03","","","","","","","Procurement dollars in the amount of $3.000 supports design of a new kettle drying facility at Holston Army Ammunition Plant.  The existing drying facilities utilize 1940s processes and operate with degraded equipment, which have exceeded their useful life and created contamination risks in explosives products.  This project will design a fourth kettle drying facility at Building L-7 which will allow for higher drying capacity and permit shutdown and modernization of existing, antiquated drying facilities.  The new kettle drying facility is critical in the production of CXM-7 which is a premix for PBXN-107, bomb fill, as well as other explosive products.","2020-BASE_PROCUREMENT-2020-ARMY_AMMO-U_PROCUREMENT_JustificationBook_Army_PB_2020.zzz_unzipped-U_PROCUREMENT_JustificationBook_Army_PB_2020.xml","3ff5717c0071fdda534afc6a225eb17d1ca462eab0f167c6886a39c906a1ea0f","22-6bcef77f5919733ca0bfd395e343405eb790077597b2291fd1bb9921e0765ad6","1-6976a53693678e7bdf28f11b095e94a659a581edec730e196befc319c1affed3","root.record.FacilityList.ProductionSupportFacility"
"","","6","","","","5195151","Nitration Facility, Design","Research Development Explosives (RDX), High Melt Explosives (HMX)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6","","","","","","","","","2020-12","2019-06","","","","","","","Procurement dollars in the amount of $6.000 million supports design of a nitration facility at Holston Army Ammunition Plant.  The existing batch nitration facility, Building D-5, cannot support future production requirements of RDX and HMX.  The effort will produce a design, to include all relevant system engineering documentation, support infrastructure, and utility tie-ins of a new modernized nitration facility.  This effort supports the modernization initiative to expand annual production capacity of RDX at Holston AAP from eight million pounds to sixteen million pounds.","2020-BASE_PROCUREMENT-2020-ARMY_AMMO-U_PROCUREMENT_JustificationBook_Army_PB_2020.zzz_unzipped-U_PROCUREMENT_JustificationBook_Army_PB_2020.xml","3ff5717c0071fdda534afc6a225eb17d1ca462eab0f167c6886a39c906a1ea0f","23-49a82397c96cd4c61bac7ea1bb6378c9942de195beeea76da5ac0fd9151d19e7","1-6976a53693678e7bdf28f11b095e94a659a581edec730e196befc319c1affed3","root.record.FacilityList.ProductionSupportFacility"
"","","5","","","","5195152","Recrystallization Facility, Design","Research Development Explosives (RDX) and High Melt Explosives (HMX)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5","","","","","","","","","2020-12","2019-06","","","","","","","Procurement dollars in the amount of $5.000 million supports design of a recrystallization facility at Holston Army Ammunition Plant.  The process for recrystallization of RDX involves receipt of crude RDX in weigh tanks at the G-Building area where it is subsequently pumped into a dissolver.  The solvent is introduced with the slurry and the resulting solution is heated.  When the explosives are dissolved, the solution is dropped into a still, where distillation of the solvent results in a controlled recrystallization and particle size distribution.  The addition of a G-building would support future RDX production requirements.  This modernization effort will design a new facility that will support increased capacity for RDX and HMX recrystallization, increased capacity for dewatering, and ability to recrystallize Ammonium Nitrate Solution (ANSol) final Sludge solids (RES) to support RDX and HMX operations.  This effort supports the modernization initiative to expand annual production capacity of RDX at Holston AAP from eight million pounds to sixteen million pounds.","2020-BASE_PROCUREMENT-2020-ARMY_AMMO-U_PROCUREMENT_JustificationBook_Army_PB_2020.zzz_unzipped-U_PROCUREMENT_JustificationBook_Army_PB_2020.xml","3ff5717c0071fdda534afc6a225eb17d1ca462eab0f167c6886a39c906a1ea0f","24-ad78762db812c2fc715392f3f7a2b5679dcc67e2f42450bce13d47eb7766d869","1-6976a53693678e7bdf28f11b095e94a659a581edec730e196befc319c1affed3","root.record.FacilityList.ProductionSupportFacility"
