Name_val,Cost_Quantity_PriorYear_val,Cost_Quantity_CurrentYear_val,Cost_Quantity_BudgetYearOneBase_val,Cost_Quantity_BudgetYearOne_val,Cost_Quantity_BudgetYearTwo_val,Cost_Quantity_BudgetYearThree_val,Cost_Quantity_BudgetYearFour_val,Cost_Quantity_BudgetYearFive_val,Cost_Quantity_BudgetYearOneOCO_val,Cost_TotalCost_PriorYear_val,Cost_TotalCost_CurrentYear_val,Cost_TotalCost_BudgetYearOneBase_val,Cost_TotalCost_BudgetYearOne_val,Cost_TotalCost_BudgetYearTwo_val,Cost_TotalCost_BudgetYearThree_val,Cost_TotalCost_BudgetYearFour_val,Cost_TotalCost_BudgetYearFive_val,Cost_TotalCost_BudgetYearOneOCO_val,@SOURCE_FILENAME,@RECORDID,@ROWID,ModsOutYearDelta_Quantity_BudgetYearTwo_val,ModsOutYearDelta_Quantity_BudgetYearThree_val,ModsOutYearDelta_Quantity_BudgetYearFour_val,ModsOutYearDelta_Quantity_BudgetYearFive_val,ModsOutYearDelta_Cost_BudgetYearTwo_val,ModsOutYearDelta_Cost_BudgetYearThree_val,ModsOutYearDelta_Cost_BudgetYearFour_val,ModsOutYearDelta_Cost_BudgetYearFive_val,@PARENTROWID,@PARENT
"Army National Guard","","","","","15","35","72","122","","","","","","8.076","18.304","42.46","74.499","","2018-BASE_PROCUREMENT-2018-ARMY_OTHER_2-U_PROCUREMENT_JustificationBook_Army_PB_2018.zzz_unzipped-U_PROCUREMENT_JustificationBook_Army_PB_2018.xml","cb44d15b23775f95832f951470e711b415fb738042813f9bb71c49af5e7f9dd6","1-356335d14b315bd66a635477120cf1e04bf8d291e3ac4cf4759967180e22a431","","","","","","","","","5440-5ea37a6d19b872e5f35af750e91434cdc0081a5d75c77692b2fd9e39e5872bc3","root"
"Army Reserve","","","","","4","2","13","10","","","","","","2.153","1.046","7.666","6.107","","2018-BASE_PROCUREMENT-2018-ARMY_OTHER_2-U_PROCUREMENT_JustificationBook_Army_PB_2018.zzz_unzipped-U_PROCUREMENT_JustificationBook_Army_PB_2018.xml","cb44d15b23775f95832f951470e711b415fb738042813f9bb71c49af5e7f9dd6","2-b56b8c21ec283341e4f3f03ad761390f30484b6df5dbfffeeafbc4015107c6d7","","","","","","","","","5440-5ea37a6d19b872e5f35af750e91434cdc0081a5d75c77692b2fd9e39e5872bc3","root"
"Army Active","6726","12810","9776","9788","6857","6733","1867","1351","12","102.325","147.038","119.748","120.125","97.751","91.8","45.363","34.758","0.377","2018-BASE_PROCUREMENT-2018-ARMY_OTHER_2-U_PROCUREMENT_JustificationBook_Army_PB_2018.zzz_unzipped-U_PROCUREMENT_JustificationBook_Army_PB_2018.xml","c320f1c221214957932d06858d529ec138b00ff95292857abc4f832a7c707266","0-2524fe05460a5ab7a9b2e12916286a2a286818e17b2330d340f2ffe6e4bce292","","","","","","","","","5441-70b53dd70fe1ba31f71f7efb75be9b63281292127bd3f0ff9e8d6d6c15fa185c","root"
"Army National Guard","1569","2146","3416","3416","2585","464","495","509","","21.649","42.132","46.745","46.745","44.206","18.179","19.451","20.618","","2018-BASE_PROCUREMENT-2018-ARMY_OTHER_2-U_PROCUREMENT_JustificationBook_Army_PB_2018.zzz_unzipped-U_PROCUREMENT_JustificationBook_Army_PB_2018.xml","c320f1c221214957932d06858d529ec138b00ff95292857abc4f832a7c707266","1-1677e923951b1dc757abfa8517ac81e7012e2b71a6f4288b4011a3f116c49086","","","","","","","","","5441-70b53dd70fe1ba31f71f7efb75be9b63281292127bd3f0ff9e8d6d6c15fa185c","root"
"Army Reserve","","","","","","181","","","","","","","","","2.917","","","","2018-BASE_PROCUREMENT-2018-ARMY_OTHER_2-U_PROCUREMENT_JustificationBook_Army_PB_2018.zzz_unzipped-U_PROCUREMENT_JustificationBook_Army_PB_2018.xml","c320f1c221214957932d06858d529ec138b00ff95292857abc4f832a7c707266","2-ae712c5340d8e203e116b5c3229658975bd668d2b1bafe58ed5ee88f72b154cf","","","","","","","","","5441-70b53dd70fe1ba31f71f7efb75be9b63281292127bd3f0ff9e8d6d6c15fa185c","root"
"Army Active","898","1051","311","317","869","1531","1542","1799","6","13.577","14.482","6.996","7.056","14.511","23.545","24.216","27.876","0.06","2018-BASE_PROCUREMENT-2018-ARMY_OTHER_2-U_PROCUREMENT_JustificationBook_Army_PB_2018.zzz_unzipped-U_PROCUREMENT_JustificationBook_Army_PB_2018.xml","4c33506dcda7927b5c4f7b7981f4f06913fc405648e1c1734890dd13fcbc0332","0-6900a5c5eb3a0514119b48c923233e86d7f831e9fb03205d46abe708d7794933","","","","","","","","","5442-a39de2dcc0d4f36296a9ede8a28fddacc156ed002f5afa8baf59fbd94846e8e2","root"
"Army National Guard","404","309","309","309","559","","","","","6.1","4.361","6.951","6.951","9.335","","","","","2018-BASE_PROCUREMENT-2018-ARMY_OTHER_2-U_PROCUREMENT_JustificationBook_Army_PB_2018.zzz_unzipped-U_PROCUREMENT_JustificationBook_Army_PB_2018.xml","4c33506dcda7927b5c4f7b7981f4f06913fc405648e1c1734890dd13fcbc0332","1-08b4d036146d203ebbafcb06cf547cb21350df8a8bcadb82ac3abc757bf4e47f","","","","","","","","","5442-a39de2dcc0d4f36296a9ede8a28fddacc156ed002f5afa8baf59fbd94846e8e2","root"
"Army Reserve","","","","","","22","","","","","","","","","0.338","","","","2018-BASE_PROCUREMENT-2018-ARMY_OTHER_2-U_PROCUREMENT_JustificationBook_Army_PB_2018.zzz_unzipped-U_PROCUREMENT_JustificationBook_Army_PB_2018.xml","4c33506dcda7927b5c4f7b7981f4f06913fc405648e1c1734890dd13fcbc0332","2-0a00b578d7b7937cc75f251c601234cebb521a60f0d1e8bdee6e710f49cad66e","","","","","","","","","5442-a39de2dcc0d4f36296a9ede8a28fddacc156ed002f5afa8baf59fbd94846e8e2","root"
"Army Active","208","159","","","","","","","","40.118","251.014","21.38","78.88","15.707","","0.712","","57.5","2018-BASE_PROCUREMENT-2018-ARMY_OTHER_2-U_PROCUREMENT_JustificationBook_Army_PB_2018.zzz_unzipped-U_PROCUREMENT_JustificationBook_Army_PB_2018.xml","3dbbfe28c5249fd2f1f656a90dd4c32cbd55ec765d72050a5ac98aec9f8525dc","0-b77c5c70dae5427eb0857382bb7aba0ee88d04bec3d94f23e8890714e6ed0ee6","","","","","","","","","5444-e5bdd5758b22825fc2e7c886c89c6fedce8ffeb3e958254c529372c6950d66b5","root"
"Army National Guard","275","121","","","","","","","","20.561","15.993","","","","","","","","2018-BASE_PROCUREMENT-2018-ARMY_OTHER_2-U_PROCUREMENT_JustificationBook_Army_PB_2018.zzz_unzipped-U_PROCUREMENT_JustificationBook_Army_PB_2018.xml","3dbbfe28c5249fd2f1f656a90dd4c32cbd55ec765d72050a5ac98aec9f8525dc","1-e7c9b8f692acd6c7c54382a4fa19843fbcd266859c5ecf0a9dce4034947ee767","","","","","","","","","5444-e5bdd5758b22825fc2e7c886c89c6fedce8ffeb3e958254c529372c6950d66b5","root"
"Army Active","166","3808","3848","3848","11068","13627","12047","9323","","24.155","44.345","47.652","47.652","115.293","157.417","140.287","103.483","","2018-BASE_PROCUREMENT-2018-ARMY_OTHER_2-U_PROCUREMENT_JustificationBook_Army_PB_2018.zzz_unzipped-U_PROCUREMENT_JustificationBook_Army_PB_2018.xml","2b36c92627327ae00091fd9e22da6d20fb3c4f735b78eb4ab84a4ec9bc6664fe","0-e057e9ad4bebbee7d96b3ca0f4efe98a8cb177f2c28e81f74b9ae77f1c277568","","","","","","","","","5445-4c9bb92f02094eb2bf314b0cc97742c4aff23b85dc4736d98308dad7e35bd0a2","root"
"Army National Guard","42","952","961","961","1965","2626","3186","738","","6.039","11.191","11.453","11.453","21.698","29.371","43.356","21.544","","2018-BASE_PROCUREMENT-2018-ARMY_OTHER_2-U_PROCUREMENT_JustificationBook_Army_PB_2018.zzz_unzipped-U_PROCUREMENT_JustificationBook_Army_PB_2018.xml","2b36c92627327ae00091fd9e22da6d20fb3c4f735b78eb4ab84a4ec9bc6664fe","1-a266313622ae6933d25ba2a975d73d6b875ea9429b107c69d7c44804693f73b4","","","","","","","","","5445-4c9bb92f02094eb2bf314b0cc97742c4aff23b85dc4736d98308dad7e35bd0a2","root"
"Army Reserve","","","","","","183","","","","","","","","","1.747","","","","2018-BASE_PROCUREMENT-2018-ARMY_OTHER_2-U_PROCUREMENT_JustificationBook_Army_PB_2018.zzz_unzipped-U_PROCUREMENT_JustificationBook_Army_PB_2018.xml","2b36c92627327ae00091fd9e22da6d20fb3c4f735b78eb4ab84a4ec9bc6664fe","2-7c5b1a70efe4977d2dfe01f658b3f441f17c412376c41f2177a35b9b3901a3af","","","","","","","","","5445-4c9bb92f02094eb2bf314b0cc97742c4aff23b85dc4736d98308dad7e35bd0a2","root"
"Army Active","28","18","","","","","","","","1.669","1.322","1.055","1.055","","","","","","2018-BASE_PROCUREMENT-2018-ARMY_OTHER_2-U_PROCUREMENT_JustificationBook_Army_PB_2018.zzz_unzipped-U_PROCUREMENT_JustificationBook_Army_PB_2018.xml","58ba147b83dc931c72508e0c61330c688ad7e34f8ac8ce72b0ffd616e33818df","0-aaaba1da7ce474067464bcc85a987e984a6ee152eeb760b6d869b0e8cfc15148","","","","","","","","","5446-48d2c493bdd33e572f1b4f9ea70dc1d3cb9f5033dba9a108dfc594d6736eb3d0","root"
"Army National Guard","28","39","","","","","","","","1.669","2.865","1.074","1.074","","","","","","2018-BASE_PROCUREMENT-2018-ARMY_OTHER_2-U_PROCUREMENT_JustificationBook_Army_PB_2018.zzz_unzipped-U_PROCUREMENT_JustificationBook_Army_PB_2018.xml","58ba147b83dc931c72508e0c61330c688ad7e34f8ac8ce72b0ffd616e33818df","1-8dcc71bdae3ba8da54a05672387ce43fa02df183f6657f2acad7e9aaee7f127a","","","","","","","","","5446-48d2c493bdd33e572f1b4f9ea70dc1d3cb9f5033dba9a108dfc594d6736eb3d0","root"
"Army Active","3204","6198","9177","9177","5108","10992","10271","6560","","137.457","131.992","163.878","163.878","102.288","186.739","176.551","127.655","","2018-BASE_PROCUREMENT-2018-ARMY_OTHER_2-U_PROCUREMENT_JustificationBook_Army_PB_2018.zzz_unzipped-U_PROCUREMENT_JustificationBook_Army_PB_2018.xml","b6a9cc9fafbd6c2a9950d995f5ccdb4616ad1764c8ce244b99c1cfbae9e9bba4","0-c1e8e55d41a407390313951c5c1d28ffe146d93aeb8be5abd85d6a1e9def3796","","","","","","","","","5448-519770bc0bf7b3ee2ac767a8ebb23a1433b5a9f906a7800defc40bc156c1288c","root"
"Army National Guard","","3206","4781","4781","2626","5691","5319","3393","","","68.272","84.765","84.765","52.907","96.589","91.32","66.029","","2018-BASE_PROCUREMENT-2018-ARMY_OTHER_2-U_PROCUREMENT_JustificationBook_Army_PB_2018.zzz_unzipped-U_PROCUREMENT_JustificationBook_Army_PB_2018.xml","b6a9cc9fafbd6c2a9950d995f5ccdb4616ad1764c8ce244b99c1cfbae9e9bba4","1-b92250bfc9bcc5fe071177dfa1f4dcb312f0de9d54866e151de4122a252c5363","","","","","","","","","5448-519770bc0bf7b3ee2ac767a8ebb23a1433b5a9f906a7800defc40bc156c1288c","root"
"Army Reserve","","1283","1962","1962","1019","2276","2137","1357","","","27.309","33.906","33.906","21.163","38.635","36.528","26.411","","2018-BASE_PROCUREMENT-2018-ARMY_OTHER_2-U_PROCUREMENT_JustificationBook_Army_PB_2018.zzz_unzipped-U_PROCUREMENT_JustificationBook_Army_PB_2018.xml","b6a9cc9fafbd6c2a9950d995f5ccdb4616ad1764c8ce244b99c1cfbae9e9bba4","2-45f1a1d5334d1feba33b7d54bfb038f05c938df5d22237b71fcf2c949e095957","","","","","","","","","5448-519770bc0bf7b3ee2ac767a8ebb23a1433b5a9f906a7800defc40bc156c1288c","root"
"Army Active","50","90","140","140","120","254","310","410","","47.212","30.356","29.053","29.053","25.981","46.653","57.442","73.061","","2018-BASE_PROCUREMENT-2018-ARMY_OTHER_2-U_PROCUREMENT_JustificationBook_Army_PB_2018.zzz_unzipped-U_PROCUREMENT_JustificationBook_Army_PB_2018.xml","c4e8eb1d10e194d983a2791fa2f55f4ce4800672c5943db677f1c0c3a762819b","0-87dd271542707b9a3a1ace297efdf44f8e6599e8d6822bd9d6b6631aa26dc446","","","","","","","","","5449-0fd1e9efb5707a708228b4b21e822011c0fecbba733bcb72620f8c982e1219ec","root"
"Army National Guard","","60","94","94","80","169","207","103","","","20.37","19.611","19.611","17.53","31.102","38.294","19.792","","2018-BASE_PROCUREMENT-2018-ARMY_OTHER_2-U_PROCUREMENT_JustificationBook_Army_PB_2018.zzz_unzipped-U_PROCUREMENT_JustificationBook_Army_PB_2018.xml","c4e8eb1d10e194d983a2791fa2f55f4ce4800672c5943db677f1c0c3a762819b","1-7b92598cd5e046f3fdb8d51540b711aaf017d0049c121d72cc66d2a3b739222e","","","","","","","","","5449-0fd1e9efb5707a708228b4b21e822011c0fecbba733bcb72620f8c982e1219ec","root"
"Army Active","36","44","","17","29","25","70","130","17","13.237","16.683","5.198","9.172","18.323","46.212","23.668","39.184","3.974","2018-BASE_PROCUREMENT-2018-ARMY_OTHER_2-U_PROCUREMENT_JustificationBook_Army_PB_2018.zzz_unzipped-U_PROCUREMENT_JustificationBook_Army_PB_2018.xml","997e5f3986f7269d8cc4ac3120fc93f5f65904b5df8384dd8d758986d458a95c","0-b8f134c252538b81d0a177fcf770ecb51d9a77386263e561801cbfb0ab5f1468","","","","","","","","","5450-83cb0ebdeebf8b3d63cd2d17033dcc724b5f5db8c610b563a63776e116a69d6c","root"
"Army National Guard","24","30","","","20","","46","86","","9.077","11.375","","","10.924","","16.603","26.123","","2018-BASE_PROCUREMENT-2018-ARMY_OTHER_2-U_PROCUREMENT_JustificationBook_Army_PB_2018.zzz_unzipped-U_PROCUREMENT_JustificationBook_Army_PB_2018.xml","997e5f3986f7269d8cc4ac3120fc93f5f65904b5df8384dd8d758986d458a95c","1-c300feca5b6a1314a15da164fe1cdb13d617fb8d5c66843c9614101ceecf2390","","","","","","","","","5450-83cb0ebdeebf8b3d63cd2d17033dcc724b5f5db8c610b563a63776e116a69d6c","root"
"Army Active","","","","","","","","","","7.629","25.985","7.622","7.622","8.1","9.133","24.687","23.785","","2018-BASE_PROCUREMENT-2018-ARMY_OTHER_2-U_PROCUREMENT_JustificationBook_Army_PB_2018.zzz_unzipped-U_PROCUREMENT_JustificationBook_Army_PB_2018.xml","8c98bc78c5b439a1b8eec9fb6a4e15459242f9ab683d10df7af16d94853d705f","0-4177f82a22e7ad13525a26ddaac5fcc3b34b33b4d2ee90f6e3caee13b418c276","","","","","","","","","5451-e883095a152d52376e0b507f9117c7d9534db8d5512f003cbfc4d767dd9cd1e7","root"
"Army National Guard","","","","","","","","","","","","3","3","4","5","16","16","","2018-BASE_PROCUREMENT-2018-ARMY_OTHER_2-U_PROCUREMENT_JustificationBook_Army_PB_2018.zzz_unzipped-U_PROCUREMENT_JustificationBook_Army_PB_2018.xml","8c98bc78c5b439a1b8eec9fb6a4e15459242f9ab683d10df7af16d94853d705f","1-370e20a8cd695c856d278ed1ebee55d958e20bc2f7ab419e6b4dcb02fb467968","","","","","","","","","5451-e883095a152d52376e0b507f9117c7d9534db8d5512f003cbfc4d767dd9cd1e7","root"
"Army Reserve","","","","","","","","","","","","1","1","1","2","5","5","","2018-BASE_PROCUREMENT-2018-ARMY_OTHER_2-U_PROCUREMENT_JustificationBook_Army_PB_2018.zzz_unzipped-U_PROCUREMENT_JustificationBook_Army_PB_2018.xml","8c98bc78c5b439a1b8eec9fb6a4e15459242f9ab683d10df7af16d94853d705f","2-8793d720ec662dc4584a5937348979603193755f2e2c2239af446ee6ed5de72d","","","","","","","","","5451-e883095a152d52376e0b507f9117c7d9534db8d5512f003cbfc4d767dd9cd1e7","root"
"Army Active","4","7","24","24","9","1","","","","56.68","122.2","329.057","329.057","148.7","28.4","7.11","7.443","","2018-BASE_PROCUREMENT-2018-ARMY_OTHER_2-U_PROCUREMENT_JustificationBook_Army_PB_2018.zzz_unzipped-U_PROCUREMENT_JustificationBook_Army_PB_2018.xml","195b872685ac8a28088e5af447fa20907a3b9e749ab40fb1eb92281fb6faad42","0-37f1930d84fe23658d41e77c73b101ac5ef4fa744a63c8114fca087c7ca8cf9e","","","","","","","","","5454-5e3a0bcef48aae4d2a4638c1ec41ae16b42aaa0432af2c9c8e950cdb0339b64a","root"
"Army National Guard","10","10","","","","","","","","141.699","192.309","","","","","","","","2018-BASE_PROCUREMENT-2018-ARMY_OTHER_2-U_PROCUREMENT_JustificationBook_Army_PB_2018.zzz_unzipped-U_PROCUREMENT_JustificationBook_Army_PB_2018.xml","195b872685ac8a28088e5af447fa20907a3b9e749ab40fb1eb92281fb6faad42","1-8ee6d859a49f633c661ba3cad8ff70371b92ffcfc9c82ecdfedb26eb93141188","","","","","","","","","5454-5e3a0bcef48aae4d2a4638c1ec41ae16b42aaa0432af2c9c8e950cdb0339b64a","root"
"Army Active","","","","","","","","","","1.238","7.023","7.014","7.014","14.736","22.629","16.236","8.621","","2018-BASE_PROCUREMENT-2018-ARMY_OTHER_2-U_PROCUREMENT_JustificationBook_Army_PB_2018.zzz_unzipped-U_PROCUREMENT_JustificationBook_Army_PB_2018.xml","3f1f2616594574af2ca870b5314fa1f6b310833825f36b6309e19e62bcbfea76","0-ae06b7aa0b4d8f246411d9eb30c3841d6450a78c9fb6acf59ea7755675e5d448","","","","","","","","","5455-a7ed5d32c661f5d18d04f1a7165a57c889ffd1cf2ab89fc9a4926d15f0cd75de","root"
"Army National Guard","","","","","","","","","","","1.637","1.686","1.686","","","","","","2018-BASE_PROCUREMENT-2018-ARMY_OTHER_2-U_PROCUREMENT_JustificationBook_Army_PB_2018.zzz_unzipped-U_PROCUREMENT_JustificationBook_Army_PB_2018.xml","3f1f2616594574af2ca870b5314fa1f6b310833825f36b6309e19e62bcbfea76","1-8afe2983028c49e7677835495106be4cfc57b110e7da7afc3a776eb4246576df","","","","","","","","","5455-a7ed5d32c661f5d18d04f1a7165a57c889ffd1cf2ab89fc9a4926d15f0cd75de","root"
"Army Active","1","180","14","15","2","1","14","","1","6.17","89.379","26.635","35.735","17.96","6.366","32.397","","9.1","2018-BASE_PROCUREMENT-2018-ARMY_OTHER_2-U_PROCUREMENT_JustificationBook_Army_PB_2018.zzz_unzipped-U_PROCUREMENT_JustificationBook_Army_PB_2018.xml","a938887d57218c1b316eb7355496d32fd35430681201cb308aab438ae8c29d53","0-192367c71cd8caca960bd7118d43efb2cfb7096a1c8736ba006b58f6be1fcbb4","","","","","","","","","5456-54a1b775dbcefea1b0fca81f4c407efd3b6e417f338af15c4fd7e72218a6a315","root"
"Army National Guard","3","6","","","","","","","","13.11","37.16","","","","","","","","2018-BASE_PROCUREMENT-2018-ARMY_OTHER_2-U_PROCUREMENT_JustificationBook_Army_PB_2018.zzz_unzipped-U_PROCUREMENT_JustificationBook_Army_PB_2018.xml","a938887d57218c1b316eb7355496d32fd35430681201cb308aab438ae8c29d53","1-772d66ce144f6cdf11e3d757d20f61c747d279aa5a02d1fd44cd378a725eee82","","","","","","","","","5456-54a1b775dbcefea1b0fca81f4c407efd3b6e417f338af15c4fd7e72218a6a315","root"
"Army Reserve","2","","","","","","","","","8.896","","","","","","","","","2018-BASE_PROCUREMENT-2018-ARMY_OTHER_2-U_PROCUREMENT_JustificationBook_Army_PB_2018.zzz_unzipped-U_PROCUREMENT_JustificationBook_Army_PB_2018.xml","a938887d57218c1b316eb7355496d32fd35430681201cb308aab438ae8c29d53","2-cda8b726b8ae7ec107cec16667c1ed6036962c57604c12c046fc95c4c5220a4d","","","","","","","","","5456-54a1b775dbcefea1b0fca81f4c407efd3b6e417f338af15c4fd7e72218a6a315","root"
"Army Active","","","","","","","","","","20.917","204.969","","","","326.928","387.026","513.464","","2018-BASE_PROCUREMENT-2018-ARMY_OTHER_2-U_PROCUREMENT_JustificationBook_Army_PB_2018.zzz_unzipped-U_PROCUREMENT_JustificationBook_Army_PB_2018.xml","22c7f6d22fd89d5bc6b975ce9d98844c2e19aa28e006f75c606c703d20bf89ed","0-058baf82ec7957bf1a675317eefcdae19474d0fb1af67ecb76e322bcd996818c","","","","","","","","","5457-b1c336601f29b743a556928d4a59ecac2e7ebdd0c34a35770c2bf42b1577aafe","root"
"Army Active","","","","","","","","","","5.85","4.718","3.985","3.985","4.003","4","3.971","","","2018-BASE_PROCUREMENT-2018-ARMY_OTHER_2-U_PROCUREMENT_JustificationBook_Army_PB_2018.zzz_unzipped-U_PROCUREMENT_JustificationBook_Army_PB_2018.xml","8f67bf3ba0d9d915120d42bcf0ea297cbdb041d406f071196f48170ffd4b070c","0-8bf0ad68c12fc3759e5c51b4203e80364d1fdf2d07671bf861f6a4da82255f0b","","","","","","","","","5458-045bd45af21387bba5261345d709cb33dc1161be41dd8b59f4ca95b48afd0cb9","root"
"Army Active","","","","","","","","","","10.095","7.595","10.195","10.195","10.017","9.792","9.075","9.881","","2018-BASE_PROCUREMENT-2018-ARMY_OTHER_2-U_PROCUREMENT_JustificationBook_Army_PB_2018.zzz_unzipped-U_PROCUREMENT_JustificationBook_Army_PB_2018.xml","aaa290eb7d795ec5de7b5a0f77fccd5db650bfd83c7b17a123fc85bd3ac0c928","0-dc80191cf49e78b617dfc54def8949e4490f0b149ac5ce705023ba960651018f","","","","","","","","","5459-5cc067e70add7376a546bcb7b2cd6b173fbf6b686193a2535ce0df09a0a1d5f7","root"
"Army National Guard","","","","","","","","","","2.472","2.265","3.255","3.255","3.092","2.921","2.41","2.831","","2018-BASE_PROCUREMENT-2018-ARMY_OTHER_2-U_PROCUREMENT_JustificationBook_Army_PB_2018.zzz_unzipped-U_PROCUREMENT_JustificationBook_Army_PB_2018.xml","aaa290eb7d795ec5de7b5a0f77fccd5db650bfd83c7b17a123fc85bd3ac0c928","1-730c23ed8481f936654ce40d45c1c1e46f79e4feeb21fab26fc8f60404210f69","","","","","","","","","5459-5cc067e70add7376a546bcb7b2cd6b173fbf6b686193a2535ce0df09a0a1d5f7","root"
"Army Reserve","","","","","","","","","","1.313","1.203","1.729","1.729","1.642","1.552","1.28","1.504","","2018-BASE_PROCUREMENT-2018-ARMY_OTHER_2-U_PROCUREMENT_JustificationBook_Army_PB_2018.zzz_unzipped-U_PROCUREMENT_JustificationBook_Army_PB_2018.xml","aaa290eb7d795ec5de7b5a0f77fccd5db650bfd83c7b17a123fc85bd3ac0c928","2-d403dbe71e2cc9367c35880d0ba4e524eacc1d97a3b3db06337beecc1eb318cb","","","","","","","","","5459-5cc067e70add7376a546bcb7b2cd6b173fbf6b686193a2535ce0df09a0a1d5f7","root"
"Army Active","5443","2633","2016","2016","1043","407","550","555","","46.326","70.124","54.644","54.644","27.708","20.17","27.957","27.418","","2018-BASE_PROCUREMENT-2018-ARMY_OTHER_2-U_PROCUREMENT_JustificationBook_Army_PB_2018.zzz_unzipped-U_PROCUREMENT_JustificationBook_Army_PB_2018.xml","d9ed20c5811638decc9d8962674d903f1df0b1259ebea5c9d0e4e979a85e7a60","0-df0801de89160f9d2080536d77229837d97d1729b5d0b345b666711a1072bcb1","","","","","","","","","5460-f77aba9fee05b5f74fc9f56f98f0b9630f649ec48af128e7dc734a640d9829f1","root"
"Army National Guard","2403","2532","1899","1899","1091","526","400","404","","53.459","35.74","51.473","51.473","27.988","26.067","20.332","19.958","","2018-BASE_PROCUREMENT-2018-ARMY_OTHER_2-U_PROCUREMENT_JustificationBook_Army_PB_2018.zzz_unzipped-U_PROCUREMENT_JustificationBook_Army_PB_2018.xml","d9ed20c5811638decc9d8962674d903f1df0b1259ebea5c9d0e4e979a85e7a60","1-1b5f21b6c09fcdabda0846eaaa8c8c212aa2ef3cebe3f593819136aea8dccee8","","","","","","","","","5460-f77aba9fee05b5f74fc9f56f98f0b9630f649ec48af128e7dc734a640d9829f1","root"
"Army Reserve","1163","1447","976","976","535","241","250","251","","25.658","45.454","26.455","26.455","14.213","11.943","12.707","12.4","","2018-BASE_PROCUREMENT-2018-ARMY_OTHER_2-U_PROCUREMENT_JustificationBook_Army_PB_2018.zzz_unzipped-U_PROCUREMENT_JustificationBook_Army_PB_2018.xml","d9ed20c5811638decc9d8962674d903f1df0b1259ebea5c9d0e4e979a85e7a60","2-8dab77c0b8c40550f6fa8b84c160cac329203c2e3aa2a74a25498715852172cf","","","","","","","","","5460-f77aba9fee05b5f74fc9f56f98f0b9630f649ec48af128e7dc734a640d9829f1","root"
"Army Active","","","","","","","","","","70.35","82.952","23.43","23.43","10.572","34.938","39.489","15.001","","2018-BASE_PROCUREMENT-2018-ARMY_OTHER_2-U_PROCUREMENT_JustificationBook_Army_PB_2018.zzz_unzipped-U_PROCUREMENT_JustificationBook_Army_PB_2018.xml","79442e00cbe7bfd4a4ea29a3f4d53f5b896df57a421ca9e4115007f2a5a4e861","0-c56480a595a0baf191f01c251333d6fe3d79ec2c8ae3d6142dc49d44db9527d4","","","","","","","","","5461-06aaf32e289c7942b08db1dbc75abf1ad96275322428c4c734e973764311685d","root"
"Army National Guard","","","","","","","","","","33.201","31.555","6.016","6.016","","","","","","2018-BASE_PROCUREMENT-2018-ARMY_OTHER_2-U_PROCUREMENT_JustificationBook_Army_PB_2018.zzz_unzipped-U_PROCUREMENT_JustificationBook_Army_PB_2018.xml","79442e00cbe7bfd4a4ea29a3f4d53f5b896df57a421ca9e4115007f2a5a4e861","1-059eaaf6d78ca92705be75f09ee966e2cdbe63e5fad184a6b1fa27753b22c554","","","","","","","","","5461-06aaf32e289c7942b08db1dbc75abf1ad96275322428c4c734e973764311685d","root"
"Army Reserve","","","","","","","","","","43.103","41.153","7.755","7.755","","","","","","2018-BASE_PROCUREMENT-2018-ARMY_OTHER_2-U_PROCUREMENT_JustificationBook_Army_PB_2018.zzz_unzipped-U_PROCUREMENT_JustificationBook_Army_PB_2018.xml","79442e00cbe7bfd4a4ea29a3f4d53f5b896df57a421ca9e4115007f2a5a4e861","2-81b6d00ee9a0f6db651d09c8ada8d28608bdd64848db567b6a2c75c74d48f20e","","","","","","","","","5461-06aaf32e289c7942b08db1dbc75abf1ad96275322428c4c734e973764311685d","root"
"Army Active","","","","","","","","","","14.027","","","","","","","","","2018-BASE_PROCUREMENT-2018-ARMY_OTHER_2-U_PROCUREMENT_JustificationBook_Army_PB_2018.zzz_unzipped-U_PROCUREMENT_JustificationBook_Army_PB_2018.xml","503bdbc50bea8d8795075fe3bb4fd9463c627bd1226bc91789be162611f5ef6e","0-64ed356edb8b73747b66045a63a67445a2b633f9c440ffda0f934ab33b39b759","","","","","","","","","5462-75deb98269359c89e817049f2ce4d6a9097cbdd9b33eacce307b4c6679590bf6","root"
"Army Active","","","","","","","","","","4.446","4.214","16.14","16.14","46.378","9.504","9.695","10","","2018-BASE_PROCUREMENT-2018-ARMY_OTHER_2-U_PROCUREMENT_JustificationBook_Army_PB_2018.zzz_unzipped-U_PROCUREMENT_JustificationBook_Army_PB_2018.xml","ad1ed0f9abf28e483aa7a9cf5e6fc703e72d01ad79d1672bd89fe93c55f4c78d","0-4fa498d099e929e651af4a757d20cb0fd4a335a8d0887882356d512c611221ba","","","","","","","","","5463-420fe912576779097ae20ee6686a3fe57121eaa1ba6e0ebf4b32f12fc553937b","root"
