Name_val,Cost_TotalCost_PriorYear_val,Cost_TotalCost_CurrentYear_val,Cost_TotalCost_BudgetYearOneBase_val,Cost_TotalCost_BudgetYearOne_val,Cost_TotalCost_BudgetYearTwo_val,Cost_TotalCost_BudgetYearThree_val,Cost_TotalCost_BudgetYearFour_val,Cost_TotalCost_BudgetYearFive_val,Cost_TotalCost_BudgetYearOneOCO_val,Cost_Quantity_CurrentYear_val,Cost_Quantity_BudgetYearOneBase_val,Cost_Quantity_BudgetYearOne_val,Cost_Quantity_PriorYear_val,Cost_Quantity_BudgetYearTwo_val,Cost_Quantity_BudgetYearThree_val,Cost_Quantity_BudgetYearFour_val,Cost_Quantity_BudgetYearFive_val,Cost_Quantity_BudgetYearOneOCO_val,@SOURCE_FILENAME,@RECORDID,@ROWID,@PARENTROWID,@PARENT
"Army National Guard","3.199","4.818","","","","","","","","47","","","15","","","","","","2017-BASE_PROCUREMENT-2017-ARMY_OTHER_3-4-U_PROCUREMENT_JustificationBook_Army_PB_2017.zzz_unzipped-U_PROCUREMENT_JustificationBook_Army_PB_2017.xml","cb833ddfbc676dd9d4bad5195ed33db3982f865c6cbe43ee1beb00b1272e5066","1-c52c10c1f5f58a420ed0b5cdc695eec8d47dff240dab4fc96a59ee2e6004337d","0-466a269dcd086555dad3d2c81d6c39cfc5e5d00d22aab087533828432c10fab1","root.record.ItemExhibitList.P5Item"
"Army Reserve","4.064","4.828","","","","","","","","47","","","36","","","","","","2017-BASE_PROCUREMENT-2017-ARMY_OTHER_3-4-U_PROCUREMENT_JustificationBook_Army_PB_2017.zzz_unzipped-U_PROCUREMENT_JustificationBook_Army_PB_2017.xml","cb833ddfbc676dd9d4bad5195ed33db3982f865c6cbe43ee1beb00b1272e5066","2-bc1f1c32a328b9fa7fc1a4631853db726a4912b8eff69ab5f03ecf5117e6c61d","0-466a269dcd086555dad3d2c81d6c39cfc5e5d00d22aab087533828432c10fab1","root.record.ItemExhibitList.P5Item"
"Army Active","5.442","21.516","","","","","","","","24","","","4","","","","","","2017-BASE_PROCUREMENT-2017-ARMY_OTHER_3-4-U_PROCUREMENT_JustificationBook_Army_PB_2017.zzz_unzipped-U_PROCUREMENT_JustificationBook_Army_PB_2017.xml","acf530a61bf6961642d0596c7014e9a6fc8cfd8b21f92e809f1cea52280b917d","0-ad3f6412a48b4d32268d889481124f5dc8179a6288c67a300041eedd65b19636","0-6a035f77598593b10fa0c5cd4fe6c8e71144594a05e49eea24d83b68dfc26356","root.record.ItemExhibitList.P5Item"
"Army National Guard","","","12.417","12.417","","","","","","","17","17","","","","","","","2017-BASE_PROCUREMENT-2017-ARMY_OTHER_3-4-U_PROCUREMENT_JustificationBook_Army_PB_2017.zzz_unzipped-U_PROCUREMENT_JustificationBook_Army_PB_2017.xml","acf530a61bf6961642d0596c7014e9a6fc8cfd8b21f92e809f1cea52280b917d","1-a25f7337220dbc88ed1ae72324e62de07e8f2dd4191dc8ae2adeddbada5e9c65","0-6a035f77598593b10fa0c5cd4fe6c8e71144594a05e49eea24d83b68dfc26356","root.record.ItemExhibitList.P5Item"
"Army Reserve","","","12.827","12.827","","","","","","","17","17","","","","","","","2017-BASE_PROCUREMENT-2017-ARMY_OTHER_3-4-U_PROCUREMENT_JustificationBook_Army_PB_2017.zzz_unzipped-U_PROCUREMENT_JustificationBook_Army_PB_2017.xml","acf530a61bf6961642d0596c7014e9a6fc8cfd8b21f92e809f1cea52280b917d","2-01d84d6e4fa1cab6f44df29666ed718f37b294ed8fa07a2ddf1d0ac37b117e76","0-6a035f77598593b10fa0c5cd4fe6c8e71144594a05e49eea24d83b68dfc26356","root.record.ItemExhibitList.P5Item"
"Army Active","76.362","74.916","75.359","75.359","","","","","","508","519","519","3330","","","","","","2017-BASE_PROCUREMENT-2017-ARMY_OTHER_3-4-U_PROCUREMENT_JustificationBook_Army_PB_2017.zzz_unzipped-U_PROCUREMENT_JustificationBook_Army_PB_2017.xml","91b9da6ce6d7919cc4c1da076f71d342ea52901b691481573ba4eacab5dd7aac","0-1b8886de9664ca56f30ae080dc4f5097a37494d39839dd64363d4b8ea29345f9","0-dec4c2fb080a5504a49b955e16164b4e1f2647be427b0e2da0d7df99bf41406a","root.record.ItemExhibitList.P5Item"
"Army Active","11.98","39.851","39.47","39.47","","","","","","399","162","162","1","","","","","","2017-BASE_PROCUREMENT-2017-ARMY_OTHER_3-4-U_PROCUREMENT_JustificationBook_Army_PB_2017.zzz_unzipped-U_PROCUREMENT_JustificationBook_Army_PB_2017.xml","99fdf12344ddbe14e1ebbcb6290f9a4143355b155574f258b5b758209b883288","0-561956c341c9677382e52d3f488c879ac409a9bf8e12cb4c3d0f5e27e07c8653","0-2f0eb311a86a64804692700d8aaa4732571a4a13ff3940d6f9da89d233238611","root.record.ItemExhibitList.P5Item"
"Army National Guard","19.757","4.329","5.793","5.793","","","","","","130","180","180","2","","","","","","2017-BASE_PROCUREMENT-2017-ARMY_OTHER_3-4-U_PROCUREMENT_JustificationBook_Army_PB_2017.zzz_unzipped-U_PROCUREMENT_JustificationBook_Army_PB_2017.xml","99fdf12344ddbe14e1ebbcb6290f9a4143355b155574f258b5b758209b883288","1-729bd66c37e0da0d2688cda5412c54002ff59b95836a9121591c5a2131058946","0-2f0eb311a86a64804692700d8aaa4732571a4a13ff3940d6f9da89d233238611","root.record.ItemExhibitList.P5Item"
"Army Reserve","","14.454","","","","","","","","47","","","","","","","","","2017-BASE_PROCUREMENT-2017-ARMY_OTHER_3-4-U_PROCUREMENT_JustificationBook_Army_PB_2017.zzz_unzipped-U_PROCUREMENT_JustificationBook_Army_PB_2017.xml","99fdf12344ddbe14e1ebbcb6290f9a4143355b155574f258b5b758209b883288","2-9aa9298a7fabe637d202a1918558d5d7339aec48e7f02685f4053c9d474c2cae","0-2f0eb311a86a64804692700d8aaa4732571a4a13ff3940d6f9da89d233238611","root.record.ItemExhibitList.P5Item"
"Army Active","3.115","1.899","","","","","","","","1","","","","","","","","","2017-BASE_PROCUREMENT-2017-ARMY_OTHER_3-4-U_PROCUREMENT_JustificationBook_Army_PB_2017.zzz_unzipped-U_PROCUREMENT_JustificationBook_Army_PB_2017.xml","99fdf12344ddbe14e1ebbcb6290f9a4143355b155574f258b5b758209b883288","0-a3b7586a9feb167801942222eb64c91c181867052da15d9f1e064b3953b0b4b4","1-6046d613754af2e0f072733629666b1ad42439d3e5a8c388209b325ed2b9ccf5","root.record.ItemExhibitList.P5Item"
"Army National Guard","","","2.656","2.656","","","","","","","1","1","","","","","","","2017-BASE_PROCUREMENT-2017-ARMY_OTHER_3-4-U_PROCUREMENT_JustificationBook_Army_PB_2017.zzz_unzipped-U_PROCUREMENT_JustificationBook_Army_PB_2017.xml","99fdf12344ddbe14e1ebbcb6290f9a4143355b155574f258b5b758209b883288","1-7bec2f90192479925b99cc39cbe08faf31ff09b1786abcaae163e685dd2b3174","1-6046d613754af2e0f072733629666b1ad42439d3e5a8c388209b325ed2b9ccf5","root.record.ItemExhibitList.P5Item"
"Army Reserve","","1.898","2.721","2.721","","","","","","1","1","1","","","","","","","2017-BASE_PROCUREMENT-2017-ARMY_OTHER_3-4-U_PROCUREMENT_JustificationBook_Army_PB_2017.zzz_unzipped-U_PROCUREMENT_JustificationBook_Army_PB_2017.xml","99fdf12344ddbe14e1ebbcb6290f9a4143355b155574f258b5b758209b883288","2-479bcb35e3ffe6a3a9fbc4bbd3a21374a1854377c464045a2afb51ccc8f9dd48","1-6046d613754af2e0f072733629666b1ad42439d3e5a8c388209b325ed2b9ccf5","root.record.ItemExhibitList.P5Item"
"Army Active","20.059","28.232","31.6","31.6","","","","","","8","9","9","2","","","","","","2017-BASE_PROCUREMENT-2017-ARMY_OTHER_3-4-U_PROCUREMENT_JustificationBook_Army_PB_2017.zzz_unzipped-U_PROCUREMENT_JustificationBook_Army_PB_2017.xml","99fdf12344ddbe14e1ebbcb6290f9a4143355b155574f258b5b758209b883288","0-aa95b6af8ff1cb31297711dfaa6672bced25e0a3554444e8b79ad2d8e248f367","2-57b9436dc35d5dea456975055a4a02ddb1e38d132095e7063f03d0aa35b278f9","root.record.ItemExhibitList.P5Item"
"Army National Guard","3.599","7.102","5.651","5.651","","","","","","","","","1","","","","","","2017-BASE_PROCUREMENT-2017-ARMY_OTHER_3-4-U_PROCUREMENT_JustificationBook_Army_PB_2017.zzz_unzipped-U_PROCUREMENT_JustificationBook_Army_PB_2017.xml","99fdf12344ddbe14e1ebbcb6290f9a4143355b155574f258b5b758209b883288","1-cf2f7f2c4ee3ecae8885d4f023f5eba5d26dd49772fa4a087a24c7d8f3325d9b","2-57b9436dc35d5dea456975055a4a02ddb1e38d132095e7063f03d0aa35b278f9","root.record.ItemExhibitList.P5Item"
"Army Reserve","2.479","4.838","4.708","4.708","","","","","","","","","","","","","","","2017-BASE_PROCUREMENT-2017-ARMY_OTHER_3-4-U_PROCUREMENT_JustificationBook_Army_PB_2017.zzz_unzipped-U_PROCUREMENT_JustificationBook_Army_PB_2017.xml","99fdf12344ddbe14e1ebbcb6290f9a4143355b155574f258b5b758209b883288","2-1a7ac0c7e2f1ab2ae7832fdca746c294fb6cd85b609d55e86c153bec3c0e226a","2-57b9436dc35d5dea456975055a4a02ddb1e38d132095e7063f03d0aa35b278f9","root.record.ItemExhibitList.P5Item"
"Army Active","25.405","32.192","11.185","11.185","","","","","","3","","","","","","","","","2017-BASE_PROCUREMENT-2017-ARMY_OTHER_3-4-U_PROCUREMENT_JustificationBook_Army_PB_2017.zzz_unzipped-U_PROCUREMENT_JustificationBook_Army_PB_2017.xml","99fdf12344ddbe14e1ebbcb6290f9a4143355b155574f258b5b758209b883288","0-828e9232c79e3e45bc1ef8793e4a876885cb5f076f9bc96ac881022295945e9c","3-30ccbccb90e323b6671807cc7bd6a3bb1a9627150750288a2cd36510a9ed2d75","root.record.ItemExhibitList.P5Item"
"Army National Guard","","14.938","45.533","45.533","","","","","","4","5","5","","","","","","","2017-BASE_PROCUREMENT-2017-ARMY_OTHER_3-4-U_PROCUREMENT_JustificationBook_Army_PB_2017.zzz_unzipped-U_PROCUREMENT_JustificationBook_Army_PB_2017.xml","99fdf12344ddbe14e1ebbcb6290f9a4143355b155574f258b5b758209b883288","1-0b4e490bcc429672cd6d78d152ff51f48d11575d3d14401a501d3fe81df08493","3-30ccbccb90e323b6671807cc7bd6a3bb1a9627150750288a2cd36510a9ed2d75","root.record.ItemExhibitList.P5Item"
"Army Reserve","","1.82","","","","","","","","1","","","","","","","","","2017-BASE_PROCUREMENT-2017-ARMY_OTHER_3-4-U_PROCUREMENT_JustificationBook_Army_PB_2017.zzz_unzipped-U_PROCUREMENT_JustificationBook_Army_PB_2017.xml","99fdf12344ddbe14e1ebbcb6290f9a4143355b155574f258b5b758209b883288","2-786a343205c75a4060001e645eadcd192e6a06940575f6319e59fc5cec3f2682","3-30ccbccb90e323b6671807cc7bd6a3bb1a9627150750288a2cd36510a9ed2d75","root.record.ItemExhibitList.P5Item"
"Army Active","8.48","10.618","16.586","16.586","","","","","","15","17","17","13","","","","","","2017-BASE_PROCUREMENT-2017-ARMY_OTHER_3-4-U_PROCUREMENT_JustificationBook_Army_PB_2017.zzz_unzipped-U_PROCUREMENT_JustificationBook_Army_PB_2017.xml","99fdf12344ddbe14e1ebbcb6290f9a4143355b155574f258b5b758209b883288","0-245356a009ed421b098e31653813824b19592e7d3411cc2a418fcd0a1af1ee60","4-03ac81f0df546861ee6e5a15e8063ae544422305016737eaca2e3d5b641b8e85","root.record.ItemExhibitList.P5Item"
"Army National Guard","6.218","0.397","","","","","","","","2","","","3","","","","","","2017-BASE_PROCUREMENT-2017-ARMY_OTHER_3-4-U_PROCUREMENT_JustificationBook_Army_PB_2017.zzz_unzipped-U_PROCUREMENT_JustificationBook_Army_PB_2017.xml","99fdf12344ddbe14e1ebbcb6290f9a4143355b155574f258b5b758209b883288","1-5e932db7a945c928e69d8914cf09ff04990e4291a037b3af05dda7a8eead9a2b","4-03ac81f0df546861ee6e5a15e8063ae544422305016737eaca2e3d5b641b8e85","root.record.ItemExhibitList.P5Item"
"Army Reserve","1.8","1.027","1.452","1.452","","","","","","1","1","1","2","","","","","","2017-BASE_PROCUREMENT-2017-ARMY_OTHER_3-4-U_PROCUREMENT_JustificationBook_Army_PB_2017.zzz_unzipped-U_PROCUREMENT_JustificationBook_Army_PB_2017.xml","99fdf12344ddbe14e1ebbcb6290f9a4143355b155574f258b5b758209b883288","2-18922b7541c27363e7c9acadec3e8f8cec5b2fc22ac0bc45bc5610093f45ceaf","4-03ac81f0df546861ee6e5a15e8063ae544422305016737eaca2e3d5b641b8e85","root.record.ItemExhibitList.P5Item"
"Army Active","5","102.587","74.518","74.518","","","","","","29735","18399","18399","2280","","","","","","2017-BASE_PROCUREMENT-2017-ARMY_OTHER_3-4-U_PROCUREMENT_JustificationBook_Army_PB_2017.zzz_unzipped-U_PROCUREMENT_JustificationBook_Army_PB_2017.xml","99fdf12344ddbe14e1ebbcb6290f9a4143355b155574f258b5b758209b883288","0-f61f4f52b6395e2df2c7b40657d126de80cbf0a2fdb45f75526a38750fd6174d","5-eddf89e801a3ed50d412acc068818824ed00921615ae860261cfca5eacdc042d","root.record.ItemExhibitList.P5Item"
"Army Active","9.201","12.054","11.177","11.177","","","","","","7","7","7","10","","","","","","2017-BASE_PROCUREMENT-2017-ARMY_OTHER_3-4-U_PROCUREMENT_JustificationBook_Army_PB_2017.zzz_unzipped-U_PROCUREMENT_JustificationBook_Army_PB_2017.xml","99fdf12344ddbe14e1ebbcb6290f9a4143355b155574f258b5b758209b883288","0-e8e9f8f8f53f12de084490a8d57835dec0fc1f7c0c6c6dc87c34e7fa0296d8b0","6-fbd5bd6d29acc2bbadf0f245f8c6555cd7cec69210ae655e05046a8f90a42e8a","root.record.ItemExhibitList.P5Item"
"Army Active","10.7","40.11","45.391","45.391","","","","","","164","261","261","96","","","","","","2017-BASE_PROCUREMENT-2017-ARMY_OTHER_3-4-U_PROCUREMENT_JustificationBook_Army_PB_2017.zzz_unzipped-U_PROCUREMENT_JustificationBook_Army_PB_2017.xml","33403140f15b3bdfa68b649886cd8cf18e38987ebfaf6d4b145fced17190f018","0-9b8baac696279fc9371a149e909d3e94246b02eff8109a28cf532ba92c2100e9","0-05955487bda254455cc3a67c3b44f53da8dc52bb5926adf081f7356602c3c28a","root.record.ItemExhibitList.P5Item"
"Army National Guard","2.706","5.1","2.88","2.88","","","","","","59","48","48","12","","","","","","2017-BASE_PROCUREMENT-2017-ARMY_OTHER_3-4-U_PROCUREMENT_JustificationBook_Army_PB_2017.zzz_unzipped-U_PROCUREMENT_JustificationBook_Army_PB_2017.xml","33403140f15b3bdfa68b649886cd8cf18e38987ebfaf6d4b145fced17190f018","1-ed7f28c506d855106b087bfd5df24feadc88102bb79df5f5e472ea2d991c5be1","0-05955487bda254455cc3a67c3b44f53da8dc52bb5926adf081f7356602c3c28a","root.record.ItemExhibitList.P5Item"
"Army Active","5.221","15.635","24.807","24.807","","","","","","12","9","9","","","","","","","2017-BASE_PROCUREMENT-2017-ARMY_OTHER_3-4-U_PROCUREMENT_JustificationBook_Army_PB_2017.zzz_unzipped-U_PROCUREMENT_JustificationBook_Army_PB_2017.xml","c23dc4c533e7bd9552b123a30702add71a28f437935c889c3f9807176f39970e","0-cec75ebe8291ac52b3b50f09e226b7f532a17c0de3d6f7d73e9432ff40003f5e","0-e881f40df43f0e84bb4c5aa24ae345ec2e8fc9059a363e79a997b551c8c6352d","root.record.ItemExhibitList.P5Item"
"Army National Guard","3.062","9.171","9.654","9.654","","","","","","7","4","4","","","","","","","2017-BASE_PROCUREMENT-2017-ARMY_OTHER_3-4-U_PROCUREMENT_JustificationBook_Army_PB_2017.zzz_unzipped-U_PROCUREMENT_JustificationBook_Army_PB_2017.xml","c23dc4c533e7bd9552b123a30702add71a28f437935c889c3f9807176f39970e","1-2e521b557d75a6affa9aeacfdf7b07632701c9f3e16c66c513b460071992dd4c","0-e881f40df43f0e84bb4c5aa24ae345ec2e8fc9059a363e79a997b551c8c6352d","root.record.ItemExhibitList.P5Item"
"Army Reserve","1.757","5.262","5.539","5.539","","","","","","4","2","2","","","","","","","2017-BASE_PROCUREMENT-2017-ARMY_OTHER_3-4-U_PROCUREMENT_JustificationBook_Army_PB_2017.zzz_unzipped-U_PROCUREMENT_JustificationBook_Army_PB_2017.xml","c23dc4c533e7bd9552b123a30702add71a28f437935c889c3f9807176f39970e","2-ad5e2cbcfb19f379cc2cc3c26c355129fda3a2e5bd5acbc7c4976b8c35f77f0f","0-e881f40df43f0e84bb4c5aa24ae345ec2e8fc9059a363e79a997b551c8c6352d","root.record.ItemExhibitList.P5Item"
"Army Active","5.939","3.265","4.505","4.505","","","","","","","15","15","30","","","","","","2017-BASE_PROCUREMENT-2017-ARMY_OTHER_3-4-U_PROCUREMENT_JustificationBook_Army_PB_2017.zzz_unzipped-U_PROCUREMENT_JustificationBook_Army_PB_2017.xml","6efa4298309c0943ca7d0988c6cd960adab2ba77b0ca827543ea63f4906092ce","0-d2282ce111637d77385af4641b6bf5d47e8bb8e25f37a87303b202ca279c2f83","0-bac94636f6e4e778ff315d2695530244e47e78b8faa61a8313307b4bf10d0d37","root.record.ItemExhibitList.P5Item"
"Army National Guard","2.188","3.264","4.645","4.645","","","","","","","15","15","5","","","","","","2017-BASE_PROCUREMENT-2017-ARMY_OTHER_3-4-U_PROCUREMENT_JustificationBook_Army_PB_2017.zzz_unzipped-U_PROCUREMENT_JustificationBook_Army_PB_2017.xml","6efa4298309c0943ca7d0988c6cd960adab2ba77b0ca827543ea63f4906092ce","1-e1b5591a86dded6c2f577aaf8d6449fa2a1e10ed003d734dc6645d94dbf4b6b0","0-bac94636f6e4e778ff315d2695530244e47e78b8faa61a8313307b4bf10d0d37","root.record.ItemExhibitList.P5Item"
"Army Reserve","2.038","3.264","2.393","2.393","","","","","","","2","2","4","","","","","","2017-BASE_PROCUREMENT-2017-ARMY_OTHER_3-4-U_PROCUREMENT_JustificationBook_Army_PB_2017.zzz_unzipped-U_PROCUREMENT_JustificationBook_Army_PB_2017.xml","6efa4298309c0943ca7d0988c6cd960adab2ba77b0ca827543ea63f4906092ce","2-9dfe7b292c9bb660bff2b55dfb62479de5eed6ff8415e6f023c7795c1aef2046","0-bac94636f6e4e778ff315d2695530244e47e78b8faa61a8313307b4bf10d0d37","root.record.ItemExhibitList.P5Item"
"Army Active","3.356","2.748","2.779","2.779","","","","","","77","40","40","109","","","","","","2017-BASE_PROCUREMENT-2017-ARMY_OTHER_3-4-U_PROCUREMENT_JustificationBook_Army_PB_2017.zzz_unzipped-U_PROCUREMENT_JustificationBook_Army_PB_2017.xml","c53158b3ebe4c2ef7753fab01d19ece1fa22ef9ce32029c5446ae7c0afc920a8","0-929221c227c2e95a7b880e0aeb83005f283c6f9d0e498c7a63feecd323d291ed","0-3f7b8911becb13104038230573d1fe6419183a919dc0b416de7543cac726e52a","root.record.ItemExhibitList.P5Item"
"Army National Guard","2.37","1.902","2.184","2.184","","","","","","36","26","26","77","","","","","","2017-BASE_PROCUREMENT-2017-ARMY_OTHER_3-4-U_PROCUREMENT_JustificationBook_Army_PB_2017.zzz_unzipped-U_PROCUREMENT_JustificationBook_Army_PB_2017.xml","c53158b3ebe4c2ef7753fab01d19ece1fa22ef9ce32029c5446ae7c0afc920a8","1-706cd97155ba10b33193dfaba5121e76fcf19fc751c9d0787fb40ee1d1d5b304","0-3f7b8911becb13104038230573d1fe6419183a919dc0b416de7543cac726e52a","root.record.ItemExhibitList.P5Item"
"Army Active","11.089","2.404","1.449","1.449","","","","","","126","70","70","631","","","","","","2017-BASE_PROCUREMENT-2017-ARMY_OTHER_3-4-U_PROCUREMENT_JustificationBook_Army_PB_2017.zzz_unzipped-U_PROCUREMENT_JustificationBook_Army_PB_2017.xml","a2b696b84af774d01e9e6216eba74fec69fc933bd722ba1d90164d212cbf8347","0-4cb6291198eac4cd395704b000665bc79c104ebfa46ecfe06321b1ac35b9d092","0-946b967c222e592645630cd5905f27f20de245d92715e50da459c2853dc63fac","root.record.ItemExhibitList.P5Item"
"Army National Guard","10.842","17.174","10.435","10.435","","","","","","900","500","500","603","","","","","","2017-BASE_PROCUREMENT-2017-ARMY_OTHER_3-4-U_PROCUREMENT_JustificationBook_Army_PB_2017.zzz_unzipped-U_PROCUREMENT_JustificationBook_Army_PB_2017.xml","a2b696b84af774d01e9e6216eba74fec69fc933bd722ba1d90164d212cbf8347","1-20922d5429a9a12246c2afb6e904433f96c671af66bc44cc0574dfc4955f2438","0-946b967c222e592645630cd5905f27f20de245d92715e50da459c2853dc63fac","root.record.ItemExhibitList.P5Item"
"Army Reserve","2.712","4.274","2.609","2.609","","","","","","224","125","125","201","","","","","","2017-BASE_PROCUREMENT-2017-ARMY_OTHER_3-4-U_PROCUREMENT_JustificationBook_Army_PB_2017.zzz_unzipped-U_PROCUREMENT_JustificationBook_Army_PB_2017.xml","a2b696b84af774d01e9e6216eba74fec69fc933bd722ba1d90164d212cbf8347","2-3b9eee8c1f16ea16e79a35fa2545befe4ff31bc0cc67eb647ebc9bf219b9ea6e","0-946b967c222e592645630cd5905f27f20de245d92715e50da459c2853dc63fac","root.record.ItemExhibitList.P5Item"
"Army Active","12.839","10.635","15.288","15.288","","","","","","3","4","4","2","","","","","","2017-BASE_PROCUREMENT-2017-ARMY_OTHER_3-4-U_PROCUREMENT_JustificationBook_Army_PB_2017.zzz_unzipped-U_PROCUREMENT_JustificationBook_Army_PB_2017.xml","a2b696b84af774d01e9e6216eba74fec69fc933bd722ba1d90164d212cbf8347","0-565de58c99affcc8603572e0754dfb2f3d96e405234c7806a5d5745626cd7366","1-5f6f77a259b1473eb3fd197dd3aaae5763efe525673a4cca1e6305bfa02d5129","root.record.ItemExhibitList.P5Item"
"Army Active","5.038","4.732","2.664","3.804","","","","","1.14","250","146","397","265","","","","","251","2017-BASE_PROCUREMENT-2017-ARMY_OTHER_3-4-U_PROCUREMENT_JustificationBook_Army_PB_2017.zzz_unzipped-U_PROCUREMENT_JustificationBook_Army_PB_2017.xml","66369101c88d5956e47a7c463dc1b9432661a10938b17ab4c48087dbd5244a41","0-e85ea4c0fa29318eab1e1c6c5a8008f56b4d7962060054a47573bf0512daeb32","0-db2267db25b45022098f0aeabe3770a35ec9dc390eb5561c4bd7fce2b5dc6a5b","root.record.ItemExhibitList.P5Item"
"Army National Guard","4.373","4.134","2.394","2.394","","","","","","219","128","128","230","","","","","","2017-BASE_PROCUREMENT-2017-ARMY_OTHER_3-4-U_PROCUREMENT_JustificationBook_Army_PB_2017.zzz_unzipped-U_PROCUREMENT_JustificationBook_Army_PB_2017.xml","66369101c88d5956e47a7c463dc1b9432661a10938b17ab4c48087dbd5244a41","1-6f35bde96b7a96619c6949dd2da488bed7eec2b3c83a406cd70a366d529f96fe","0-db2267db25b45022098f0aeabe3770a35ec9dc390eb5561c4bd7fce2b5dc6a5b","root.record.ItemExhibitList.P5Item"
"Army Reserve","2.3","2.217","1.284","1.284","","","","","","117","68","68","121","","","","","","2017-BASE_PROCUREMENT-2017-ARMY_OTHER_3-4-U_PROCUREMENT_JustificationBook_Army_PB_2017.zzz_unzipped-U_PROCUREMENT_JustificationBook_Army_PB_2017.xml","66369101c88d5956e47a7c463dc1b9432661a10938b17ab4c48087dbd5244a41","2-d7037d682bc971648efdb9cb2d2f6fdf60824ccb4eb384610ee3dab5242e5351","0-db2267db25b45022098f0aeabe3770a35ec9dc390eb5561c4bd7fce2b5dc6a5b","root.record.ItemExhibitList.P5Item"
"Army Active","","","3.149","3.149","","","","","","","378","378","","","","","","","2017-BASE_PROCUREMENT-2017-ARMY_OTHER_3-4-U_PROCUREMENT_JustificationBook_Army_PB_2017.zzz_unzipped-U_PROCUREMENT_JustificationBook_Army_PB_2017.xml","af9a20758f40c7a91b2d937477494532e15603e2e21e1d7057d4cddbcb664142","0-5b3076be9133a07c0792caff89c4cce330d165356173f8efec775438a6446cf8","0-0d8c11e494685a41154ba7ea7b53a4d8b7210d1c677a1da805acd85dec1f98df","root.record.ItemExhibitList.P5Item"
"Army Active","22.38","26.437","18.003","26.503","","","","","8.5","","","","","","","","","","2017-BASE_PROCUREMENT-2017-ARMY_OTHER_3-4-U_PROCUREMENT_JustificationBook_Army_PB_2017.zzz_unzipped-U_PROCUREMENT_JustificationBook_Army_PB_2017.xml","35f302aa03ecd406dcff178d65e3606bf268dc1e8882d9a66c5e1a5572a36468","0-b1b6386cd66fecbda4e9a25d27648df91027f4415078398d49db645680e21db3","0-36d5391fb65a1b13dc55ff23b4de679d9ea3f5780d6d13613fcd0aeb666998ae","root.record.ItemExhibitList.P5Item"
"Army Active","4.406","10.766","10.218","10.218","","","","","","2","2","2","","","","","","","2017-BASE_PROCUREMENT-2017-ARMY_OTHER_3-4-U_PROCUREMENT_JustificationBook_Army_PB_2017.zzz_unzipped-U_PROCUREMENT_JustificationBook_Army_PB_2017.xml","24a1503d5edf5ff70100daf46da19328f62077c969b6f272109967a29814f3ea","0-5888cbae3455513d0ca8fe53cac1ec0cd5617fd0657d4cfd9f49925b10e9bf67","0-e68acf533578ddb9532ecfae9299216512ba59778f437332a8211e895506890e","root.record.ItemExhibitList.P5Item"
"Army Active","8.294","5.128","0.45","0.45","","","","","","3","1","1","7","","","","","","2017-BASE_PROCUREMENT-2017-ARMY_OTHER_3-4-U_PROCUREMENT_JustificationBook_Army_PB_2017.zzz_unzipped-U_PROCUREMENT_JustificationBook_Army_PB_2017.xml","24a1503d5edf5ff70100daf46da19328f62077c969b6f272109967a29814f3ea","0-e1be3fd7515bbefd31f7138bdbd2b1a34ed2c287d865d36a6ddae35d08ebe8e8","1-bc60b6303ec150e7ed23d9d9257d2f6c356529f9bd34b09f5ecd19e92e1f2593","root.record.ItemExhibitList.P5Item"
"Army National Guard","","","5.04","5.04","","","","","","","5","5","","","","","","","2017-BASE_PROCUREMENT-2017-ARMY_OTHER_3-4-U_PROCUREMENT_JustificationBook_Army_PB_2017.zzz_unzipped-U_PROCUREMENT_JustificationBook_Army_PB_2017.xml","24a1503d5edf5ff70100daf46da19328f62077c969b6f272109967a29814f3ea","1-3cf59b4fce45863704eac58a9a72c787151f40a0a7a80c1ef5d1cb2e147cfb59","1-bc60b6303ec150e7ed23d9d9257d2f6c356529f9bd34b09f5ecd19e92e1f2593","root.record.ItemExhibitList.P5Item"
"Army Active","18.941","36.146","28.374","28.374","","","","","","6","8","8","3","","","","","","2017-BASE_PROCUREMENT-2017-ARMY_OTHER_3-4-U_PROCUREMENT_JustificationBook_Army_PB_2017.zzz_unzipped-U_PROCUREMENT_JustificationBook_Army_PB_2017.xml","24a1503d5edf5ff70100daf46da19328f62077c969b6f272109967a29814f3ea","0-0899480eb3eb030bd4e94575878c05fdb42f553b0eed68fa67c2633914e5facd","2-0867397d91c748e8cbfb949fb31fcc8d636d3229c6a4647f5370e8ae04d6c96d","root.record.ItemExhibitList.P5Item"
"Army Active","1.008","1.568","2.168","2.168","","","","","","","","","","","","","","","2017-BASE_PROCUREMENT-2017-ARMY_OTHER_3-4-U_PROCUREMENT_JustificationBook_Army_PB_2017.zzz_unzipped-U_PROCUREMENT_JustificationBook_Army_PB_2017.xml","0241b7d6277ba96afaaea206b76788fb8fabc46e2edf386916ebfd173b39cdd4","0-17555fe53615e0a575c58057398fedcaa6dc967ff91fa63717f6ad05e844425c","0-1a9a72c4446355bd089b781a3a1e1722f7670244944cacf2a2cdf3150427735d","root.record.ItemExhibitList.P5Item"
