Name_val,Cost_AllPriorYears_TotalCost_val,Cost_AllPriorYears_UnitCost_val,Cost_AllPriorYears_Quantity_val,Cost_PriorYear_TotalCost_val,Cost_CurrentYear_TotalCost_val,Cost_BudgetYearOneBase_TotalCost_val,Cost_BudgetYearOneOCO_TotalCost_val,Cost_BudgetYearOne_TotalCost_val,Cost_BudgetYearTwo_TotalCost_val,Cost_BudgetYearThree_TotalCost_val,Cost_BudgetYearFour_TotalCost_val,Cost_BudgetYearFive_TotalCost_val,Cost_ToComplete_TotalCost_val,Cost_Total_TotalCost_val,Cost_Total_UnitCost_val,Cost_Total_Quantity_val,Cost_TotalCost_AllPriorYears_val,Cost_TotalCost_ToComplete_val,Cost_TotalCost_Total_val,Cost_TotalCost_PriorYear_val,Cost_TotalCost_CurrentYear_val,Cost_TotalCost_BudgetYearOneBase_val,Cost_TotalCost_BudgetYearOne_val,Cost_TotalCost_BudgetYearTwo_val,Cost_TotalCost_BudgetYearThree_val,Cost_TotalCost_BudgetYearFour_val,Cost_TotalCost_BudgetYearFive_val,Cost_TotalCost_BudgetYearOneOCO_val,@SOURCE_FILENAME,@RECORDID,@ROWID,@PARENTROWID,@PARENT
"AEHF Spectrum Management","","","","","","","","","","","","","","","","","","0","0","","","0","0","0","0","0","","","2017-BASE_PROCUREMENT-2017-AIRFORCE_MISSILE-U_PROCUREMENT_JustificationBook_Air_Force_PB_2017.zzz_unzipped-U_PROCUREMENT_JustificationBook_Air_Force_PB_2017.xml","5733047dfa31cd67a8141efe5785b608b17f62b6e02b6fa53ec7b98245eb3cb2","1-13b880e778b8613fd5441a1fc33125c58faa83cfcc5ba2376b1f8694aea34c0c","1-461e3d91343f0448252d3f024a6db3c2c33c5e256c5e2909112e2b0f007d60db","root.record.ItemExhibitList.P5Item"
"AEHF SV 5-6 Launch Support Services/Launch Readiness","","","","","","","","","","","","","","","","","","0","0","","","0","0","0","0","0","","","2017-BASE_PROCUREMENT-2017-AIRFORCE_MISSILE-U_PROCUREMENT_JustificationBook_Air_Force_PB_2017.zzz_unzipped-U_PROCUREMENT_JustificationBook_Air_Force_PB_2017.xml","5733047dfa31cd67a8141efe5785b608b17f62b6e02b6fa53ec7b98245eb3cb2","2-b834ff56711ff620ef16bc308ab73f9195c388cef8a6d93cca83e4f1131534dc","1-461e3d91343f0448252d3f024a6db3c2c33c5e256c5e2909112e2b0f007d60db","root.record.ItemExhibitList.P5Item"
"Command & Control System-Consolidated (CCS-C) Launch Support AEHF 5-6","","","","","","","","","","","","","","","","","","0","1.843","1.843","","0","0","","","","","","2017-BASE_PROCUREMENT-2017-AIRFORCE_MISSILE-U_PROCUREMENT_JustificationBook_Air_Force_PB_2017.zzz_unzipped-U_PROCUREMENT_JustificationBook_Air_Force_PB_2017.xml","5733047dfa31cd67a8141efe5785b608b17f62b6e02b6fa53ec7b98245eb3cb2","3-d3a1257c013d61fcf19e10d9db3e49b51dbeab179104bb2147a596752457dc1c","1-461e3d91343f0448252d3f024a6db3c2c33c5e256c5e2909112e2b0f007d60db","root.record.ItemExhibitList.P5Item"
"AEHF SV 5-6 Satellite Transportation for Launch","","","","","","","","","","","","","","","","","","0","0","","","0","0","0","","","","","2017-BASE_PROCUREMENT-2017-AIRFORCE_MISSILE-U_PROCUREMENT_JustificationBook_Air_Force_PB_2017.zzz_unzipped-U_PROCUREMENT_JustificationBook_Air_Force_PB_2017.xml","5733047dfa31cd67a8141efe5785b608b17f62b6e02b6fa53ec7b98245eb3cb2","4-f8580ed77241f798f1cdc9edb888f8bf4623e91d19bc5bd31ae3fba4ec97d203","1-461e3d91343f0448252d3f024a6db3c2c33c5e256c5e2909112e2b0f007d60db","root.record.ItemExhibitList.P5Item"
"WGS SV 1-5 Checkout & Launch/Launch Readiness","","","","","","","","","","","","","","","","","235.679","0","235.679","","","","","","","","","","2017-BASE_PROCUREMENT-2017-AIRFORCE_MISSILE-U_PROCUREMENT_JustificationBook_Air_Force_PB_2017.zzz_unzipped-U_PROCUREMENT_JustificationBook_Air_Force_PB_2017.xml","605714345c719f1dbbd12a25da57f4edb17db986c06354604455cc112db54165","0-0ca6fae0acacd3d4b34e93da2b4b353395bb67296193cbca7850b1e9b119c756","0-50449331b5011c0a78f74766de4347e3a34050c8648ed16a431ff93f79f2c300","root.record.ItemExhibitList.P5Item"
"WGS SV 4-5 Storage Reactivation and Transport","","","","","","","","","","","","","","","","","4.022","0","4.022","","","","","","","","","","2017-BASE_PROCUREMENT-2017-AIRFORCE_MISSILE-U_PROCUREMENT_JustificationBook_Air_Force_PB_2017.zzz_unzipped-U_PROCUREMENT_JustificationBook_Air_Force_PB_2017.xml","605714345c719f1dbbd12a25da57f4edb17db986c06354604455cc112db54165","1-653fae7e07745502ee49bc71e0728aa0258996df64681abc9bdca01266f0cf2b","0-50449331b5011c0a78f74766de4347e3a34050c8648ed16a431ff93f79f2c300","root.record.ItemExhibitList.P5Item"
"WGS B2FO Checkout & Launch/Launch Readiness","","","","","","","","","","","","","","","","","19.051","0","40.698","21.647","0","0","0","0","0","0","","","2017-BASE_PROCUREMENT-2017-AIRFORCE_MISSILE-U_PROCUREMENT_JustificationBook_Air_Force_PB_2017.zzz_unzipped-U_PROCUREMENT_JustificationBook_Air_Force_PB_2017.xml","605714345c719f1dbbd12a25da57f4edb17db986c06354604455cc112db54165","0-cf879374aa0bb0646c899a5390d6b5d01182ad9c8402ce36a0735f72bcfa6447","1-1a1608faf22ae390e94098150daa81c30fb4445975bb3094f796b2e104324b16","root.record.ItemExhibitList.P5Item"
"Command & Control System - Consolidated (CCS-C) WGS B2FO support","","","","","","","","","","","","","","","","","2.589","0","4.66","2.071","0","0","0","0","","","","","2017-BASE_PROCUREMENT-2017-AIRFORCE_MISSILE-U_PROCUREMENT_JustificationBook_Air_Force_PB_2017.zzz_unzipped-U_PROCUREMENT_JustificationBook_Air_Force_PB_2017.xml","605714345c719f1dbbd12a25da57f4edb17db986c06354604455cc112db54165","1-a67f9e633481060235dff6f5d105ffb83a2eda6a45ce8e6c95882bb45a2bb800","1-1a1608faf22ae390e94098150daa81c30fb4445975bb3094f796b2e104324b16","root.record.ItemExhibitList.P5Item"
"Technical Mission Analysis","","","","","","","","","","","","","","","","","","0","5.803","5.803","","","","","","","","","2017-BASE_PROCUREMENT-2017-AIRFORCE_MISSILE-U_PROCUREMENT_JustificationBook_Air_Force_PB_2017.zzz_unzipped-U_PROCUREMENT_JustificationBook_Air_Force_PB_2017.xml","605714345c719f1dbbd12a25da57f4edb17db986c06354604455cc112db54165","2-9245ac2cb185cbff2ae192ca0eb09fad9c72cb3f9964d316f89abe9361b15c0c","1-1a1608faf22ae390e94098150daa81c30fb4445975bb3094f796b2e104324b16","root.record.ItemExhibitList.P5Item"
"WGS Enterprise SE&I","","","","","","","","","","","","","","","","","1.7","0","2.7","1","","","","","","","","","2017-BASE_PROCUREMENT-2017-AIRFORCE_MISSILE-U_PROCUREMENT_JustificationBook_Air_Force_PB_2017.zzz_unzipped-U_PROCUREMENT_JustificationBook_Air_Force_PB_2017.xml","605714345c719f1dbbd12a25da57f4edb17db986c06354604455cc112db54165","3-0cbdfa99d162bf20dca70539cfee847edb18b06d17b7e468b96d75003bef4105","1-1a1608faf22ae390e94098150daa81c30fb4445975bb3094f796b2e104324b16","root.record.ItemExhibitList.P5Item"
"GPS IIF Integration","","","","","","","","","","","","","","","","","5.94","0","5.99","0.05","0","0","0","","0","0","0","0","2017-BASE_PROCUREMENT-2017-AIRFORCE_MISSILE-U_PROCUREMENT_JustificationBook_Air_Force_PB_2017.zzz_unzipped-U_PROCUREMENT_JustificationBook_Air_Force_PB_2017.xml","757961cbe8a0d2070f12a727adaa17a09f878a4cdb5b0c09ca9d72290d4f3ee5","0-c80baf946936dcfecdfe1e1b81b99672501a07e1c278def8248d1b6402046dfc","0-ff39712f8a2e57f2fe243f948ef7d824584a585d493e17455d833ad18a6bdf71","root.record.ItemExhibitList.P5Item"
"GPS IIF Launch Services Planning","","","","","","","","","","","","","","","","","243.186","0","245.9","2.714","","","","","","","","","2017-BASE_PROCUREMENT-2017-AIRFORCE_MISSILE-U_PROCUREMENT_JustificationBook_Air_Force_PB_2017.zzz_unzipped-U_PROCUREMENT_JustificationBook_Air_Force_PB_2017.xml","757961cbe8a0d2070f12a727adaa17a09f878a4cdb5b0c09ca9d72290d4f3ee5","1-df4a46e0acd01616c8ba26067922690d9867cb3ac576c660e2c03fa2ac6336b0","0-ff39712f8a2e57f2fe243f948ef7d824584a585d493e17455d833ad18a6bdf71","root.record.ItemExhibitList.P5Item"
"GPS IIF Propellants","","","","","","","","","","","","","","","","","5.759","0","5.924","0.165","","","","","","","","","2017-BASE_PROCUREMENT-2017-AIRFORCE_MISSILE-U_PROCUREMENT_JustificationBook_Air_Force_PB_2017.zzz_unzipped-U_PROCUREMENT_JustificationBook_Air_Force_PB_2017.xml","757961cbe8a0d2070f12a727adaa17a09f878a4cdb5b0c09ca9d72290d4f3ee5","2-e38eaa8d689fa0a85ce5179b473aeb72152f5986576b20a254bf5957d0b2bd1a","0-ff39712f8a2e57f2fe243f948ef7d824584a585d493e17455d833ad18a6bdf71","root.record.ItemExhibitList.P5Item"
"GPS IIF Storage Reactivation & Transport","","","","","","","","","","","","","","","","","22.092","0","28.508","6.416","","","","0","","","","","2017-BASE_PROCUREMENT-2017-AIRFORCE_MISSILE-U_PROCUREMENT_JustificationBook_Air_Force_PB_2017.zzz_unzipped-U_PROCUREMENT_JustificationBook_Air_Force_PB_2017.xml","757961cbe8a0d2070f12a727adaa17a09f878a4cdb5b0c09ca9d72290d4f3ee5","3-acf74cc756b17a36cdd6abde10c37a726f72b8056a7600ba60b03f95ef5f024c","0-ff39712f8a2e57f2fe243f948ef7d824584a585d493e17455d833ad18a6bdf71","root.record.ItemExhibitList.P5Item"
"GPS IIF Technical Mission Analysis","","","","","","","","","","","","","","","","","","0","5.678","5.678","","","","","","","","","2017-BASE_PROCUREMENT-2017-AIRFORCE_MISSILE-U_PROCUREMENT_JustificationBook_Air_Force_PB_2017.zzz_unzipped-U_PROCUREMENT_JustificationBook_Air_Force_PB_2017.xml","757961cbe8a0d2070f12a727adaa17a09f878a4cdb5b0c09ca9d72290d4f3ee5","4-113839662df6cc0f9431ada12550d2a6dc9ec049e396dd0c5aa755aa7c739a49","0-ff39712f8a2e57f2fe243f948ef7d824584a585d493e17455d833ad18a6bdf71","root.record.ItemExhibitList.P5Item"
"GPS IIF Enterprise SE&I","","","","","","","","","","","","","","","","","364.512","0","364.629","0.117","","","","","","","","","2017-BASE_PROCUREMENT-2017-AIRFORCE_MISSILE-U_PROCUREMENT_JustificationBook_Air_Force_PB_2017.zzz_unzipped-U_PROCUREMENT_JustificationBook_Air_Force_PB_2017.xml","757961cbe8a0d2070f12a727adaa17a09f878a4cdb5b0c09ca9d72290d4f3ee5","5-aa19e8afd7a0db6e20a50e876d111df5713d2ef98076b90009c10ef220379050","0-ff39712f8a2e57f2fe243f948ef7d824584a585d493e17455d833ad18a6bdf71","root.record.ItemExhibitList.P5Item"
"GPS IIF GSA Vehicles","","","","","","","","","","","","","","","","","","0","0.035","0.035","","","","","","","","","2017-BASE_PROCUREMENT-2017-AIRFORCE_MISSILE-U_PROCUREMENT_JustificationBook_Air_Force_PB_2017.zzz_unzipped-U_PROCUREMENT_JustificationBook_Air_Force_PB_2017.xml","757961cbe8a0d2070f12a727adaa17a09f878a4cdb5b0c09ca9d72290d4f3ee5","6-96b1869f485105b6dac1a430fb5c21f4a6a9b3bdbbf926f6d2ebcfaa9bc22d0c","0-ff39712f8a2e57f2fe243f948ef7d824584a585d493e17455d833ad18a6bdf71","root.record.ItemExhibitList.P5Item"
"VAFB Launch Base Support","","","","","","","","","","","","","","","","","18.306","","","0.5","","","","","","","","","2017-BASE_PROCUREMENT-2017-AIRFORCE_MISSILE-U_PROCUREMENT_JustificationBook_Air_Force_PB_2017.zzz_unzipped-U_PROCUREMENT_JustificationBook_Air_Force_PB_2017.xml","1aa38ef9eaefda618e335a7e720f9797da477a4fafd784257115c32ec1bdd7a4","0-816ae6c850e16ab65b28d53fe9b879d86dc49b3c081efddddbe19976822233ec","0-86584bea66eee75e202f08780c96df1325c86fe5e52553b10fea6d9efdcf8e9f","root.record.ItemExhibitList.P5Item"
"EELV Mission Unique Hardware","","","","","","","","","","","","","","","","","30.566","","","2","","","","","","","","","2017-BASE_PROCUREMENT-2017-AIRFORCE_MISSILE-U_PROCUREMENT_JustificationBook_Air_Force_PB_2017.zzz_unzipped-U_PROCUREMENT_JustificationBook_Air_Force_PB_2017.xml","1aa38ef9eaefda618e335a7e720f9797da477a4fafd784257115c32ec1bdd7a4","1-5f9e4bf37e037f8a4cc306137b007b1a2012591e2815703a83c9f474e8d8d979","0-86584bea66eee75e202f08780c96df1325c86fe5e52553b10fea6d9efdcf8e9f","root.record.ItemExhibitList.P5Item"
"NGC Launch & Early Orbit Spt--CLIN 3","","","","","","","","","","","","","","","","","7.565","","","","","","","","","","","","2017-BASE_PROCUREMENT-2017-AIRFORCE_MISSILE-U_PROCUREMENT_JustificationBook_Air_Force_PB_2017.zzz_unzipped-U_PROCUREMENT_JustificationBook_Air_Force_PB_2017.xml","1aa38ef9eaefda618e335a7e720f9797da477a4fafd784257115c32ec1bdd7a4","2-9a784115ca95f8a2a6ccdc50bdb37cf38853ecd7386d155989c88bfcde20226a","0-86584bea66eee75e202f08780c96df1325c86fe5e52553b10fea6d9efdcf8e9f","root.record.ItemExhibitList.P5Item"
"GEO 3-4 Launch Ops & Checkout","","","","","","","","","","","","","","","","","105.035","0","135.647","30.612","","","","","","","","","2017-BASE_PROCUREMENT-2017-AIRFORCE_MISSILE-U_PROCUREMENT_JustificationBook_Air_Force_PB_2017.zzz_unzipped-U_PROCUREMENT_JustificationBook_Air_Force_PB_2017.xml","0044feba6c5f103dc52333af25237d8df99ab8495c014e88535cc38b2a15aca5","0-af971be004dd4527ac701fba7b44772f828dba418de5ba010026a84b60c16e09","0-2e945ddd6ac7552467c91054bb903edb357ff83523b55e174ed5d023af383d45","root.record.ItemExhibitList.P5Item"
"Interim Contractor Support (ICS)","","","","","","","","","","","","","","","","","21.753","0","21.753","","","","","","","","","","2017-BASE_PROCUREMENT-2017-AIRFORCE_MISSILE-U_PROCUREMENT_JustificationBook_Air_Force_PB_2017.zzz_unzipped-U_PROCUREMENT_JustificationBook_Air_Force_PB_2017.xml","0044feba6c5f103dc52333af25237d8df99ab8495c014e88535cc38b2a15aca5","1-5e2a36ec97308e93ce787a842f7b3b4c37a9c1c7a970b0bfcb00f19ec7d45ad2","0-2e945ddd6ac7552467c91054bb903edb357ff83523b55e174ed5d023af383d45","root.record.ItemExhibitList.P5Item"
"GEO 5-6 Launch Ops & Checkout","","","","","","","","","","","","","","","","","290.585","0","290.585","","","","","","","","","","2017-BASE_PROCUREMENT-2017-AIRFORCE_MISSILE-U_PROCUREMENT_JustificationBook_Air_Force_PB_2017.zzz_unzipped-U_PROCUREMENT_JustificationBook_Air_Force_PB_2017.xml","0044feba6c5f103dc52333af25237d8df99ab8495c014e88535cc38b2a15aca5","0-e6eeef25b285fcc70928a3c44cd10098c440ad9b56b9471f062cbb20fb9196e2","1-21966717697613569f33a06eebc44e81b0209688242e0e9e3bca36cd3f405c8c","root.record.ItemExhibitList.P5Item"
"FY17 Incremental Funding (3021)","","","","","","","","","","","","","","","","","-3.271","0","-3.271","","","","","","","","","","2017-BASE_PROCUREMENT-2017-AIRFORCE_MISSILE-U_PROCUREMENT_JustificationBook_Air_Force_PB_2017.zzz_unzipped-U_PROCUREMENT_JustificationBook_Air_Force_PB_2017.xml","0044feba6c5f103dc52333af25237d8df99ab8495c014e88535cc38b2a15aca5","1-98fe09a72430497bf508df1d9757378d01480c7d23c764f3944bcf84aafa5bdb","1-21966717697613569f33a06eebc44e81b0209688242e0e9e3bca36cd3f405c8c","root.record.ItemExhibitList.P5Item"
"FY18 Incremental Funding (3021)","","","","","","","","","","","","","","","","","-287.314","0","-287.314","","","","","","","","","","2017-BASE_PROCUREMENT-2017-AIRFORCE_MISSILE-U_PROCUREMENT_JustificationBook_Air_Force_PB_2017.zzz_unzipped-U_PROCUREMENT_JustificationBook_Air_Force_PB_2017.xml","0044feba6c5f103dc52333af25237d8df99ab8495c014e88535cc38b2a15aca5","2-994fbe82ff814202b749d5c47d5304ea3e6cd96fa63ac429ca82ea5f02f9728e","1-21966717697613569f33a06eebc44e81b0209688242e0e9e3bca36cd3f405c8c","root.record.ItemExhibitList.P5Item"
"HEO Host Accommodation","","","","","","","","","","","","","","","","","234.367","0","237.222","2.855","","","","","","","","","2017-BASE_PROCUREMENT-2017-AIRFORCE_MISSILE-U_PROCUREMENT_JustificationBook_Air_Force_PB_2017.zzz_unzipped-U_PROCUREMENT_JustificationBook_Air_Force_PB_2017.xml","0044feba6c5f103dc52333af25237d8df99ab8495c014e88535cc38b2a15aca5","0-f0a53c8c0e224b1878d6a62d0e439c0677bf88b050091023406929438da40479","2-936f9df0c8906fecfc60ca69db1bd77e86c113a4a62832e469dc712a3ed980c8","root.record.ItemExhibitList.P5Item"
"HEO 3-4 Launch Ops & Checkout","","","","","","","","","","","","","","","","","42.141","0","54.708","12.567","","","","","","","","","2017-BASE_PROCUREMENT-2017-AIRFORCE_MISSILE-U_PROCUREMENT_JustificationBook_Air_Force_PB_2017.zzz_unzipped-U_PROCUREMENT_JustificationBook_Air_Force_PB_2017.xml","0044feba6c5f103dc52333af25237d8df99ab8495c014e88535cc38b2a15aca5","1-c34481f5ec9d775c0d2de8baa0ed3d8d11d6d01071019c65e7732eb48f996d9c","2-936f9df0c8906fecfc60ca69db1bd77e86c113a4a62832e469dc712a3ed980c8","root.record.ItemExhibitList.P5Item"
"AEHF SV 3 Launch Support Services","","","","","","","","","","","","","","","","","58.581","0","58.581","","","","","","","","","","2017-BASE_PROCUREMENT-2017-AIRFORCE_MISSILE-U_PROCUREMENT_MasterJustificationBook_Air_Force_PB_2017.zzz_unzipped-U_PROCUREMENT_MasterJustificationBook_Air_Force_PB_2017.xml","d561ba4a25d84282efd1d93f8144ea01f8adfa23345c2352de73f67eaa21493b","0-60ff77496c8ee646fcf0e2ca22bb3e2a58a07b451c30d7a9dfeef20846078e55","0-91add91bc3a8630582cd37ad76e47f43bf3b3e208d5e8e0ec5ed3753ec1cd919","root.record.ItemExhibitList.P5Item"
"Integration of AEHF SV 3 with Launch Vehicle","","","","","","","","","","","","","","","","","2.128","0","2.128","","","","","","","","","","2017-BASE_PROCUREMENT-2017-AIRFORCE_MISSILE-U_PROCUREMENT_MasterJustificationBook_Air_Force_PB_2017.zzz_unzipped-U_PROCUREMENT_MasterJustificationBook_Air_Force_PB_2017.xml","d561ba4a25d84282efd1d93f8144ea01f8adfa23345c2352de73f67eaa21493b","1-0cb5132a7baf7ec79536dc2410f91322cca31c6ea2f55671daa688641231c451","0-91add91bc3a8630582cd37ad76e47f43bf3b3e208d5e8e0ec5ed3753ec1cd919","root.record.ItemExhibitList.P5Item"
"AEHF SV 3 Propellant","","","","","","","","","","","","","","","","","1.498","0","1.498","","","","","","","","","","2017-BASE_PROCUREMENT-2017-AIRFORCE_MISSILE-U_PROCUREMENT_MasterJustificationBook_Air_Force_PB_2017.zzz_unzipped-U_PROCUREMENT_MasterJustificationBook_Air_Force_PB_2017.xml","d561ba4a25d84282efd1d93f8144ea01f8adfa23345c2352de73f67eaa21493b","2-c1aa500633baf15d1855eda649d2bcb80a43c59128ffe8105b93ba2d16fd087e","0-91add91bc3a8630582cd37ad76e47f43bf3b3e208d5e8e0ec5ed3753ec1cd919","root.record.ItemExhibitList.P5Item"
"AEHF Spectrum Management Support","","","","","","","","","","","","","","","","","0.244","0","0.42","0.176","0","","","","","","","","2017-BASE_PROCUREMENT-2017-AIRFORCE_MISSILE-U_PROCUREMENT_MasterJustificationBook_Air_Force_PB_2017.zzz_unzipped-U_PROCUREMENT_MasterJustificationBook_Air_Force_PB_2017.xml","d561ba4a25d84282efd1d93f8144ea01f8adfa23345c2352de73f67eaa21493b","3-698345dd0d3f68fecdef4973c7d3b0d24e12afe8c506c77ae523d6c16b0332b7","0-91add91bc3a8630582cd37ad76e47f43bf3b3e208d5e8e0ec5ed3753ec1cd919","root.record.ItemExhibitList.P5Item"
"AEHF SV 4 Launch Support Services/Launch Readiness","","","","","","","","","","","","","","","","","5.446","0","45.171","39.725","0","0","0","","","","","","2017-BASE_PROCUREMENT-2017-AIRFORCE_MISSILE-U_PROCUREMENT_MasterJustificationBook_Air_Force_PB_2017.zzz_unzipped-U_PROCUREMENT_MasterJustificationBook_Air_Force_PB_2017.xml","d561ba4a25d84282efd1d93f8144ea01f8adfa23345c2352de73f67eaa21493b","4-543f78f87a1420b09b7297d2e5e5b99191ae89e4365a6d18bef533ff9bfe1c86","0-91add91bc3a8630582cd37ad76e47f43bf3b3e208d5e8e0ec5ed3753ec1cd919","root.record.ItemExhibitList.P5Item"
"AEHF SV 4 Propellant","","","","","","","","","","","","","","","","","0","0","0","","0","","","","","","","","2017-BASE_PROCUREMENT-2017-AIRFORCE_MISSILE-U_PROCUREMENT_MasterJustificationBook_Air_Force_PB_2017.zzz_unzipped-U_PROCUREMENT_MasterJustificationBook_Air_Force_PB_2017.xml","d561ba4a25d84282efd1d93f8144ea01f8adfa23345c2352de73f67eaa21493b","5-1366203c3fd803abeab4d9246d49fe1f59ac669fd334313f81ee4e37e97ec500","0-91add91bc3a8630582cd37ad76e47f43bf3b3e208d5e8e0ec5ed3753ec1cd919","root.record.ItemExhibitList.P5Item"
"AEHF SV 3-4 Satellite Transportation for Launch","","","","","","","","","","","","","","","","","0.339","0","0.339","","0","","","","","","","","2017-BASE_PROCUREMENT-2017-AIRFORCE_MISSILE-U_PROCUREMENT_MasterJustificationBook_Air_Force_PB_2017.zzz_unzipped-U_PROCUREMENT_MasterJustificationBook_Air_Force_PB_2017.xml","d561ba4a25d84282efd1d93f8144ea01f8adfa23345c2352de73f67eaa21493b","6-967d4973378b7b44886059bd78459038319112fc24a096a49dea8b9fdb82ec0f","0-91add91bc3a8630582cd37ad76e47f43bf3b3e208d5e8e0ec5ed3753ec1cd919","root.record.ItemExhibitList.P5Item"
"Command & Control System - Consolidated (CCS-C) Launch Support AEHF SV 4","","","","","","","","","","","","","","","","","0.004","0","1.84","1.836","","","","","","","","","2017-BASE_PROCUREMENT-2017-AIRFORCE_MISSILE-U_PROCUREMENT_MasterJustificationBook_Air_Force_PB_2017.zzz_unzipped-U_PROCUREMENT_MasterJustificationBook_Air_Force_PB_2017.xml","d561ba4a25d84282efd1d93f8144ea01f8adfa23345c2352de73f67eaa21493b","7-aa464bff10d2765096269ba11e7e3e1b94594ccfe30ec5421e01c12214cb663c","0-91add91bc3a8630582cd37ad76e47f43bf3b3e208d5e8e0ec5ed3753ec1cd919","root.record.ItemExhibitList.P5Item"
"AEHF SV 5-6 Propellent","","","","","","","","","","","","","","","","","","0","0","","","0","0","","","","","","2017-BASE_PROCUREMENT-2017-AIRFORCE_MISSILE-U_PROCUREMENT_MasterJustificationBook_Air_Force_PB_2017.zzz_unzipped-U_PROCUREMENT_MasterJustificationBook_Air_Force_PB_2017.xml","d561ba4a25d84282efd1d93f8144ea01f8adfa23345c2352de73f67eaa21493b","0-dbafccaa65fda9636bbdb70427c39aacc334951397fe3f76e6b728188dfd5773","1-ec2c091a5a8f8eb6be550bab7d7e0990f2260d5699197babbf7c54a6d99a3b03","root.record.ItemExhibitList.P5Item"
"AEHF Spectrum Management","","","","","","","","","","","","","","","","","","0","0","","","0","0","0","0","0","","","2017-BASE_PROCUREMENT-2017-AIRFORCE_MISSILE-U_PROCUREMENT_MasterJustificationBook_Air_Force_PB_2017.zzz_unzipped-U_PROCUREMENT_MasterJustificationBook_Air_Force_PB_2017.xml","d561ba4a25d84282efd1d93f8144ea01f8adfa23345c2352de73f67eaa21493b","1-f565cfbffa8319097dd7dd0f0359f88b09aa22f156be61842f8d31ea8ae7fa7d","1-ec2c091a5a8f8eb6be550bab7d7e0990f2260d5699197babbf7c54a6d99a3b03","root.record.ItemExhibitList.P5Item"
"AEHF SV 5-6 Launch Support Services/Launch Readiness","","","","","","","","","","","","","","","","","","0","0","","","0","0","0","0","0","","","2017-BASE_PROCUREMENT-2017-AIRFORCE_MISSILE-U_PROCUREMENT_MasterJustificationBook_Air_Force_PB_2017.zzz_unzipped-U_PROCUREMENT_MasterJustificationBook_Air_Force_PB_2017.xml","d561ba4a25d84282efd1d93f8144ea01f8adfa23345c2352de73f67eaa21493b","2-38d877a45d474f994e70bceddf21fa241067224e20d55a5df58c82932bcbdc23","1-ec2c091a5a8f8eb6be550bab7d7e0990f2260d5699197babbf7c54a6d99a3b03","root.record.ItemExhibitList.P5Item"
"Command & Control System-Consolidated (CCS-C) Launch Support AEHF 5-6","","","","","","","","","","","","","","","","","","0","1.843","1.843","","0","0","","","","","","2017-BASE_PROCUREMENT-2017-AIRFORCE_MISSILE-U_PROCUREMENT_MasterJustificationBook_Air_Force_PB_2017.zzz_unzipped-U_PROCUREMENT_MasterJustificationBook_Air_Force_PB_2017.xml","d561ba4a25d84282efd1d93f8144ea01f8adfa23345c2352de73f67eaa21493b","3-830bef01131989f93c60605de7cbbaaf5ea811358b7b09b758d916e25c6eb92f","1-ec2c091a5a8f8eb6be550bab7d7e0990f2260d5699197babbf7c54a6d99a3b03","root.record.ItemExhibitList.P5Item"
"AEHF SV 5-6 Satellite Transportation for Launch","","","","","","","","","","","","","","","","","","0","0","","","0","0","0","","","","","2017-BASE_PROCUREMENT-2017-AIRFORCE_MISSILE-U_PROCUREMENT_MasterJustificationBook_Air_Force_PB_2017.zzz_unzipped-U_PROCUREMENT_MasterJustificationBook_Air_Force_PB_2017.xml","d561ba4a25d84282efd1d93f8144ea01f8adfa23345c2352de73f67eaa21493b","4-b786c7078f386bd0a88d3804b00d0fbc467678aac1e1ee11439f83d87bbbd787","1-ec2c091a5a8f8eb6be550bab7d7e0990f2260d5699197babbf7c54a6d99a3b03","root.record.ItemExhibitList.P5Item"
"WGS SV 1-5 Checkout & Launch/Launch Readiness","","","","","","","","","","","","","","","","","235.679","0","235.679","","","","","","","","","","2017-BASE_PROCUREMENT-2017-AIRFORCE_MISSILE-U_PROCUREMENT_MasterJustificationBook_Air_Force_PB_2017.zzz_unzipped-U_PROCUREMENT_MasterJustificationBook_Air_Force_PB_2017.xml","18f40b4580e69dc9aeb591abe8445674c8895eab656f114641c7584f15991f80","0-8f6c41fc1952d2a95390b7da08cdf8566dcde4f977c0d7bcd4ffefd727ecf0b0","0-350bc2e7e187e00cfcb410356af4316d4578f11aee6a11dc909588e724cb79ad","root.record.ItemExhibitList.P5Item"
"WGS SV 4-5 Storage Reactivation and Transport","","","","","","","","","","","","","","","","","4.022","0","4.022","","","","","","","","","","2017-BASE_PROCUREMENT-2017-AIRFORCE_MISSILE-U_PROCUREMENT_MasterJustificationBook_Air_Force_PB_2017.zzz_unzipped-U_PROCUREMENT_MasterJustificationBook_Air_Force_PB_2017.xml","18f40b4580e69dc9aeb591abe8445674c8895eab656f114641c7584f15991f80","1-8a24c5666d26464c563048ac6959ae1cdbd338cc07790ce4c9e7677bbbad594b","0-350bc2e7e187e00cfcb410356af4316d4578f11aee6a11dc909588e724cb79ad","root.record.ItemExhibitList.P5Item"
