Name_val,Name_@footnote,IdCode_val,Cost_AllPriorYears_TotalCost_val,Cost_AllPriorYears_UnitCost_val,Cost_AllPriorYears_Quantity_val,Cost_ToComplete_TotalCost_val,Cost_ToComplete_UnitCost_val,Cost_ToComplete_Quantity_val,Cost_Total_TotalCost_val,Cost_Total_UnitCost_val,Cost_Total_Quantity_val,Cost_CurrentYear_TotalCost_val,Cost_CurrentYear_UnitCost_val,Cost_CurrentYear_Quantity_val,Cost_PriorYear_TotalCost_val,Cost_PriorYear_UnitCost_val,Cost_PriorYear_Quantity_val,Cost_BudgetYearOneBase_TotalCost_val,Cost_BudgetYearOneBase_UnitCost_val,Cost_BudgetYearOneBase_Quantity_val,Cost_BudgetYearOne_TotalCost_val,Cost_BudgetYearOne_UnitCost_val,Cost_BudgetYearOne_Quantity_val,Cost_BudgetYearTwo_UnitCost_val,Cost_BudgetYearTwo_Quantity_val,Cost_BudgetYearTwo_TotalCost_val,Cost_BudgetYearFive_UnitCost_val,Cost_BudgetYearFive_Quantity_val,Cost_BudgetYearFive_TotalCost_val,Cost_BudgetYearThree_UnitCost_val,Cost_BudgetYearThree_Quantity_val,Cost_BudgetYearThree_TotalCost_val,Cost_BudgetYearFour_UnitCost_val,Cost_BudgetYearFour_Quantity_val,Cost_BudgetYearFour_TotalCost_val,Cost_TotalCost_PriorYear_val,Cost_TotalCost_BudgetYearOneBase_val,Cost_TotalCost_BudgetYearOne_val,Cost_TotalCost_CurrentYear_val,Cost_TotalCost_ToComplete_val,Cost_TotalCost_Total_val,Cost_TotalCost_AllPriorYears_val,Cost_TotalCost_BudgetYearFour_val,Cost_TotalCost_BudgetYearFive_val,Cost_TotalCost_BudgetYearTwo_val,Cost_TotalCost_BudgetYearThree_val,Cost_TotalCost_BudgetYearOneOCO_val,Cost_TotalCost_Continuing_val,Cost_Quantity_AllPriorYears_val,Cost_Quantity_PriorYear_val,Cost_Quantity_BudgetYearFour_val,Cost_Quantity_BudgetYearFive_val,Cost_Quantity_Total_val,Cost_Quantity_CurrentYear_val,Cost_Quantity_BudgetYearOneBase_val,Cost_Quantity_BudgetYearOne_val,Cost_Quantity_BudgetYearTwo_val,Cost_Quantity_BudgetYearThree_val,Cost_UnitCost_AllPriorYears_val,Cost_UnitCost_PriorYear_val,Cost_UnitCost_BudgetYearFour_val,Cost_UnitCost_BudgetYearFive_val,Cost_UnitCost_Total_val,Cost_UnitCost_CurrentYear_val,Cost_UnitCost_BudgetYearOneBase_val,Cost_UnitCost_BudgetYearOne_val,Cost_UnitCost_BudgetYearTwo_val,Cost_UnitCost_BudgetYearThree_val,@SOURCE_FILENAME,@RECORDID,@ROWID,AllPriorYearsDeliveries_val,ManufacturerList_Manufacturer,@PARENTROWID,@PARENT
"JEM INCREMENT 2 - System Fielding Support (TPF, FDT, NET)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.766","1.876","1.876","1.327","","","0","","","","","","","","","","","","","","","","","","","","","","","","","","","2017-BASE_PROCUREMENT-2017-DEFENSE_CBDP-U_PROCUREMENT_JustificationBook_Chemical_and_Biological_Defense_Program_PB_2017.zzz_unzipped-U_PROCUREMENT_JustificationBook_Chemical_and_Biological_Defense_Program_PB_2017.xml","be4c715348e8f3359e6e758d8b81422759bdf7936851992d9c9aff3ec2c243fa","0-1b5ce3f5663893af613d5d02f12ea762f92fbc819f94f612fb51ef7ff9403c11","","","4-e0341978465b20c8090ec20f7e614d0b0cd3c8c3c7d86f68df7a008dbdd6c00a","root.record.ItemExhibitList.P5Item"
"System Fielding Support (TPF, FDT, NET)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0.613","0.613","0.813","","","0","","","","","","","","","","","","","","","","","","","","","","","","","","","2017-BASE_PROCUREMENT-2017-DEFENSE_CBDP-U_PROCUREMENT_JustificationBook_Chemical_and_Biological_Defense_Program_PB_2017.zzz_unzipped-U_PROCUREMENT_JustificationBook_Chemical_and_Biological_Defense_Program_PB_2017.xml","be4c715348e8f3359e6e758d8b81422759bdf7936851992d9c9aff3ec2c243fa","0-ff5ae926e6e7d937c03089e6603b3b900bf99e5b26b04e4f210891e8092631b8","","","11-c7acea9e5c55a460ce905795c669c8c0b884c116660c4ade58218e79298bf8ea","root.record.ItemExhibitList.P5Item"
"Training / Fielding / CLS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","1.03","1.03","0","","","0","","","","","","","","","","","","","","","","","","","","","","","","","","","2017-BASE_PROCUREMENT-2017-DEFENSE_CBDP-U_PROCUREMENT_JustificationBook_Chemical_and_Biological_Defense_Program_PB_2017.zzz_unzipped-U_PROCUREMENT_JustificationBook_Chemical_and_Biological_Defense_Program_PB_2017.xml","f4d80b3d0ec9ba6ba7c7ff3e5c7f21e1a694588b648cbd0864ae77b1cc1894b3","0-65803d0abf82ec9e0d8b5ee6774da76a989eb314c316417c0daec0420589e5e7","","","3-4aa4ff4436ee2663f8d2a0ed6d8b79db9c98abcf36f1feaae5d83f72ef5afe7f","root.record.ItemExhibitList.P5Item"
"Total Package Fielding (spares)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.1","0.882","0.882","0.19","","","0","","","","","","","","","","","","","","","","","","","","","","","","","","","2017-BASE_PROCUREMENT-2017-DEFENSE_CBDP-U_PROCUREMENT_JustificationBook_Chemical_and_Biological_Defense_Program_PB_2017.zzz_unzipped-U_PROCUREMENT_JustificationBook_Chemical_and_Biological_Defense_Program_PB_2017.xml","f4d80b3d0ec9ba6ba7c7ff3e5c7f21e1a694588b648cbd0864ae77b1cc1894b3","0-26e1344bbbd41d05159e22c7adbc6ae9475567ed9fb638c17da44e4a9c097b16","","","4-b6e44f7d55e91745eb1956fc657c59d2a99940b98b76f98e129a2ffd51dd9710","root.record.ItemExhibitList.P5Item"
"Prior/Future combined efforts","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","","","","13.048","0.185","0.185","0.185","","true","","","","","","","","","","","","","","","","","","","","","2017-BASE_PROCUREMENT-2017-DEFENSE_CBDP-U_PROCUREMENT_JustificationBook_Chemical_and_Biological_Defense_Program_PB_2017.zzz_unzipped-U_PROCUREMENT_JustificationBook_Chemical_and_Biological_Defense_Program_PB_2017.xml","f4d80b3d0ec9ba6ba7c7ff3e5c7f21e1a694588b648cbd0864ae77b1cc1894b3","0-f13a86678d81acab0f01f63adc310194c86e84f9df3c9fb5dc80331dd32c21a1","","","9-55599d39393192ecfc94cd84a3fc79be11379d69c8f79d4731fcabbb066109f1","root.record.ItemExhibitList.P5Item"
"Vaccinia Immune Globulin-Support Costs","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.185","0.185","0.185","0.185","","","0","","","","","","","","","","","","","","","","","","","","","","","","","","","2017-BASE_PROCUREMENT-2017-DEFENSE_CBDP-U_PROCUREMENT_JustificationBook_Chemical_and_Biological_Defense_Program_PB_2017.zzz_unzipped-U_PROCUREMENT_JustificationBook_Chemical_and_Biological_Defense_Program_PB_2017.xml","f4d80b3d0ec9ba6ba7c7ff3e5c7f21e1a694588b648cbd0864ae77b1cc1894b3","1-c74fb75f8de08dec51e7384776c4859fbfee0a3c270550089e44463255ceb0a1","","","9-55599d39393192ecfc94cd84a3fc79be11379d69c8f79d4731fcabbb066109f1","root.record.ItemExhibitList.P5Item"
"JWARN INCREMENT 1 - System Fielding Support (TPF, FDT, NET)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.306","0","0","0","","","0","","","","","","","","","","","","","","","","","","","","","","","","","","","2017-BASE_PROCUREMENT-2017-DEFENSE_VOL1_ALL-U_PROCUREMENT_MasterJustificationBook_Defense-Wide_PB_2017.zzz_unzipped-U_PROCUREMENT_MasterJustificationBook_Defense-Wide_PB_2017.xml","e88e98bf807ce4c771615f97007a8f3c81a5ad4dba3e34f1bb5c040bd15e1b4b","0-4763c3a22a0624337011ac74ab6b7f77c55769583477eedc873d041bdf6e628b","","","2-a81f2d014f5bb5adf4765eba19fdb04bd266656eae9840f02c5b37e7d98d855e","root.record.ItemExhibitList.P5Item"
"JWARN INCREMENT 2 - System Fielding Support (TPF, FDT, NET)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","1.553","1.553","0","","","0","","","","","","","","","","","","","","","","","","","","","","","","","","","2017-BASE_PROCUREMENT-2017-DEFENSE_VOL1_ALL-U_PROCUREMENT_MasterJustificationBook_Defense-Wide_PB_2017.zzz_unzipped-U_PROCUREMENT_MasterJustificationBook_Defense-Wide_PB_2017.xml","e88e98bf807ce4c771615f97007a8f3c81a5ad4dba3e34f1bb5c040bd15e1b4b","1-0444987d26cfd1eb4e2ef8ac7c49864b095ccf0e97812009b69b7d8247bd02c4","","","2-a81f2d014f5bb5adf4765eba19fdb04bd266656eae9840f02c5b37e7d98d855e","root.record.ItemExhibitList.P5Item"
"JEM INCREMENT 2 - System Fielding Support (TPF, FDT, NET)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.766","1.876","1.876","1.327","","","0","","","","","","","","","","","","","","","","","","","","","","","","","","","2017-BASE_PROCUREMENT-2017-DEFENSE_VOL1_ALL-U_PROCUREMENT_MasterJustificationBook_Defense-Wide_PB_2017.zzz_unzipped-U_PROCUREMENT_MasterJustificationBook_Defense-Wide_PB_2017.xml","e88e98bf807ce4c771615f97007a8f3c81a5ad4dba3e34f1bb5c040bd15e1b4b","0-d245ecfad4e87e1740e32a7e486b46aa4bb4c63928ddfbe4a469f466224d1313","","","4-4e05d3e5b05e860d4c6ec51b7f4fa0e390c1f784937af92436b19ea80f453b9c","root.record.ItemExhibitList.P5Item"
"System Fielding Support (TPF, FDT, NET)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0.613","0.613","0.813","","","0","","","","","","","","","","","","","","","","","","","","","","","","","","","2017-BASE_PROCUREMENT-2017-DEFENSE_VOL1_ALL-U_PROCUREMENT_MasterJustificationBook_Defense-Wide_PB_2017.zzz_unzipped-U_PROCUREMENT_MasterJustificationBook_Defense-Wide_PB_2017.xml","e88e98bf807ce4c771615f97007a8f3c81a5ad4dba3e34f1bb5c040bd15e1b4b","0-6d445e04820f6bdf4db08493e689fbead19f148eb0e0a0c2773c235ef3afbe47","","","11-587e193ff0c40ead549be03a5a3f1059e55b904653bf2ee4b35926aad2039774","root.record.ItemExhibitList.P5Item"
"Training / Fielding / CLS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","1.03","1.03","0","","","0","","","","","","","","","","","","","","","","","","","","","","","","","","","2017-BASE_PROCUREMENT-2017-DEFENSE_VOL1_ALL-U_PROCUREMENT_MasterJustificationBook_Defense-Wide_PB_2017.zzz_unzipped-U_PROCUREMENT_MasterJustificationBook_Defense-Wide_PB_2017.xml","d308f95350d49179c88adcd2ce8fac41317a825d8d794e785058fbd0fe568e07","0-b2769a54f2c55af13571d2d586d07d14e7acd16c4b9b2fd7c3826c0da66fe5bc","","","3-34867ce141d426d7ce6241865225b4947a6cbd91f3dcdcd4729ef07cec1f2b95","root.record.ItemExhibitList.P5Item"
"Total Package Fielding (spares)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.1","0.882","0.882","0.19","","","0","","","","","","","","","","","","","","","","","","","","","","","","","","","2017-BASE_PROCUREMENT-2017-DEFENSE_VOL1_ALL-U_PROCUREMENT_MasterJustificationBook_Defense-Wide_PB_2017.zzz_unzipped-U_PROCUREMENT_MasterJustificationBook_Defense-Wide_PB_2017.xml","d308f95350d49179c88adcd2ce8fac41317a825d8d794e785058fbd0fe568e07","0-1c0a6364afb0d952db659402f841349fa095f21dfb91f502df84d17a89a4a596","","","4-b747238cf27c7d06fdb19671ac6cbab154b73a49e430605a6906b4f83bd490d4","root.record.ItemExhibitList.P5Item"
"Prior/Future combined efforts","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","","","","13.048","0.185","0.185","0.185","","true","","","","","","","","","","","","","","","","","","","","","2017-BASE_PROCUREMENT-2017-DEFENSE_VOL1_ALL-U_PROCUREMENT_MasterJustificationBook_Defense-Wide_PB_2017.zzz_unzipped-U_PROCUREMENT_MasterJustificationBook_Defense-Wide_PB_2017.xml","d308f95350d49179c88adcd2ce8fac41317a825d8d794e785058fbd0fe568e07","0-722e4f68790d286d7b8cc9248f55dcdbb826b7b6aedcd14cfbd44d5df69d4d3f","","","9-d087b3f88df3f1a999e00f33fc7be659d1eba5a8ff428440cc74f9a88f083b2f","root.record.ItemExhibitList.P5Item"
"Vaccinia Immune Globulin-Support Costs","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.185","0.185","0.185","0.185","","","0","","","","","","","","","","","","","","","","","","","","","","","","","","","2017-BASE_PROCUREMENT-2017-DEFENSE_VOL1_ALL-U_PROCUREMENT_MasterJustificationBook_Defense-Wide_PB_2017.zzz_unzipped-U_PROCUREMENT_MasterJustificationBook_Defense-Wide_PB_2017.xml","d308f95350d49179c88adcd2ce8fac41317a825d8d794e785058fbd0fe568e07","1-702a812c7eb1cfb4b477c7efd0bc0731105c62b65ca54f1b738bf4b4ef4173de","","","9-d087b3f88df3f1a999e00f33fc7be659d1eba5a8ff428440cc74f9a88f083b2f","root.record.ItemExhibitList.P5Item"
"JWARN INCREMENT 1 - System Fielding Support (TPF, FDT, NET)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.306","0","0","0","","","0","","","","","","","","","","","","","","","","","","","","","","","","","","","2017-BASE_PROCUREMENT-2017-DEFENSE_CBDP-U_PROCUREMENT_MasterJustificationBook_Chemical_and_Biological_Defense_Program_PB_2017.zzz_unzipped-U_PROCUREMENT_MasterJustificationBook_Chemical_and_Biological_Defense_Program_PB_2017.xml","aac234ea9b9d59c71e8358f4f92424148bf9b71bfc2006c5f39181050e3e9433","0-8801083af06284126c5bddfcc819ee3bc9bb8e3f52bcfa1dc1d5b3fceeb749f1","","","2-1bcebcdbbad7cce62ecd0e5437f98202b8ec42e03200bfaa26412c33280b3779","root.record.ItemExhibitList.P5Item"
"JWARN INCREMENT 2 - System Fielding Support (TPF, FDT, NET)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","1.553","1.553","0","","","0","","","","","","","","","","","","","","","","","","","","","","","","","","","2017-BASE_PROCUREMENT-2017-DEFENSE_CBDP-U_PROCUREMENT_MasterJustificationBook_Chemical_and_Biological_Defense_Program_PB_2017.zzz_unzipped-U_PROCUREMENT_MasterJustificationBook_Chemical_and_Biological_Defense_Program_PB_2017.xml","aac234ea9b9d59c71e8358f4f92424148bf9b71bfc2006c5f39181050e3e9433","1-c726e542f4a07a748e4870490e5eb14a72eaf077a40c0ae55c3d7d69f2821db7","","","2-1bcebcdbbad7cce62ecd0e5437f98202b8ec42e03200bfaa26412c33280b3779","root.record.ItemExhibitList.P5Item"
"JEM INCREMENT 2 - System Fielding Support (TPF, FDT, NET)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.766","1.876","1.876","1.327","","","0","","","","","","","","","","","","","","","","","","","","","","","","","","","2017-BASE_PROCUREMENT-2017-DEFENSE_CBDP-U_PROCUREMENT_MasterJustificationBook_Chemical_and_Biological_Defense_Program_PB_2017.zzz_unzipped-U_PROCUREMENT_MasterJustificationBook_Chemical_and_Biological_Defense_Program_PB_2017.xml","aac234ea9b9d59c71e8358f4f92424148bf9b71bfc2006c5f39181050e3e9433","0-4fc0908cb8e1f4667b4592c6a5e8db3a3cc7883ee5f75fbd265ad1af3f8cb218","","","4-3dfcc5976cf69254f4fe1c2bc6cf9068254d714b1522e71e6d7d9519c1d88707","root.record.ItemExhibitList.P5Item"
"System Fielding Support (TPF, FDT, NET)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0.613","0.613","0.813","","","0","","","","","","","","","","","","","","","","","","","","","","","","","","","2017-BASE_PROCUREMENT-2017-DEFENSE_CBDP-U_PROCUREMENT_MasterJustificationBook_Chemical_and_Biological_Defense_Program_PB_2017.zzz_unzipped-U_PROCUREMENT_MasterJustificationBook_Chemical_and_Biological_Defense_Program_PB_2017.xml","aac234ea9b9d59c71e8358f4f92424148bf9b71bfc2006c5f39181050e3e9433","0-67d05fd7f7f1ea1c525e060aabaa5e1d7a04f5d9221527c4df5af3849ae1b21e","","","11-d4f089e9972580ee2e6bf0e32cffd9e99c89936b163f6742a6fd83b32ef0ff68","root.record.ItemExhibitList.P5Item"
"Training / Fielding / CLS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","1.03","1.03","0","","","0","","","","","","","","","","","","","","","","","","","","","","","","","","","2017-BASE_PROCUREMENT-2017-DEFENSE_CBDP-U_PROCUREMENT_MasterJustificationBook_Chemical_and_Biological_Defense_Program_PB_2017.zzz_unzipped-U_PROCUREMENT_MasterJustificationBook_Chemical_and_Biological_Defense_Program_PB_2017.xml","d977fd8b6efd538276c790b02e3c3cee080fc0cff92fa7f25f69032143ad5870","0-d9986f114ed1f110bf9ff6889f7a59f71936c6d08d2b13a49decd21dd2acd4b2","","","3-b28df7bc0ff53b67a11f25264b84e033db6f0c4ec6a72c996530e00b640a2995","root.record.ItemExhibitList.P5Item"
"Total Package Fielding (spares)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.1","0.882","0.882","0.19","","","0","","","","","","","","","","","","","","","","","","","","","","","","","","","2017-BASE_PROCUREMENT-2017-DEFENSE_CBDP-U_PROCUREMENT_MasterJustificationBook_Chemical_and_Biological_Defense_Program_PB_2017.zzz_unzipped-U_PROCUREMENT_MasterJustificationBook_Chemical_and_Biological_Defense_Program_PB_2017.xml","d977fd8b6efd538276c790b02e3c3cee080fc0cff92fa7f25f69032143ad5870","0-c63e1dbfbee59628cd81c136c0fba7488fc1abcfff9c82e9395fe7c04bd97d48","","","4-1ce4840df643788191b975daf476e3b7d55b7ca0796aa6cd94a4dcb351ebbf4a","root.record.ItemExhibitList.P5Item"
"Prior/Future combined efforts","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","","","","13.048","0.185","0.185","0.185","","true","","","","","","","","","","","","","","","","","","","","","2017-BASE_PROCUREMENT-2017-DEFENSE_CBDP-U_PROCUREMENT_MasterJustificationBook_Chemical_and_Biological_Defense_Program_PB_2017.zzz_unzipped-U_PROCUREMENT_MasterJustificationBook_Chemical_and_Biological_Defense_Program_PB_2017.xml","d977fd8b6efd538276c790b02e3c3cee080fc0cff92fa7f25f69032143ad5870","0-56942771df41dab788f5294c62da77d5615cc93be646ee8b44515237c443b07e","","","9-cfc031358e59b24073409453c7cd31a3e9a4144f345888896a5f01ff3a0f3761","root.record.ItemExhibitList.P5Item"
"Vaccinia Immune Globulin-Support Costs","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.185","0.185","0.185","0.185","","","0","","","","","","","","","","","","","","","","","","","","","","","","","","","2017-BASE_PROCUREMENT-2017-DEFENSE_CBDP-U_PROCUREMENT_MasterJustificationBook_Chemical_and_Biological_Defense_Program_PB_2017.zzz_unzipped-U_PROCUREMENT_MasterJustificationBook_Chemical_and_Biological_Defense_Program_PB_2017.xml","d977fd8b6efd538276c790b02e3c3cee080fc0cff92fa7f25f69032143ad5870","1-f070e81d7d736ca138a74bb0028777ec75521df882e49f1fec0939e4c82eacc5","","","9-cfc031358e59b24073409453c7cd31a3e9a4144f345888896a5f01ff3a0f3761","root.record.ItemExhibitList.P5Item"
"Initial Fielding","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","22.443","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2018-BASE_PROCUREMENT-2018-AIRFORCE_OTHER-U_PROCUREMENT_JustificationBook_Air_Force_PB_2018.zzz_unzipped-U_PROCUREMENT_JustificationBook_Air_Force_PB_2018.xml","28270b0567d49ccf762f030860f74e675a572581bfa00f5dd6946e496554d98e","0-4a1ad388ceb6784be118379b2ae87327e71615c4735251041eb37dbe648187d5","","","0-0a88d34d3c2352caf3525452c40a03b9589ce1dc4491ca4c77d1c96f9c74f04e","root.record.ItemExhibitList.P5Item"
"Site Installation Testing","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0.36","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2018-BASE_PROCUREMENT-2018-AIRFORCE_OTHER-U_PROCUREMENT_JustificationBook_Air_Force_PB_2018.zzz_unzipped-U_PROCUREMENT_JustificationBook_Air_Force_PB_2018.xml","28270b0567d49ccf762f030860f74e675a572581bfa00f5dd6946e496554d98e","1-36256bf368947bdc15e6d25516ff3ef5a70f324988da95e6672ef153271d7378","","","0-0a88d34d3c2352caf3525452c40a03b9589ce1dc4491ca4c77d1c96f9c74f04e","root.record.ItemExhibitList.P5Item"
"Initial Fielding","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","22.443","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2018-BASE_PROCUREMENT-2018-AIRFORCE_OTHER-U_PROCUREMENT_MasterJustificationBook_Air_Force_PB_2018.zzz_unzipped-U_PROCUREMENT_MasterJustificationBook_Air_Force_PB_2018.xml","359d20f7297832c490b740ec69e4a4d0bf85a9987498e72e8bd74bf7dea0e33b","0-821917d348fa45a6cbf24edb543d7f0b262fdb57da47759890c3ed13cd1c93da","","","0-39836bd9dbada3cd8325e444be0fb5f6917d7ef099f4e107aed1fa3e227c99ee","root.record.ItemExhibitList.P5Item"
"Site Installation Testing","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0.36","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2018-BASE_PROCUREMENT-2018-AIRFORCE_OTHER-U_PROCUREMENT_MasterJustificationBook_Air_Force_PB_2018.zzz_unzipped-U_PROCUREMENT_MasterJustificationBook_Air_Force_PB_2018.xml","359d20f7297832c490b740ec69e4a4d0bf85a9987498e72e8bd74bf7dea0e33b","1-f21e2cf2052395eaba5ef527e49f370631984273987c41e64aa52c3171805e33","","","0-39836bd9dbada3cd8325e444be0fb5f6917d7ef099f4e107aed1fa3e227c99ee","root.record.ItemExhibitList.P5Item"
"First Destination Transportation","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.168","","","1.714","","","1.393","","","","","","","","","","","","","","","","","","","","","","","","","","","2018-BASE_PROCUREMENT-2018-ARMY_AIRCRAFT-U_PROCUREMENT_JustificationBook_Army_PB_2018.zzz_unzipped-U_PROCUREMENT_JustificationBook_Army_PB_2018.xml","1eeaa66dcf91e38bee3f9eefef9df9135d1c94689f17d17c9e86c0d11f8119d5","0-beaf7ee076612ea36b74e3974f68057bc95f460fef9e44bde5899a1a937c0a0f","","","0-3838e5622e69a688f08b77f08e4c68d9eeec4e092050a381d5ac63863f531d47","root.record.ItemExhibitList.P5Item"
"New Equipment Training (NET)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","22.579","12.475","12.475","8.562","","","67.77","","","","","","","","","","","","","","","","","","","","","","","","","","","2018-BASE_PROCUREMENT-2018-ARMY_AIRCRAFT-U_PROCUREMENT_JustificationBook_Army_PB_2018.zzz_unzipped-U_PROCUREMENT_JustificationBook_Army_PB_2018.xml","1eeaa66dcf91e38bee3f9eefef9df9135d1c94689f17d17c9e86c0d11f8119d5","1-169d2463b1148f72ed19de3dbf8a14f0d9ed6ac999de9c02080794f0f6e87a1c","","","0-3838e5622e69a688f08b77f08e4c68d9eeec4e092050a381d5ac63863f531d47","root.record.ItemExhibitList.P5Item"
"7. Total Package Fielding (TPF)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.8","0.61","0.61","0.605","","","0.828","","","","","","","","","","","","","","","","","","","","","","","","","","","2018-BASE_PROCUREMENT-2018-ARMY_WTCV-U_PROCUREMENT_JustificationBook_Army_PB_2018.zzz_unzipped-U_PROCUREMENT_JustificationBook_Army_PB_2018.xml","159da2ec6715c2dd724acaf515c0cde38cd2b8433610233535c248ea7d6bedbf","0-537c8b614af38572f069d0d6932c24ee935b8af4679ea96fb17f480e2d068a45","","","0-8a701091c8a540b7d532169e424dfb635be2b7b6188d853c87666ccd205943ad","root.record.ItemExhibitList.P5Item"
"Fielding","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5.516","5.516","6.477","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2018-BASE_PROCUREMENT-2018-ARMY_OTHER_2-U_PROCUREMENT_JustificationBook_Army_PB_2018.zzz_unzipped-U_PROCUREMENT_JustificationBook_Army_PB_2018.xml","768beb01e5d78956fbca93abee10809ef27e0833ec61884b523cb896b5249b5f","0-f3c7c039141d8e837f8ddb1eab23f61c50e20df8bbba27c79074298ffe713037","","","0-6b5e8b9527436e6e30494f0c540cd4a53c42bda67f4e8f9955d7cd748558ccfb","root.record.ItemExhibitList.P5Item"
"ARMY-WIDE CRYPTO NETWORK STANDARDIZATION","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.875","","","2.286","","","1.788","","","","","","","","","","","","","","","","","","","","","","","","","","","2018-BASE_PROCUREMENT-2018-ARMY_OTHER_2-U_PROCUREMENT_JustificationBook_Army_PB_2018.zzz_unzipped-U_PROCUREMENT_JustificationBook_Army_PB_2018.xml","9d76d8f759ce772a70a889259c479e7388dcabb51a63b1a90c978b855064fd8a","0-5e7b12e1c5e5246753444471334193f94f473a280d5afb46e1fbe2f3a1c562b0","","","0-36555f5694e8f6840f465ea8a0786230b3fcd0275d4fc4ece316114a0e7b9a77","root.record.ItemExhibitList.P5Item"
"PRODUCT SUPPORT/FIELDING","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5.047","8.535","8.535","9.771","","","8.09","","","","","","","","","","","","","","","","","","","","","","","","","","","2018-BASE_PROCUREMENT-2018-ARMY_OTHER_2-U_PROCUREMENT_JustificationBook_Army_PB_2018.zzz_unzipped-U_PROCUREMENT_JustificationBook_Army_PB_2018.xml","9d76d8f759ce772a70a889259c479e7388dcabb51a63b1a90c978b855064fd8a","1-19511a17ddb1470d5a9907fd686157d2dacbebf4e0bb284ebc462196a378d69c","","","0-36555f5694e8f6840f465ea8a0786230b3fcd0275d4fc4ece316114a0e7b9a77","root.record.ItemExhibitList.P5Item"
"Fielding","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.75","0.75","1.026","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2018-BASE_PROCUREMENT-2018-ARMY_OTHER_2-U_PROCUREMENT_JustificationBook_Army_PB_2018.zzz_unzipped-U_PROCUREMENT_JustificationBook_Army_PB_2018.xml","9d76d8f759ce772a70a889259c479e7388dcabb51a63b1a90c978b855064fd8a","0-6e77aef065940cc334fd8d6098835b6d6d9b292ba4b8ee59659cd7baf14d4855","","","1-be9c05ecefd5ad025ea4c4e690a3bc75b914783c9edd50cc9f9d710439eae3ee","root.record.ItemExhibitList.P5Item"
"EWTV Fielding","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.283","0.283","","","","","","","","","","","","","","","","","1","1","","","","","","","","","283","283","","","2018-BASE_PROCUREMENT-2018-ARMY_OTHER_2-U_PROCUREMENT_JustificationBook_Army_PB_2018.zzz_unzipped-U_PROCUREMENT_JustificationBook_Army_PB_2018.xml","38c294167c355d339a8ccea624e0b0643e68457c11866b2b886992043516b63d","0-c5c772a36195e83ab0bee75ee63b4ad674d812761e2465620869b48b2b3c7c30","","","0-6c310ff9606543df879b81b53f07983258840af6756d73cb4dabb1ba2461bad2","root.record.ItemExhibitList.P5Item"
