Name_val,Name_@footnote,WhenRequiredInMonths_val,Cost_AllPriorYears_val,Cost_PriorYear_val,Cost_CurrentYear_val,Cost_BudgetYearOne_val,Cost_BudgetYearTwo_val,Cost_BudgetYearThree_val,Cost_BudgetYearFour_val,Cost_BudgetYearFive_val,Cost_ToComplete_val,Cost_Total_val,ManufacturerList_Manufacturer_Name_val,ManufacturerList_Manufacturer_Location_val,ManufacturerList_Manufacturer_InitialQuantity_ProductionLeadTimeAfterOct1InMonths_val,ManufacturerList_Manufacturer_InitialQuantity_TotalLeadTimeAfterOct1InMonths_val,@SOURCE_FILENAME,@RECORDID,@ROWID,QuantityPerAssembly_val,SCNProductionLeadtime_val,ForFY_val,@PARENTROWID,@PARENT
"GFE - Engines (Refurb)","","0","","6.24","","","","","","","","","","","","","","2016-BASE_PROCUREMENT-2016-NAVY_AIRCRAFT_BA5-PROCUREMENT_MasterJustificationBook_Navy_PB_2016.zzz_unzipped-PROCUREMENT_MasterJustificationBook_Navy_PB_2016.xml","4097f3fd622f0c634139f61a407a001b5e061769227ff61657873edfcf087629","1-db7f7021e8e1f6dff006e86bf125b1d1e4ca6fa36412f4ce63cf29ccb404b5c1","2","","","0-747ecb84f269578d362280a978a64fd0ab3dddef549bd83ed1a0c1be03986803","root.record.ItemExhibitList.P5Item"
"GFE - Cockpit","","0","288.113","","","","","","","","","","","","","","","2016-BASE_PROCUREMENT-2016-NAVY_AIRCRAFT_BA5-PROCUREMENT_MasterJustificationBook_Navy_PB_2016.zzz_unzipped-PROCUREMENT_MasterJustificationBook_Navy_PB_2016.xml","4097f3fd622f0c634139f61a407a001b5e061769227ff61657873edfcf087629","2-e608e67397c7f312ed74f29db1462adbfe25d0bdd2e9d8ffb64efd1f9fc95c75","1","","","0-747ecb84f269578d362280a978a64fd0ab3dddef549bd83ed1a0c1be03986803","root.record.ItemExhibitList.P5Item"
"Cockpit for FY13 EOQ/Long Lead","","0","13.2","","","","","","","","","","","","","","","2016-BASE_PROCUREMENT-2016-NAVY_AIRCRAFT_BA5-PROCUREMENT_MasterJustificationBook_Navy_PB_2016.zzz_unzipped-PROCUREMENT_MasterJustificationBook_Navy_PB_2016.xml","4097f3fd622f0c634139f61a407a001b5e061769227ff61657873edfcf087629","3-8e74d60470c1e8c531be3bca88fcba143746e7c4ba708dc26699cf47634bfc48","1","","","0-747ecb84f269578d362280a978a64fd0ab3dddef549bd83ed1a0c1be03986803","root.record.ItemExhibitList.P5Item"
"Cockpit for FY14 EOQ/Long Lead","","0","15.425","","","","","","","","","","","","","","","2016-BASE_PROCUREMENT-2016-NAVY_AIRCRAFT_BA5-PROCUREMENT_MasterJustificationBook_Navy_PB_2016.zzz_unzipped-PROCUREMENT_MasterJustificationBook_Navy_PB_2016.xml","4097f3fd622f0c634139f61a407a001b5e061769227ff61657873edfcf087629","4-432792f0aacfa02a1bc0106f8ba60f7192667ad50c035e4650a70fb64d62bacd","1","","","0-747ecb84f269578d362280a978a64fd0ab3dddef549bd83ed1a0c1be03986803","root.record.ItemExhibitList.P5Item"
"Cockpit for FY15 EOQ/Long Lead","","0","3.25","5.3","","","","","","","","","","","","","","2016-BASE_PROCUREMENT-2016-NAVY_AIRCRAFT_BA5-PROCUREMENT_MasterJustificationBook_Navy_PB_2016.zzz_unzipped-PROCUREMENT_MasterJustificationBook_Navy_PB_2016.xml","4097f3fd622f0c634139f61a407a001b5e061769227ff61657873edfcf087629","5-86216004a3525a84fd6074af92cae27382df9fd2431afb51b25bfbcc33e3b070","1","","","0-747ecb84f269578d362280a978a64fd0ab3dddef549bd83ed1a0c1be03986803","root.record.ItemExhibitList.P5Item"
"A/C Misc Avionics","","0","145.645","8.093","","","","","","","","","","","","","","2016-BASE_PROCUREMENT-2016-NAVY_AIRCRAFT_BA5-PROCUREMENT_MasterJustificationBook_Navy_PB_2016.zzz_unzipped-PROCUREMENT_MasterJustificationBook_Navy_PB_2016.xml","4097f3fd622f0c634139f61a407a001b5e061769227ff61657873edfcf087629","6-07d584d88bb58f0dc3964d12ef5d36c4f355b426ab045fbeafb0b36a378c520f","0","","","0-747ecb84f269578d362280a978a64fd0ab3dddef549bd83ed1a0c1be03986803","root.record.ItemExhibitList.P5Item"
"GFE Other","","0","22.958","5.025","","","","","","","","","","","","","","2016-BASE_PROCUREMENT-2016-NAVY_AIRCRAFT_BA5-PROCUREMENT_MasterJustificationBook_Navy_PB_2016.zzz_unzipped-PROCUREMENT_MasterJustificationBook_Navy_PB_2016.xml","23d6409d45c5bfafa665381970cd4fd7c8042cc7d528e9f65e77315457063d00","0-8fe624eb875337b7597334094558afbaf73c33eb6bbf7130f6120a72ec613e38","0","","","0-9c1796e4830209c5e6569295f2790cbff51d86db816bf20a8f26eef444938efb","root.record.ItemExhibitList.P5Item"
"Engines/Eng ACC: Long Lead Material","FY17 Advance Procurement funding is requested for long-lead requirements necessary to support procurement of 44 CTOL JSF aircraft in FY18.","9","498.011","92.154","101.257","88.99","147.678","89.485","93.331","93.331","3839.053","5043.29","Pratt & Whitney","East Hartford, CT","9","9","2017-BASE_PROCUREMENT-2017-AIRFORCE_AIRCRAFT_VOL1-U_PROCUREMENT_JustificationBook_Air_Force_PB_2017.zzz_unzipped-U_PROCUREMENT_JustificationBook_Air_Force_PB_2017.xml","ee296b91c541d56100cb2ac046f671d1a95422b7bfedefe8ed6f428e04be3c20","0-fdf9dc75d420c85c1838cc7f8a0619c6341ea40ebb9383e521174bd28ab6cdc9","1","","","0-1377e6a701b9aa4d21390a8265d6e03df9c8a42e8369114f54e01af3ecd228d6","root.record.ItemExhibitList.P5Item"
"Engines/Eng ACC: Long Lead Material","FY17 Advance Procurement funding is requested for long-lead requirements necessary to support procurement of 44 CTOL JSF aircraft in FY18.","9","498.011","92.154","101.257","88.99","147.678","89.485","93.331","93.331","3839.053","5043.29","Pratt & Whitney","East Hartford, CT","9","9","2017-BASE_PROCUREMENT-2017-AIRFORCE_AIRCRAFT_VOL1-U_PROCUREMENT_MasterJustificationBook_Air_Force_PB_2017.zzz_unzipped-U_PROCUREMENT_MasterJustificationBook_Air_Force_PB_2017.xml","54ceb5c06156f9c55e6b849926ac030a11c42ee97375688e8ebb955b86c8ae13","0-3892de5f32126f548c89adaa937daa51c92a4999f252c94b502f24bb143735c8","1","","","0-03d67e9ff36f0db4b425475f9f6ad18a3a0695cd72ffc20e5ad21bf6b5bd1756","root.record.ItemExhibitList.P5Item"
"Engines/Eng ACC: Long Lead Material","FY17 Advance Procurement funding is requested for long-lead requirements necessary to support procurement of 44 CTOL JSF aircraft in FY18.","9","498.011","92.154","101.257","88.99","147.678","89.485","93.331","93.331","3839.053","5043.29","Pratt & Whitney","East Hartford, CT","9","9","2017-BASE_PROCUREMENT-2017-AIRFORCE_AIRCRAFT_VOL2-U_PROCUREMENT_MasterJustificationBook_Air_Force_PB_2017.zzz_unzipped-U_PROCUREMENT_MasterJustificationBook_Air_Force_PB_2017.xml","078d421d81190ecf8a486faab49d2e8ea4d456b0d51f6459cc6c7199455602cd","0-0ee6a92bafdb4b873cb5383002f9edaa6b3ed58d292132a6903a6d5398334deb","1","","","0-fef74eb08f0dc96d15a33848d1c6d685f86d6b40fb7ccb7af0822b2e3e519cdc","root.record.ItemExhibitList.P5Item"
"Other GFE","","0","32.177","","","","","","","","","","","","","","","2017-BASE_PROCUREMENT-2017-NAVY_AIRCRAFT_BA1-4-U_PROCUREMENT_JustificationBook_Navy_PB_2017.zzz_unzipped-U_PROCUREMENT_JustificationBook_Navy_PB_2017.xml","8fc2f2b9572dec638f5b9de26fd6b71dde31e1928425eb4b2bf886b95a7f82d3","0-5646ca1dd45adc5bde53af9a29c1415c9d1eb806262be46e9af7a7d0237bd22d","1","","","0-2d6e67a98622af2ec9defd627fb56d716b4b794fafd91644ae295d400bf14143","root.record.ItemExhibitList.P5Item"
"JTIDS","","0","16.955","","","","","","","","","","","","","","","2017-BASE_PROCUREMENT-2017-NAVY_AIRCRAFT_BA1-4-U_PROCUREMENT_JustificationBook_Navy_PB_2017.zzz_unzipped-U_PROCUREMENT_JustificationBook_Navy_PB_2017.xml","8fc2f2b9572dec638f5b9de26fd6b71dde31e1928425eb4b2bf886b95a7f82d3","1-51c69174561d9e389a0aa6a779092ef784191b13224715cb885d9515d866708f","1","","","0-2d6e67a98622af2ec9defd627fb56d716b4b794fafd91644ae295d400bf14143","root.record.ItemExhibitList.P5Item"
"Engines","","0","14.9","","","","","","","","","","","","","","","2017-BASE_PROCUREMENT-2017-NAVY_AIRCRAFT_BA1-4-U_PROCUREMENT_JustificationBook_Navy_PB_2017.zzz_unzipped-U_PROCUREMENT_JustificationBook_Navy_PB_2017.xml","8fc2f2b9572dec638f5b9de26fd6b71dde31e1928425eb4b2bf886b95a7f82d3","2-3ddbb647a26144eb47186503652e1299b93498de36060e5e9c0213b3fb0e0513","1","","","0-2d6e67a98622af2ec9defd627fb56d716b4b794fafd91644ae295d400bf14143","root.record.ItemExhibitList.P5Item"
"GFE Electronics","","0","22.805","0","4.164","4.243","","","","","","","","","","","","2017-BASE_PROCUREMENT-2017-NAVY_AIRCRAFT_BA1-4-U_PROCUREMENT_JustificationBook_Navy_PB_2017.zzz_unzipped-U_PROCUREMENT_JustificationBook_Navy_PB_2017.xml","555bec654b4c1867124dcbd9314b42f5776b3b543281c6d487aa3d154f493c05","0-be51e50157fbef1dd7c22186c9f4e32dfb5fdbacf39cfa5cb5a6ef2c45b971b9","0","","","0-e53b3e6792e604e00ef751ac442f9a8870c0469aa97bede622e091b8f2e15629","root.record.ItemExhibitList.P5Item"
"GFE Other","","0","2.292","0","0.287","0.293","","","","","","","","","","","","2017-BASE_PROCUREMENT-2017-NAVY_AIRCRAFT_BA1-4-U_PROCUREMENT_JustificationBook_Navy_PB_2017.zzz_unzipped-U_PROCUREMENT_JustificationBook_Navy_PB_2017.xml","555bec654b4c1867124dcbd9314b42f5776b3b543281c6d487aa3d154f493c05","1-a364edc80203fa5262d61f52e40473ea9d7cd90675ddfb206b07531292d318ed","0","","","0-e53b3e6792e604e00ef751ac442f9a8870c0469aa97bede622e091b8f2e15629","root.record.ItemExhibitList.P5Item"
"G.F.E Engines Termination Liability","","0","139.149","2.36","5.121","8.9","","","","","","","","","","","","2017-BASE_PROCUREMENT-2017-NAVY_AIRCRAFT_BA1-4-U_PROCUREMENT_JustificationBook_Navy_PB_2017.zzz_unzipped-U_PROCUREMENT_JustificationBook_Navy_PB_2017.xml","cf3f31dee9ba7dc059b70b1c9ea13fda3a8001f262ba6c328352e870ef0df180","0-377e27028bdb243e7f9bc492697cfa2fc917a754f5b96b567ab387be459685b2","1","","","0-b1531ea8161e3c61c1c082c0b8cd706c93a954fee26ee0d5634f8b2792547766","root.record.ItemExhibitList.P5Item"
"GFE- Engines Termination Liability","","0","239.849","37.43","51.295","60.748","","","","","","","","","","","","2017-BASE_PROCUREMENT-2017-NAVY_AIRCRAFT_BA1-4-U_PROCUREMENT_JustificationBook_Navy_PB_2017.zzz_unzipped-U_PROCUREMENT_JustificationBook_Navy_PB_2017.xml","06c209068f094fe2458a08243b2b29d2b55f9a52abbb6eb286abaa7deb00c560","0-e548c39997d80b297fdd67e2fa2af4d74ae0065164e4064bcdab91cd9e9af84b","1","","","0-5f9e2a6b73fd950cb546b89a53f7c0eae0087d06c94cd49c1e5626a99d450392","root.record.ItemExhibitList.P5Item"
"GFE - Miscellaneous","GFE - Miscellaneous includes CH-53K Communication, Navigation and Survivability components.","0","","","11.305","23.055","","","","","","","","","","","","2017-BASE_PROCUREMENT-2017-NAVY_AIRCRAFT_BA1-4-U_PROCUREMENT_JustificationBook_Navy_PB_2017.zzz_unzipped-U_PROCUREMENT_JustificationBook_Navy_PB_2017.xml","1ea7a8ce7f9df882411a69fe59398e15ad9fcf4932f3e91007296381e6d74a55","0-07eaa134314f8accbc29e333bf65e4131e91c6a1f258d071ee887689fb178912","0","","","0-6f5ad8d163d1cc5ee435011a8511be4555b64bc4e030dfc1fa536a5d676cd6d6","root.record.ItemExhibitList.P5Item"
"GFE Other","","0","86.028","","","","","","","","","","","","","","","2017-BASE_PROCUREMENT-2017-NAVY_AIRCRAFT_BA1-4-U_PROCUREMENT_JustificationBook_Navy_PB_2017.zzz_unzipped-U_PROCUREMENT_JustificationBook_Navy_PB_2017.xml","0a3d83f8b6182cc9256793d5f1122119e3b6f05f036914d3cf93c1187b9b7907","0-2a6d65bb1cf04ea4cb5bbc9ebb0105f5c59d0bbdd31982043b05b3ef44d3ed72","0","","","0-1ea9ea4fca5e2eb7dd5781c1b9b027f5bab48b827a078409c9d50477465be4cd","root.record.ItemExhibitList.P5Item"
"GFE Com/Nav","","0","19.831","3.357","2.579","","","","","","","","","","","","","2017-BASE_PROCUREMENT-2017-NAVY_AIRCRAFT_BA1-4-U_PROCUREMENT_JustificationBook_Navy_PB_2017.zzz_unzipped-U_PROCUREMENT_JustificationBook_Navy_PB_2017.xml","0a3d83f8b6182cc9256793d5f1122119e3b6f05f036914d3cf93c1187b9b7907","1-16e4c430b4f4182132d9e17b93bb178480e1ac778ad81f08a167429aa3ee067e","0","","","0-1ea9ea4fca5e2eb7dd5781c1b9b027f5bab48b827a078409c9d50477465be4cd","root.record.ItemExhibitList.P5Item"
"GFE EW","","0","21.802","7.796","2.684","","","","","","","","","","","","","2017-BASE_PROCUREMENT-2017-NAVY_AIRCRAFT_BA1-4-U_PROCUREMENT_JustificationBook_Navy_PB_2017.zzz_unzipped-U_PROCUREMENT_JustificationBook_Navy_PB_2017.xml","0a3d83f8b6182cc9256793d5f1122119e3b6f05f036914d3cf93c1187b9b7907","2-459bcbdbdd281013ffb2dc3bbaf10d2f38eefbf6d7a42f96ce371d81dc530af8","0","","","0-1ea9ea4fca5e2eb7dd5781c1b9b027f5bab48b827a078409c9d50477465be4cd","root.record.ItemExhibitList.P5Item"
"GFE Com/Nav","","0","","","","2","","","","","","","","","","","","2017-BASE_PROCUREMENT-2017-NAVY_AIRCRAFT_BA1-4-U_PROCUREMENT_JustificationBook_Navy_PB_2017.zzz_unzipped-U_PROCUREMENT_JustificationBook_Navy_PB_2017.xml","0a3d83f8b6182cc9256793d5f1122119e3b6f05f036914d3cf93c1187b9b7907","0-357680d707109373154d4d9e80c52257e2276f81c2132cef46655d1cabab9662","0","","","1-c4c8ca20c663929a709f827bbab0041c3fce7a06c54a55f81f5725aa5bc3587b","root.record.ItemExhibitList.P5Item"
"GFE EW","","0","","","","2","","","","","","","","","","","","2017-BASE_PROCUREMENT-2017-NAVY_AIRCRAFT_BA1-4-U_PROCUREMENT_JustificationBook_Navy_PB_2017.zzz_unzipped-U_PROCUREMENT_JustificationBook_Navy_PB_2017.xml","0a3d83f8b6182cc9256793d5f1122119e3b6f05f036914d3cf93c1187b9b7907","1-0173c6dfc0b2bd6cf474ba96c766cc20a44650d25521b643d1b15e487bdc69f5","0","","","1-c4c8ca20c663929a709f827bbab0041c3fce7a06c54a55f81f5725aa5bc3587b","root.record.ItemExhibitList.P5Item"
"GFE Other","","0","27.983","3.16","","","","","","","","","","","","","","2017-BASE_PROCUREMENT-2017-NAVY_AIRCRAFT_BA1-4-U_PROCUREMENT_JustificationBook_Navy_PB_2017.zzz_unzipped-U_PROCUREMENT_JustificationBook_Navy_PB_2017.xml","6a5e6f143345269ecf4f7575802b96635f13b6bb722b201fc463fb59d7cad159","0-4d782d53f58b17ddb447c69769dec75f0cd551bf220bcea9d214de9048eb7c44","0","","","0-19ffdb8cd0f06b2be238acd0a799c54ea896ea729fa9d477f8af7ac0407abfda","root.record.ItemExhibitList.P5Item"
"Other GFE","","0","32.177","","","","","","","","","","","","","","","2017-BASE_PROCUREMENT-2017-NAVY_AIRCRAFT_BA1-4-U_PROCUREMENT_MasterJustificationBook_Navy_PB_2017.zzz_unzipped-U_PROCUREMENT_MasterJustificationBook_Navy_PB_2017.xml","fc0e5062129e63679abcca85e4637b9cfc30beb4087d3088d4ea5a0f4efaef6a","0-bc0e5f2ea98fbe21be7cd5e33ff83a95319874cbcc8cf95adc9fc79bf2f01ecc","1","","","0-b73998f864d3c258cc75296ce3b4c4279104412628285473fa144fbcd5aabb4e","root.record.ItemExhibitList.P5Item"
"JTIDS","","0","16.955","","","","","","","","","","","","","","","2017-BASE_PROCUREMENT-2017-NAVY_AIRCRAFT_BA1-4-U_PROCUREMENT_MasterJustificationBook_Navy_PB_2017.zzz_unzipped-U_PROCUREMENT_MasterJustificationBook_Navy_PB_2017.xml","fc0e5062129e63679abcca85e4637b9cfc30beb4087d3088d4ea5a0f4efaef6a","1-3525e3cab2899eadc086662c3a0c23230820090403c7cdf94818a490e4fed016","1","","","0-b73998f864d3c258cc75296ce3b4c4279104412628285473fa144fbcd5aabb4e","root.record.ItemExhibitList.P5Item"
"Engines","","0","14.9","","","","","","","","","","","","","","","2017-BASE_PROCUREMENT-2017-NAVY_AIRCRAFT_BA1-4-U_PROCUREMENT_MasterJustificationBook_Navy_PB_2017.zzz_unzipped-U_PROCUREMENT_MasterJustificationBook_Navy_PB_2017.xml","fc0e5062129e63679abcca85e4637b9cfc30beb4087d3088d4ea5a0f4efaef6a","2-4fbac08f47dbda1934ce3743700e239cf0153399a7be15ac95f17833e0f25dbf","1","","","0-b73998f864d3c258cc75296ce3b4c4279104412628285473fa144fbcd5aabb4e","root.record.ItemExhibitList.P5Item"
"GFE Electronics","","0","22.805","0","4.164","4.243","","","","","","","","","","","","2017-BASE_PROCUREMENT-2017-NAVY_AIRCRAFT_BA1-4-U_PROCUREMENT_MasterJustificationBook_Navy_PB_2017.zzz_unzipped-U_PROCUREMENT_MasterJustificationBook_Navy_PB_2017.xml","de8d029582830ec73b6dfc61b503cb2f65019363b4494e029b6ed01a856247ba","0-5eefedeeb4803f47d14a8536c940f98e92b8a7ac5418052f6f5540b41361cc8d","0","","","0-e5a4269fc4fc71af78fb0ef787975e628a32bc9451e9033921c7bc9f7cde8b65","root.record.ItemExhibitList.P5Item"
"GFE Other","","0","2.292","0","0.287","0.293","","","","","","","","","","","","2017-BASE_PROCUREMENT-2017-NAVY_AIRCRAFT_BA1-4-U_PROCUREMENT_MasterJustificationBook_Navy_PB_2017.zzz_unzipped-U_PROCUREMENT_MasterJustificationBook_Navy_PB_2017.xml","de8d029582830ec73b6dfc61b503cb2f65019363b4494e029b6ed01a856247ba","1-5c2f2d7e4de1aa50689bf72034f7a68cab73f38ba6327fe8ed3e57fb4754b3e1","0","","","0-e5a4269fc4fc71af78fb0ef787975e628a32bc9451e9033921c7bc9f7cde8b65","root.record.ItemExhibitList.P5Item"
"G.F.E Engines Termination Liability","","0","139.149","2.36","5.121","8.9","","","","","","","","","","","","2017-BASE_PROCUREMENT-2017-NAVY_AIRCRAFT_BA1-4-U_PROCUREMENT_MasterJustificationBook_Navy_PB_2017.zzz_unzipped-U_PROCUREMENT_MasterJustificationBook_Navy_PB_2017.xml","f8f2b72e8b805b2c14063831041c8d710c4a3f22cd715101dade1b15d3484ac6","0-1191e95141e621688b047c830ba790d2fd160bf48d0444f78218db3df1e24039","1","","","0-070c86008fb25a557b102a6dba3b3ce2120d11a463d8411305840fdd6cdd439d","root.record.ItemExhibitList.P5Item"
"GFE- Engines Termination Liability","","0","239.849","37.43","51.295","60.748","","","","","","","","","","","","2017-BASE_PROCUREMENT-2017-NAVY_AIRCRAFT_BA1-4-U_PROCUREMENT_MasterJustificationBook_Navy_PB_2017.zzz_unzipped-U_PROCUREMENT_MasterJustificationBook_Navy_PB_2017.xml","14b3096e3c4b7eb44f1793e7633ca7b004f08bf05d6d738785d9dfcd179ca0e2","0-37adf3a6fe1b95b81f87d43e83fa877a5b800a0144d1e9735376a944eea4d18d","1","","","0-ae9907c872bcd80ff75c2a714f014b866983350399fb1fd69ad7e176d25adcb1","root.record.ItemExhibitList.P5Item"
"GFE - Miscellaneous","GFE - Miscellaneous includes CH-53K Communication, Navigation and Survivability components.","0","","","11.305","23.055","","","","","","","","","","","","2017-BASE_PROCUREMENT-2017-NAVY_AIRCRAFT_BA1-4-U_PROCUREMENT_MasterJustificationBook_Navy_PB_2017.zzz_unzipped-U_PROCUREMENT_MasterJustificationBook_Navy_PB_2017.xml","4cbc351d7cf23324cb4d0fcb0fc3a7e61789bd6072deea3399eccc2b7495b94d","0-f26d4668334bdd8f760d68a676f55ed05340c5efb64c0527f23819e873358432","0","","","0-2c94b1d03a986215e5813af49f0b6789c2b08aa1b45256c94a4f43fb5a716a7f","root.record.ItemExhibitList.P5Item"
"GFE Other","","0","86.028","","","","","","","","","","","","","","","2017-BASE_PROCUREMENT-2017-NAVY_AIRCRAFT_BA1-4-U_PROCUREMENT_MasterJustificationBook_Navy_PB_2017.zzz_unzipped-U_PROCUREMENT_MasterJustificationBook_Navy_PB_2017.xml","ff29ceddff61e709a37d81c5af5203866299d72e075cd0f843ca114b3511c3b7","0-e1c9d3c48e675589c61d380b4b01c87b0852f05dd1e9e09d97435226d560551f","0","","","0-23afd42e2fbb99e3fb5831e37e59467ce5b9edc3661e707375154e6b3827dc1e","root.record.ItemExhibitList.P5Item"
"GFE Com/Nav","","0","19.831","3.357","2.579","","","","","","","","","","","","","2017-BASE_PROCUREMENT-2017-NAVY_AIRCRAFT_BA1-4-U_PROCUREMENT_MasterJustificationBook_Navy_PB_2017.zzz_unzipped-U_PROCUREMENT_MasterJustificationBook_Navy_PB_2017.xml","ff29ceddff61e709a37d81c5af5203866299d72e075cd0f843ca114b3511c3b7","1-403ab1a86c02e4519d43af3f541387da163ff66800ac6b23276ab991dc88c372","0","","","0-23afd42e2fbb99e3fb5831e37e59467ce5b9edc3661e707375154e6b3827dc1e","root.record.ItemExhibitList.P5Item"
"GFE EW","","0","21.802","7.796","2.684","","","","","","","","","","","","","2017-BASE_PROCUREMENT-2017-NAVY_AIRCRAFT_BA1-4-U_PROCUREMENT_MasterJustificationBook_Navy_PB_2017.zzz_unzipped-U_PROCUREMENT_MasterJustificationBook_Navy_PB_2017.xml","ff29ceddff61e709a37d81c5af5203866299d72e075cd0f843ca114b3511c3b7","2-6d3ef55dd6c0510edfd4c86e16921508d1ca98d038d62d11887233e8a2f37206","0","","","0-23afd42e2fbb99e3fb5831e37e59467ce5b9edc3661e707375154e6b3827dc1e","root.record.ItemExhibitList.P5Item"
"GFE Com/Nav","","0","","","","2","","","","","","","","","","","","2017-BASE_PROCUREMENT-2017-NAVY_AIRCRAFT_BA1-4-U_PROCUREMENT_MasterJustificationBook_Navy_PB_2017.zzz_unzipped-U_PROCUREMENT_MasterJustificationBook_Navy_PB_2017.xml","ff29ceddff61e709a37d81c5af5203866299d72e075cd0f843ca114b3511c3b7","0-a6f06815146e9cf346739c778b5fb09a689377119874a68e500da2f608cb1f15","0","","","1-31bf435d28d41023dd5f5353633c982a6b3439ae09c3866a17cdc24ca8ee4a2b","root.record.ItemExhibitList.P5Item"
"GFE EW","","0","","","","2","","","","","","","","","","","","2017-BASE_PROCUREMENT-2017-NAVY_AIRCRAFT_BA1-4-U_PROCUREMENT_MasterJustificationBook_Navy_PB_2017.zzz_unzipped-U_PROCUREMENT_MasterJustificationBook_Navy_PB_2017.xml","ff29ceddff61e709a37d81c5af5203866299d72e075cd0f843ca114b3511c3b7","1-80fa833459bd8b90cb091a215d677daca0cdd23cc64034df43de264740d60897","0","","","1-31bf435d28d41023dd5f5353633c982a6b3439ae09c3866a17cdc24ca8ee4a2b","root.record.ItemExhibitList.P5Item"
"GFE Other","","0","27.983","3.16","","","","","","","","","","","","","","2017-BASE_PROCUREMENT-2017-NAVY_AIRCRAFT_BA1-4-U_PROCUREMENT_MasterJustificationBook_Navy_PB_2017.zzz_unzipped-U_PROCUREMENT_MasterJustificationBook_Navy_PB_2017.xml","9eb723de1a8916ea77f2b799682a39678e536b59c61f97964db92994f1fa1347","0-c5c05632a6882b39587dea8664cbc8908bf1d07b10bacb712d50aa50b3cf989c","0","","","0-d005ee6999d1292d474293cf17ee3774321df1ce4a2a75cd3a8b7af0e2b55866","root.record.ItemExhibitList.P5Item"
"Engines/Eng ACC: Long Lead Material","FY18 Advance Procurement funding is requested for long-lead requirements necessary to support procurement of 44 CTOL JSF aircraft in FY19.","9","498.011","101.257","88.99","61.04","","","","","","","Pratt & Whitney","East Hartford, CT","9","9","2018-BASE_PROCUREMENT-2018-AIRFORCE_AIRCRAFT_VOL1-U_PROCUREMENT_JustificationBook_Air_Force_PB_2018.zzz_unzipped-U_PROCUREMENT_JustificationBook_Air_Force_PB_2018.xml","a30f2c236c5384ee16ac505377b81d18639f300a5bc38116f7a4b25eef710752","0-107503c0490ed20f61222716a3ea4f89ae5807badccca935a9ac769277deda16","1","","","0-5dbb2d4f0c7e8a07816f9d5d0ea0295c00bb78ce6277b140ca5893ead0accd22","root.record.ItemExhibitList.P5Item"
"Engines/Eng ACC: For FY19 EOQ/Long Lead","","9","","","","24.094","","","","","","","Pratt & Whitney","East Hartford, CT","9","9","2018-BASE_PROCUREMENT-2018-AIRFORCE_AIRCRAFT_VOL1-U_PROCUREMENT_JustificationBook_Air_Force_PB_2018.zzz_unzipped-U_PROCUREMENT_JustificationBook_Air_Force_PB_2018.xml","a30f2c236c5384ee16ac505377b81d18639f300a5bc38116f7a4b25eef710752","1-4d056c8766085ca47a655ed54fc3c131fe2fb1392673086b329fc8397d0c4e27","1","","","0-5dbb2d4f0c7e8a07816f9d5d0ea0295c00bb78ce6277b140ca5893ead0accd22","root.record.ItemExhibitList.P5Item"
"Engines/Eng ACC: For FY20 EOQ/Long Lead","","21","","","","24.108","","","","","","","Pratt & Whitney","East Hartford, CT","21","21","2018-BASE_PROCUREMENT-2018-AIRFORCE_AIRCRAFT_VOL1-U_PROCUREMENT_JustificationBook_Air_Force_PB_2018.zzz_unzipped-U_PROCUREMENT_JustificationBook_Air_Force_PB_2018.xml","a30f2c236c5384ee16ac505377b81d18639f300a5bc38116f7a4b25eef710752","2-f35a7cc493e1c0b7eed7ad3c4da3f29c6e160ee6d4e91a5ce3d2f84419ab68a0","1","","","0-5dbb2d4f0c7e8a07816f9d5d0ea0295c00bb78ce6277b140ca5893ead0accd22","root.record.ItemExhibitList.P5Item"
"Engines/Eng ACC: For FY21 EOQ/Long Lead","","0","","","","0","","","","","","","Pratt & Whitney","East Hartford, CT","0","0","2018-BASE_PROCUREMENT-2018-AIRFORCE_AIRCRAFT_VOL1-U_PROCUREMENT_JustificationBook_Air_Force_PB_2018.zzz_unzipped-U_PROCUREMENT_JustificationBook_Air_Force_PB_2018.xml","a30f2c236c5384ee16ac505377b81d18639f300a5bc38116f7a4b25eef710752","3-a668d4004239ebe65325994dcf44dbbdf3812562b0878489597b3cf9e26c635e","1","","","0-5dbb2d4f0c7e8a07816f9d5d0ea0295c00bb78ce6277b140ca5893ead0accd22","root.record.ItemExhibitList.P5Item"
"Engines/Eng ACC: For FY22 EOQ/Long Lead","","0","","","","0","","","","","","","Pratt & Whitney","East Hartford, CT","0","0","2018-BASE_PROCUREMENT-2018-AIRFORCE_AIRCRAFT_VOL1-U_PROCUREMENT_JustificationBook_Air_Force_PB_2018.zzz_unzipped-U_PROCUREMENT_JustificationBook_Air_Force_PB_2018.xml","a30f2c236c5384ee16ac505377b81d18639f300a5bc38116f7a4b25eef710752","4-1df3be8a301bbcd3d0d23ce0ce2f84fbd55e684b73363d77f42396ab298ed973","1","","","0-5dbb2d4f0c7e8a07816f9d5d0ea0295c00bb78ce6277b140ca5893ead0accd22","root.record.ItemExhibitList.P5Item"
