ProgramElementNumber_val,ProgramElementFunding_AllPriorYears_Quantity_val,ProgramElementFunding_AllPriorYears_TotalCost_val,ProgramElementFunding_PriorYear_Quantity_val,ProgramElementFunding_PriorYear_TotalCost_val,ProgramElementFunding_CurrentYear_Quantity_val,ProgramElementFunding_CurrentYear_TotalCost_val,ProgramElementFunding_BudgetYearOneBase_Quantity_val,ProgramElementFunding_BudgetYearOneBase_TotalCost_val,ProgramElementFunding_BudgetYearOneOCO_Quantity_val,ProgramElementFunding_BudgetYearOneOCO_TotalCost_val,ProgramElementFunding_BudgetYearOne_Quantity_val,ProgramElementFunding_BudgetYearOne_TotalCost_val,ProgramElementFunding_BudgetYearTwo_Quantity_val,ProgramElementFunding_BudgetYearTwo_TotalCost_val,ProgramElementFunding_BudgetYearThree_Quantity_val,ProgramElementFunding_BudgetYearThree_TotalCost_val,ProgramElementFunding_BudgetYearFour_Quantity_val,ProgramElementFunding_BudgetYearFour_TotalCost_val,ProgramElementFunding_BudgetYearFive_Quantity_val,ProgramElementFunding_BudgetYearFive_TotalCost_val,ProgramElementFunding_ToComplete_Quantity_val,ProgramElementFunding_ToComplete_TotalCost_val,ProgramElementFunding_Total_Quantity_val,ProgramElementFunding_Total_TotalCost_val,ProgramElementFunding_Quantity_AllPriorYears_val,ProgramElementFunding_Quantity_Total_val,ProgramElementFunding_Quantity_CurrentYear_val,ProgramElementFunding_Quantity_PriorYear_val,ProgramElementFunding_Quantity_BudgetYearOneBase_val,ProgramElementFunding_Quantity_BudgetYearOne_val,ProgramElementFunding_Quantity_BudgetYearTwo_val,ProgramElementFunding_Quantity_BudgetYearThree_val,ProgramElementFunding_Quantity_BudgetYearFour_val,ProgramElementFunding_Quantity_BudgetYearFive_val,ProgramElementFunding_Quantity_ToComplete_val,ProgramElementFunding_TotalCost_AllPriorYears_val,ProgramElementFunding_TotalCost_PriorYear_val,ProgramElementFunding_TotalCost_Total_val,ProgramElementFunding_TotalCost_CurrentYear_val,ProgramElementFunding_TotalCost_BudgetYearOneBase_val,ProgramElementFunding_TotalCost_BudgetYearOne_val,ProgramElementFunding_TotalCost_BudgetYearTwo_val,ProgramElementFunding_TotalCost_BudgetYearThree_val,ProgramElementFunding_TotalCost_BudgetYearFour_val,ProgramElementFunding_TotalCost_BudgetYearFive_val,ProgramElementFunding_TotalCost_ToComplete_val,ProgramElementFunding_TotalCost_BudgetYearOneOCO_val,@SOURCE_FILENAME,@RECORDID,@ROWID,@PARENTROWID,@PARENT
"0205219F","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","817.828","141.528","2408.12","122.731","151.373","151.373","156.708","153.047","163.482","66.382","635.041","","2017-BASE_PROCUREMENT-2017-AIRFORCE_AIRCRAFT_VOL2-U_PROCUREMENT_MasterJustificationBook_Air_Force_PB_2017.zzz_unzipped-U_PROCUREMENT_MasterJustificationBook_Air_Force_PB_2017.xml","9a18aac36629b9303adc072b11685f9ca9708e1282522dbada561bc0a0875f40","0-81285ee5cb5272c2337fdafbf531c05ea81b70ebb67647684e1db76bbaac37ab","0-4c3173f9927cf42b59c23af3b39ee91db54c4bf3d7d4a6f31e95ce69719075e3","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem"
"0205219F","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","817.828","141.528","1873.079","122.731","151.373","151.373","156.708","153.047","163.482","166.382","","","2017-BASE_PROCUREMENT-2017-AIRFORCE_AIRCRAFT_VOL2-U_PROCUREMENT_MasterJustificationBook_Air_Force_PB_2017.zzz_unzipped-U_PROCUREMENT_MasterJustificationBook_Air_Force_PB_2017.xml","9a18aac36629b9303adc072b11685f9ca9708e1282522dbada561bc0a0875f40","0-1961096413d72f7f50c71fb2a9f6d9efaa6dc299a4f83a138033231071bc1b77","0-5f37f44f1a0d54304e6f0cdc027672dea6de15801328aa70388f61ef2cea2d3b","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem"
"0205219F","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","141.528","1030.271","141.528","122.731","274.104","156.638","152.991","163.482","","","151.373","2017-BASE_PROCUREMENT-2017-AIRFORCE_AIRCRAFT_VOL2-U_PROCUREMENT_MasterJustificationBook_Air_Force_PB_2017.zzz_unzipped-U_PROCUREMENT_MasterJustificationBook_Air_Force_PB_2017.xml","9a18aac36629b9303adc072b11685f9ca9708e1282522dbada561bc0a0875f40","0-e1a641a819103ff9f9c2636c29a169877f8f57c8a8a7e66d122e828ecc8d429b","0-1f560baedff655404cc77e89f9c78000db89b0c43ca958c7e75f057214b54d42","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem"
"0205219F","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","817.828","141.528","1873.079","122.731","151.373","151.373","156.708","153.047","163.482","166.382","","","2017-BASE_PROCUREMENT-2017-AIRFORCE_AIRCRAFT_VOL2-U_PROCUREMENT_MasterJustificationBook_Air_Force_PB_2017.zzz_unzipped-U_PROCUREMENT_MasterJustificationBook_Air_Force_PB_2017.xml","9a18aac36629b9303adc072b11685f9ca9708e1282522dbada561bc0a0875f40","0-7aaef5a184100121994315abcffc084dc669a036334fbc70152417b3da6f03fa","0-99b7cdbfed779ce1352ca5372af403e4548ff75361e3393941746bbe34b16e87","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem"
"0205219F","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","817.828","141.528","1873.079","122.731","151.373","151.373","156.708","153.047","163.482","166.382","","","2017-BASE_PROCUREMENT-2017-AIRFORCE_AIRCRAFT_VOL2-U_PROCUREMENT_MasterJustificationBook_Air_Force_PB_2017.zzz_unzipped-U_PROCUREMENT_MasterJustificationBook_Air_Force_PB_2017.xml","9a18aac36629b9303adc072b11685f9ca9708e1282522dbada561bc0a0875f40","0-6ff2a059f4290de525db71f17b0991dc34020b63d225df88860174b94e06424a","0-14416510283b1fec5dcf01060aaa5c77c45dece9e74373d5637ac8a9873537bb","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem"
"0205219F","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","817.828","141.528","1873.169","122.731","151.373","151.373","156.798","153.047","163.482","166.382","","","2017-BASE_PROCUREMENT-2017-AIRFORCE_AIRCRAFT_VOL2-U_PROCUREMENT_MasterJustificationBook_Air_Force_PB_2017.zzz_unzipped-U_PROCUREMENT_MasterJustificationBook_Air_Force_PB_2017.xml","9a18aac36629b9303adc072b11685f9ca9708e1282522dbada561bc0a0875f40","0-9fd23373f0e07489d925ed130501c58fa0b2dae4d7dcdd7ae387e4d7baf1fb7f","0-bbe7080d90568c3b1f07d3bc0e1771aa49b8f6d6c4c0e1af3209366b3b8dd4bc","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem"
"0205219F","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","790.992","","151.373","151.373","156.708","153.047","163.482","166.382","","","2017-BASE_PROCUREMENT-2017-AIRFORCE_AIRCRAFT_VOL2-U_PROCUREMENT_MasterJustificationBook_Air_Force_PB_2017.zzz_unzipped-U_PROCUREMENT_MasterJustificationBook_Air_Force_PB_2017.xml","9a18aac36629b9303adc072b11685f9ca9708e1282522dbada561bc0a0875f40","0-0e0d65e7cc941177c083712464514149f7f48f0dd07b8ee94d6330eb1be42a51","0-81683ee7abc5f640413ac11f9355b9a27482d6a586003d6b48a02eeaaff3d2b5","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem"
"0207134F","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","380.013","","380.013","","","","","","","","","","2017-BASE_PROCUREMENT-2017-AIRFORCE_AIRCRAFT_VOL2-U_PROCUREMENT_MasterJustificationBook_Air_Force_PB_2017.zzz_unzipped-U_PROCUREMENT_MasterJustificationBook_Air_Force_PB_2017.xml","230cb6fb8d55ca1e8475d21053fdc8d5f4c46b09b08f462191243e322fbce2c7","0-a8f6fa8ca40b18f7509db0029bfd22d4f1cad92fccabfbecd103fdf77d337d31","0-ebe38472a8464df9d7c3d144ef3f222d0fba04fa391a0b4df3df723730399f3d","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem"
"0207133F","","","","","","","","","","","","","","","","","","","","","","","","","","2","2","0","","","","","","","","41.662","11.776","56.268","2.83","","","","","","","","","2017-BASE_PROCUREMENT-2017-AIRFORCE_AIRCRAFT_VOL2-U_PROCUREMENT_MasterJustificationBook_Air_Force_PB_2017.zzz_unzipped-U_PROCUREMENT_MasterJustificationBook_Air_Force_PB_2017.xml","4dcf07700229f67f06a8b1d9dd1c95f43ee1f6913b4a5de4f840073848b0ed2f","0-16615f93ee2ab716050483ae996dcb6e14020e5f350b7422f1ffcb2d109aafac","0-4774c53d2b8650bf10699430cbe6f61f7411de1ea269c0a64717a9b3798987d9","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem"
"0207133F","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","40","40","","","","","","","","","2017-BASE_PROCUREMENT-2017-AIRFORCE_AIRCRAFT_VOL2-U_PROCUREMENT_MasterJustificationBook_Air_Force_PB_2017.zzz_unzipped-U_PROCUREMENT_MasterJustificationBook_Air_Force_PB_2017.xml","4dcf07700229f67f06a8b1d9dd1c95f43ee1f6913b4a5de4f840073848b0ed2f","0-1ecb2589e258da53968ae4264a87d00a2dfc39dff1ca96823d75e7fdf8aea9f3","0-8cb0e6768e7000f2d344e1465953c27c4eb1376635d838e4ee55dc443c9b9765","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem"
"0207138F","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","617.559","163.877","992.366","140.64","70.29","70.29","","","","","","","2017-BASE_PROCUREMENT-2017-AIRFORCE_AIRCRAFT_VOL2-U_PROCUREMENT_MasterJustificationBook_Air_Force_PB_2017.zzz_unzipped-U_PROCUREMENT_MasterJustificationBook_Air_Force_PB_2017.xml","8b4859acf6248e13d5359aadb26c2945d1e40cc0b84f302c4379a3c4d9835929","0-bd2cfa990f3dc078a9621d0047680d1ccbc3a495433206c151a0d6848aca5b6d","0-bc0b5ec35509a49d88aec21cbaa5c70a4afb2cff924711e465ba3c9467d09ac4","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem"
"0604933F","","","","","","","","","","","","","","","","","","","","","","","","","","88","12","3","10","10","7","16","24","16","","197.202","57.893","1246.12","142.551","189.751","189.751","178.475","168.035","157.738","123.617","30.858","","2017-BASE_PROCUREMENT-2017-AIRFORCE_MISSILE-U_PROCUREMENT_JustificationBook_Air_Force_PB_2017.zzz_unzipped-U_PROCUREMENT_JustificationBook_Air_Force_PB_2017.xml","c4f00b0a6277ebbff12c293edda1972770594fe8b37bcf77d00a2438d1aff1b6","0-78631b14555fd70a0a35c04d9777954fe265bb6f18e5095f54afd81a5454d2b6","0-460bebf13ee8128f5791203ed864a3c76204a940f53f0951e3e39521c02e1814","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem"
"0101213F","","","","","","","","","","","","","","","","","","","","","","","","","","12","","12","","","","","","","","","39.589","72.434","32.845","","","","","","","","","2017-BASE_PROCUREMENT-2017-AIRFORCE_MISSILE-U_PROCUREMENT_JustificationBook_Air_Force_PB_2017.zzz_unzipped-U_PROCUREMENT_JustificationBook_Air_Force_PB_2017.xml","62208b5ef681dd259570675622051f18b7b55d3545a351a18fe8803737464eb3","0-9c149a53ff055f26145cf592ec140b02d9bb1a1dd653dec6ca95344fcf24c261","0-3c4ffc81cd10558bd8689e097b2aaacd90d458eb585e32a411a844daec29741f","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem"
"0101213F","","","","","","","","","","","","","","","","","","","","","","","","","","8","3","","4","4","","1","","","","","15.885","85.278","28.484","16.94","16.94","13.942","10.027","","","","","2017-BASE_PROCUREMENT-2017-AIRFORCE_MISSILE-U_PROCUREMENT_JustificationBook_Air_Force_PB_2017.zzz_unzipped-U_PROCUREMENT_JustificationBook_Air_Force_PB_2017.xml","62208b5ef681dd259570675622051f18b7b55d3545a351a18fe8803737464eb3","0-4c58b7cc3617c70844772ee95512c849032eda1c7a11cb3b6e42209558dee9a0","0-21d3f01841f469817e141ace4cb72534fc375a3ffc9d7e3089f51b46c5a66732","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem"
"0604933F","","","","","","","","","","","","","","","","","","","","","","","","","","88","12","3","10","10","7","16","24","16","","197.202","57.893","1246.12","142.551","189.751","189.751","178.475","168.035","157.738","123.617","30.858","","2017-BASE_PROCUREMENT-2017-AIRFORCE_MISSILE-U_PROCUREMENT_MasterJustificationBook_Air_Force_PB_2017.zzz_unzipped-U_PROCUREMENT_MasterJustificationBook_Air_Force_PB_2017.xml","6dec2e7dfd1d44a99bf54089a0c3adcd5170a6c4fb910495837481d4a9cd628c","0-af9560d284915383bedc6f504378b8d55ef9ec1119e166ffb61775fd511f9dc8","0-161118b8832d8d4a5a1c10c5d32f6f4c912aef58bec6d10aaef2a172c20a6181","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem"
"0101213F","","","","","","","","","","","","","","","","","","","","","","","","","","12","","12","","","","","","","","","39.589","72.434","32.845","","","","","","","","","2017-BASE_PROCUREMENT-2017-AIRFORCE_MISSILE-U_PROCUREMENT_MasterJustificationBook_Air_Force_PB_2017.zzz_unzipped-U_PROCUREMENT_MasterJustificationBook_Air_Force_PB_2017.xml","de55f5ec4941d926c72f64c978fc456246fca72cd5ce8c8e023f96ff38edd2ad","0-5db45fdc86b0ac6b31695d1c48994f49783a6ce4909ed297062d1c2e2d3dc8be","0-6c0adb12bc0bc7435936337a21d28d6b0274bb8dcdf3ee8434369bf5d3c0d571","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem"
"0101213F","","","","","","","","","","","","","","","","","","","","","","","","","","8","3","","4","4","","1","","","","","15.885","85.278","28.484","16.94","16.94","13.942","10.027","","","","","2017-BASE_PROCUREMENT-2017-AIRFORCE_MISSILE-U_PROCUREMENT_MasterJustificationBook_Air_Force_PB_2017.zzz_unzipped-U_PROCUREMENT_MasterJustificationBook_Air_Force_PB_2017.xml","de55f5ec4941d926c72f64c978fc456246fca72cd5ce8c8e023f96ff38edd2ad","0-ed7162f56970666680111c0c5f98a453399e01d00efb847f28bfd4d66e11b09b","0-3ae3ed440f48c6b9484cc6bd5bfdc1190dd2562427bfe650a5511911b5eb7063","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem"
"1160403BB","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","255.268","12.412","277.695","","","","","1.984","8.031","","","","2017-BASE_PROCUREMENT-2017-DEFENSE_SOCOM-U_PROCUREMENT_JustificationBook_United_States_Special_Operations_Command_PB_2017.zzz_unzipped-U_PROCUREMENT_JustificationBook_United_States_Special_Operations_Command_PB_2017.xml","e0ca5b53e4852129c61c69f46ba5cbd0907ad35b4473f1e36dbea6c644efe757","0-26795283250f8ce949504bc6d10a9d8025935c72f899f14f207fb6c8aab6dde3","0-10842753dcc9be9fda1eed8f1cef2eced9a0be87a103e4c6244805a6dfcc930b","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem"
"1160403BB","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","12.953","0.232","1.074","1.074","5.087","3.593","1.469","1.498","","","2017-BASE_PROCUREMENT-2017-DEFENSE_SOCOM-U_PROCUREMENT_JustificationBook_United_States_Special_Operations_Command_PB_2017.zzz_unzipped-U_PROCUREMENT_JustificationBook_United_States_Special_Operations_Command_PB_2017.xml","e0ca5b53e4852129c61c69f46ba5cbd0907ad35b4473f1e36dbea6c644efe757","0-ec4de1873da66218030ae59603c8e3f52c153bb66fb1ea1760f93b2d27c49f98","0-e3ab82073a41c9638bd09715be887c1882963656853afb23b7d7ec040c3a0ac1","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem"
"1160403BB","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.173","2.413","17.619","3.45","2.498","2.498","2.277","4.308","2.5","","","","2017-BASE_PROCUREMENT-2017-DEFENSE_SOCOM-U_PROCUREMENT_JustificationBook_United_States_Special_Operations_Command_PB_2017.zzz_unzipped-U_PROCUREMENT_JustificationBook_United_States_Special_Operations_Command_PB_2017.xml","e0ca5b53e4852129c61c69f46ba5cbd0907ad35b4473f1e36dbea6c644efe757","0-b8988f2f5cee4197f6a295d90960cfe43d12601c2c095fefbb455da7e3116b82","0-6196119dcdd2448bb83839dcc9729a701bc088e3f128a4eb61d1c3df68d85ecf","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem"
"1160403BB","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","12.443","37.853","11.966","0.677","0.677","3.479","3.573","2.829","2.886","","","2017-BASE_PROCUREMENT-2017-DEFENSE_SOCOM-U_PROCUREMENT_JustificationBook_United_States_Special_Operations_Command_PB_2017.zzz_unzipped-U_PROCUREMENT_JustificationBook_United_States_Special_Operations_Command_PB_2017.xml","e0ca5b53e4852129c61c69f46ba5cbd0907ad35b4473f1e36dbea6c644efe757","0-1bff369affa445e63502edd3c349bedeeeeb59d1a5999c0b21e528f5359a3b7d","0-af78cb57b7b2350d1c29c3c9aa5fa2a02d6a2808e7f6a825137ecb86ca25c8fa","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem"
"1160403BB","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11.85","16.426","51.203","13.465","9.462","9.462","","","","","","","2017-BASE_PROCUREMENT-2017-DEFENSE_SOCOM-U_PROCUREMENT_JustificationBook_United_States_Special_Operations_Command_PB_2017.zzz_unzipped-U_PROCUREMENT_JustificationBook_United_States_Special_Operations_Command_PB_2017.xml","e0ca5b53e4852129c61c69f46ba5cbd0907ad35b4473f1e36dbea6c644efe757","0-ff3c3fc12a9f686968d5d3e4ab1cc6948b2e708eccf81692d55a6bb27c13da7a","0-27d881f3cfe5364fabdfed7f914ad8588fb457cd9e79940c9525949f3b6e8c03","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem"
"1160429BB","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","26.105","","26.105","","","","","","","","","","2017-BASE_PROCUREMENT-2017-DEFENSE_SOCOM-U_PROCUREMENT_JustificationBook_United_States_Special_Operations_Command_PB_2017.zzz_unzipped-U_PROCUREMENT_JustificationBook_United_States_Special_Operations_Command_PB_2017.xml","92f9cb3810346bcc9a862c19d61d925d94f2eb037eef4b9e9c36489c2ee87b56","0-48e2e33c1f8ab0027f20a30cb9cbbe62d33d95f7492b6b3c679f3a8c69746dcb","0-e9174536e1a08c761b6855295c4f82e0053b7cedc251bb15d42a7fa40f877670","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem"
"1160403BB","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5.412","2.183","119.644","6.118","7.556","7.556","8.235","12.605","24.127","53.408","","","2017-BASE_PROCUREMENT-2017-DEFENSE_SOCOM-U_PROCUREMENT_JustificationBook_United_States_Special_Operations_Command_PB_2017.zzz_unzipped-U_PROCUREMENT_JustificationBook_United_States_Special_Operations_Command_PB_2017.xml","92f9cb3810346bcc9a862c19d61d925d94f2eb037eef4b9e9c36489c2ee87b56","1-c6bbfc1a0aa42ca610834d6d73f59705a091ef1ddaff04098e1e18c5e79d59c6","0-e9174536e1a08c761b6855295c4f82e0053b7cedc251bb15d42a7fa40f877670","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem"
"1160429BB","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","17.191","","17.191","","","","","","","","0","","2017-BASE_PROCUREMENT-2017-DEFENSE_SOCOM-U_PROCUREMENT_JustificationBook_United_States_Special_Operations_Command_PB_2017.zzz_unzipped-U_PROCUREMENT_JustificationBook_United_States_Special_Operations_Command_PB_2017.xml","92f9cb3810346bcc9a862c19d61d925d94f2eb037eef4b9e9c36489c2ee87b56","0-acb3c11683fb7331932fa79077f8f2887a0f888df5cb7c158ecc3d2b0deaf16e","0-9fd2a085c88c674efbeebc6cc0af4a096fb79e26ca550d790574e0c95f8f9412","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem"
"1160403BB","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7.744","1.041","10.183","0.575","0.408","0.408","0.415","","","","0","","2017-BASE_PROCUREMENT-2017-DEFENSE_SOCOM-U_PROCUREMENT_JustificationBook_United_States_Special_Operations_Command_PB_2017.zzz_unzipped-U_PROCUREMENT_JustificationBook_United_States_Special_Operations_Command_PB_2017.xml","92f9cb3810346bcc9a862c19d61d925d94f2eb037eef4b9e9c36489c2ee87b56","1-7d1818ac12f183d7fc1684eec9321d83c93214636d4d4349c705346b39f00f9b","0-9fd2a085c88c674efbeebc6cc0af4a096fb79e26ca550d790574e0c95f8f9412","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem"
"1160403BB","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.366","7.38","2.375","","","","1.189","1.213","1.237","","","2017-BASE_PROCUREMENT-2017-DEFENSE_SOCOM-U_PROCUREMENT_JustificationBook_United_States_Special_Operations_Command_PB_2017.zzz_unzipped-U_PROCUREMENT_JustificationBook_United_States_Special_Operations_Command_PB_2017.xml","58de14c733a2bafe7da50114affa8e55055fb89af7d36d03b88012d772176c41","0-079be7d90eb09f9649d6cfbab5c7f6c18722be68ec9d8bf7b3d024f661b49adb","0-9351e03a92a8f9413f9352163b2d4a8a6abf4a83551fc24f487ca14787acf7e7","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem"
"1160403BB","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","255.268","12.412","277.695","","","","","1.984","8.031","","","","2017-BASE_PROCUREMENT-2017-DEFENSE_SOCOM-U_PROCUREMENT_MasterJustificationBook_United_States_Special_Operations_Command_PB_2017.zzz_unzipped-U_PROCUREMENT_MasterJustificationBook_United_States_Special_Operations_Command_PB_2017.xml","571b987c6abf802b8cc4e2d1a5769b14966c760c3042630e14e4ef7999466cf0","0-81ddd9bd8340f9889a03b90f0262d39ca7c8fb431a28e8319058e09bbdbaa058","0-d9e22df09d37f042306a39bffb2b67b0de778dd641c72803e6a5ac60294cd005","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem"
"1160403BB","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","12.953","0.232","1.074","1.074","5.087","3.593","1.469","1.498","","","2017-BASE_PROCUREMENT-2017-DEFENSE_SOCOM-U_PROCUREMENT_MasterJustificationBook_United_States_Special_Operations_Command_PB_2017.zzz_unzipped-U_PROCUREMENT_MasterJustificationBook_United_States_Special_Operations_Command_PB_2017.xml","571b987c6abf802b8cc4e2d1a5769b14966c760c3042630e14e4ef7999466cf0","0-1e2840405d43039fac85544508929ce804db39ac49372c5cd54987ec97926e32","0-feb25d2ecbce4c1afea1a8bb58c8b85b62a6833ab2ac5969f6553a56c49bcc7e","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem"
"1160403BB","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.173","2.413","17.619","3.45","2.498","2.498","2.277","4.308","2.5","","","","2017-BASE_PROCUREMENT-2017-DEFENSE_SOCOM-U_PROCUREMENT_MasterJustificationBook_United_States_Special_Operations_Command_PB_2017.zzz_unzipped-U_PROCUREMENT_MasterJustificationBook_United_States_Special_Operations_Command_PB_2017.xml","571b987c6abf802b8cc4e2d1a5769b14966c760c3042630e14e4ef7999466cf0","0-81ad043e826427a7c5ba315c385cea71bfc6cee26e47ade82fed569852627350","0-45bc45933340e4fe2582349d0f68f5284d62d1f7b31ac94f04685d9ccfe66bee","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem"
"1160403BB","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","12.443","37.853","11.966","0.677","0.677","3.479","3.573","2.829","2.886","","","2017-BASE_PROCUREMENT-2017-DEFENSE_SOCOM-U_PROCUREMENT_MasterJustificationBook_United_States_Special_Operations_Command_PB_2017.zzz_unzipped-U_PROCUREMENT_MasterJustificationBook_United_States_Special_Operations_Command_PB_2017.xml","571b987c6abf802b8cc4e2d1a5769b14966c760c3042630e14e4ef7999466cf0","0-0ade263fabe7b1a2f6d61161013f13519e3fbf899a17a47ef3c5cd72d942b07c","0-fda642d835da3c05a926d00feeecd35f9557fb198adadedcc15b3ef65df18a4b","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem"
"1160403BB","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11.85","16.426","51.203","13.465","9.462","9.462","","","","","","","2017-BASE_PROCUREMENT-2017-DEFENSE_SOCOM-U_PROCUREMENT_MasterJustificationBook_United_States_Special_Operations_Command_PB_2017.zzz_unzipped-U_PROCUREMENT_MasterJustificationBook_United_States_Special_Operations_Command_PB_2017.xml","571b987c6abf802b8cc4e2d1a5769b14966c760c3042630e14e4ef7999466cf0","0-7335e83aafae2b4db11b9cdfea020af00dc58ee3f864dd06e9ecc2503d17dfb0","0-351ee3eec009c58cf04224b9ffc049071198da211406c4352c29f169a47b4fa4","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem"
"1160429BB","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","26.105","","26.105","","","","","","","","","","2017-BASE_PROCUREMENT-2017-DEFENSE_SOCOM-U_PROCUREMENT_MasterJustificationBook_United_States_Special_Operations_Command_PB_2017.zzz_unzipped-U_PROCUREMENT_MasterJustificationBook_United_States_Special_Operations_Command_PB_2017.xml","c601e62ea4094b6b8414bb27c95d364ff46864293c4cf6c0ac5c76b249d6eb3f","0-ab97fa9c28c9dfa6bb84300cee5c7ff6c5edb8eda96d4afa1e57b24aacd9a592","0-efafe8baaf8401a4e625d83ee19d70a3fd30ba645cab7dc75a1c13eaf7b8b4ff","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem"
"1160403BB","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5.412","2.183","119.644","6.118","7.556","7.556","8.235","12.605","24.127","53.408","","","2017-BASE_PROCUREMENT-2017-DEFENSE_SOCOM-U_PROCUREMENT_MasterJustificationBook_United_States_Special_Operations_Command_PB_2017.zzz_unzipped-U_PROCUREMENT_MasterJustificationBook_United_States_Special_Operations_Command_PB_2017.xml","c601e62ea4094b6b8414bb27c95d364ff46864293c4cf6c0ac5c76b249d6eb3f","1-89ed013e178340cdf2187f856cd1658f9db14bb50073fb072aa8436b68b94b0a","0-efafe8baaf8401a4e625d83ee19d70a3fd30ba645cab7dc75a1c13eaf7b8b4ff","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem"
