Name_val,Cost_TotalCost_PriorYear_val,Cost_TotalCost_CurrentYear_val,Cost_TotalCost_BudgetYearOneBase_val,Cost_TotalCost_BudgetYearOne_val,Cost_TotalCost_BudgetYearTwo_val,Cost_TotalCost_BudgetYearThree_val,Cost_TotalCost_BudgetYearFour_val,Cost_TotalCost_BudgetYearFive_val,Cost_TotalCost_BudgetYearOneOCO_val,Cost_Quantity_PriorYear_val,Cost_Quantity_CurrentYear_val,Cost_Quantity_BudgetYearOneBase_val,Cost_Quantity_BudgetYearOne_val,Cost_Quantity_BudgetYearTwo_val,Cost_Quantity_BudgetYearThree_val,Cost_Quantity_BudgetYearFour_val,Cost_Quantity_BudgetYearFive_val,Cost_Quantity_BudgetYearOneOCO_val,@SOURCE_FILENAME,@RECORDID,@ROWID,@PARENTROWID,@PARENT
"Air Force Active","","","26.2","26.2","23","0","0","0","0","","","","","","","","","","2019-BASE_PROCUREMENT-2019-AIRFORCE_AIRCRAFT_VOL2-U_PROCUREMENT_JustificationBook_Air_Force_PB_2019.zzz_unzipped-U_PROCUREMENT_JustificationBook_Air_Force_PB_2019.xml","0c485ba199409e501854388731f26ba8dc0e425ca04a2b1e040dfe3311cb5c12","0-6b1af8d45b67072f9d3764e079e353d8b666855d99e12fd0d9f7bf743aa3b9a8","3-09aecdc078a235b968eb0f526e2a3a40f3c8900239e653798a81559c283c68c0","root.record.ItemExhibitList.P3AModificationItemGroup"
"Air National Guard","","","0","0","","","","","","","","","","","","","","","2019-BASE_PROCUREMENT-2019-AIRFORCE_AIRCRAFT_VOL2-U_PROCUREMENT_JustificationBook_Air_Force_PB_2019.zzz_unzipped-U_PROCUREMENT_JustificationBook_Air_Force_PB_2019.xml","0c485ba199409e501854388731f26ba8dc0e425ca04a2b1e040dfe3311cb5c12","1-7ca67df476d2b0fbe0410a7f00062ee61800b9e1f8e46ad5fb217d22f9071493","3-09aecdc078a235b968eb0f526e2a3a40f3c8900239e653798a81559c283c68c0","root.record.ItemExhibitList.P3AModificationItemGroup"
"Air Force Reserve","","","0","0","","","","","","","","","","","","","","","2019-BASE_PROCUREMENT-2019-AIRFORCE_AIRCRAFT_VOL2-U_PROCUREMENT_JustificationBook_Air_Force_PB_2019.zzz_unzipped-U_PROCUREMENT_JustificationBook_Air_Force_PB_2019.xml","0c485ba199409e501854388731f26ba8dc0e425ca04a2b1e040dfe3311cb5c12","2-a9987a3bd4c2c41b1654cd3a227f539a520e6ae0f3c6e015c81fc597272d5b2b","3-09aecdc078a235b968eb0f526e2a3a40f3c8900239e653798a81559c283c68c0","root.record.ItemExhibitList.P3AModificationItemGroup"
"Air National Guard","","3","9.919","22.919","14.882","13.883","5.95","","13","","","","","","","","","","2019-BASE_PROCUREMENT-2019-AIRFORCE_AIRCRAFT_VOL2-U_PROCUREMENT_JustificationBook_Air_Force_PB_2019.zzz_unzipped-U_PROCUREMENT_JustificationBook_Air_Force_PB_2019.xml","5e0d78d2a2e60a0057e3e8a6ade2e112d5d58a369b7960e690e1a55266f28075","0-0b5ebfd544151db13c718002c6c079b909ff94c5fb6990fd5a9d8448b0e6a378","0-251cac63923631e64634d89499191400478f3a99a98479dcee08d3187c4c1942","root.record.ItemExhibitList.P3AModificationItemGroup"
"Air Force Active","21.289","","79.19","79.19","","","","","","","","","","","","","","","2019-BASE_PROCUREMENT-2019-AIRFORCE_AIRCRAFT_VOL2-U_PROCUREMENT_JustificationBook_Air_Force_PB_2019.zzz_unzipped-U_PROCUREMENT_JustificationBook_Air_Force_PB_2019.xml","6336546287f9af99b66f119f67180fdd7f472a96b5e0155f16d773fafe2543db","0-9f467da01ef16cdd9ee8e6a98456f65f496318fe52f922ab2812861f14e467cb","0-e12918b85ac44a9ce7e6b531485136617ff27e403cff285cc36b0c274de4a938","root.record.ItemExhibitList.P3AModificationItemGroup"
"Air Force Active","","3.005","15.18","15.18","10.232","2.082","","","","","","","","","","","","","2019-BASE_PROCUREMENT-2019-AIRFORCE_AIRCRAFT_VOL2-U_PROCUREMENT_JustificationBook_Air_Force_PB_2019.zzz_unzipped-U_PROCUREMENT_JustificationBook_Air_Force_PB_2019.xml","6336546287f9af99b66f119f67180fdd7f472a96b5e0155f16d773fafe2543db","0-a7197bf13f66db5028d720ece08dfda8e90c4cbe5062003ea249083b4eb5aff8","1-6056e876ae48cccab636c401574c76c2e6778e788ed5f851465e030e78d6349d","root.record.ItemExhibitList.P3AModificationItemGroup"
"Air National Guard","","1.803","2.61","2.61","","","","","","","","","","","","","","","2019-BASE_PROCUREMENT-2019-AIRFORCE_AIRCRAFT_VOL2-U_PROCUREMENT_JustificationBook_Air_Force_PB_2019.zzz_unzipped-U_PROCUREMENT_JustificationBook_Air_Force_PB_2019.xml","6336546287f9af99b66f119f67180fdd7f472a96b5e0155f16d773fafe2543db","1-a40ae9f13bca6aa891ef46518922e33c901dcb062a964a9069ad3911a27f6f08","1-6056e876ae48cccab636c401574c76c2e6778e788ed5f851465e030e78d6349d","root.record.ItemExhibitList.P3AModificationItemGroup"
"Air Force Reserve","","1.202","1.74","1.74","","","","","","","","","","","","","","","2019-BASE_PROCUREMENT-2019-AIRFORCE_AIRCRAFT_VOL2-U_PROCUREMENT_JustificationBook_Air_Force_PB_2019.zzz_unzipped-U_PROCUREMENT_JustificationBook_Air_Force_PB_2019.xml","6336546287f9af99b66f119f67180fdd7f472a96b5e0155f16d773fafe2543db","2-7e5e9fc924a7389efa7d436ebc66371839f6bf4ace1536a65af892638d85311e","1-6056e876ae48cccab636c401574c76c2e6778e788ed5f851465e030e78d6349d","root.record.ItemExhibitList.P3AModificationItemGroup"
"Air Force Active","","","","8.7","","","","","8.7","","","","","","","","","","2019-BASE_PROCUREMENT-2019-AIRFORCE_AIRCRAFT_VOL2-U_PROCUREMENT_JustificationBook_Air_Force_PB_2019.zzz_unzipped-U_PROCUREMENT_JustificationBook_Air_Force_PB_2019.xml","6336546287f9af99b66f119f67180fdd7f472a96b5e0155f16d773fafe2543db","0-cea0c674b47eef7875186039be598c56130a7b9e02911ec0cbf02637cac338e0","2-49b010b8cb2d2c3dfd873ef55a7e4ec0c12ca9a074157b2f6c8872aa0955f745","root.record.ItemExhibitList.P3AModificationItemGroup"
"Air Force Active","0.01","","","40.56","","","","","40.56","","","","","","","","","","2019-BASE_PROCUREMENT-2019-AIRFORCE_AIRCRAFT_VOL2-U_PROCUREMENT_JustificationBook_Air_Force_PB_2019.zzz_unzipped-U_PROCUREMENT_JustificationBook_Air_Force_PB_2019.xml","51aa1ce1e34d83535cebf00d6a61a890a6eda515d1b55908c2cf0a3bf1b6f595","0-3e04cde27b78349c98c8e2cfc609a482a26a71d1c22b20391ee00de2b4c029f4","0-25f1088cd59b9a8fbca696f43ba79140b87fd1c3c7449308d5faf551adea9812","root.record.ItemExhibitList.P3AModificationItemGroup"
"Air Force Active","0.7","1.24","23.74","23.74","7.326","12.964","4.266","4.055","","","","","","","","","","","2019-BASE_PROCUREMENT-2019-AIRFORCE_AIRCRAFT_VOL2-U_PROCUREMENT_JustificationBook_Air_Force_PB_2019.zzz_unzipped-U_PROCUREMENT_JustificationBook_Air_Force_PB_2019.xml","51aa1ce1e34d83535cebf00d6a61a890a6eda515d1b55908c2cf0a3bf1b6f595","0-fd4518c97bff1abe696a08df1e7a83f54692798e5ba99c9358ca6dbbb54fabe7","1-1d1b712add186cf136500aa6923ac6ac8343e63e9611028132ff21c19f5ea82a","root.record.ItemExhibitList.P3AModificationItemGroup"
"Air National Guard","","","","","6","5.7","1.05","","","","","","","","","","","","2019-BASE_PROCUREMENT-2019-AIRFORCE_AIRCRAFT_VOL2-U_PROCUREMENT_JustificationBook_Air_Force_PB_2019.zzz_unzipped-U_PROCUREMENT_JustificationBook_Air_Force_PB_2019.xml","51aa1ce1e34d83535cebf00d6a61a890a6eda515d1b55908c2cf0a3bf1b6f595","1-4ebc4f5ff399af0149a54776dbbc433273c8a3a797c1fc37e9655c83090470df","1-1d1b712add186cf136500aa6923ac6ac8343e63e9611028132ff21c19f5ea82a","root.record.ItemExhibitList.P3AModificationItemGroup"
"Air Force Reserve","","","","","6","4.5","0.75","","","","","","","","","","","","2019-BASE_PROCUREMENT-2019-AIRFORCE_AIRCRAFT_VOL2-U_PROCUREMENT_JustificationBook_Air_Force_PB_2019.zzz_unzipped-U_PROCUREMENT_JustificationBook_Air_Force_PB_2019.xml","51aa1ce1e34d83535cebf00d6a61a890a6eda515d1b55908c2cf0a3bf1b6f595","2-924e877ee9d1f8e4952a840aad88884e071cc1786a15a941bce6ae28f27b1145","1-1d1b712add186cf136500aa6923ac6ac8343e63e9611028132ff21c19f5ea82a","root.record.ItemExhibitList.P3AModificationItemGroup"
"Air Force Active","7.7","2.661","17.478","17.478","8.5","7.9","10.635","21.277","","","","","","","","","","","2019-BASE_PROCUREMENT-2019-AIRFORCE_AIRCRAFT_VOL2-U_PROCUREMENT_JustificationBook_Air_Force_PB_2019.zzz_unzipped-U_PROCUREMENT_JustificationBook_Air_Force_PB_2019.xml","51aa1ce1e34d83535cebf00d6a61a890a6eda515d1b55908c2cf0a3bf1b6f595","0-bdcbc0b88e4e84f16c22d0f5a0d513d4545edc51eb1cf6917999e0d6031f4054","2-7ab504c58409506398c33e3f10e3904a5e4e6fd89aac70c7f1adc4f4255955e7","root.record.ItemExhibitList.P3AModificationItemGroup"
"Air Force Active","","","31.919","31.919","3.253","3.526","3.34","4","","","","","","","","","","","2019-BASE_PROCUREMENT-2019-AIRFORCE_AIRCRAFT_VOL2-U_PROCUREMENT_JustificationBook_Air_Force_PB_2019.zzz_unzipped-U_PROCUREMENT_JustificationBook_Air_Force_PB_2019.xml","5d362354326f13246cc135bf411fb43fd9862f1b1f5da747b91c874b447b6d87","0-5330300492e1dd2c2fbe4c0ce9063116022e2f6a3a9b2d4c10772c4d764f1ece","0-b55b4fb46c08d1916a473ce6a73eee115224416dff1f19e7553f4c12e3dea11f","root.record.ItemExhibitList.P3AModificationItemGroup"
"Air Force Active","18.217","3.331","","","","","","","","","","","","","","","","","2019-BASE_PROCUREMENT-2019-AIRFORCE_AIRCRAFT_VOL2-U_PROCUREMENT_JustificationBook_Air_Force_PB_2019.zzz_unzipped-U_PROCUREMENT_JustificationBook_Air_Force_PB_2019.xml","5d362354326f13246cc135bf411fb43fd9862f1b1f5da747b91c874b447b6d87","0-76431d70755a8a81cabc00758e6addf00b395367ea44010931e016a1f3065b48","1-5f084a4cb18f57d4d0fdaf86b54b6f39166fbd193b2a04f8a4cedf16245f9d28","root.record.ItemExhibitList.P3AModificationItemGroup"
"Air Force Active","0.156","17.566","2.18","2.18","0.468","0.466","0.5","","","","","","","","","","","","2019-BASE_PROCUREMENT-2019-AIRFORCE_AIRCRAFT_VOL2-U_PROCUREMENT_JustificationBook_Air_Force_PB_2019.zzz_unzipped-U_PROCUREMENT_JustificationBook_Air_Force_PB_2019.xml","5d362354326f13246cc135bf411fb43fd9862f1b1f5da747b91c874b447b6d87","0-4147204baf8d5b04a10e12254e963c763b0380c79835aedcadc4a3d4a885a1d7","2-a47765c6a105be4f79148d259cb9c2a93f8c629dc797217789d264d6c99619e9","root.record.ItemExhibitList.P3AModificationItemGroup"
"Air Force Active","5.173","0","0","0","0","","","","","","","","","","","","","","2019-BASE_PROCUREMENT-2019-AIRFORCE_AIRCRAFT_VOL2-U_PROCUREMENT_JustificationBook_Air_Force_PB_2019.zzz_unzipped-U_PROCUREMENT_JustificationBook_Air_Force_PB_2019.xml","5d362354326f13246cc135bf411fb43fd9862f1b1f5da747b91c874b447b6d87","0-f22cc2619212fcdae752c49fe4d0d43d596176e4690c203bde88cfff2303ffb5","3-0702759d4e6ff755fe5ea5d145a7e566b1929f1d8568013314fdc3df0e7547f8","root.record.ItemExhibitList.P3AModificationItemGroup"
"Air Force Active","16.811","27.612","","35.9","","","","","35.9","","","","","","","","","","2019-BASE_PROCUREMENT-2019-AIRFORCE_AIRCRAFT_VOL2-U_PROCUREMENT_JustificationBook_Air_Force_PB_2019.zzz_unzipped-U_PROCUREMENT_JustificationBook_Air_Force_PB_2019.xml","5d362354326f13246cc135bf411fb43fd9862f1b1f5da747b91c874b447b6d87","0-013e221b3fffb06da6637c39835bf495e17176737683fdfa954f1b504cbfdfd8","4-4bac8faa48e4b37c82132f35a259e6b2bfa05182e17bcbc959e133671a8ecc6a","root.record.ItemExhibitList.P3AModificationItemGroup"
"Air Force Active","1.66","","","11.1","","","","","11.1","","","","","","","","","","2019-BASE_PROCUREMENT-2019-AIRFORCE_AIRCRAFT_VOL2-U_PROCUREMENT_JustificationBook_Air_Force_PB_2019.zzz_unzipped-U_PROCUREMENT_JustificationBook_Air_Force_PB_2019.xml","5d362354326f13246cc135bf411fb43fd9862f1b1f5da747b91c874b447b6d87","0-8bcc47e0ddb55d07405ff6dbdf0951e398d4272866b4ceae9d84c10916fc62b9","5-b7cd3672f7df30ab7580154f3c25ff0e903a39f7f8769d9570f9edce035a0609","root.record.ItemExhibitList.P3AModificationItemGroup"
"Air Force Active","9.3","16.18","0","0","","0","","","","","","","","","","","","","2019-BASE_PROCUREMENT-2019-AIRFORCE_AIRCRAFT_VOL2-U_PROCUREMENT_JustificationBook_Air_Force_PB_2019.zzz_unzipped-U_PROCUREMENT_JustificationBook_Air_Force_PB_2019.xml","5d362354326f13246cc135bf411fb43fd9862f1b1f5da747b91c874b447b6d87","0-34d2dacb4bc5b5b61677cd4394aa63b186b7086dddbce9eb6b61108c20e0add7","6-0ea47a1d6e9cecb2c93943cac2605b30b00ad1c5fe454c16054a5934e6a348e0","root.record.ItemExhibitList.P3AModificationItemGroup"
"Air Force Active","","14.692","","","","","","","","","","","","","","","","","2019-BASE_PROCUREMENT-2019-AIRFORCE_AIRCRAFT_VOL2-U_PROCUREMENT_JustificationBook_Air_Force_PB_2019.zzz_unzipped-U_PROCUREMENT_JustificationBook_Air_Force_PB_2019.xml","5d362354326f13246cc135bf411fb43fd9862f1b1f5da747b91c874b447b6d87","0-86c8bb0189f01f4222f5cb8a1ef6d11c55b4399305a4896a0775d345e3735853","7-28ba5e4d3d2f2ef55f681fcce26ad6dfc780ea6c67220883f17d0cd9d47d3be3","root.record.ItemExhibitList.P3AModificationItemGroup"
"Air Force Active","","2.53","2.53","2.53","1.954","","","","","","","","","","","","","","2019-BASE_PROCUREMENT-2019-AIRFORCE_AIRCRAFT_VOL2-U_PROCUREMENT_JustificationBook_Air_Force_PB_2019.zzz_unzipped-U_PROCUREMENT_JustificationBook_Air_Force_PB_2019.xml","5d362354326f13246cc135bf411fb43fd9862f1b1f5da747b91c874b447b6d87","0-efa10a6d4b58d2eae60307a045acc153936288e58153bb13f3ba8779dfd9fedb","8-b9810a7cd652fc39fc992afd63c652800a267ace5a3c7217eb52ecaf9c6467d0","root.record.ItemExhibitList.P3AModificationItemGroup"
"Air Force Active","","29.5","","7","","","","","7","","","","","","","","","","2019-BASE_PROCUREMENT-2019-AIRFORCE_AIRCRAFT_VOL2-U_PROCUREMENT_JustificationBook_Air_Force_PB_2019.zzz_unzipped-U_PROCUREMENT_JustificationBook_Air_Force_PB_2019.xml","5d362354326f13246cc135bf411fb43fd9862f1b1f5da747b91c874b447b6d87","0-2f2850c74ec68cacc23ecc68c8997a58716ba74a6217058d0330e5a13716a670","9-331d86ae036923da1fccd1f48678a71732b8a0d23719b94586acb6c11f76f607","root.record.ItemExhibitList.P3AModificationItemGroup"
"Air Force Active","","107.4","0","0","","","","","","","","","","","","","","","2019-BASE_PROCUREMENT-2019-AIRFORCE_AIRCRAFT_VOL2-U_PROCUREMENT_JustificationBook_Air_Force_PB_2019.zzz_unzipped-U_PROCUREMENT_JustificationBook_Air_Force_PB_2019.xml","5d362354326f13246cc135bf411fb43fd9862f1b1f5da747b91c874b447b6d87","0-c4de197de6062e1596cb9eb3b412437b745a02dae7b9abfd2e4cd010dfcac774","10-cc48e813b2918fa19efdc352177543d6268aff89c364a78e65da4ee8d37e4469","root.record.ItemExhibitList.P3AModificationItemGroup"
"Air Force Active","","","","24.5","","","","","24.5","","","","","","","","","","2019-BASE_PROCUREMENT-2019-AIRFORCE_AIRCRAFT_VOL2-U_PROCUREMENT_JustificationBook_Air_Force_PB_2019.zzz_unzipped-U_PROCUREMENT_JustificationBook_Air_Force_PB_2019.xml","5d362354326f13246cc135bf411fb43fd9862f1b1f5da747b91c874b447b6d87","0-50635140ff3a708419b3dce09ac2cb9673704a4c38f9ba2d80cf6822c65d5825","11-575a0e400ae43741c9e3c625981fe75ccf2879f978faabf6ad366054495bdd45","root.record.ItemExhibitList.P3AModificationItemGroup"
"Air Force Active","","","","9.4","","","","","9.4","","","","","","","","","","2019-BASE_PROCUREMENT-2019-AIRFORCE_AIRCRAFT_VOL2-U_PROCUREMENT_JustificationBook_Air_Force_PB_2019.zzz_unzipped-U_PROCUREMENT_JustificationBook_Air_Force_PB_2019.xml","5d362354326f13246cc135bf411fb43fd9862f1b1f5da747b91c874b447b6d87","0-49781c7586edb00fc412b3d42c383cefa0210e2fe4b5ee16498d08d26e60b6ec","12-9949168cd5938d6323fcf048e2218151f7b681643932a4e11c00dd53081f8186","root.record.ItemExhibitList.P3AModificationItemGroup"
"Air Force Active","0","","1.125","1.125","0.207","0.023","0.259","0.375","","","","","","","","","","","2019-BASE_PROCUREMENT-2019-AIRFORCE_AIRCRAFT_VOL2-U_PROCUREMENT_JustificationBook_Air_Force_PB_2019.zzz_unzipped-U_PROCUREMENT_JustificationBook_Air_Force_PB_2019.xml","5d362354326f13246cc135bf411fb43fd9862f1b1f5da747b91c874b447b6d87","0-6d30652d22e800145cdaa790dfa0a211b238e90b1ff1c8377857ff3e2d902f5f","13-509691b1726c1343b77977f620b9912341b61e4e9e1157a3672f74c5e09a6361","root.record.ItemExhibitList.P3AModificationItemGroup"
"Air National Guard","","1.943","","","","","","","","","","","","","","","","","2019-BASE_PROCUREMENT-2019-AIRFORCE_AIRCRAFT_VOL2-U_PROCUREMENT_JustificationBook_Air_Force_PB_2019.zzz_unzipped-U_PROCUREMENT_JustificationBook_Air_Force_PB_2019.xml","5d362354326f13246cc135bf411fb43fd9862f1b1f5da747b91c874b447b6d87","1-9fb6642c685b1463ae1b9856b3e7143f3e4678dd7ff8ef490e4849ef75ece7fa","13-509691b1726c1343b77977f620b9912341b61e4e9e1157a3672f74c5e09a6361","root.record.ItemExhibitList.P3AModificationItemGroup"
"Air Force Active","5.029","28.735","29.103","36.303","29.861","31.043","0.987","1.005","7.2","","","","","","","","","","2019-BASE_PROCUREMENT-2019-AIRFORCE_AIRCRAFT_VOL2-U_PROCUREMENT_JustificationBook_Air_Force_PB_2019.zzz_unzipped-U_PROCUREMENT_JustificationBook_Air_Force_PB_2019.xml","d38ebd066f2d2d1a082ec96e79ba59660fc1d0203058fa51968eba8ef2702a28","0-d664eb1ca989d740a83e0f2d432b5d8044343e30c39afbcdd3a3255d048789ca","0-593420b02dc27b8f035f2cc1d004bb4a9ceb204eace89bc15d77517284f85468","root.record.ItemExhibitList.P3AModificationItemGroup"
"Air Force Active","","15.122","13.386","35.386","13.621","13.865","14.142","14.399","22","","","","","","","","","","2019-BASE_PROCUREMENT-2019-AIRFORCE_AIRCRAFT_VOL2-U_PROCUREMENT_JustificationBook_Air_Force_PB_2019.zzz_unzipped-U_PROCUREMENT_JustificationBook_Air_Force_PB_2019.xml","d38ebd066f2d2d1a082ec96e79ba59660fc1d0203058fa51968eba8ef2702a28","0-4d816f21c5bdf3290f3a20b3be5395bc3a910c22486c8bf20c2b8000b79731cc","1-1e5e66bde25972f4584c12fc240b214165c99924c70acdee6db7271e1a8964e1","root.record.ItemExhibitList.P3AModificationItemGroup"
"Air Force Active","7.5","","19.373","33.504","64.826","22.392","3.967","3.967","14.131","","","","","","","","","","2019-BASE_PROCUREMENT-2019-AIRFORCE_AIRCRAFT_VOL2-U_PROCUREMENT_JustificationBook_Air_Force_PB_2019.zzz_unzipped-U_PROCUREMENT_JustificationBook_Air_Force_PB_2019.xml","d38ebd066f2d2d1a082ec96e79ba59660fc1d0203058fa51968eba8ef2702a28","0-6e4140c6081e6504df6430d3b0af2cee7b8773cc6540e139123870879e3a71a8","2-f87447ec00ee75f643db0d9fb0e5cd2f64883fe4f0c145254c0c14a789c94067","root.record.ItemExhibitList.P3AModificationItemGroup"
"Air Force Active","","10.381","","10.4","","","","","10.4","","","","","","","","","","2019-BASE_PROCUREMENT-2019-AIRFORCE_AIRCRAFT_VOL2-U_PROCUREMENT_JustificationBook_Air_Force_PB_2019.zzz_unzipped-U_PROCUREMENT_JustificationBook_Air_Force_PB_2019.xml","d38ebd066f2d2d1a082ec96e79ba59660fc1d0203058fa51968eba8ef2702a28","0-42c426f21ce13c831542cf49fea07e090c5ee81dd5fe3fee885ad8215c4234b4","3-f09d7b15bc7ae520160e5819141c3f122b01038ccea3c67cb69a7609be544616","root.record.ItemExhibitList.P3AModificationItemGroup"
"Air Force Active","129.496","229.764","199.627","199.627","200.425","296.936","92.559","94.244","","","","","","","","","","","2019-BASE_PROCUREMENT-2019-AIRFORCE_AIRCRAFT_VOL2-U_PROCUREMENT_JustificationBook_Air_Force_PB_2019.zzz_unzipped-U_PROCUREMENT_JustificationBook_Air_Force_PB_2019.xml","8ac03752602a59c43c8a5bbdc2022ef603ae01d3f6924169c1ea9ed3bf2941b5","0-3303a14e82118adb1be78d100b2d4aaf498e21952f7805921eecd2b0a24a2029","0-f1da9c8b47bcf937e9871a647f663f3e6a7db987fea04b4e904fb08a6a577e6c","root.record.ItemExhibitList.P3AModificationItemGroup"
"Air Force Active","3.765","50.477","37.34","37.34","44.357","70.627","74.483","75.842","","","","","","","","","","","2019-BASE_PROCUREMENT-2019-AIRFORCE_AIRCRAFT_VOL2-U_PROCUREMENT_JustificationBook_Air_Force_PB_2019.zzz_unzipped-U_PROCUREMENT_JustificationBook_Air_Force_PB_2019.xml","8ac03752602a59c43c8a5bbdc2022ef603ae01d3f6924169c1ea9ed3bf2941b5","0-03b53e38e8143e9b46d1b1088d7b47ae70caf7b3a8fadf27620b88cd654664fc","1-67085cffc8daf84325dbd01da5a9d38fdf0d1f620da9f340ef12471032fd92e0","root.record.ItemExhibitList.P3AModificationItemGroup"
"Air Force Active","1.859","6.475","35.048","35.048","65.036","33.623","43.379","29.815","","","","","","","","","","","2019-BASE_PROCUREMENT-2019-AIRFORCE_AIRCRAFT_VOL2-U_PROCUREMENT_JustificationBook_Air_Force_PB_2019.zzz_unzipped-U_PROCUREMENT_JustificationBook_Air_Force_PB_2019.xml","8ac03752602a59c43c8a5bbdc2022ef603ae01d3f6924169c1ea9ed3bf2941b5","0-61159485f2314fcb498b94638dbcb8f262830261d858fc4fa75788a98dc94369","2-0d26409f2c9f14f6ac332eb67900ce1fb9c483ce6cfd0706eff3a51c05cc1195","root.record.ItemExhibitList.P3AModificationItemGroup"
"Air National Guard","","","21.743","21.743","24.564","28.133","28.985","3.982","","","","","","","","","","","2019-BASE_PROCUREMENT-2019-AIRFORCE_AIRCRAFT_VOL2-U_PROCUREMENT_JustificationBook_Air_Force_PB_2019.zzz_unzipped-U_PROCUREMENT_JustificationBook_Air_Force_PB_2019.xml","8ac03752602a59c43c8a5bbdc2022ef603ae01d3f6924169c1ea9ed3bf2941b5","1-e617f790b9d9097c611b48ecc845e0aab3d48feb71b1d1566dae8c0c463e5eb1","2-0d26409f2c9f14f6ac332eb67900ce1fb9c483ce6cfd0706eff3a51c05cc1195","root.record.ItemExhibitList.P3AModificationItemGroup"
"Air Force Active","","55.133","61.889","61.889","34.533","121.077","35.615","20.918","0","","","","","","","","","","2019-BASE_PROCUREMENT-2019-AIRFORCE_AIRCRAFT_VOL2-U_PROCUREMENT_JustificationBook_Air_Force_PB_2019.zzz_unzipped-U_PROCUREMENT_JustificationBook_Air_Force_PB_2019.xml","8ac03752602a59c43c8a5bbdc2022ef603ae01d3f6924169c1ea9ed3bf2941b5","0-bf18796ffb16d36c5ca13b3646a76dd0a8f63799870d681d777c9ed8c68fa4d9","3-c187ca1e531c2da735fb938e12a183498c53b7cf7b29f1bb8607c2dfee6752df","root.record.ItemExhibitList.P3AModificationItemGroup"
"Air Force Active","0","16.723","55.454","55.454","3.941","20.35","36.809","","","","","","","","","","","","2019-BASE_PROCUREMENT-2019-AIRFORCE_AIRCRAFT_VOL2-U_PROCUREMENT_JustificationBook_Air_Force_PB_2019.zzz_unzipped-U_PROCUREMENT_JustificationBook_Air_Force_PB_2019.xml","8ac03752602a59c43c8a5bbdc2022ef603ae01d3f6924169c1ea9ed3bf2941b5","0-d920ae126e257f624b10c6a5b89cb28dbbf5fee6bdc20480610de63c775f8001","4-75f2f8e0256d9e192fa8cb8bf5345427523a810f9423fe49eb99f2b471e29f86","root.record.ItemExhibitList.P3AModificationItemGroup"
"Air National Guard","","","35.07","35.07","19.74","20.19","6.1","3.769","","","","","","","","","","","2019-BASE_PROCUREMENT-2019-AIRFORCE_AIRCRAFT_VOL2-U_PROCUREMENT_JustificationBook_Air_Force_PB_2019.zzz_unzipped-U_PROCUREMENT_JustificationBook_Air_Force_PB_2019.xml","8ac03752602a59c43c8a5bbdc2022ef603ae01d3f6924169c1ea9ed3bf2941b5","1-a264a182797b3b6ffc257d44f93123f3a04596446f04e73b5a6712e314b34d10","4-75f2f8e0256d9e192fa8cb8bf5345427523a810f9423fe49eb99f2b471e29f86","root.record.ItemExhibitList.P3AModificationItemGroup"
"Air Force Active","","","9.54","9.54","12.995","0.548","","","","","","","","","","","","","2019-BASE_PROCUREMENT-2019-AIRFORCE_AIRCRAFT_VOL2-U_PROCUREMENT_JustificationBook_Air_Force_PB_2019.zzz_unzipped-U_PROCUREMENT_JustificationBook_Air_Force_PB_2019.xml","8ac03752602a59c43c8a5bbdc2022ef603ae01d3f6924169c1ea9ed3bf2941b5","0-327c9068c2fa32919aa6e3078c4edb7cadebd42c35de9b0eb2269e262d4de5fe","5-26db363f5d1a58aaf333de23ea1cccb25bc16b8deb8f9825612d7e20caeb2489","root.record.ItemExhibitList.P3AModificationItemGroup"
"Air National Guard","","","","","15.55","","","","","","","","","","","","","","2019-BASE_PROCUREMENT-2019-AIRFORCE_AIRCRAFT_VOL2-U_PROCUREMENT_JustificationBook_Air_Force_PB_2019.zzz_unzipped-U_PROCUREMENT_JustificationBook_Air_Force_PB_2019.xml","8ac03752602a59c43c8a5bbdc2022ef603ae01d3f6924169c1ea9ed3bf2941b5","1-c4194f5cb51cdc49075201da7db10446cfe321a1fa924096af21b64ef07d028a","5-26db363f5d1a58aaf333de23ea1cccb25bc16b8deb8f9825612d7e20caeb2489","root.record.ItemExhibitList.P3AModificationItemGroup"
"Air Force Active","","7.976","15.725","15.725","4.47","0.52","0","","","","","","","","","","","","2019-BASE_PROCUREMENT-2019-AIRFORCE_AIRCRAFT_VOL2-U_PROCUREMENT_JustificationBook_Air_Force_PB_2019.zzz_unzipped-U_PROCUREMENT_JustificationBook_Air_Force_PB_2019.xml","8ac03752602a59c43c8a5bbdc2022ef603ae01d3f6924169c1ea9ed3bf2941b5","0-f2540f560529cde8661de7c31ad1598ed71bdd722580d946bcb67a7cb98f563b","6-963551d2b3a5632a3f96a4007ef8ee6d16bcc61ee02dd07c310990d441f7c9b2","root.record.ItemExhibitList.P3AModificationItemGroup"
