FiscalYear_val,FiscalYear_@footnote,PCOLocation_val,AwardDate_val,FirstDeliveryDate_val,Quantity_val,UnitCost_val,SpecsAvailableNow_val,ContractMethod_val,ContractType_val,MonthlyDeliveryScheduleList_MonthlyDeliverySchedule_ServiceAgencyName_val,MonthlyDeliveryScheduleList_MonthlyDeliverySchedule_ProcQuantity_val,MonthlyDeliveryScheduleList_MonthlyDeliverySchedule_AcceptedBeforeOct1_val,MonthlyDeliveryScheduleList_MonthlyDeliverySchedule_ServiceAgencySuffix_val,@SOURCE_FILENAME,@RECORDID,@ROWID,RFPIssueDate_val,FundingVehicle_val,MonthlyDeliveryScheduleTotal_ProcQuantity_val,MonthlyDeliveryScheduleTotal_MonthlyDeliveryList_MonthlyDelivery,OCO_val,@PARENTROWID,@PARENT
"2012","","CECOM, APG","2013-03","2013-12","301","166.000","false","SS","FFP","Army","301","0","","2014-BASE_PROCUREMENT-2014-ARMY_AIRCRAFT-PROCUREMENT_JustificationBook_Army_PB_2014.zzz_unzipped-PROCUREMENT_JustificationBook_Army_PB_2014.xml","7424cd444ec3bd9cc778e3e016fb369e95039e3b37d88e0c13f5bf04624acc83","0-0ce3ae8d5cba83e1c8fe811f5de8385f2334b9fc6af60409304b232a20194072","","","","","","0-823d9ec82ca1aba6001f0acdcf4cd3623737dadb4546b35c532df49663e2304a","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Support.CostElementList.CostElement.ManufacturerList.Manufacturer"
"2013","","AMCOM Contracting Command, RSA","2013-10","2014-07","301","139.000","false","SS","FFP","Army","301","0","BASE","2014-BASE_PROCUREMENT-2014-ARMY_AIRCRAFT-PROCUREMENT_JustificationBook_Army_PB_2014.zzz_unzipped-PROCUREMENT_JustificationBook_Army_PB_2014.xml","7424cd444ec3bd9cc778e3e016fb369e95039e3b37d88e0c13f5bf04624acc83","1-1d08a85d482d886be7fe88682a5ddfe1618e099fb65ee7edb6ed6faba2d8649d","","","","","","0-823d9ec82ca1aba6001f0acdcf4cd3623737dadb4546b35c532df49663e2304a","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Support.CostElementList.CostElement.ManufacturerList.Manufacturer"
"2014","","AMCOM Contracting Command, RSA","2014-06","2015-03","162","183.000","","SS","FFP","Army","162","0","BASE","2014-BASE_PROCUREMENT-2014-ARMY_AIRCRAFT-PROCUREMENT_JustificationBook_Army_PB_2014.zzz_unzipped-PROCUREMENT_JustificationBook_Army_PB_2014.xml","7424cd444ec3bd9cc778e3e016fb369e95039e3b37d88e0c13f5bf04624acc83","2-58d69d986855883825811536876af254a9341cd672134f23edb337efb5623145","","","","","","0-823d9ec82ca1aba6001f0acdcf4cd3623737dadb4546b35c532df49663e2304a","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Support.CostElementList.CostElement.ManufacturerList.Manufacturer"
"2015","","AFMC/ESC","2016-03","2016-03","5","0.260","true","C","FFP","","","","","","2017-BASE_PROCUREMENT-2017-AIRFORCE_MISSILE-U_PROCUREMENT_MasterJustificationBook_Air_Force_PB_2017.zzz_unzipped-U_PROCUREMENT_MasterJustificationBook_Air_Force_PB_2017.xml","63db0773d9b60ef0aebc6138f685c133fb03e24a3b5a33ad906ead630fcc46aa","0-010b7b14ef264344a304f0a8a1cbcbd01e7b1af6102b9d374d5798b22bf75922","","","","","","0-6ed462e0945d0eb93c6e232f67ff670714563c58e2dcba8866073828c7ad79d6","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Support.CostElementList.CostElement.ManufacturerList.Manufacturer"
"2015","","N/A","2014-12","2015-01","1","4.274","true","","","","","","","","2017-BASE_PROCUREMENT-2017-AIRFORCE_OTHER-U_PROCUREMENT_JustificationBook_Air_Force_PB_2017.zzz_unzipped-U_PROCUREMENT_JustificationBook_Air_Force_PB_2017.xml","38c642dc0285b7d8781f87014042ad3d1b52b59501bab1602b747599958c4b3f","0-ae10dd8206402e554564acd644c8e4decaf78d3aecb9b19dd8bcdebe0234ddad","","MIPR","","","","0-ea97d4e11f65f54a2eefa527b7bbdc99dd70e7d1ac6cb9767029270713482ab1","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Support.CostElementList.CostElement.ManufacturerList.Manufacturer"
"2016","","N/A","2015-12","2016-01","1","2.706","true","","","","","","","","2017-BASE_PROCUREMENT-2017-AIRFORCE_OTHER-U_PROCUREMENT_JustificationBook_Air_Force_PB_2017.zzz_unzipped-U_PROCUREMENT_JustificationBook_Air_Force_PB_2017.xml","38c642dc0285b7d8781f87014042ad3d1b52b59501bab1602b747599958c4b3f","1-15331d3c7803f63086befeca4993ee22844569c4162aa2802ae69c35bff857e8","","MIPR","","","","0-ea97d4e11f65f54a2eefa527b7bbdc99dd70e7d1ac6cb9767029270713482ab1","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Support.CostElementList.CostElement.ManufacturerList.Manufacturer"
"2017","","N/A","2016-12","2017-01","1","2.759","true","","","","","","","","2017-BASE_PROCUREMENT-2017-AIRFORCE_OTHER-U_PROCUREMENT_JustificationBook_Air_Force_PB_2017.zzz_unzipped-U_PROCUREMENT_JustificationBook_Air_Force_PB_2017.xml","38c642dc0285b7d8781f87014042ad3d1b52b59501bab1602b747599958c4b3f","2-717bfc8f6ffbcd22371f63190d39384ec803a1e62e768de2651898245710bc6b","","MIPR","","","","0-ea97d4e11f65f54a2eefa527b7bbdc99dd70e7d1ac6cb9767029270713482ab1","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Support.CostElementList.CostElement.ManufacturerList.Manufacturer"
"2015","","AFLCMC Hanscom AFB","2014-10","2015-03","1","1.193","true","","","","","","","","2017-BASE_PROCUREMENT-2017-AIRFORCE_OTHER-U_PROCUREMENT_JustificationBook_Air_Force_PB_2017.zzz_unzipped-U_PROCUREMENT_JustificationBook_Air_Force_PB_2017.xml","38c642dc0285b7d8781f87014042ad3d1b52b59501bab1602b747599958c4b3f","0-f4f36091d6dd562210ddace947541e7a487b82aec7220a91b416923aba509455","","Various","","","","0-9afa0d613c3dabecbe2c45bbc2623ca704da387442f26a7f737baf2aedcff7c1","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Support.CostElementList.CostElement.ManufacturerList.Manufacturer"
"2016","","AFLCMC Hanscom AFB","2015-10","2016-03","1","1.630","true","","","","","","","","2017-BASE_PROCUREMENT-2017-AIRFORCE_OTHER-U_PROCUREMENT_JustificationBook_Air_Force_PB_2017.zzz_unzipped-U_PROCUREMENT_JustificationBook_Air_Force_PB_2017.xml","38c642dc0285b7d8781f87014042ad3d1b52b59501bab1602b747599958c4b3f","1-e2417160a1b9a6c94bee9f3b05b6ee00f3148d45d97a21147ec289343c17b449","","Various","","","","0-9afa0d613c3dabecbe2c45bbc2623ca704da387442f26a7f737baf2aedcff7c1","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Support.CostElementList.CostElement.ManufacturerList.Manufacturer"
"2017","","AFLCMC Hanscom AFB","2016-10","2017-03","1","2.129","true","","","","","","","","2017-BASE_PROCUREMENT-2017-AIRFORCE_OTHER-U_PROCUREMENT_JustificationBook_Air_Force_PB_2017.zzz_unzipped-U_PROCUREMENT_JustificationBook_Air_Force_PB_2017.xml","38c642dc0285b7d8781f87014042ad3d1b52b59501bab1602b747599958c4b3f","2-540172b2b11b509036622e02f7652c1163b1a9b471f26943f477526d1d86d7bf","","Various","","","","0-9afa0d613c3dabecbe2c45bbc2623ca704da387442f26a7f737baf2aedcff7c1","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Support.CostElementList.CostElement.ManufacturerList.Manufacturer"
"2015","","AFLCMC Wright Patterson AFB","2014-10","2015-03","1","0.208","true","","","","","","","","2017-BASE_PROCUREMENT-2017-AIRFORCE_OTHER-U_PROCUREMENT_JustificationBook_Air_Force_PB_2017.zzz_unzipped-U_PROCUREMENT_JustificationBook_Air_Force_PB_2017.xml","38c642dc0285b7d8781f87014042ad3d1b52b59501bab1602b747599958c4b3f","0-843353a25b3b4c68f7b6667071a33baa216be71161c9ca0c44c80d5ff9b17988","","Various","","","","0-0ea58925a2483144723d805f8e1a44b4c6653b9299b6f8eb4fc998306b36cca7","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Support.CostElementList.CostElement.ManufacturerList.Manufacturer"
"2016","","AFLCMC Wright Patterson AFB","2015-10","2016-03","1","0.906","true","","","","","","","","2017-BASE_PROCUREMENT-2017-AIRFORCE_OTHER-U_PROCUREMENT_JustificationBook_Air_Force_PB_2017.zzz_unzipped-U_PROCUREMENT_JustificationBook_Air_Force_PB_2017.xml","38c642dc0285b7d8781f87014042ad3d1b52b59501bab1602b747599958c4b3f","1-cdfb097c74a23a656585af4b0dfeb2b99862e7138c4b6ec29f42c3f3303b7cb0","","Various","","","","0-0ea58925a2483144723d805f8e1a44b4c6653b9299b6f8eb4fc998306b36cca7","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Support.CostElementList.CostElement.ManufacturerList.Manufacturer"
"2017","","AFLCMC Wright Patterson AFB","2016-10","2017-03","1","0.906","true","","","","","","","","2017-BASE_PROCUREMENT-2017-AIRFORCE_OTHER-U_PROCUREMENT_JustificationBook_Air_Force_PB_2017.zzz_unzipped-U_PROCUREMENT_JustificationBook_Air_Force_PB_2017.xml","38c642dc0285b7d8781f87014042ad3d1b52b59501bab1602b747599958c4b3f","2-406716b4069b856886779795ad1ef592cc7f7801e3d6326a34d47e7b7156e516","","Various","","","","0-0ea58925a2483144723d805f8e1a44b4c6653b9299b6f8eb4fc998306b36cca7","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Support.CostElementList.CostElement.ManufacturerList.Manufacturer"
"2015","","N/A","2014-12","2015-01","1","4.274","true","","","","","","","","2017-BASE_PROCUREMENT-2017-AIRFORCE_OTHER-U_PROCUREMENT_MasterJustificationBook_Air_Force_PB_2017.zzz_unzipped-U_PROCUREMENT_MasterJustificationBook_Air_Force_PB_2017.xml","36ace9e2c2250de3b99e411ac5642c43f6759be84df645121aad6b5f7bddc5c8","0-f6f3450f83aa7200013aab62ceb0f9c60a4986abc4627698389acc5473d460e2","","MIPR","","","","0-e62eab0768fd5d2fb73794ebed5dbcbe19d413d2db997047301c3a0efb08f097","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Support.CostElementList.CostElement.ManufacturerList.Manufacturer"
"2016","","N/A","2015-12","2016-01","1","2.706","true","","","","","","","","2017-BASE_PROCUREMENT-2017-AIRFORCE_OTHER-U_PROCUREMENT_MasterJustificationBook_Air_Force_PB_2017.zzz_unzipped-U_PROCUREMENT_MasterJustificationBook_Air_Force_PB_2017.xml","36ace9e2c2250de3b99e411ac5642c43f6759be84df645121aad6b5f7bddc5c8","1-68a776417c6784a80eedd7c2ad8a2c83c8530b7532219602750efd1ee043a582","","MIPR","","","","0-e62eab0768fd5d2fb73794ebed5dbcbe19d413d2db997047301c3a0efb08f097","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Support.CostElementList.CostElement.ManufacturerList.Manufacturer"
"2017","","N/A","2016-12","2017-01","1","2.759","true","","","","","","","","2017-BASE_PROCUREMENT-2017-AIRFORCE_OTHER-U_PROCUREMENT_MasterJustificationBook_Air_Force_PB_2017.zzz_unzipped-U_PROCUREMENT_MasterJustificationBook_Air_Force_PB_2017.xml","36ace9e2c2250de3b99e411ac5642c43f6759be84df645121aad6b5f7bddc5c8","2-9299f8c1168aedddc3fc20117d876ae311992b039308a499c7150850526935d5","","MIPR","","","","0-e62eab0768fd5d2fb73794ebed5dbcbe19d413d2db997047301c3a0efb08f097","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Support.CostElementList.CostElement.ManufacturerList.Manufacturer"
"2015","","AFLCMC Hanscom AFB","2014-10","2015-03","1","1.193","true","","","","","","","","2017-BASE_PROCUREMENT-2017-AIRFORCE_OTHER-U_PROCUREMENT_MasterJustificationBook_Air_Force_PB_2017.zzz_unzipped-U_PROCUREMENT_MasterJustificationBook_Air_Force_PB_2017.xml","36ace9e2c2250de3b99e411ac5642c43f6759be84df645121aad6b5f7bddc5c8","0-47528df15c07683fb9be88c54d626ca22f0331a7aedaffc874e3d0ae2b6fd287","","Various","","","","0-75ead20ef3c56ee4e0b44bd04f25681a3b58516dc8e4e20ec39dcce621a82dee","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Support.CostElementList.CostElement.ManufacturerList.Manufacturer"
"2016","","AFLCMC Hanscom AFB","2015-10","2016-03","1","1.630","true","","","","","","","","2017-BASE_PROCUREMENT-2017-AIRFORCE_OTHER-U_PROCUREMENT_MasterJustificationBook_Air_Force_PB_2017.zzz_unzipped-U_PROCUREMENT_MasterJustificationBook_Air_Force_PB_2017.xml","36ace9e2c2250de3b99e411ac5642c43f6759be84df645121aad6b5f7bddc5c8","1-41b0649c179b598ef54e228e6e963dd2ac0b80a0af62087cdf1935cebb05782e","","Various","","","","0-75ead20ef3c56ee4e0b44bd04f25681a3b58516dc8e4e20ec39dcce621a82dee","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Support.CostElementList.CostElement.ManufacturerList.Manufacturer"
"2017","","AFLCMC Hanscom AFB","2016-10","2017-03","1","2.129","true","","","","","","","","2017-BASE_PROCUREMENT-2017-AIRFORCE_OTHER-U_PROCUREMENT_MasterJustificationBook_Air_Force_PB_2017.zzz_unzipped-U_PROCUREMENT_MasterJustificationBook_Air_Force_PB_2017.xml","36ace9e2c2250de3b99e411ac5642c43f6759be84df645121aad6b5f7bddc5c8","2-66700e37c0104a2f596a99b89d8fa97c3074a560bcd79da3dd97b1b2e7264f31","","Various","","","","0-75ead20ef3c56ee4e0b44bd04f25681a3b58516dc8e4e20ec39dcce621a82dee","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Support.CostElementList.CostElement.ManufacturerList.Manufacturer"
"2015","","AFLCMC Wright Patterson AFB","2014-10","2015-03","1","0.208","true","","","","","","","","2017-BASE_PROCUREMENT-2017-AIRFORCE_OTHER-U_PROCUREMENT_MasterJustificationBook_Air_Force_PB_2017.zzz_unzipped-U_PROCUREMENT_MasterJustificationBook_Air_Force_PB_2017.xml","36ace9e2c2250de3b99e411ac5642c43f6759be84df645121aad6b5f7bddc5c8","0-36a8fb432f9d7562d8477de9f82218fd26e6f040a61d25c9c4ad9065efe3a3cf","","Various","","","","0-eeb7b0d6c3090fb12be3d4290ac85fe0d5ab6463a9099ca573c3155ade642e52","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Support.CostElementList.CostElement.ManufacturerList.Manufacturer"
"2016","","AFLCMC Wright Patterson AFB","2015-10","2016-03","1","0.906","true","","","","","","","","2017-BASE_PROCUREMENT-2017-AIRFORCE_OTHER-U_PROCUREMENT_MasterJustificationBook_Air_Force_PB_2017.zzz_unzipped-U_PROCUREMENT_MasterJustificationBook_Air_Force_PB_2017.xml","36ace9e2c2250de3b99e411ac5642c43f6759be84df645121aad6b5f7bddc5c8","1-9d7fb032640ede9cdd6785f155f2bc6a4e9b268453a41e01934dc5b89b274079","","Various","","","","0-eeb7b0d6c3090fb12be3d4290ac85fe0d5ab6463a9099ca573c3155ade642e52","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Support.CostElementList.CostElement.ManufacturerList.Manufacturer"
"2017","","AFLCMC Wright Patterson AFB","2016-10","2017-03","1","0.906","true","","","","","","","","2017-BASE_PROCUREMENT-2017-AIRFORCE_OTHER-U_PROCUREMENT_MasterJustificationBook_Air_Force_PB_2017.zzz_unzipped-U_PROCUREMENT_MasterJustificationBook_Air_Force_PB_2017.xml","36ace9e2c2250de3b99e411ac5642c43f6759be84df645121aad6b5f7bddc5c8","2-f11251a4d5b5e3396a3acf24468b2831b9eca478b188dba31d012bbf0229590e","","Various","","","","0-eeb7b0d6c3090fb12be3d4290ac85fe0d5ab6463a9099ca573c3155ade642e52","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Support.CostElementList.CostElement.ManufacturerList.Manufacturer"
"2015","","PEO, Ft Belvoir, VA","2014-10","2014-10","1","27900.000","","C","FFP","","","","","","2017-BASE_PROCUREMENT-2017-ARMY_OTHER_2-U_PROCUREMENT_JustificationBook_Army_PB_2017.zzz_unzipped-U_PROCUREMENT_JustificationBook_Army_PB_2017.xml","48ab450ab6008fa35b4bf1a2279460177958a9224250653792205202a62abfd5","0-21245312433efb020c848105785f4b0e2bc169725b4ea70706c5f595b1330fe7","","","","","","0-5988ada3d24208b27113dc81548bcccc7faca731ff1f77b54ebe6721359947cd","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Support.CostElementList.CostElement.ManufacturerList.Manufacturer"
"2016","","PEO, Ft Belvoir, VA","2015-10","2015-10","1","23000.000","","C","FFP","","","","","","2017-BASE_PROCUREMENT-2017-ARMY_OTHER_2-U_PROCUREMENT_JustificationBook_Army_PB_2017.zzz_unzipped-U_PROCUREMENT_JustificationBook_Army_PB_2017.xml","48ab450ab6008fa35b4bf1a2279460177958a9224250653792205202a62abfd5","1-b3dd0977f5b8ba910a39d9055671a2ae8324f69cc6c15ae8969618fc0dd6480d","","","","","","0-5988ada3d24208b27113dc81548bcccc7faca731ff1f77b54ebe6721359947cd","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Support.CostElementList.CostElement.ManufacturerList.Manufacturer"
"2017","","PEO, Ft Belvoir, VA","2016-10","2016-10","1","30000.000","","C","FFP","","","","","","2017-BASE_PROCUREMENT-2017-ARMY_OTHER_2-U_PROCUREMENT_JustificationBook_Army_PB_2017.zzz_unzipped-U_PROCUREMENT_JustificationBook_Army_PB_2017.xml","48ab450ab6008fa35b4bf1a2279460177958a9224250653792205202a62abfd5","2-a698217ac51d292750db580cd089f1443715fb52047989b84c62ee85894473e5","","","","","","0-5988ada3d24208b27113dc81548bcccc7faca731ff1f77b54ebe6721359947cd","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Support.CostElementList.CostElement.ManufacturerList.Manufacturer"
"2015","","PEO EIS, Ft. Belvoir, VA","2014-10","2015-09","1","1243.000","true","","","","","","","","2017-BASE_PROCUREMENT-2017-ARMY_OTHER_2-U_PROCUREMENT_JustificationBook_Army_PB_2017.zzz_unzipped-U_PROCUREMENT_JustificationBook_Army_PB_2017.xml","e2c89fbeb812916900eca5c27f8af4e89ad05088685814bc9bb1805868e5dd11","0-f9525937b06b08f5471ae90978796fe084d9fe66fe4732487055ead1afe9cbac","","RO","","","","0-88bb6dc51fc75ba4c3a231a531fb5682e3d571aa96aca0ad4b35fab5fbfdb26d","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Support.CostElementList.CostElement.ManufacturerList.Manufacturer"
"2016","","PEO EIS, Ft. Belvoir, VA","2015-10","2016-09","1","1388.000","false","","","","","","","","2017-BASE_PROCUREMENT-2017-ARMY_OTHER_2-U_PROCUREMENT_JustificationBook_Army_PB_2017.zzz_unzipped-U_PROCUREMENT_JustificationBook_Army_PB_2017.xml","e2c89fbeb812916900eca5c27f8af4e89ad05088685814bc9bb1805868e5dd11","1-e3cd9088fe7b7adf2de00e5cc436b88b0416317d18fc16eb12d7a39a12cf1638","","RO","","","","0-88bb6dc51fc75ba4c3a231a531fb5682e3d571aa96aca0ad4b35fab5fbfdb26d","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Support.CostElementList.CostElement.ManufacturerList.Manufacturer"
"2017","","PEO EIS, Ft. Belvoir, VA","2016-10","2017-09","1","1253.000","false","","","","","","","","2017-BASE_PROCUREMENT-2017-ARMY_OTHER_2-U_PROCUREMENT_JustificationBook_Army_PB_2017.zzz_unzipped-U_PROCUREMENT_JustificationBook_Army_PB_2017.xml","e2c89fbeb812916900eca5c27f8af4e89ad05088685814bc9bb1805868e5dd11","2-efd60ca8a3105ea63d44febe0a72c2d67093073a781c9ea5dd2a5713350ad45c","","RO","","","","0-88bb6dc51fc75ba4c3a231a531fb5682e3d571aa96aca0ad4b35fab5fbfdb26d","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Support.CostElementList.CostElement.ManufacturerList.Manufacturer"
"2016","","PEO EIS,  Ft. Belvoir, VA","2015-10","2016-05","1","1306.000","false","","","","","","","","2017-BASE_PROCUREMENT-2017-ARMY_OTHER_2-U_PROCUREMENT_JustificationBook_Army_PB_2017.zzz_unzipped-U_PROCUREMENT_JustificationBook_Army_PB_2017.xml","e2c89fbeb812916900eca5c27f8af4e89ad05088685814bc9bb1805868e5dd11","0-d9685c1db7af4fe49972f2f365dfcd135a0ad2059d28921923089e0cfcce0458","","RO","","","","0-b50b73df44f8d81150339b427438c3025f89a9c99faaa42626636bc23a8c7105","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Support.CostElementList.CostElement.ManufacturerList.Manufacturer"
"2017","","PEO EIS,  Ft. Belvoir, VA","2016-10","2017-07","1","1871.000","false","","","","","","","","2017-BASE_PROCUREMENT-2017-ARMY_OTHER_2-U_PROCUREMENT_JustificationBook_Army_PB_2017.zzz_unzipped-U_PROCUREMENT_JustificationBook_Army_PB_2017.xml","e2c89fbeb812916900eca5c27f8af4e89ad05088685814bc9bb1805868e5dd11","1-268c6fe16b892288264994170f93181d3998e5efbfd40423323cceef698af412","","RO","","","","0-b50b73df44f8d81150339b427438c3025f89a9c99faaa42626636bc23a8c7105","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Support.CostElementList.CostElement.ManufacturerList.Manufacturer"
"2015","","DITCO SCOTT AFB, IL","2015-04","2015-08","16.000","0.350","true","C","FFP","","","","","","2017-BASE_PROCUREMENT-2017-DEFENSE_DISA-U_PROCUREMENT_JustificationBook_Defense_Information_Systems_Agency_PB_2017.zzz_unzipped-U_PROCUREMENT_JustificationBook_Defense_Information_Systems_Agency_PB_2017.xml","fb221902332d322a3dbca31c563079bae28136d0a5656ae7e5b0f07f2aa47c7f","0-18802b080cfdb63bacd15f0a1b6e6d5d7e4e1b33620e6bcfb709f1710c096610","2014-03","","","","","0-877174cd1825b30d39a67915a19ef29026fb3903f3b9f9faffa176ce77f92ac9","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Support.CostElementList.CostElement.ManufacturerList.Manufacturer"
"2018","","Hill AFB, UT","2018-01","2018-09","8.000","0.025","false","SS","FP","","","","","","2017-BASE_PROCUREMENT-2017-DEFENSE_DISA-U_PROCUREMENT_JustificationBook_Defense_Information_Systems_Agency_PB_2017.zzz_unzipped-U_PROCUREMENT_JustificationBook_Defense_Information_Systems_Agency_PB_2017.xml","fb221902332d322a3dbca31c563079bae28136d0a5656ae7e5b0f07f2aa47c7f","0-dec700389d3b739058d02273bc8b72b919dae539ab8abb622a8fb8c0452a89fe","2017-10","","","","","0-cd113af90cf26532ae80f0f088063ba4c4e72b23b1979f734934a7cc81f7053f","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Support.CostElementList.CostElement.ManufacturerList.Manufacturer"
"2015","","Hill AFB, UT","2015-03","2015-11","6.000","0.022","true","SS","FP","","","","","","2017-BASE_PROCUREMENT-2017-DEFENSE_DISA-U_PROCUREMENT_JustificationBook_Defense_Information_Systems_Agency_PB_2017.zzz_unzipped-U_PROCUREMENT_JustificationBook_Defense_Information_Systems_Agency_PB_2017.xml","fb221902332d322a3dbca31c563079bae28136d0a5656ae7e5b0f07f2aa47c7f","1-4ea1c99bcac6f06114ec28c3cb9979d62c19534bfd3b7ccabe70212f3f62f68b","2014-11","","","","","0-cd113af90cf26532ae80f0f088063ba4c4e72b23b1979f734934a7cc81f7053f","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Support.CostElementList.CostElement.ManufacturerList.Manufacturer"
"2016","","Hill AFB, UT","2015-11","2016-08","8.000","0.016","false","SS","FP","","","","","","2017-BASE_PROCUREMENT-2017-DEFENSE_DISA-U_PROCUREMENT_JustificationBook_Defense_Information_Systems_Agency_PB_2017.zzz_unzipped-U_PROCUREMENT_JustificationBook_Defense_Information_Systems_Agency_PB_2017.xml","fb221902332d322a3dbca31c563079bae28136d0a5656ae7e5b0f07f2aa47c7f","2-cebaeefe1837124d74e92c8a19b7bfa0630cbd2ddeb914e2b7ab94912d51a198","2015-10","","","","","0-cd113af90cf26532ae80f0f088063ba4c4e72b23b1979f734934a7cc81f7053f","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Support.CostElementList.CostElement.ManufacturerList.Manufacturer"
"2017","","Hill AFB, UT","2017-01","2017-10","6.000","0.021","false","SS","FP","","","","","","2017-BASE_PROCUREMENT-2017-DEFENSE_DISA-U_PROCUREMENT_JustificationBook_Defense_Information_Systems_Agency_PB_2017.zzz_unzipped-U_PROCUREMENT_JustificationBook_Defense_Information_Systems_Agency_PB_2017.xml","fb221902332d322a3dbca31c563079bae28136d0a5656ae7e5b0f07f2aa47c7f","3-0bc8ada8f21040574699ff5c4a5e71c9d6b54fb568d0ecd11f9e4f4b307c5020","2016-10","","","","","0-cd113af90cf26532ae80f0f088063ba4c4e72b23b1979f734934a7cc81f7053f","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Support.CostElementList.CostElement.ManufacturerList.Manufacturer"
"2016","","Hill AFB, UT","2016-03","2016-03","2.000","0.403","false","SS","FP","","","","","","2017-BASE_PROCUREMENT-2017-DEFENSE_DISA-U_PROCUREMENT_JustificationBook_Defense_Information_Systems_Agency_PB_2017.zzz_unzipped-U_PROCUREMENT_JustificationBook_Defense_Information_Systems_Agency_PB_2017.xml","fb221902332d322a3dbca31c563079bae28136d0a5656ae7e5b0f07f2aa47c7f","0-21974fe62bcc1b32a572ad0dd62b7258550f02feac9e8a9f1f8c22cfa2e4689e","2016-01","","","","","0-1799292bbb07d779153c523bfcec6370a34f148f2548c214e6b58c22d30c3747","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Support.CostElementList.CostElement.ManufacturerList.Manufacturer"
"2015","","Hill AFB, UT","2015-03","2015-03","11.000","0.410","true","SS","FP","","","","","","2017-BASE_PROCUREMENT-2017-DEFENSE_DISA-U_PROCUREMENT_JustificationBook_Defense_Information_Systems_Agency_PB_2017.zzz_unzipped-U_PROCUREMENT_JustificationBook_Defense_Information_Systems_Agency_PB_2017.xml","fb221902332d322a3dbca31c563079bae28136d0a5656ae7e5b0f07f2aa47c7f","1-937c3fd1bdc78f25642c8900d6a28c82f10392401ae642fcc90f8313f4d1801f","2015-01","","","","","0-1799292bbb07d779153c523bfcec6370a34f148f2548c214e6b58c22d30c3747","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Support.CostElementList.CostElement.ManufacturerList.Manufacturer"
"2017","","HiLL AFB, UT","2017-03","2017-03","1.000","0.697","false","SS","FP","","","","","","2017-BASE_PROCUREMENT-2017-DEFENSE_DISA-U_PROCUREMENT_JustificationBook_Defense_Information_Systems_Agency_PB_2017.zzz_unzipped-U_PROCUREMENT_JustificationBook_Defense_Information_Systems_Agency_PB_2017.xml","fb221902332d322a3dbca31c563079bae28136d0a5656ae7e5b0f07f2aa47c7f","2-f0283d886903eb2ee3c482248000239e34d4b0839060c4bc26cff0d8aa07715e","2017-01","","","","","0-1799292bbb07d779153c523bfcec6370a34f148f2548c214e6b58c22d30c3747","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Support.CostElementList.CostElement.ManufacturerList.Manufacturer"
