Name_val,IdCode_val,Cost_AllPriorYears_UnitCost_val,Cost_AllPriorYears_Quantity_val,Cost_AllPriorYears_TotalCost_val,Cost_PriorYear_TotalCost_val,Cost_PriorYear_UnitCost_val,Cost_PriorYear_Quantity_val,Cost_CurrentYear_TotalCost_val,Cost_CurrentYear_UnitCost_val,Cost_CurrentYear_Quantity_val,Cost_BudgetYearOneBase_TotalCost_val,Cost_BudgetYearOneBase_UnitCost_val,Cost_BudgetYearOneBase_Quantity_val,Cost_BudgetYearOneOCO_TotalCost_val,Cost_BudgetYearOne_TotalCost_val,Cost_BudgetYearOne_UnitCost_val,Cost_BudgetYearOne_Quantity_val,Cost_BudgetYearTwo_TotalCost_val,Cost_BudgetYearTwo_UnitCost_val,Cost_BudgetYearTwo_Quantity_val,Cost_BudgetYearThree_TotalCost_val,Cost_BudgetYearThree_UnitCost_val,Cost_BudgetYearThree_Quantity_val,Cost_BudgetYearFour_TotalCost_val,Cost_BudgetYearFour_UnitCost_val,Cost_BudgetYearFour_Quantity_val,Cost_BudgetYearFive_TotalCost_val,Cost_BudgetYearFive_UnitCost_val,Cost_BudgetYearFive_Quantity_val,Cost_ToComplete_UnitCost_val,Cost_ToComplete_Quantity_val,Cost_ToComplete_TotalCost_val,Cost_Total_UnitCost_val,Cost_Total_Quantity_val,Cost_Total_TotalCost_val,Cost_Quantity_AllPriorYears_val,Cost_Quantity_Total_val,Cost_Quantity_PriorYear_val,Cost_Quantity_CurrentYear_val,Cost_Quantity_BudgetYearOneBase_val,Cost_Quantity_BudgetYearOne_val,Cost_Quantity_BudgetYearTwo_val,Cost_Quantity_BudgetYearThree_val,Cost_Quantity_BudgetYearFour_val,Cost_Quantity_BudgetYearFive_val,Cost_Quantity_ToComplete_val,Cost_TotalCost_AllPriorYears_val,Cost_TotalCost_ToComplete_val,Cost_TotalCost_Total_val,Cost_TotalCost_PriorYear_val,Cost_TotalCost_CurrentYear_val,Cost_TotalCost_BudgetYearOneBase_val,Cost_TotalCost_BudgetYearOne_val,Cost_TotalCost_BudgetYearTwo_val,Cost_TotalCost_BudgetYearThree_val,Cost_TotalCost_BudgetYearFour_val,Cost_TotalCost_BudgetYearFive_val,Cost_TotalCost_BudgetYearOneOCO_val,Cost_UnitCost_AllPriorYears_val,Cost_UnitCost_Total_val,Cost_UnitCost_PriorYear_val,Cost_UnitCost_CurrentYear_val,Cost_UnitCost_BudgetYearOneBase_val,Cost_UnitCost_BudgetYearOne_val,Cost_UnitCost_BudgetYearTwo_val,Cost_UnitCost_BudgetYearThree_val,Cost_UnitCost_BudgetYearFour_val,Cost_UnitCost_BudgetYearFive_val,Cost_UnitCost_ToComplete_val,ManufacturerList_Manufacturer_Name_val,ManufacturerList_Manufacturer_Location_val,ManufacturerList_Manufacturer_MinimumSustainingRate_val,ManufacturerList_Manufacturer_MaximumProductionRate_val,ManufacturerList_Manufacturer_Rate185_val,ManufacturerList_Manufacturer_InitialQuantity_AdminLeadTimeBeforeOct1InMonths_val,ManufacturerList_Manufacturer_InitialQuantity_AdminLeadTimeAfterOct1InMonths_val,ManufacturerList_Manufacturer_InitialQuantity_ProductionLeadTimeAfterOct1InMonths_val,ManufacturerList_Manufacturer_InitialQuantity_TotalLeadTimeAfterOct1InMonths_val,ManufacturerList_Manufacturer_ReorderQuantity_AdminLeadTimeBeforeOct1InMonths_val,ManufacturerList_Manufacturer_ReorderQuantity_AdminLeadTimeAfterOct1InMonths_val,ManufacturerList_Manufacturer_ReorderQuantity_ProductionLeadTimeAfterOct1InMonths_val,ManufacturerList_Manufacturer_ReorderQuantity_TotalLeadTimeAfterOct1InMonths_val,@SOURCE_FILENAME,@RECORDID,@ROWID,AllPriorYearsDeliveries_val,@PARENTROWID,@PARENT
"WGS SV 7","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","1","","","","","","","","","","443.532","0","443.532","","","","","","","","","","443.532","443.532","","","","","","","","","","","","","","","","","","","","","","","","2017-BASE_PROCUREMENT-2017-AIRFORCE_MISSILE-U_PROCUREMENT_JustificationBook_Air_Force_PB_2017.zzz_unzipped-U_PROCUREMENT_JustificationBook_Air_Force_PB_2017.xml","605714345c719f1dbbd12a25da57f4edb17db986c06354604455cc112db54165","0-dcf8329decab711b072325ef2acedb8a862c970ac6cc6d3299fe16c506896d26","","1-1a1608faf22ae390e94098150daa81c30fb4445975bb3094f796b2e104324b16","root.record.ItemExhibitList.P5Item"
"WGS SV 8","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","1","","","","","","","","","","353.925","0","353.925","","","","","","","","","","353.925","353.925","","","","","","","","","","Boeing Satellite Systems","El Segundo, CA","0.00","0.00","0.00","0","0","0","0","0","0","0","0","2017-BASE_PROCUREMENT-2017-AIRFORCE_MISSILE-U_PROCUREMENT_JustificationBook_Air_Force_PB_2017.zzz_unzipped-U_PROCUREMENT_JustificationBook_Air_Force_PB_2017.xml","605714345c719f1dbbd12a25da57f4edb17db986c06354604455cc112db54165","1-cd8053491d3e4e6bd2101eb4cc9021717974d9b8e250195ee45bbf17571a8080","0","1-1a1608faf22ae390e94098150daa81c30fb4445975bb3094f796b2e104324b16","root.record.ItemExhibitList.P5Item"
"WGS SV 10 (Congressional add)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","1","","","","","","","","","","338.7","0","338.7","","","","","","","","","","338.7","338.7","","","","","","","","","","Boeing Satellite Systems","El Segundo, CA","0.00","0.00","0.00","0","0","0","0","0","0","0","0","2017-BASE_PROCUREMENT-2017-AIRFORCE_MISSILE-U_PROCUREMENT_JustificationBook_Air_Force_PB_2017.zzz_unzipped-U_PROCUREMENT_JustificationBook_Air_Force_PB_2017.xml","605714345c719f1dbbd12a25da57f4edb17db986c06354604455cc112db54165","2-5f5029fa1ca4ef61599c67325940710ce68f604279fd559dccf2135fde2ddf12","0","1-1a1608faf22ae390e94098150daa81c30fb4445975bb3094f796b2e104324b16","root.record.ItemExhibitList.P5Item"
"GPS III SV 03-10","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6","7","1","","","","","","","","","1382.374","0","1639.682","257.308","0","0","0","0","0","0","0","0","230.396","234.24","257.308","","","","","","","","","Lockheed Martin","Denver, CO","0.00","0.00","0.00","0","0","0","0","0","18","60","78","2017-BASE_PROCUREMENT-2017-AIRFORCE_MISSILE-U_PROCUREMENT_JustificationBook_Air_Force_PB_2017.zzz_unzipped-U_PROCUREMENT_JustificationBook_Air_Force_PB_2017.xml","8812b305f9c99363a5a1d7cbc6180c2a407f3341b9e7ecd10b20a4efc5f5605a","0-143286972bfb7ce67fef578926fc983a1b9420a1a70fa24900b6169faf77dcde","4","0-48146f57c12b845c2b3effbb2af529dc8ffe9b27c63851a56b2b9a23b9429f6a","root.record.ItemExhibitList.P5Item"
"GPS III SV 03-10 Technical Mission Analysis","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","1.155","1.155","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2017-BASE_PROCUREMENT-2017-AIRFORCE_MISSILE-U_PROCUREMENT_JustificationBook_Air_Force_PB_2017.zzz_unzipped-U_PROCUREMENT_JustificationBook_Air_Force_PB_2017.xml","8812b305f9c99363a5a1d7cbc6180c2a407f3341b9e7ecd10b20a4efc5f5605a","1-e565020026abbc6ce574ea5acc6315c59ca5c479b5c92c6f685c9056acb710ad","","0-48146f57c12b845c2b3effbb2af529dc8ffe9b27c63851a56b2b9a23b9429f6a","root.record.ItemExhibitList.P5Item"
"GPS III SV 03-10 Enterprise SE&I","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0.734","0.734","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2017-BASE_PROCUREMENT-2017-AIRFORCE_MISSILE-U_PROCUREMENT_JustificationBook_Air_Force_PB_2017.zzz_unzipped-U_PROCUREMENT_JustificationBook_Air_Force_PB_2017.xml","8812b305f9c99363a5a1d7cbc6180c2a407f3341b9e7ecd10b20a4efc5f5605a","2-9a4d11e4b2515cfa6ca5aa90be3646d2c0e94fcc15b6da2cab7dfc36c4f43cba","","0-48146f57c12b845c2b3effbb2af529dc8ffe9b27c63851a56b2b9a23b9429f6a","root.record.ItemExhibitList.P5Item"
"GPS Block IIA Space Vehicle","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","28","28","","","","","","","","","","869.768","0","869.768","","","","","","","","","","31.063","31.063","","","","","","","","","","","","","","","","","","","","","","","","2017-BASE_PROCUREMENT-2017-AIRFORCE_MISSILE-U_PROCUREMENT_JustificationBook_Air_Force_PB_2017.zzz_unzipped-U_PROCUREMENT_JustificationBook_Air_Force_PB_2017.xml","757961cbe8a0d2070f12a727adaa17a09f878a4cdb5b0c09ca9d72290d4f3ee5","0-a5463680d885c2db7d3bea366cad29a80781909171a481212fa1174996b27233","","0-ff39712f8a2e57f2fe243f948ef7d824584a585d493e17455d833ad18a6bdf71","root.record.ItemExhibitList.P5Item"
"GPS Block IIR Space Vehicle","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","21","21","","","","","","","","","","1088.345","0","1088.345","","","","","","","","","","51.826","51.826","","","","","","","","","","","","","","","","","","","","","","","","2017-BASE_PROCUREMENT-2017-AIRFORCE_MISSILE-U_PROCUREMENT_JustificationBook_Air_Force_PB_2017.zzz_unzipped-U_PROCUREMENT_JustificationBook_Air_Force_PB_2017.xml","757961cbe8a0d2070f12a727adaa17a09f878a4cdb5b0c09ca9d72290d4f3ee5","1-5a64c796a4b7e20434a01378fcbca369bce7f0b170baff13e4414ba7541295cc","","0-ff39712f8a2e57f2fe243f948ef7d824584a585d493e17455d833ad18a6bdf71","root.record.ItemExhibitList.P5Item"
"GPS Block IIF Space Vehicle","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","12","12","","","","","","","","","","984.726","0","984.726","","","","","","","","","","82.061","82.061","","","","","","","","","","","","","","","","","","","","","","","","2017-BASE_PROCUREMENT-2017-AIRFORCE_MISSILE-U_PROCUREMENT_JustificationBook_Air_Force_PB_2017.zzz_unzipped-U_PROCUREMENT_JustificationBook_Air_Force_PB_2017.xml","757961cbe8a0d2070f12a727adaa17a09f878a4cdb5b0c09ca9d72290d4f3ee5","2-08adaf761e1bb2eb144094fb82aa4633b6a3c10fc5b72d8f59ee5bc6eab40880","","0-ff39712f8a2e57f2fe243f948ef7d824584a585d493e17455d833ad18a6bdf71","root.record.ItemExhibitList.P5Item"
"Spacecraft Integration and Test--CLIN 1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9","","","","","","","","","","","1092.01","","","31.5","","","","","","","","","121.334","","","","","","","","","","","","","","","","","","","","","","","","","2017-BASE_PROCUREMENT-2017-AIRFORCE_MISSILE-U_PROCUREMENT_JustificationBook_Air_Force_PB_2017.zzz_unzipped-U_PROCUREMENT_JustificationBook_Air_Force_PB_2017.xml","1aa38ef9eaefda618e335a7e720f9797da477a4fafd784257115c32ec1bdd7a4","0-5fc8c2a26af6582def6344e83bc46420d1ee596fe20be353fd9feb0922cd4087","","0-86584bea66eee75e202f08780c96df1325c86fe5e52553b10fea6d9efdcf8e9f","root.record.ItemExhibitList.P5Item"
"LM Spacecraft Integ & Test--Total Awd Fee","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","126.631","","","4.7","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2017-BASE_PROCUREMENT-2017-AIRFORCE_MISSILE-U_PROCUREMENT_JustificationBook_Air_Force_PB_2017.zzz_unzipped-U_PROCUREMENT_JustificationBook_Air_Force_PB_2017.xml","1aa38ef9eaefda618e335a7e720f9797da477a4fafd784257115c32ec1bdd7a4","1-3f153aecebd3ec4fc4a11e7da3aa742b4a870356bc8ed1329f063bac7d9135d9","","0-86584bea66eee75e202f08780c96df1325c86fe5e52553b10fea6d9efdcf8e9f","root.record.ItemExhibitList.P5Item"
"Independent Verif & Validation Tech Spt","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","31.204","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2017-BASE_PROCUREMENT-2017-AIRFORCE_MISSILE-U_PROCUREMENT_JustificationBook_Air_Force_PB_2017.zzz_unzipped-U_PROCUREMENT_JustificationBook_Air_Force_PB_2017.xml","1aa38ef9eaefda618e335a7e720f9797da477a4fafd784257115c32ec1bdd7a4","2-1e7acdd1ab055c8671f2ce61984f8d4b61cbeb8f33ac9e80de602069d4ae5cd4","","0-86584bea66eee75e202f08780c96df1325c86fe5e52553b10fea6d9efdcf8e9f","root.record.ItemExhibitList.P5Item"
"Consolidated Sensor Support and Services--CLIN 1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","441.617","","","15.5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2017-BASE_PROCUREMENT-2017-AIRFORCE_MISSILE-U_PROCUREMENT_JustificationBook_Air_Force_PB_2017.zzz_unzipped-U_PROCUREMENT_JustificationBook_Air_Force_PB_2017.xml","1aa38ef9eaefda618e335a7e720f9797da477a4fafd784257115c32ec1bdd7a4","3-8e77281594fb73069c404e08a5c7262e6052b539fec549284741646fd2c712d5","","0-86584bea66eee75e202f08780c96df1325c86fe5e52553b10fea6d9efdcf8e9f","root.record.ItemExhibitList.P5Item"
"NGC Hardware Sensor Spt--CLIN 2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","122.021","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2017-BASE_PROCUREMENT-2017-AIRFORCE_MISSILE-U_PROCUREMENT_JustificationBook_Air_Force_PB_2017.zzz_unzipped-U_PROCUREMENT_JustificationBook_Air_Force_PB_2017.xml","1aa38ef9eaefda618e335a7e720f9797da477a4fafd784257115c32ec1bdd7a4","4-d284ecd30a2609c1487eab38d88436fdb42ddd08996047566c1fcd66e5f5ff30","","0-86584bea66eee75e202f08780c96df1325c86fe5e52553b10fea6d9efdcf8e9f","root.record.ItemExhibitList.P5Item"
"NGC Total Award Fee","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","45.061","","","2.5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2017-BASE_PROCUREMENT-2017-AIRFORCE_MISSILE-U_PROCUREMENT_JustificationBook_Air_Force_PB_2017.zzz_unzipped-U_PROCUREMENT_JustificationBook_Air_Force_PB_2017.xml","1aa38ef9eaefda618e335a7e720f9797da477a4fafd784257115c32ec1bdd7a4","5-e08065f9c53b2857a238a363cabce8425374197c6c5a6af4f2f86f980cb6e112","","0-86584bea66eee75e202f08780c96df1325c86fe5e52553b10fea6d9efdcf8e9f","root.record.ItemExhibitList.P5Item"
"Sensor Lab Support","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","91.466","","","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2017-BASE_PROCUREMENT-2017-AIRFORCE_MISSILE-U_PROCUREMENT_JustificationBook_Air_Force_PB_2017.zzz_unzipped-U_PROCUREMENT_JustificationBook_Air_Force_PB_2017.xml","1aa38ef9eaefda618e335a7e720f9797da477a4fafd784257115c32ec1bdd7a4","6-88fad6bac848afc443bfd5560c66c38583a33e98866da2318c54869db800b496","","0-86584bea66eee75e202f08780c96df1325c86fe5e52553b10fea6d9efdcf8e9f","root.record.ItemExhibitList.P5Item"
"LM Spacecraft Battery Option / SAFT CLIN 2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7.665","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2017-BASE_PROCUREMENT-2017-AIRFORCE_MISSILE-U_PROCUREMENT_JustificationBook_Air_Force_PB_2017.zzz_unzipped-U_PROCUREMENT_JustificationBook_Air_Force_PB_2017.xml","1aa38ef9eaefda618e335a7e720f9797da477a4fafd784257115c32ec1bdd7a4","7-216577dfe663a2c323b539170a5791713d63077d9aef76587fd836b58d32f23f","","0-86584bea66eee75e202f08780c96df1325c86fe5e52553b10fea6d9efdcf8e9f","root.record.ItemExhibitList.P5Item"
"LM Spacecraft Orbital Incentives","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11.672","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2017-BASE_PROCUREMENT-2017-AIRFORCE_MISSILE-U_PROCUREMENT_JustificationBook_Air_Force_PB_2017.zzz_unzipped-U_PROCUREMENT_JustificationBook_Air_Force_PB_2017.xml","1aa38ef9eaefda618e335a7e720f9797da477a4fafd784257115c32ec1bdd7a4","8-8e2d71536a1cac7c1957f5b5214ac7b8335d4e613554dc89cc442880efbf1962","","0-86584bea66eee75e202f08780c96df1325c86fe5e52553b10fea6d9efdcf8e9f","root.record.ItemExhibitList.P5Item"
"NGC Orbital Incentives","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5.094","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2017-BASE_PROCUREMENT-2017-AIRFORCE_MISSILE-U_PROCUREMENT_JustificationBook_Air_Force_PB_2017.zzz_unzipped-U_PROCUREMENT_JustificationBook_Air_Force_PB_2017.xml","1aa38ef9eaefda618e335a7e720f9797da477a4fafd784257115c32ec1bdd7a4","9-f3ea4d5f7810dbe73b4a079fd2949f1ebf7cd15da2b7e30fa5a87ed18768b7f2","","0-86584bea66eee75e202f08780c96df1325c86fe5e52553b10fea6d9efdcf8e9f","root.record.ItemExhibitList.P5Item"
"GEO 3-4 Hardware","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1411.659","0","1419.45","7.791","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2017-BASE_PROCUREMENT-2017-AIRFORCE_MISSILE-U_PROCUREMENT_JustificationBook_Air_Force_PB_2017.zzz_unzipped-U_PROCUREMENT_JustificationBook_Air_Force_PB_2017.xml","0044feba6c5f103dc52333af25237d8df99ab8495c014e88535cc38b2a15aca5","0-5b8a75b2f11c0591e84e3f9f947e947edee27c400b58dd0a9e933c73c9f84b32","","0-2e945ddd6ac7552467c91054bb903edb357ff83523b55e174ed5d023af383d45","root.record.ItemExhibitList.P5Item"
"GEO 3-4 Integration and Assembly","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","405.806","0","426.335","20.529","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2017-BASE_PROCUREMENT-2017-AIRFORCE_MISSILE-U_PROCUREMENT_JustificationBook_Air_Force_PB_2017.zzz_unzipped-U_PROCUREMENT_JustificationBook_Air_Force_PB_2017.xml","0044feba6c5f103dc52333af25237d8df99ab8495c014e88535cc38b2a15aca5","1-a04435bc2c46f826851b089c497491dc6d13e2c8a5a9cf95aa60ee385e300250","","0-2e945ddd6ac7552467c91054bb903edb357ff83523b55e174ed5d023af383d45","root.record.ItemExhibitList.P5Item"
"GEO 3-4 Enterprise Systems Engineering & Integration (SE&I)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","31.87","0","39.755","7.885","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2017-BASE_PROCUREMENT-2017-AIRFORCE_MISSILE-U_PROCUREMENT_JustificationBook_Air_Force_PB_2017.zzz_unzipped-U_PROCUREMENT_JustificationBook_Air_Force_PB_2017.xml","0044feba6c5f103dc52333af25237d8df99ab8495c014e88535cc38b2a15aca5","2-5d0bbb07a04e50fef94dd584eb4b64df57cee8a900b63932aabc0ab19521ebf2","","0-2e945ddd6ac7552467c91054bb903edb357ff83523b55e174ed5d023af383d45","root.record.ItemExhibitList.P5Item"
"GEO 3-4 Satellites","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","2","","","","","","","","","","2846.667","0","2846.667","","","","","","","","","","1423.334","1423.334","","","","","","","","","","Lockheed Martin Space Systems","Sunnyvale, CA","0.00","0.00","0.00","0","0","0","0","0","0","0","0","2017-BASE_PROCUREMENT-2017-AIRFORCE_MISSILE-U_PROCUREMENT_JustificationBook_Air_Force_PB_2017.zzz_unzipped-U_PROCUREMENT_JustificationBook_Air_Force_PB_2017.xml","0044feba6c5f103dc52333af25237d8df99ab8495c014e88535cc38b2a15aca5","3-f845984f3de5d327449b6a8e2f9495e72c242007a80e349196ea887defcca164","0","0-2e945ddd6ac7552467c91054bb903edb357ff83523b55e174ed5d023af383d45","root.record.ItemExhibitList.P5Item"
"GEO 3-4 Satellites Debit","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-2846.667","0","-2846.667","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2017-BASE_PROCUREMENT-2017-AIRFORCE_MISSILE-U_PROCUREMENT_JustificationBook_Air_Force_PB_2017.zzz_unzipped-U_PROCUREMENT_JustificationBook_Air_Force_PB_2017.xml","0044feba6c5f103dc52333af25237d8df99ab8495c014e88535cc38b2a15aca5","4-18db1bdd10fbc45b64cbb3455f7db8d3d390f58c785c2bc818f59f96fbc9ed34","","0-2e945ddd6ac7552467c91054bb903edb357ff83523b55e174ed5d023af383d45","root.record.ItemExhibitList.P5Item"
"GEO 5-6 Hardware","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1441.119","0","1628.988","187.869","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2017-BASE_PROCUREMENT-2017-AIRFORCE_MISSILE-U_PROCUREMENT_JustificationBook_Air_Force_PB_2017.zzz_unzipped-U_PROCUREMENT_JustificationBook_Air_Force_PB_2017.xml","0044feba6c5f103dc52333af25237d8df99ab8495c014e88535cc38b2a15aca5","0-a10a3feec1d34629c04f2cec02a022ecf8b7c50837878fb4c81b778730dddbaf","","1-21966717697613569f33a06eebc44e81b0209688242e0e9e3bca36cd3f405c8c","root.record.ItemExhibitList.P5Item"
"GEO 5-6 Integration and Assembly","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","368.946","0","392.545","23.599","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2017-BASE_PROCUREMENT-2017-AIRFORCE_MISSILE-U_PROCUREMENT_JustificationBook_Air_Force_PB_2017.zzz_unzipped-U_PROCUREMENT_JustificationBook_Air_Force_PB_2017.xml","0044feba6c5f103dc52333af25237d8df99ab8495c014e88535cc38b2a15aca5","1-2b659e73e89f04a8e46dc6bc3e2faa2ddda255403cfbf3a19fe8131ce34216f3","","1-21966717697613569f33a06eebc44e81b0209688242e0e9e3bca36cd3f405c8c","root.record.ItemExhibitList.P5Item"
"FY15 Incremental Funding","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-211.468","0","-211.468","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2017-BASE_PROCUREMENT-2017-AIRFORCE_MISSILE-U_PROCUREMENT_JustificationBook_Air_Force_PB_2017.zzz_unzipped-U_PROCUREMENT_JustificationBook_Air_Force_PB_2017.xml","0044feba6c5f103dc52333af25237d8df99ab8495c014e88535cc38b2a15aca5","2-26a6816b18d881629603ced8470153b40a4053c7d1bd7740d71ea63b6b97df67","","1-21966717697613569f33a06eebc44e81b0209688242e0e9e3bca36cd3f405c8c","root.record.ItemExhibitList.P5Item"
"FY16 Incremental Funding (3021)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-274.007","0","-274.007","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2017-BASE_PROCUREMENT-2017-AIRFORCE_MISSILE-U_PROCUREMENT_JustificationBook_Air_Force_PB_2017.zzz_unzipped-U_PROCUREMENT_JustificationBook_Air_Force_PB_2017.xml","0044feba6c5f103dc52333af25237d8df99ab8495c014e88535cc38b2a15aca5","3-d50255704e5c8026fcf55a5096fb0f29f766ee960b954fa58e304597a05bb494","","1-21966717697613569f33a06eebc44e81b0209688242e0e9e3bca36cd3f405c8c","root.record.ItemExhibitList.P5Item"
"FY17 Incremental Funding (3021)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-118.766","0","-118.766","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2017-BASE_PROCUREMENT-2017-AIRFORCE_MISSILE-U_PROCUREMENT_JustificationBook_Air_Force_PB_2017.zzz_unzipped-U_PROCUREMENT_JustificationBook_Air_Force_PB_2017.xml","0044feba6c5f103dc52333af25237d8df99ab8495c014e88535cc38b2a15aca5","4-75ac3c7cc6b2c41f924726c8776c408e738a4a659ae5b2b83d16f3bf68c6947e","","1-21966717697613569f33a06eebc44e81b0209688242e0e9e3bca36cd3f405c8c","root.record.ItemExhibitList.P5Item"
"FY18 Incremental Funding (3021)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-402.874","0","-402.874","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2017-BASE_PROCUREMENT-2017-AIRFORCE_MISSILE-U_PROCUREMENT_JustificationBook_Air_Force_PB_2017.zzz_unzipped-U_PROCUREMENT_JustificationBook_Air_Force_PB_2017.xml","0044feba6c5f103dc52333af25237d8df99ab8495c014e88535cc38b2a15aca5","5-771c7579ad11ff409386610aef0814ee391c072f289f8c5dd5b1b7606f903b90","","1-21966717697613569f33a06eebc44e81b0209688242e0e9e3bca36cd3f405c8c","root.record.ItemExhibitList.P5Item"
"GEO 5-6 Satellites","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","2","","","","","","","","","","3359.826","0","3359.826","","","","","","","","","","1679.913","1679.913","","","","","","","","","","Lockheed Martin Space Systems","Sunnyvale, CA","0.00","0.00","0.00","0","0","0","0","0","0","0","0","2017-BASE_PROCUREMENT-2017-AIRFORCE_MISSILE-U_PROCUREMENT_JustificationBook_Air_Force_PB_2017.zzz_unzipped-U_PROCUREMENT_JustificationBook_Air_Force_PB_2017.xml","0044feba6c5f103dc52333af25237d8df99ab8495c014e88535cc38b2a15aca5","6-b97f194f8cb5f58c327241e0ddeb7f44ab1283eddfee1b6c1120b189654e262c","0","1-21966717697613569f33a06eebc44e81b0209688242e0e9e3bca36cd3f405c8c","root.record.ItemExhibitList.P5Item"
"GEO 5-6 Satellites Debit","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-3359.826","0","-3359.826","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2017-BASE_PROCUREMENT-2017-AIRFORCE_MISSILE-U_PROCUREMENT_JustificationBook_Air_Force_PB_2017.zzz_unzipped-U_PROCUREMENT_JustificationBook_Air_Force_PB_2017.xml","0044feba6c5f103dc52333af25237d8df99ab8495c014e88535cc38b2a15aca5","7-885ea964917934c9c31fd3ff51f0211b5a3d204fe1e4dffad019f337ee4f0d77","","1-21966717697613569f33a06eebc44e81b0209688242e0e9e3bca36cd3f405c8c","root.record.ItemExhibitList.P5Item"
