Name_val,Name_@footnote,Cost_Quantity_AllPriorYears_val,Cost_Quantity_PriorYear_val,Cost_Quantity_CurrentYear_val,Cost_Quantity_BudgetYearOneBase_val,Cost_Quantity_BudgetYearOne_val,Cost_Quantity_BudgetYearOneOCO_val,Cost_Quantity_BudgetYearTwo_val,Cost_Quantity_BudgetYearThree_val,Cost_Quantity_BudgetYearFour_val,Cost_Quantity_BudgetYearFive_val,Cost_Quantity_ToComplete_val,Cost_Quantity_Total_val,Cost_TotalCost_AllPriorYears_val,Cost_TotalCost_PriorYear_val,Cost_TotalCost_CurrentYear_val,Cost_TotalCost_BudgetYearOneBase_val,Cost_TotalCost_BudgetYearOne_val,Cost_TotalCost_BudgetYearOneOCO_val,Cost_TotalCost_Total_val,Cost_TotalCost_BudgetYearTwo_val,Cost_TotalCost_BudgetYearThree_val,Cost_TotalCost_BudgetYearFour_val,Cost_TotalCost_BudgetYearFive_val,Cost_TotalCost_ToComplete_val,@SOURCE_FILENAME,@RECORDID,@ROWID,@PARENTROWID,@PARENT
"2.2.2) ARPDD O&A - Organic","","","","","","","","","","","","","","10.09","0.206","1.994","1.612","1.612","","","","","","","","2018-BASE_PROCUREMENT-2018-NAVY_AIRCRAFT_BA67-U_PROCUREMENT_MasterJustificationBook_Navy_PB_2018.zzz_unzipped-U_PROCUREMENT_MasterJustificationBook_Navy_PB_2018.xml","d5c6154167ae571c5f506888226fcc2482caf0eac4d6b82b571542232f1fefdc","0-74f0af689693bd710216782d2431360553171ad16532e399d55d3a42f5df97d4","5-c616f1adc5a38853289d6d72c5722b8842007a734abee684beafbb9aabaedfca","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.IndividualModInstallationList.IndividualModInstallation"
"2.2.3) ALFS Reliability NRE - Organic","Cost element 2.2.3 (ALFS NRE) funding in FY 2017 is required for reliability efforts to improve the current ALFS battery and cable.","","","","","","","","","","","","","","","1.55","","","","","","","","","","2018-BASE_PROCUREMENT-2018-NAVY_AIRCRAFT_BA67-U_PROCUREMENT_MasterJustificationBook_Navy_PB_2018.zzz_unzipped-U_PROCUREMENT_MasterJustificationBook_Navy_PB_2018.xml","d5c6154167ae571c5f506888226fcc2482caf0eac4d6b82b571542232f1fefdc","0-c26a2792b9ae07d247ff93a9f17b63fe2f3ec0cab4d5c181176e1fef160e3ee4","6-5a1dea33ffbc8f0999b028fec7027b0343f17c8f2e7665a7011b0d14d0fe2278","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.IndividualModInstallationList.IndividualModInstallation"
"1.1.1) ARCHIVED ECPs - Organic","","","","","","","","","","","","","","86.208","","","","","","","","","","","","2018-BASE_PROCUREMENT-2018-NAVY_AIRCRAFT_BA67-U_PROCUREMENT_MasterJustificationBook_Navy_PB_2018.zzz_unzipped-U_PROCUREMENT_MasterJustificationBook_Navy_PB_2018.xml","d5c6154167ae571c5f506888226fcc2482caf0eac4d6b82b571542232f1fefdc","0-851f823efa21e316f0515b134ed5a574be8ce3136ef59f17a6c60be7154a2a5f","0-cf57eb6237d8fd384b2da4f37101081413b7393b61b7a2f12be70edd3a123452","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.IndividualModInstallationList.IndividualModInstallation"
"1.1.2) ECP 4034 Block 2B/Block 3B Full P3I - NonOrganic","Cost element 1.1.2 (ECP 4034) procured FY 2015 kits will not be installed until FY 2017 due to unforeseen fleet unavailability for required Planned Maintenance Interval (PMI) to complete installation.","66","","","","","","","","","","","","12.383","","","","","","","","","","","","2018-BASE_PROCUREMENT-2018-NAVY_AIRCRAFT_BA67-U_PROCUREMENT_MasterJustificationBook_Navy_PB_2018.zzz_unzipped-U_PROCUREMENT_MasterJustificationBook_Navy_PB_2018.xml","d5c6154167ae571c5f506888226fcc2482caf0eac4d6b82b571542232f1fefdc","0-85ef8f3613fab5353b7e04e83e339260df8757a7ffab191c0b86948dba27c457","1-89b714acac30abda46c1b1378d90c49f329730957ff5cb6a46e6d24f4b18653b","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.IndividualModInstallationList.IndividualModInstallation"
"1.1.3) ECP 4039 - NonOrganic","","67","15","4","","","","","","","","","","8.753","1.399","0.376","","","","","","","","","","2018-BASE_PROCUREMENT-2018-NAVY_AIRCRAFT_BA67-U_PROCUREMENT_MasterJustificationBook_Navy_PB_2018.zzz_unzipped-U_PROCUREMENT_MasterJustificationBook_Navy_PB_2018.xml","d5c6154167ae571c5f506888226fcc2482caf0eac4d6b82b571542232f1fefdc","0-ed59603ebb15c31aef2bdc4507bb6ddecf9100615db0888745c08420ad5d6310","2-acccbbb55edb069623d11f70cfdbaeee15b3a855522749b041f1930ce86668a3","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.IndividualModInstallationList.IndividualModInstallation"
"1.1.4) ECP 4046  AVC/DALS - NonOrganic","Cost element 1.1.4 (ECP 4046 AVC/DALS) decrease in unit cost due to AVC mod no longer required.","22","12","16","10","10","","","","","","","","4.106","1.546","0.548","0.208","0.208","","","","","","","","2018-BASE_PROCUREMENT-2018-NAVY_AIRCRAFT_BA67-U_PROCUREMENT_MasterJustificationBook_Navy_PB_2018.zzz_unzipped-U_PROCUREMENT_MasterJustificationBook_Navy_PB_2018.xml","d5c6154167ae571c5f506888226fcc2482caf0eac4d6b82b571542232f1fefdc","0-91d2e8c71818a0d1fa0ec36a87524b87b7cf056d1e7413c080cd194422e7bea5","3-8282fb1cfc9bc2e3a8ffc8c70baeee703a6ee5bbab63a6ee066ee2494100402a","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.IndividualModInstallationList.IndividualModInstallation"
"1.1.5) Integrated Mechnical Diagnostics Systems (IMDS) - NonOrganic","","140","24","","","","","","","","","","","17.169","4.363","","","","","","","","","","","2018-BASE_PROCUREMENT-2018-NAVY_AIRCRAFT_BA67-U_PROCUREMENT_MasterJustificationBook_Navy_PB_2018.zzz_unzipped-U_PROCUREMENT_MasterJustificationBook_Navy_PB_2018.xml","d5c6154167ae571c5f506888226fcc2482caf0eac4d6b82b571542232f1fefdc","0-9310524d90590ed71c9a233b0418021b3bbed061325cb29c4cdd367098c43a7e","4-17adc807ed48c4eff5c3a97015b9be556820beeefb060f715ed56ba13dcd93e6","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.IndividualModInstallationList.IndividualModInstallation"
"1.1.6) Data Link A Kit - NonOrganic","","","","","7","7","","","","","","","","0.383","","","1.86","1.86","","","","","","","","2018-BASE_PROCUREMENT-2018-NAVY_AIRCRAFT_BA67-U_PROCUREMENT_MasterJustificationBook_Navy_PB_2018.zzz_unzipped-U_PROCUREMENT_MasterJustificationBook_Navy_PB_2018.xml","d5c6154167ae571c5f506888226fcc2482caf0eac4d6b82b571542232f1fefdc","0-f2dca1b8bda6e0a9f46a24ac24f597339df493fbb14b90f23a8a34af41fef520","5-9f3c3d97943992603a056d5faa265543e11d2b915b661baaf635d2ccf68858f0","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.IndividualModInstallationList.IndividualModInstallation"
"1.1.7) FFW - NonOrganic","","216","","","","","","","","","","","","1.741","","","","","","","","","","","","2018-BASE_PROCUREMENT-2018-NAVY_AIRCRAFT_BA67-U_PROCUREMENT_MasterJustificationBook_Navy_PB_2018.zzz_unzipped-U_PROCUREMENT_MasterJustificationBook_Navy_PB_2018.xml","d5c6154167ae571c5f506888226fcc2482caf0eac4d6b82b571542232f1fefdc","0-0cef8948f3fd6ac9f00b26bc60579a73e47a10e421fef5e4ac914addeecf6cc0","6-cf630a5b27c8b086443846a2899a96801ce3a8369b7370127f57b1c6ca93b1a2","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.IndividualModInstallationList.IndividualModInstallation"
"1.1.8) ECP 4057 Lower Anti-Collision Fix - Organic","","","134","","","","","","","","","","","","0.326","","","","","","","","","","","2018-BASE_PROCUREMENT-2018-NAVY_AIRCRAFT_BA67-U_PROCUREMENT_MasterJustificationBook_Navy_PB_2018.zzz_unzipped-U_PROCUREMENT_MasterJustificationBook_Navy_PB_2018.xml","d5c6154167ae571c5f506888226fcc2482caf0eac4d6b82b571542232f1fefdc","0-bdc262a3ef4eb650c7d9f0ba68f6a08be569cb4945751c56199c52c502308758","7-c47bb860eb2bf7f35a306fe65bca90ad64b67ad68a82015abac9c6457dd59eaf","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.IndividualModInstallationList.IndividualModInstallation"
"1.1.9) HDTS Akit - NonOrganic","","","12","18","18","18","","","","","","","","","0.971","0.661","0.674","0.674","","","","","","","","2018-BASE_PROCUREMENT-2018-NAVY_AIRCRAFT_BA67-U_PROCUREMENT_MasterJustificationBook_Navy_PB_2018.zzz_unzipped-U_PROCUREMENT_MasterJustificationBook_Navy_PB_2018.xml","d5c6154167ae571c5f506888226fcc2482caf0eac4d6b82b571542232f1fefdc","0-a1724850da7a7af32b11055172f0ca15b1225371e647323dc2ed65577136fbc8","8-87924f50771db85e729440230423ef775e367989c93f6532d21f2f72527f782c","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.IndividualModInstallationList.IndividualModInstallation"
"1.1.11) DAIRCM - NonOrganic","","","","14","","6","6","","","","","","","","","2.24","0","2.958","2.958","","","","","","","2018-BASE_PROCUREMENT-2018-NAVY_AIRCRAFT_BA67-U_PROCUREMENT_MasterJustificationBook_Navy_PB_2018.zzz_unzipped-U_PROCUREMENT_MasterJustificationBook_Navy_PB_2018.xml","d5c6154167ae571c5f506888226fcc2482caf0eac4d6b82b571542232f1fefdc","0-2d9893f1e638a224f99af850a686ce333b8edd2aa122da956cfd705d0e603423","9-9366b0fccb642a570b2c4a8e31582af0009940370e82f85566bc088ff6f4051f","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.IndividualModInstallationList.IndividualModInstallation"
"1.2.1) Data Link NRE - Organic","","","","","","","","","","","","","","","","1.894","","","","","","","","","","2018-BASE_PROCUREMENT-2018-NAVY_AIRCRAFT_BA67-U_PROCUREMENT_MasterJustificationBook_Navy_PB_2018.zzz_unzipped-U_PROCUREMENT_MasterJustificationBook_Navy_PB_2018.xml","d5c6154167ae571c5f506888226fcc2482caf0eac4d6b82b571542232f1fefdc","0-0aad8071aea0a07d808d63e6ee6b898b732132ff2ec7da7cbd351170085bad03","10-e6d005aed5d7832904267a3943947bf60a93691d248684ac10ed7b70d543eec0","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.IndividualModInstallationList.IndividualModInstallation"
"1.2.2) Installation Kits N/R - Organic","","","","","","","","","","","","","","28.575","","","","","","","","","","","","2018-BASE_PROCUREMENT-2018-NAVY_AIRCRAFT_BA67-U_PROCUREMENT_MasterJustificationBook_Navy_PB_2018.zzz_unzipped-U_PROCUREMENT_MasterJustificationBook_Navy_PB_2018.xml","d5c6154167ae571c5f506888226fcc2482caf0eac4d6b82b571542232f1fefdc","0-305ce7806a44a27c7f0605a8ed15837b2a4bead87923a38a9a0eccf7945cb991","11-200f18f4d0d4da0f86ccd551c381aa9f99ccf42d66eef52402867b360b7ac2c3","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.IndividualModInstallationList.IndividualModInstallation"
"2.1.1) Data Link RME - Organic","","","","","4","4","","","","","","","","","","","0.975","0.975","","","","","","","","2018-BASE_PROCUREMENT-2018-NAVY_AIRCRAFT_BA67-U_PROCUREMENT_MasterJustificationBook_Navy_PB_2018.zzz_unzipped-U_PROCUREMENT_MasterJustificationBook_Navy_PB_2018.xml","d5c6154167ae571c5f506888226fcc2482caf0eac4d6b82b571542232f1fefdc","0-45ce36f350feb7eaff20c91830253ad7fc39d490e4cb18301c22895ce21e891a","12-c048d1ecaf06e1646b99450bb81d80e3e9028c74ac768ef37ff5754e652922d0","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.IndividualModInstallationList.IndividualModInstallation"
"2.1.2) HDTS RME - Organic","","","6","12","12","12","","","","","","","","","2.534","3.364","3.429","3.429","","","","","","","","2018-BASE_PROCUREMENT-2018-NAVY_AIRCRAFT_BA67-U_PROCUREMENT_MasterJustificationBook_Navy_PB_2018.zzz_unzipped-U_PROCUREMENT_MasterJustificationBook_Navy_PB_2018.xml","d5c6154167ae571c5f506888226fcc2482caf0eac4d6b82b571542232f1fefdc","0-5487abf0e98876cae552fe49029a7e579d6e526bd894038c49c762797e85e57c","13-6245e3d30396e97fdfd35c8533c51f66680a271ab98784f29e7bd5729f5c3604","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.IndividualModInstallationList.IndividualModInstallation"
"2.1.3) HDTS Helmet Tracker (HTK) - Organic","","","24","24","48","48","","","","","","","","","1.502","0.77","1.569","1.569","","","","","","","","2018-BASE_PROCUREMENT-2018-NAVY_AIRCRAFT_BA67-U_PROCUREMENT_MasterJustificationBook_Navy_PB_2018.zzz_unzipped-U_PROCUREMENT_MasterJustificationBook_Navy_PB_2018.xml","d5c6154167ae571c5f506888226fcc2482caf0eac4d6b82b571542232f1fefdc","0-29bb8fd9f3a956a1c767279fffc44bc4505631d21f481912cfeec65a5ca1f1af","14-53e402c0273560dbb3084aceff72bd7d208dac8d7594402c207caea4924966ff","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.IndividualModInstallationList.IndividualModInstallation"
"2.2.2) Installation Equipment N/R - Organic","","","","","","","","","","","","","","0.05","0.039","","","","","","","","","","","2018-BASE_PROCUREMENT-2018-NAVY_AIRCRAFT_BA67-U_PROCUREMENT_MasterJustificationBook_Navy_PB_2018.zzz_unzipped-U_PROCUREMENT_MasterJustificationBook_Navy_PB_2018.xml","d5c6154167ae571c5f506888226fcc2482caf0eac4d6b82b571542232f1fefdc","0-a6867556ed813800b7d808054af46151aa072c400e918020ce8b74ba9ce0359d","15-1e67812435de336d8cfccdf36148d0c4d95ce684a721b01c61ab780293c40659","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.IndividualModInstallationList.IndividualModInstallation"
"2.2.3) Data Link NRE - Organic","","","","","","","","","","","","","","","","4.05","0.204","0.204","","","","","","","","2018-BASE_PROCUREMENT-2018-NAVY_AIRCRAFT_BA67-U_PROCUREMENT_MasterJustificationBook_Navy_PB_2018.zzz_unzipped-U_PROCUREMENT_MasterJustificationBook_Navy_PB_2018.xml","d5c6154167ae571c5f506888226fcc2482caf0eac4d6b82b571542232f1fefdc","0-07ad270a243576086b3ae66e25dcfc9ede5593a59f762a74d5a62a70e2d2f103","16-c18192b0fa64324db1743901da109090e7eaa1f45a5e744478932716a466537a","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.IndividualModInstallationList.IndividualModInstallation"
"1.1.1) Digital Interoperability (UH-1Y/AH-1Z) - NonOrganic","Digital Interoperability (DI) adds digitally-aided close air support and Variable Message Format capabilities to the UH-1Y and AH-1Z.","","","1","1","1","","","","","","","","","","0.104","0.106","0.106","","","","","","","","2018-BASE_PROCUREMENT-2018-NAVY_AIRCRAFT_BA67-U_PROCUREMENT_MasterJustificationBook_Navy_PB_2018.zzz_unzipped-U_PROCUREMENT_MasterJustificationBook_Navy_PB_2018.xml","f1c87231d4bcbd2818ffe05f4a3c2d8bc750af58c7df248f8fc336631525667a","0-28fe62cb20ad192580da63fc4163bfbd382df6cc2acb0efeab5e8aedb6773ba5","0-a5c20960545221bc95911077e442173710014625583f0913071d01b42f731805","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.IndividualModInstallationList.IndividualModInstallation"
"1.1.2) Full Motion Video (FMV) (UH-1Y/AH-1Z) - NonOrganic","Full Motion Video (FMV) supports UUNS CDTS# 11061UA validated by MROC DM 49-2012 and provides video evidence to battlespace commanders realtime in order to make decisions to engage targets and assess battle damage. FMV is necessary to ensure digital interoperability on the platform.","12","20","42","33","33","","","","","","","","0.96","1.61","3.402","2.69","2.69","","","","","","","","2018-BASE_PROCUREMENT-2018-NAVY_AIRCRAFT_BA67-U_PROCUREMENT_MasterJustificationBook_Navy_PB_2018.zzz_unzipped-U_PROCUREMENT_MasterJustificationBook_Navy_PB_2018.xml","f1c87231d4bcbd2818ffe05f4a3c2d8bc750af58c7df248f8fc336631525667a","0-032b74f7f138875456bfad645eb3e8cfc1d6cc1e838d75eeceae9aaec691ec85","1-e103bc3b9a7251f1f54100b80c906b9178de5fbd4d50225f3d2a72757e806944","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.IndividualModInstallationList.IndividualModInstallation"
"1.1.4) Aircraft Network Switch (ANS) (UH-1Y/AH-1Z) - NonOrganic","","","","5","24","24","","","","","","","","","","0.013","0.072","0.072","","","","","","","","2018-BASE_PROCUREMENT-2018-NAVY_AIRCRAFT_BA67-U_PROCUREMENT_MasterJustificationBook_Navy_PB_2018.zzz_unzipped-U_PROCUREMENT_MasterJustificationBook_Navy_PB_2018.xml","f1c87231d4bcbd2818ffe05f4a3c2d8bc750af58c7df248f8fc336631525667a","0-6124bcb241da89486c2f24c7d34f2723a0fe22e8f02c24786f009e502b24ddef","2-461bfeda7913bf779ec8e91071ef160962c223f1f830c289a7456b70dd95926c","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.IndividualModInstallationList.IndividualModInstallation"
"1.1.5) Advanced Data Transfer System (ADTS) (UH-1Y/AH-1Z) - NonOrganic","","","","5","24","24","","","","","","","","","","0.055","0.276","0.276","","","","","","","","2018-BASE_PROCUREMENT-2018-NAVY_AIRCRAFT_BA67-U_PROCUREMENT_MasterJustificationBook_Navy_PB_2018.zzz_unzipped-U_PROCUREMENT_MasterJustificationBook_Navy_PB_2018.xml","f1c87231d4bcbd2818ffe05f4a3c2d8bc750af58c7df248f8fc336631525667a","0-e32647e817dc6e2c3bc9562508ebbb210ac866b3e7a24b0a515109f27f66a2c0","3-c530520b3467c605d385a3dc7a9c67a8aceb55ad597098c778464353908dd345","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.IndividualModInstallationList.IndividualModInstallation"
"1.1.6) Digital Video Recorder (DVR) (UH-1Y/AH-1Z) - Organic","","","70","16","27","27","","","","","","","","","0.275","0.065","0.116","0.116","","","","","","","","2018-BASE_PROCUREMENT-2018-NAVY_AIRCRAFT_BA67-U_PROCUREMENT_MasterJustificationBook_Navy_PB_2018.zzz_unzipped-U_PROCUREMENT_MasterJustificationBook_Navy_PB_2018.xml","f1c87231d4bcbd2818ffe05f4a3c2d8bc750af58c7df248f8fc336631525667a","0-632916a0445388d4f97261acc36bfd551d48a47f1021649f9cbb63acefdaf183","4-6901c0e64502801a56467e4e182e19d93b06953c6875f70a282f188614bafb20","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.IndividualModInstallationList.IndividualModInstallation"
"1.1.7) Distributed Aperture Infrared Countermeasures (DAIRCM) (UH-1Y/AH-1Z) - Organic","","","","9","","","","","","","","","","","","3.74","","","","","","","","","","2018-BASE_PROCUREMENT-2018-NAVY_AIRCRAFT_BA67-U_PROCUREMENT_MasterJustificationBook_Navy_PB_2018.zzz_unzipped-U_PROCUREMENT_MasterJustificationBook_Navy_PB_2018.xml","f1c87231d4bcbd2818ffe05f4a3c2d8bc750af58c7df248f8fc336631525667a","0-7050b2bcfb92deee4400668280b7b4c48bc99a788bccb77449337b9374a87200","5-f5b418b12518731e8d256f1ed065d25a90c6dc8e9148983d08c9f76cf3873ba5","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.IndividualModInstallationList.IndividualModInstallation"
"1.1.9) Archived Mods - Organic","","8","","","","","","","","","","","","3.235","","","","","","","","","","","","2018-BASE_PROCUREMENT-2018-NAVY_AIRCRAFT_BA67-U_PROCUREMENT_MasterJustificationBook_Navy_PB_2018.zzz_unzipped-U_PROCUREMENT_MasterJustificationBook_Navy_PB_2018.xml","f1c87231d4bcbd2818ffe05f4a3c2d8bc750af58c7df248f8fc336631525667a","0-0c3522165e97d36f8e39461775909f5e84c65421ae1f2bd925ab7cd76687f1c5","6-89d1db877627165e9d6b07f2e417cfa99774dc1bfe05e4b42ae5b28533772a16","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.IndividualModInstallationList.IndividualModInstallation"
"1.2.1) Installation Kits N/R - Organic","Increase in FY 2018 and FY 2019 Installation Equipment N/R is required for EGI engineering.","","","","","","","","","","","","","3.047","2.9","0.168","0.771","0.771","","","","","","","","2018-BASE_PROCUREMENT-2018-NAVY_AIRCRAFT_BA67-U_PROCUREMENT_MasterJustificationBook_Navy_PB_2018.zzz_unzipped-U_PROCUREMENT_MasterJustificationBook_Navy_PB_2018.xml","f1c87231d4bcbd2818ffe05f4a3c2d8bc750af58c7df248f8fc336631525667a","0-088434f2b57262de5f1aaa1484f52e75391b72f65c41af7dcc760a69cfbdbbd7","7-f5978b87e95942aebc6a4f1dcb96e3aaed0909cacef7d20728bc039d51ec8eb4","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.IndividualModInstallationList.IndividualModInstallation"
"2.1.1) Digital Interoperability (UH-1Y/AH-1Z) - Organic","","","","1","1","1","","","","","","","","","","0.104","0.106","0.106","","","","","","","","2018-BASE_PROCUREMENT-2018-NAVY_AIRCRAFT_BA67-U_PROCUREMENT_MasterJustificationBook_Navy_PB_2018.zzz_unzipped-U_PROCUREMENT_MasterJustificationBook_Navy_PB_2018.xml","f1c87231d4bcbd2818ffe05f4a3c2d8bc750af58c7df248f8fc336631525667a","0-add97b0f96644e463208548bd418bb90eb9b1159c0c4092cf133209f94eca8e6","8-e0f02f9b35d0bf6c837b9b4cc4c871ef4c43da8bd60a6325a307d02bde0ab680","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.IndividualModInstallationList.IndividualModInstallation"
"2.1.2) Full Motion Video (FMV) (UH-1Y/AH-1Z) - Organic","","12","20","42","33","33","","","","","","","","2.736","4.56","9.618","7.59","7.59","","","","","","","","2018-BASE_PROCUREMENT-2018-NAVY_AIRCRAFT_BA67-U_PROCUREMENT_MasterJustificationBook_Navy_PB_2018.zzz_unzipped-U_PROCUREMENT_MasterJustificationBook_Navy_PB_2018.xml","f1c87231d4bcbd2818ffe05f4a3c2d8bc750af58c7df248f8fc336631525667a","0-3c59bbc18e72a4e54a438348aad72b0646e4fff9e5efa91d5013443f38fcc5c0","9-671300f7827b8f82ea1db0c6431ef3bf385a4ec2a399c6dd9472b38fddd9f23b","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.IndividualModInstallationList.IndividualModInstallation"
"2.1.4) Aircraft Network Switch (ANS) (UH-1Y/AH-1Z) - Organic","","","","5","24","24","","","","","","","","","","0.033","0.168","0.168","","","","","","","","2018-BASE_PROCUREMENT-2018-NAVY_AIRCRAFT_BA67-U_PROCUREMENT_MasterJustificationBook_Navy_PB_2018.zzz_unzipped-U_PROCUREMENT_MasterJustificationBook_Navy_PB_2018.xml","f1c87231d4bcbd2818ffe05f4a3c2d8bc750af58c7df248f8fc336631525667a","0-6077897c5e278260df49a54307a271bd1f2a565fc4784923d18d36d89edf2f3d","10-bff22068e21424dd794a7ced025ca67452b5611c435e99524aa8eeb2b6ab2448","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.IndividualModInstallationList.IndividualModInstallation"
"2.1.5) Advanced Data Transfer System (ADTS) (UH-1Y/AH-1Z) - Organic","","","","5","24","24","","","","","","","","","","0.408","1.968","1.968","","","","","","","","2018-BASE_PROCUREMENT-2018-NAVY_AIRCRAFT_BA67-U_PROCUREMENT_MasterJustificationBook_Navy_PB_2018.zzz_unzipped-U_PROCUREMENT_MasterJustificationBook_Navy_PB_2018.xml","f1c87231d4bcbd2818ffe05f4a3c2d8bc750af58c7df248f8fc336631525667a","0-0894f3a493127f7b28018776980520cf04ed1f9e27c164c506bcf08d693c7eb8","11-1bff1224813301539acf340fc04b5c1221ee45c430f9edc57b0b4cb0934e77fb","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.IndividualModInstallationList.IndividualModInstallation"
"2.1.6) Digital Video Recorder (DVR) (UH-1Y/AH-1Z) - Organic","Digital Video Recorder (DVR) B Kit Qtys include DVR and Removable Mass Memory Devices (RMMDs).","","183","36","48","48","","","","","","","","","3.255","0.79","1.1","1.1","","","","","","","","2018-BASE_PROCUREMENT-2018-NAVY_AIRCRAFT_BA67-U_PROCUREMENT_MasterJustificationBook_Navy_PB_2018.zzz_unzipped-U_PROCUREMENT_MasterJustificationBook_Navy_PB_2018.xml","f1c87231d4bcbd2818ffe05f4a3c2d8bc750af58c7df248f8fc336631525667a","0-56970eb02ae14dd5181d974de816e15e23975c211e3cfc12441d31d26d198b07","12-f538369609b098f79ac1efe6050e37f5d3f3823647ad797b2ccc17492044b4b9","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.IndividualModInstallationList.IndividualModInstallation"
"2.1.7) Tech Refresh Mission Computer (TRMC) Retrofit (UH-1Y/AH-1Z) - Organic","","","","","40","40","","","","","","","","","","","8.12","8.12","","","","","","","","2018-BASE_PROCUREMENT-2018-NAVY_AIRCRAFT_BA67-U_PROCUREMENT_MasterJustificationBook_Navy_PB_2018.zzz_unzipped-U_PROCUREMENT_MasterJustificationBook_Navy_PB_2018.xml","f1c87231d4bcbd2818ffe05f4a3c2d8bc750af58c7df248f8fc336631525667a","0-11c5b4a8bc3ce734a7702b42ddf52fa29d31f71061c0d1730a62aafa41bdf271","13-8532120de4abe55128972f53d89c6d62d808422622e0ea72a4886308e83e3799","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.IndividualModInstallationList.IndividualModInstallation"
"2.1.8) SATCOM Improvements (UH-1Y) - Organic","","","","320","","","","","","","","","","","","0.07","","","","","","","","","","2018-BASE_PROCUREMENT-2018-NAVY_AIRCRAFT_BA67-U_PROCUREMENT_MasterJustificationBook_Navy_PB_2018.zzz_unzipped-U_PROCUREMENT_MasterJustificationBook_Navy_PB_2018.xml","f1c87231d4bcbd2818ffe05f4a3c2d8bc750af58c7df248f8fc336631525667a","0-c3a444bd093d7bf6e0588188ef9b6d91ed97550c20fe5ca5d131afbc6b8045fb","14-5fa25c5b7d158e32257fc1dda66ee24ab6571acee58574f794671ce640d59236","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.IndividualModInstallationList.IndividualModInstallation"
"2.1.9) ARC-210 1939A (UH-1Y/AH-1Z) - Organic","","","311","","","","","","","","","","","","2.999","","","","","","","","","","","2018-BASE_PROCUREMENT-2018-NAVY_AIRCRAFT_BA67-U_PROCUREMENT_MasterJustificationBook_Navy_PB_2018.zzz_unzipped-U_PROCUREMENT_MasterJustificationBook_Navy_PB_2018.xml","f1c87231d4bcbd2818ffe05f4a3c2d8bc750af58c7df248f8fc336631525667a","0-314ba9ddc141346e86a63e2dc8b85727c4ef7ea05fe10b335e5ddccebf7a5dfb","15-72b02a7cc330aa78067f168704a4428979968d0907a3cc9ffbeeac6e09ba1b4b","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.IndividualModInstallationList.IndividualModInstallation"
